# campaign: vco-tuning-range (supply pushing)
# record_id: 20260731-100401-07f4b7b
# generated_utc: 2026-07-31T10:04:17Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-100401-07f4b7b.spice
# corners: 7 bundles x temp{-40,27,125}C x band{0,4,7} x vdd{2.97..3.63 in 0.11 V} at Vctrl 1.8 V
# deck: tb_vco_pushing.sp -- seven independent VCO copies, one per supply
#   point, each with its own supply source, ammeter and rail-referenced band
#   code. fosc measured at that copy's buffered CLK against its own half-supply
#   threshold, over 4 whole cycles after tsettle.
bundle,temp_c,band,vctrl_v,vdd_v,fosc_hz,isupply_a
all-fast,125,0,1.8,3.19,9605240,0.000120163
all-fast,125,0,1.8,3.30,9323000,0.000122247
all-fast,125,0,1.8,3.41,9074340,0.000125772
all-fast,125,0,1.8,3.52,8859300,0.000129121
all-fast,125,0,1.8,3.63,8663220,0.000133473
all-fast,125,4,1.8,2.97,8.58076e+07,0.000226101
all-fast,125,4,1.8,3.08,8.16343e+07,0.000230547
all-fast,125,4,1.8,3.19,7.8047e+07,0.000233646
all-fast,125,4,1.8,3.30,7.48963e+07,0.000235734
all-fast,125,4,1.8,3.41,7.20094e+07,0.000243746
all-fast,125,4,1.8,3.52,6.94624e+07,0.00024586
all-fast,125,4,1.8,3.63,6.72969e+07,0.000247575
all-fast,125,7,1.8,2.97,4.5841e+08,0.000653237
all-fast,125,7,1.8,3.08,4.39543e+08,0.000661282
all-fast,125,7,1.8,3.19,4.21087e+08,0.00067535
all-fast,125,7,1.8,3.30,4.03506e+08,0.000682673
all-fast,125,7,1.8,3.41,3.86786e+08,0.000688741
all-fast,125,7,1.8,3.52,3.71166e+08,0.000702994
all-fast,125,7,1.8,3.63,3.56595e+08,0.000708701
all-slow,-40,0,1.8,2.97,5739210,3.77407e-05
all-slow,-40,0,1.8,3.08,5474330,3.8613e-05
all-slow,-40,0,1.8,3.19,5248770,3.92868e-05
all-slow,-40,0,1.8,3.30,5058560,4.14276e-05
all-slow,-40,0,1.8,3.41,4895510,4.33073e-05
all-slow,-40,0,1.8,3.52,4748670,4.62837e-05
all-slow,-40,0,1.8,3.63,4622960,4.59452e-05
all-slow,-40,4,1.8,2.97,4.60844e+07,8.31241e-05
all-slow,-40,4,1.8,3.08,4.31255e+07,8.59424e-05
all-slow,-40,4,1.8,3.19,4.05698e+07,8.7517e-05
all-slow,-40,4,1.8,3.30,3.84287e+07,8.91231e-05
all-slow,-40,4,1.8,3.41,3.66711e+07,9.22588e-05
all-slow,-40,4,1.8,3.52,3.50232e+07,9.35696e-05
all-slow,-40,4,1.8,3.63,3.3692e+07,9.80223e-05
all-slow,-40,7,1.8,2.97,2.30944e+08,0.00026827
all-slow,-40,7,1.8,3.08,2.1983e+08,0.000271489
all-slow,-40,7,1.8,3.19,2.08697e+08,0.000276561
all-slow,-40,7,1.8,3.30,1.97403e+08,0.000281861
all-slow,-40,7,1.8,3.41,1.87054e+08,0.000283579
all-slow,-40,7,1.8,3.52,1.77148e+08,0.000290016
all-slow,-40,7,1.8,3.63,1.68341e+08,0.000291284
all-slow,27,0,1.8,2.97,6054020,4.41014e-05
all-slow,27,0,1.8,3.08,5786330,4.58475e-05
all-slow,27,0,1.8,3.19,5536760,4.64208e-05
all-slow,27,0,1.8,3.30,5339670,4.78684e-05
all-slow,27,0,1.8,3.41,5169810,4.89504e-05
all-slow,27,0,1.8,3.52,5004570,4.96141e-05
all-slow,27,0,1.8,3.63,4869520,5.18157e-05
all-slow,27,4,1.8,2.97,4.98212e+07,9.62951e-05
all-slow,27,4,1.8,3.08,4.67097e+07,9.76341e-05
all-slow,27,4,1.8,3.19,4.40502e+07,0.000100197
all-slow,27,4,1.8,3.30,4.17523e+07,0.000101712
all-slow,27,4,1.8,3.41,3.98475e+07,0.000103571
all-slow,27,4,1.8,3.52,3.80615e+07,0.000107397
all-slow,27,4,1.8,3.63,3.65989e+07,0.000108516
all-slow,27,7,1.8,2.97,2.50785e+08,0.000300306
all-slow,27,7,1.8,3.08,2.39594e+08,0.0003071
all-slow,27,7,1.8,3.19,2.28246e+08,0.000311837
all-slow,27,7,1.8,3.30,2.17041e+08,0.000316272
all-slow,27,7,1.8,3.41,2.06319e+08,0.00032013
all-slow,27,7,1.8,3.52,1.96143e+08,0.000327039
all-slow,27,7,1.8,3.63,1.86676e+08,0.000330211
all-slow,125,0,1.8,2.97,6394000,5.49491e-05
all-slow,125,0,1.8,3.08,6120550,5.64947e-05
all-slow,125,0,1.8,3.19,5892210,5.78597e-05
all-slow,125,0,1.8,3.30,5673430,5.92546e-05
all-slow,125,0,1.8,3.41,5485850,5.9583e-05
all-slow,125,0,1.8,3.52,5315910,6.25671e-05
all-slow,125,0,1.8,3.63,5177100,6.28697e-05
all-slow,125,4,1.8,2.97,5.45353e+07,0.000116506
all-slow,125,4,1.8,3.08,5.13139e+07,0.000118885
all-slow,125,4,1.8,3.19,4.85512e+07,0.000120107
all-slow,125,4,1.8,3.30,4.61083e+07,0.000123695
all-slow,125,4,1.8,3.41,4.40422e+07,0.000125114
all-slow,125,4,1.8,3.52,4.21499e+07,0.000126654
all-slow,125,4,1.8,3.63,4.04959e+07,0.000126865
all-slow,125,7,1.8,2.97,2.74165e+08,0.000352839
all-slow,125,7,1.8,3.08,2.63554e+08,0.000359047
all-slow,125,7,1.8,3.19,2.52673e+08,0.00036436
all-slow,125,7,1.8,3.30,2.41819e+08,0.000372342
all-slow,125,7,1.8,3.41,2.31241e+08,0.00037647
all-slow,125,7,1.8,3.52,2.21127e+08,0.000379578
all-slow,125,7,1.8,3.63,2.11577e+08,0.000386294
ff,-40,0,1.8,2.97,6720400,5.65492e-05
ff,-40,0,1.8,3.08,6486960,5.89682e-05
ff,-40,0,1.8,3.19,6305490,6.08817e-05
ff,-40,0,1.8,3.30,6124050,6.25324e-05
ff,-40,0,1.8,3.41,5981250,6.34656e-05
ff,-40,0,1.8,3.52,5842970,6.69851e-05
ff,-40,0,1.8,3.63,5741620,6.94966e-05
ff,-40,4,1.8,2.97,5.00863e+07,0.000115258
ff,-40,4,1.8,3.08,4.7849e+07,0.0001188
ff,-40,4,1.8,3.19,4.59066e+07,0.000123271
ff,-40,4,1.8,3.30,4.41516e+07,0.000127422
ff,-40,4,1.8,3.41,4.26282e+07,0.000130328
ff,-40,4,1.8,3.52,4.13696e+07,0.000132154
ff,-40,4,1.8,3.63,4.02246e+07,0.000139148
ff,-40,7,1.8,2.97,2.58446e+08,0.000360714
ff,-40,7,1.8,3.08,2.43372e+08,0.000365928
ff,-40,7,1.8,3.19,2.30049e+08,0.000369968
ff,-40,7,1.8,3.30,2.18584e+08,0.000375347
ff,-40,7,1.8,3.41,2.08241e+08,0.000382881
ff,-40,7,1.8,3.52,1.99065e+08,0.000389747
ff,-40,7,1.8,3.63,1.91341e+08,0.000394582
ff,27,0,1.8,2.97,7059960,6.48056e-05
ff,27,0,1.8,3.08,6813180,6.7232e-05
ff,27,0,1.8,3.19,6604510,6.79217e-05
ff,27,0,1.8,3.30,6413080,7.23993e-05
ff,27,0,1.8,3.41,6259520,7.26439e-05
ff,27,0,1.8,3.52,6116200,7.52127e-05
ff,27,0,1.8,3.63,5985320,7.77391e-05
ff,27,4,1.8,2.97,5.44629e+07,0.000135016
ff,27,4,1.8,3.08,5.19867e+07,0.000137158
ff,27,4,1.8,3.19,4.98439e+07,0.000139432
ff,27,4,1.8,3.30,4.79366e+07,0.000143565
ff,27,4,1.8,3.41,4.62586e+07,0.000146974
ff,27,4,1.8,3.52,4.47539e+07,0.000149823
ff,27,4,1.8,3.63,4.34881e+07,0.000152684
ff,27,7,1.8,2.97,2.86534e+08,0.000407316
ff,27,7,1.8,3.08,2.70967e+08,0.000412466
ff,27,7,1.8,3.19,2.5671e+08,0.000417739
ff,27,7,1.8,3.30,2.43917e+08,0.000427316
ff,27,7,1.8,3.41,2.32472e+08,0.000431169
ff,27,7,1.8,3.52,2.22197e+08,0.000437262
ff,27,7,1.8,3.63,2.13121e+08,0.000446162
ff,125,0,1.8,2.97,7464400,8.05492e-05
ff,125,0,1.8,3.08,7219360,8.23325e-05
ff,125,0,1.8,3.19,6995500,8.44147e-05
ff,125,0,1.8,3.30,6807970,8.38758e-05
ff,125,0,1.8,3.41,6636250,8.78704e-05
ff,125,0,1.8,3.52,6492620,9.21815e-05
ff,125,0,1.8,3.63,6368070,9.58226e-05
ff,125,4,1.8,2.97,6.04442e+07,0.000161052
ff,125,4,1.8,3.08,5.77401e+07,0.000167022
ff,125,4,1.8,3.19,5.53588e+07,0.000168348
ff,125,4,1.8,3.30,5.32767e+07,0.000170948
ff,125,4,1.8,3.41,5.1347e+07,0.000174691
ff,125,4,1.8,3.52,4.96831e+07,0.000178833
ff,125,4,1.8,3.63,4.82529e+07,0.0001815
ff,125,7,1.8,2.97,3.24895e+08,0.000480021
ff,125,7,1.8,3.08,3.0888e+08,0.000485256
ff,125,7,1.8,3.19,2.94134e+08,0.000495968
ff,125,7,1.8,3.30,2.8035e+08,0.000500392
ff,125,7,1.8,3.41,2.67875e+08,0.000504009
ff,125,7,1.8,3.52,2.56426e+08,0.000514266
ff,125,7,1.8,3.63,2.46136e+08,0.000521243
fs,-40,0,1.8,2.97,7051530,5.09912e-05
fs,-40,0,1.8,3.08,6762150,5.15094e-05
fs,-40,0,1.8,3.19,6514830,5.31773e-05
fs,-40,0,1.8,3.30,6308930,5.22834e-05
fs,-40,0,1.8,3.41,6106700,5.77025e-05
fs,-40,0,1.8,3.52,5962450,5.84985e-05
fs,-40,0,1.8,3.63,5805810,5.9582e-05
fs,-40,4,1.8,2.97,5.48789e+07,0.000109141
fs,-40,4,1.8,3.08,5.18025e+07,0.000110971
fs,-40,4,1.8,3.19,4.91405e+07,0.000112789
fs,-40,4,1.8,3.30,4.68858e+07,0.000114684
fs,-40,4,1.8,3.41,4.4897e+07,0.000117503
fs,-40,4,1.8,3.52,4.32041e+07,0.000121898
fs,-40,4,1.8,3.63,4.1615e+07,0.000122505
fs,-40,7,1.8,2.97,2.79139e+08,0.000340324
fs,-40,7,1.8,3.08,2.64657e+08,0.000347406
fs,-40,7,1.8,3.19,2.50779e+08,0.000353952
fs,-40,7,1.8,3.30,2.37805e+08,0.000357491
fs,-40,7,1.8,3.41,2.25494e+08,0.000362615
fs,-40,7,1.8,3.52,2.14525e+08,0.000368305
fs,-40,7,1.8,3.63,2.04822e+08,0.000376701
fs,27,0,1.8,2.97,7446760,5.94865e-05
fs,27,0,1.8,3.08,7155100,6.00075e-05
fs,27,0,1.8,3.19,6881150,6.0652e-05
fs,27,0,1.8,3.30,6619470,6.3916e-05
fs,27,0,1.8,3.41,6432170,6.5018e-05
fs,27,0,1.8,3.52,6261840,6.54436e-05
fs,27,0,1.8,3.63,6102480,6.93882e-05
fs,27,4,1.8,2.97,5.97777e+07,0.000126115
fs,27,4,1.8,3.08,5.64879e+07,0.000128435
fs,27,4,1.8,3.19,5.36197e+07,0.000129136
fs,27,4,1.8,3.30,5.11682e+07,0.000131133
fs,27,4,1.8,3.41,4.89765e+07,0.000135777
fs,27,4,1.8,3.52,4.70151e+07,0.000140898
fs,27,4,1.8,3.63,4.53104e+07,0.000139971
fs,27,7,1.8,2.97,3.06289e+08,0.000387887
fs,27,7,1.8,3.08,2.91698e+08,0.000391289
fs,27,7,1.8,3.19,2.77675e+08,0.000400229
fs,27,7,1.8,3.30,2.64136e+08,0.000405789
fs,27,7,1.8,3.41,2.51378e+08,0.000408656
fs,27,7,1.8,3.52,2.3959e+08,0.00041477
fs,27,7,1.8,3.63,2.28814e+08,0.000418783
fs,125,0,1.8,2.97,7926280,7.48482e-05
fs,125,0,1.8,3.08,7611270,7.5866e-05
fs,125,0,1.8,3.19,7335580,7.68426e-05
fs,125,0,1.8,3.30,7095620,7.8659e-05
fs,125,0,1.8,3.41,6875230,8.04591e-05
fs,125,0,1.8,3.52,6684190,8.2526e-05
fs,125,0,1.8,3.63,6510100,8.41835e-05
fs,125,4,1.8,2.97,6.63564e+07,0.000153146
fs,125,4,1.8,3.08,6.28812e+07,0.000155604
fs,125,4,1.8,3.19,5.97856e+07,0.000156782
fs,125,4,1.8,3.30,5.70519e+07,0.000160633
fs,125,4,1.8,3.41,5.46213e+07,0.00016489
fs,125,4,1.8,3.52,5.24629e+07,0.000166066
fs,125,4,1.8,3.63,5.05972e+07,0.000167126
fs,125,7,1.8,2.97,3.40136e+08,0.000454301
fs,125,7,1.8,3.08,3.26464e+08,0.000460718
fs,125,7,1.8,3.19,3.12832e+08,0.000466615
fs,125,7,1.8,3.30,2.99526e+08,0.000476294
fs,125,7,1.8,3.41,2.86761e+08,0.000482172
fs,125,7,1.8,3.52,2.74613e+08,0.000489667
fs,125,7,1.8,3.63,2.6318e+08,0.000498878
sf,-40,0,1.8,2.97,6747940,5.23169e-05
sf,-40,0,1.8,3.08,6495410,5.27966e-05
sf,-40,0,1.8,3.19,6269590,5.59997e-05
sf,-40,0,1.8,3.30,6075810,5.86157e-05
sf,-40,0,1.8,3.41,5919280,5.78661e-05
sf,-40,0,1.8,3.52,5768300,5.95272e-05
sf,-40,0,1.8,3.63,5650750,6.39123e-05
sf,-40,4,1.8,2.97,5.20925e+07,0.000109867
sf,-40,4,1.8,3.08,4.93795e+07,0.000114708
sf,-40,4,1.8,3.19,4.70234e+07,0.000113562
sf,-40,4,1.8,3.30,4.49294e+07,0.000117841
sf,-40,4,1.8,3.41,4.32233e+07,0.00011836
sf,-40,4,1.8,3.52,4.16909e+07,0.00012586
sf,-40,4,1.8,3.63,4.03555e+07,0.000126142
sf,-40,7,1.8,2.97,2.75745e+08,0.000347644
sf,-40,7,1.8,3.08,2.59941e+08,0.000353552
sf,-40,7,1.8,3.19,2.45025e+08,0.000359641
sf,-40,7,1.8,3.30,2.31823e+08,0.00036235
sf,-40,7,1.8,3.41,2.19563e+08,0.000368231
sf,-40,7,1.8,3.52,2.08663e+08,0.000374761
sf,-40,7,1.8,3.63,1.99251e+08,0.000380392
sf,27,0,1.8,2.97,7145650,6.17972e-05
sf,27,0,1.8,3.08,6872790,6.14249e-05
sf,27,0,1.8,3.19,6643780,6.36268e-05
sf,27,0,1.8,3.30,6427040,6.68362e-05
sf,27,0,1.8,3.41,6247400,6.77834e-05
sf,27,0,1.8,3.52,6089420,6.97618e-05
sf,27,0,1.8,3.63,5949640,7.02576e-05
sf,27,4,1.8,2.97,5.70882e+07,0.00012855
sf,27,4,1.8,3.08,5.4072e+07,0.000130725
sf,27,4,1.8,3.19,5.15348e+07,0.000132136
sf,27,4,1.8,3.30,4.92535e+07,0.000135548
sf,27,4,1.8,3.41,4.72943e+07,0.000140137
sf,27,4,1.8,3.52,4.55406e+07,0.000140378
sf,27,4,1.8,3.63,4.40188e+07,0.000142913
sf,27,7,1.8,2.97,3.03933e+08,0.000395733
sf,27,7,1.8,3.08,2.88208e+08,0.000400818
sf,27,7,1.8,3.19,2.73222e+08,0.000407118
sf,27,7,1.8,3.30,2.59098e+08,0.000410899
sf,27,7,1.8,3.41,2.46344e+08,0.000419931
sf,27,7,1.8,3.52,2.34594e+08,0.000424114
sf,27,7,1.8,3.63,2.24083e+08,0.000431915
sf,125,0,1.8,2.97,7663950,7.87297e-05
sf,125,0,1.8,3.08,7385480,8.10902e-05
sf,125,0,1.8,3.19,7126300,8.0505e-05
sf,125,0,1.8,3.30,6915010,8.25091e-05
sf,125,0,1.8,3.41,6622050,8.48382e-05
sf,125,0,1.8,3.52,6541910,8.73937e-05
sf,125,0,1.8,3.63,6389200,8.83431e-05
sf,125,4,1.8,2.97,6.40152e+07,0.00015878
sf,125,4,1.8,3.08,6.07289e+07,0.00016024
sf,125,4,1.8,3.19,5.78629e+07,0.000163583
sf,125,4,1.8,3.30,5.53683e+07,0.00016624
sf,125,4,1.8,3.41,5.31469e+07,0.000167597
sf,125,4,1.8,3.52,5.12416e+07,0.000168312
sf,125,4,1.8,3.63,4.95039e+07,0.000174627
sf,125,7,1.8,2.97,3.39884e+08,0.000468631
sf,125,7,1.8,3.08,3.25185e+08,0.000474537
sf,125,7,1.8,3.19,3.10906e+08,0.00047986
sf,125,7,1.8,3.30,2.97194e+08,0.000490215
sf,125,7,1.8,3.41,2.84135e+08,0.000494204
sf,125,7,1.8,3.52,2.7198e+08,0.000497622
sf,125,7,1.8,3.63,2.60673e+08,0.000513045
ss,-40,0,1.8,2.97,7218350,4.78677e-05
ss,-40,0,1.8,3.08,6862130,4.84077e-05
ss,-40,0,1.8,3.19,6559490,4.97443e-05
ss,-40,0,1.8,3.30,6300620,5.01072e-05
ss,-40,0,1.8,3.41,6082390,5.22667e-05
ss,-40,0,1.8,3.52,5893910,5.28733e-05
ss,-40,0,1.8,3.63,5741080,5.44287e-05
ss,-40,4,1.8,2.97,5.87352e+07,0.000103721
ss,-40,4,1.8,3.08,5.4892e+07,0.000106729
ss,-40,4,1.8,3.19,5.15013e+07,0.0001067
ss,-40,4,1.8,3.30,4.86826e+07,0.000109718
ss,-40,4,1.8,3.41,4.6163e+07,0.000112068
ss,-40,4,1.8,3.52,4.41192e+07,0.000113848
ss,-40,4,1.8,3.63,4.23631e+07,0.000117289
ss,-40,7,1.8,2.97,2.88359e+08,0.000330567
ss,-40,7,1.8,3.08,2.76522e+08,0.000336119
ss,-40,7,1.8,3.19,2.64135e+08,0.000341414
ss,-40,7,1.8,3.30,2.51264e+08,0.000350348
ss,-40,7,1.8,3.41,2.39054e+08,0.00035313
ss,-40,7,1.8,3.52,2.2691e+08,0.000357683
ss,-40,7,1.8,3.63,2.15875e+08,0.000362855
ss,27,0,1.8,2.97,7654260,5.76562e-05
ss,27,0,1.8,3.08,7272960,5.77612e-05
ss,27,0,1.8,3.19,6978130,5.85153e-05
ss,27,0,1.8,3.30,6710870,6.02519e-05
ss,27,0,1.8,3.41,6480420,6.25916e-05
ss,27,0,1.8,3.52,6273080,6.15676e-05
ss,27,0,1.8,3.63,6090470,6.44047e-05
ss,27,4,1.8,2.97,6.41402e+07,0.000121248
ss,27,4,1.8,3.08,6.00209e+07,0.000122956
ss,27,4,1.8,3.19,5.64939e+07,0.000124973
ss,27,4,1.8,3.30,5.34076e+07,0.000126879
ss,27,4,1.8,3.41,5.07982e+07,0.000129359
ss,27,4,1.8,3.52,4.84234e+07,0.000132574
ss,27,4,1.8,3.63,4.64271e+07,0.000133158
ss,27,7,1.8,2.97,3.13432e+08,0.000372833
ss,27,7,1.8,3.08,3.01939e+08,0.000381491
ss,27,7,1.8,3.19,2.89662e+08,0.000387197
ss,27,7,1.8,3.30,2.77268e+08,0.000396134
ss,27,7,1.8,3.41,2.64897e+08,0.000401548
ss,27,7,1.8,3.52,2.52871e+08,0.000404814
ss,27,7,1.8,3.63,2.41452e+08,0.000410138
ss,125,0,1.8,2.97,8206860,7.42887e-05
ss,125,0,1.8,3.08,7853770,7.53654e-05
ss,125,0,1.8,3.19,7534370,7.66655e-05
ss,125,0,1.8,3.30,7250360,7.68539e-05
ss,125,0,1.8,3.41,6997180,7.98628e-05
ss,125,0,1.8,3.52,6771360,8.08364e-05
ss,125,0,1.8,3.63,6584390,8.21114e-05
ss,125,4,1.8,2.97,7.17637e+07,0.000151297
ss,125,4,1.8,3.08,6.74441e+07,0.000153625
ss,125,4,1.8,3.19,6.36108e+07,0.000156465
ss,125,4,1.8,3.30,6.02706e+07,0.000156279
ss,125,4,1.8,3.41,5.73673e+07,0.000159468
ss,125,4,1.8,3.52,5.48396e+07,0.000162944
ss,125,4,1.8,3.63,5.25334e+07,0.000164512
ss,125,7,1.8,2.97,3.4356e+08,0.000444282
ss,125,7,1.8,3.08,3.3323e+08,0.00045286
ss,125,7,1.8,3.19,3.22377e+08,0.000458421
ss,125,7,1.8,3.30,3.10946e+08,0.000463952
ss,125,7,1.8,3.41,2.99467e+08,0.000473738
ss,125,7,1.8,3.52,2.88031e+08,0.000481528
ss,125,7,1.8,3.63,2.76948e+08,0.000487226
typical,-40,0,1.8,2.97,6880210,5.03888e-05
typical,-40,0,1.8,3.08,6616120,5.19689e-05
typical,-40,0,1.8,3.19,6385260,5.33097e-05
typical,-40,0,1.8,3.30,6176310,5.63822e-05
typical,-40,0,1.8,3.41,6015650,5.80324e-05
typical,-40,0,1.8,3.52,5860410,5.8414e-05
typical,-40,0,1.8,3.63,5710780,6.26823e-05
typical,-40,4,1.8,2.97,5.35292e+07,0.000107837
typical,-40,4,1.8,3.08,5.05719e+07,0.000111297
typical,-40,4,1.8,3.19,4.8046e+07,0.000112971
typical,-40,4,1.8,3.30,4.584e+07,0.000118778
typical,-40,4,1.8,3.41,4.3962e+07,0.000120902
typical,-40,4,1.8,3.52,4.23182e+07,0.000123593
typical,-40,4,1.8,3.63,4.09419e+07,0.000125171
typical,-40,7,1.8,2.97,2.78852e+08,0.000343637
typical,-40,7,1.8,3.08,2.63442e+08,0.00034913
typical,-40,7,1.8,3.19,2.48493e+08,0.000355894
typical,-40,7,1.8,3.30,2.35135e+08,0.000361024
typical,-40,7,1.8,3.41,2.22621e+08,0.000365957
typical,-40,7,1.8,3.52,2.11561e+08,0.000368217
typical,-40,7,1.8,3.63,2.01818e+08,0.000375992
typical,27,0,1.8,2.97,7274080,6.01045e-05
typical,27,0,1.8,3.08,6996700,6.15842e-05
typical,27,0,1.8,3.19,6744090,6.27039e-05
typical,27,0,1.8,3.30,6532680,6.31083e-05
typical,27,0,1.8,3.41,6327210,6.58933e-05
typical,27,0,1.8,3.52,6162980,6.68689e-05
typical,27,0,1.8,3.63,6014740,6.90181e-05
typical,27,4,1.8,2.97,5.83705e+07,0.000125791
typical,27,4,1.8,3.08,5.52295e+07,0.000129077
typical,27,4,1.8,3.19,5.25141e+07,0.000131709
typical,27,4,1.8,3.30,5.00675e+07,0.000134451
typical,27,4,1.8,3.41,4.80246e+07,0.000136208
typical,27,4,1.8,3.52,4.62318e+07,0.000139968
typical,27,4,1.8,3.63,4.45868e+07,0.000140004
typical,27,7,1.8,2.97,3.06378e+08,0.000392897
typical,27,7,1.8,3.08,2.9084e+08,0.000395747
typical,27,7,1.8,3.19,2.75923e+08,0.000405035
typical,27,7,1.8,3.30,2.61806e+08,0.000405918
typical,27,7,1.8,3.41,2.48867e+08,0.000414221
typical,27,7,1.8,3.52,2.37015e+08,0.000418578
typical,27,7,1.8,3.63,2.26129e+08,0.000422931
typical,125,0,1.8,2.97,7777810,7.6617e-05
typical,125,0,1.8,3.08,7478920,7.9657e-05
typical,125,0,1.8,3.19,7209940,7.94466e-05
typical,125,0,1.8,3.30,6987940,8.11518e-05
typical,125,0,1.8,3.41,6780780,8.1171e-05
typical,125,0,1.8,3.52,6599840,8.47718e-05
typical,125,0,1.8,3.63,6425170,8.74659e-05
typical,125,4,1.8,2.97,6.51239e+07,0.000155875
typical,125,4,1.8,3.08,6.17009e+07,0.000157928
typical,125,4,1.8,3.19,5.87184e+07,0.000159896
typical,125,4,1.8,3.30,5.60419e+07,0.000162942
typical,125,4,1.8,3.41,5.37967e+07,0.00016426
typical,125,4,1.8,3.52,5.17303e+07,0.000168078
typical,125,4,1.8,3.63,4.99235e+07,0.000172237
typical,125,7,1.8,2.97,3.41069e+08,0.00046108
typical,125,7,1.8,3.08,3.26541e+08,0.000467174
typical,125,7,1.8,3.19,3.12291e+08,0.000472659
typical,125,7,1.8,3.30,2.98542e+08,0.000482371
typical,125,7,1.8,3.41,2.85437e+08,0.00048709
typical,125,7,1.8,3.52,2.73147e+08,0.000490824
typical,125,7,1.8,3.63,2.61654e+08,0.000505663
