corner,temp_c,vdd,terr,corner_id,twin_r,twin_f,ta_asrt,tb_asrt,tc_asrt,td_asrt,te_asrt,la_lvl,lb_lvl,lc_lvl,ld_lvl,le_lvl,va_lvl,te_deas,le_pre,iavg,lock_pass,verdict
ff,27.0,3.63,e4.0n,ff_27c_3.63v_e4.0n,1.15516e-09,1.13846e-09,not measured,8.64921e-07,not measured,not measured,8.64921e-07,1.10172e-08,3.63,1.10451e-08,7.58127e-09,4.65314e-09,0.0741658,2.40453e-06,3.63,-0.000184127,1.0,PASS
ff,125.0,2.97,e4.0n,ff_125c_2.97v_e4.0n,1.49383e-09,1.47663e-09,not measured,1.45747e-06,not measured,not measured,1.45747e-06,4.86086e-07,2.97,4.86254e-07,4.85555e-07,4.87565e-07,0.0307885,2.40489e-06,2.97,-0.000174246,1.0,PASS
ff,125.0,3.3,e4.0n,ff_125c_3.30v_e4.0n,1.41081e-09,1.38613e-09,not measured,1.28244e-06,not measured,not measured,1.28244e-06,5.14129e-07,3.3,5.14194e-07,5.14526e-07,5.14431e-07,0.0420478,2.40484e-06,3.3,-0.000187357,1.0,PASS
ff,125.0,3.63,e4.0n,ff_125c_3.63v_e4.0n,1.34085e-09,1.31998e-09,not measured,1.14417e-06,not measured,not measured,1.14417e-06,5.53413e-07,3.63,5.53763e-07,5.55084e-07,5.56604e-07,0.0553897,2.40469e-06,3.63,-0.000201567,1.0,PASS
ss,-40.0,2.97,e4.0n,ss_-40c_2.97v_e4.0n,1.47928e-09,1.4805e-09,not measured,1.16623e-06,not measured,not measured,1.16623e-06,7.03862e-09,2.97,7.06382e-09,5.4134e-09,2.02498e-09,0.028423,2.40525e-06,2.97,-0.000123688,1.0,PASS
ss,-40.0,3.3,e4.0n,ss_-40c_3.30v_e4.0n,1.3763e-09,1.36288e-09,not measured,9.86627e-07,not measured,not measured,9.86627e-07,4.04372e-09,3.3,3.94771e-09,3.99798e-09,6.58046e-09,0.0414014,2.40514e-06,3.3,-0.000142132,1.0,PASS
ss,-40.0,3.63,e4.0n,ss_-40c_3.63v_e4.0n,1.29989e-09,1.28724e-09,not measured,8.6073e-07,not measured,not measured,8.6073e-07,6.51396e-09,3.63,6.00783e-09,5.17868e-09,7.08667e-09,0.0565194,2.40495e-06,3.63,-0.000161346,1.0,PASS
ss,27.0,2.97,e4.0n,ss_27c_2.97v_e4.0n,1.68393e-09,1.67751e-09,not measured,1.4699e-06,not measured,not measured,1.4699e-06,7.15934e-09,2.97,7.15907e-09,6.02711e-09,1.55706e-09,0.0197624,2.40552e-06,2.97,-0.000128879,1.0,PASS
ss,27.0,3.3,e4.0n,ss_27c_3.30v_e4.0n,1.5605e-09,1.55071e-09,not measured,1.25007e-06,not measured,not measured,1.25007e-06,9.78512e-09,3.3,9.79766e-09,7.1776e-09,1.27941e-09,0.0298248,2.40537e-06,3.3,-0.000146209,1.0,PASS
ss,27.0,3.63,e4.0n,ss_27c_3.63v_e4.0n,1.47034e-09,1.45349e-09,not measured,1.09104e-06,not measured,not measured,1.09104e-06,5.38387e-09,3.63,5.34592e-09,5.66991e-09,1.87789e-09,0.0422976,2.40523e-06,3.63,-0.000164515,1.0,PASS
ss,125.0,2.97,e4.0n,ss_125c_2.97v_e4.0n,1.96714e-09,1.96018e-09,not measured,1.91255e-06,not measured,not measured,1.91255e-06,8.33306e-09,2.97,8.79104e-09,1.08103e-08,1.12261e-08,0.0141892,2.40564e-06,2.97,-0.000167906,1.0,PASS
ss,125.0,3.3,e4.0n,ss_125c_3.30v_e4.0n,1.82964e-09,1.81217e-09,not measured,1.63876e-06,not measured,not measured,1.63876e-06,1.51651e-08,3.3,1.51602e-08,1.31811e-08,1.2256e-08,0.0208571,2.40561e-06,3.3,-0.000171717,1.0,PASS
ss,125.0,3.63,e4.0n,ss_125c_3.63v_e4.0n,1.72644e-09,1.69409e-09,not measured,1.43281e-06,not measured,not measured,1.43281e-06,1.59633e-08,3.63,1.59458e-08,1.39864e-08,9.89182e-09,0.0294984,2.40557e-06,3.63,-0.000184448,1.0,PASS
fs,-40.0,2.97,e4.0n,fs_-40c_2.97v_e4.0n,1.29487e-09,1.28499e-09,not measured,1.13784e-06,not measured,not measured,1.13784e-06,5.06285e-10,2.97,1.33642e-09,3.22739e-09,7.50751e-09,0.0318373,2.40454e-06,2.97,-0.000131545,1.0,PASS
fs,-40.0,3.3,e4.0n,fs_-40c_3.30v_e4.0n,1.21315e-09,1.19747e-09,not measured,9.6684e-07,not measured,not measured,9.6684e-07,-1.20406e-09,3.3,6.80716e-09,4.49738e-09,2.07647e-09,0.0458895,2.4045e-06,3.3,-0.000151194,1.0,PASS
fs,-40.0,3.63,e4.0n,fs_-40c_3.63v_e4.0n,1.15561e-09,1.13365e-09,not measured,8.45942e-07,not measured,not measured,8.45942e-07,8.98088e-09,3.63,9.04244e-09,5.34542e-09,2.44687e-09,0.062707,2.40444e-06,3.63,-0.000172017,1.0,PASS
fs,27.0,2.97,e4.0n,fs_27c_2.97v_e4.0n,1.47765e-09,1.46488e-09,not measured,1.4373e-06,not measured,not measured,1.4373e-06,3.86692e-09,2.97,3.90532e-09,4.3325e-09,4.616e-09,0.0253672,2.40481e-06,2.97,-0.00014125,1.0,PASS
fs,27.0,3.3,e4.0n,fs_27c_3.30v_e4.0n,1.38702e-09,1.35731e-09,not measured,1.22538e-06,not measured,not measured,1.22538e-06,2.06279e-09,3.3,2.49451e-09,3.91335e-09,7.42905e-09,0.0363386,2.40469e-06,3.3,-0.000156785,1.0,PASS
fs,27.0,3.63,e4.0n,fs_27c_3.63v_e4.0n,1.30976e-09,1.28478e-09,not measured,1.07097e-06,not measured,not measured,1.07097e-06,2.59593e-09,3.63,3.29902e-09,4.81945e-09,5.58093e-09,0.0495504,2.40464e-06,3.63,-0.000175469,1.0,PASS
fs,125.0,2.97,e4.0n,fs_125c_2.97v_e4.0n,1.73616e-09,1.70388e-09,not measured,1.87304e-06,not measured,not measured,1.87304e-06,1.42989e-08,2.97,1.42975e-08,1.33861e-08,9.68774e-09,0.0157582,2.40493e-06,2.97,-0.000191079,1.0,PASS
fs,125.0,3.3,e4.0n,fs_125c_3.30v_e4.0n,1.61918e-09,1.58391e-09,not measured,1.60584e-06,not measured,not measured,1.60584e-06,1.53548e-08,3.3,1.53789e-08,1.43569e-08,9.49359e-09,0.0247964,2.40493e-06,3.3,-0.000192514,1.0,PASS
fs,125.0,3.63,e4.0n,fs_125c_3.63v_e4.0n,1.52903e-09,1.49288e-09,not measured,1.40381e-06,not measured,not measured,1.40381e-06,1.65172e-08,3.63,1.66947e-08,1.47775e-08,1.28722e-08,0.0353749,2.40486e-06,3.63,-0.000203516,1.0,PASS
sf,-40.0,2.97,e4.0n,sf_-40c_2.97v_e4.0n,1.28021e-09,1.26759e-09,not measured,8.71565e-07,not measured,not measured,8.71565e-07,4.04334e-10,2.97,4.04724e-09,3.6996e-09,2.24995e-09,0.0481033,2.40501e-06,2.97,-0.000128286,1.0,PASS
sf,-40.0,3.3,e4.0n,sf_-40c_3.30v_e4.0n,1.19552e-09,1.18762e-09,not measured,7.65864e-07,not measured,not measured,7.65864e-07,8.24375e-09,3.3,6.98376e-09,5.37009e-09,3.37123e-09,0.064,2.40479e-06,3.3,-0.000148066,1.0,PASS
sf,-40.0,3.63,e4.0n,sf_-40c_3.63v_e4.0n,1.13956e-09,1.13309e-09,not measured,6.88583e-07,not measured,not measured,6.88583e-07,9.86483e-09,3.63,9.7969e-09,6.35408e-09,4.86549e-09,0.0824631,2.4046e-06,3.63,-0.000168956,1.0,PASS
sf,27.0,2.97,e4.0n,sf_27c_2.97v_e4.0n,1.4414e-09,1.44047e-09,not measured,1.11545e-06,not measured,not measured,1.11545e-06,7.67189e-09,2.97,7.36683e-09,5.87076e-09,5.62444e-09,0.0370908,2.40536e-06,2.97,-0.000132297,1.0,PASS
sf,27.0,3.3,e4.0n,sf_27c_3.30v_e4.0n,1.35346e-09,1.34224e-09,not measured,9.8081e-07,not measured,not measured,9.8081e-07,5.29628e-09,3.3,5.11542e-09,5.22945e-09,7.01964e-09,0.05066,2.40506e-06,3.3,-0.000151259,1.0,PASS
sf,27.0,3.63,e4.0n,sf_27c_3.63v_e4.0n,1.28822e-09,1.28116e-09,not measured,8.78746e-07,not measured,not measured,8.78746e-07,6.3643e-09,3.63,6.17212e-09,5.98458e-09,7.63306e-09,0.0665212,2.40491e-06,3.63,-0.000171664,1.0,PASS
sf,125.0,2.97,e4.0n,sf_125c_2.97v_e4.0n,1.68751e-09,1.68537e-09,not measured,1.48498e-06,not measured,not measured,1.48498e-06,3.17479e-07,2.97,3.17461e-07,3.16426e-07,3.11984e-07,0.0264122,2.40557e-06,2.97,-0.000153334,1.0,PASS
sf,125.0,3.3,e4.0n,sf_125c_3.30v_e4.0n,1.58368e-09,1.57162e-09,not measured,1.3074e-06,not measured,not measured,1.3074e-06,3.34373e-07,3.3,3.344e-07,3.32014e-07,3.26748e-07,0.0366432,2.40549e-06,3.3,-0.00016848,1.0,PASS
sf,125.0,3.63,e4.0n,sf_125c_3.63v_e4.0n,1.4991e-09,1.48577e-09,not measured,1.16745e-06,not measured,not measured,1.16745e-06,3.57854e-07,3.63,3.57088e-07,3.53855e-07,3.4981e-07,0.049103,2.40532e-06,3.63,-0.000183377,1.0,PASS
res_ff,-40.0,2.97,e4.0n,res_ff_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
res_ff,-40.0,3.3,e4.0n,res_ff_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
res_ff,-40.0,3.63,e4.0n,res_ff_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
res_ff,27.0,2.97,e4.0n,res_ff_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
res_ff,27.0,3.3,e4.0n,res_ff_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
res_ff,27.0,3.63,e4.0n,res_ff_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
res_ff,125.0,2.97,e4.0n,res_ff_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
res_ff,125.0,3.3,e4.0n,res_ff_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
res_ff,125.0,3.63,e4.0n,res_ff_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
res_ss,-40.0,2.97,e4.0n,res_ss_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
res_ss,-40.0,3.3,e4.0n,res_ss_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
res_ss,-40.0,3.63,e4.0n,res_ss_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
res_ss,27.0,2.97,e4.0n,res_ss_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
res_ss,27.0,3.3,e4.0n,res_ss_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
res_ss,27.0,3.63,e4.0n,res_ss_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
res_ss,125.0,2.97,e4.0n,res_ss_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
res_ss,125.0,3.3,e4.0n,res_ss_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
res_ss,125.0,3.63,e4.0n,res_ss_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
moscap_ff,-40.0,2.97,e4.0n,moscap_ff_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
moscap_ff,-40.0,3.3,e4.0n,moscap_ff_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
moscap_ff,-40.0,3.63,e4.0n,moscap_ff_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
moscap_ff,27.0,2.97,e4.0n,moscap_ff_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
moscap_ff,27.0,3.3,e4.0n,moscap_ff_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
moscap_ff,27.0,3.63,e4.0n,moscap_ff_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
moscap_ff,125.0,2.97,e4.0n,moscap_ff_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
moscap_ff,125.0,3.3,e4.0n,moscap_ff_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
moscap_ff,125.0,3.63,e4.0n,moscap_ff_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
moscap_ss,-40.0,2.97,e4.0n,moscap_ss_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
moscap_ss,-40.0,3.3,e4.0n,moscap_ss_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
moscap_ss,-40.0,3.63,e4.0n,moscap_ss_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
moscap_ss,27.0,2.97,e4.0n,moscap_ss_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
moscap_ss,27.0,3.3,e4.0n,moscap_ss_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
moscap_ss,27.0,3.63,e4.0n,moscap_ss_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
moscap_ss,125.0,2.97,e4.0n,moscap_ss_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
moscap_ss,125.0,3.3,e4.0n,moscap_ss_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
moscap_ss,125.0,3.63,e4.0n,moscap_ss_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
mimcap_ff,-40.0,2.97,e4.0n,mimcap_ff_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
mimcap_ff,-40.0,3.3,e4.0n,mimcap_ff_-40c_3.30v_e4.0n,1.19509e-09,1.18366e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.44177e-09,3.3,6.4475e-09,4.65951e-09,3.08974e-09,0.0542231,2.40464e-06,3.3,-0.000149556,1.0,PASS
mimcap_ff,-40.0,3.63,e4.0n,mimcap_ff_-40c_3.63v_e4.0n,1.14008e-09,1.12549e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.54179e-09,3.63,9.4835e-09,5.89326e-09,3.7923e-09,0.0721862,2.40456e-06,3.63,-0.000170263,1.0,PASS
mimcap_ff,27.0,2.97,e4.0n,mimcap_ff_27c_2.97v_e4.0n,1.44862e-09,1.44175e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.31863e-09,2.97,5.40213e-09,4.79199e-09,4.87896e-09,0.0311084,2.40503e-06,2.97,-0.00013515,1.0,PASS
mimcap_ff,27.0,3.3,e4.0n,mimcap_ff_27c_3.30v_e4.0n,1.36334e-09,1.34086e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.45814e-09,3.3,3.60071e-09,4.34198e-09,5.44444e-09,0.0434211,2.40484e-06,3.3,-0.00015286,1.0,PASS
mimcap_ff,27.0,3.63,e4.0n,mimcap_ff_27c_3.63v_e4.0n,1.29009e-09,1.27562e-09,not measured,9.6477e-07,not measured,not measured,9.6477e-07,6.62059e-09,3.63,6.49529e-09,5.68474e-09,5.81983e-09,0.0579437,2.40478e-06,3.63,-0.000173188,1.0,PASS
mimcap_ff,125.0,2.97,e4.0n,mimcap_ff_125c_2.97v_e4.0n,1.70003e-09,1.68353e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.26147e-08,2.97,5.26049e-08,5.15469e-08,4.72663e-08,0.0207524,2.40522e-06,2.97,-0.000164907,1.0,PASS
mimcap_ff,125.0,3.3,e4.0n,mimcap_ff_125c_3.30v_e4.0n,1.59119e-09,1.56686e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.65496e-08,3.3,5.6596e-08,5.464e-08,4.9635e-08,0.0303225,2.40521e-06,3.3,-0.000178235,1.0,PASS
mimcap_ff,125.0,3.63,e4.0n,mimcap_ff_125c_3.63v_e4.0n,1.5037e-09,1.4804e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,6.05852e-08,3.63,6.00534e-08,5.76802e-08,5.46947e-08,0.0420675,2.40504e-06,3.63,-0.000191292,1.0,PASS
mimcap_ss,-40.0,2.97,e4.0n,mimcap_ss_-40c_2.97v_e4.0n,1.27499e-09,1.26643e-09,not measured,9.89637e-07,not measured,not measured,9.89637e-07,1.05303e-09,2.97,1.82322e-09,3.37275e-09,3.36087e-09,0.039667,2.40471e-06,2.97,-0.000129743,1.0,PASS
