corner,temp_c,vdd,band,corner_id,r3k_cg,r3k_off,ru_cg,ru_off,rsh_ratio,ibias_a_lo_ua,ibias_a_mid_ua,ibias_a_hi_ua,ibias_b_lo_ua,ibias_b_mid_ua,ibias_b_hi_ua,ibias_ratio_mid,ibias_a_100m_ua,ibias_b_100m_ua,ibias_ratio_100m,itail_a_lo_ua,itail_a_mid_ua,itail_a_hi_ua,itail_b_lo_ua,itail_b_mid_ua,itail_b_hi_ua,itail_ratio_mid,ihead_a_mid_ua,ihead_b_mid_ua,vbn_a_mid,vbn_b_mid,vbp_a_mid,vbp_b_mid,iring_a_mid_ua,iring_b_mid_ua,itail_a_100m_ua,itail_b_100m_ua,iring_a_100m_ua,iring_b_100m_ua,ivco_a_100m_ua,ivco_b_100m_ua,verdict
typical,27.0,3.63,band0,typical_27c_3.63v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,35.515792551,47.541554241,60.642526532,915.56814027,1001.6444857,1099.6699434,21.068820775,108.0463338,1639.598711,15.174959235,1.681127717,2.6676291691,3.7174615155,20.443778852,26.763705062,33.904451062,10.032768187,3.1041479716,28.623474316,0.70178040968,0.88718347788,2.7964999466,2.5877935654,13.338145846,133.81852531,29.690080091,307.73412642,148.45040046,1538.6706321,256.49673426,3178.2693431,PASS
typical,27.0,3.63,band7,typical_27c_3.63v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,140.66961653,216.23261934,297.77373535,2259.3911418,2740.6238702,3210.9251266,12.674423862,108.0463338,1639.5987113,15.174959238,49.252799699,78.827070154,110.6121823,622.3656405,811.67861044,1018.0865664,10.296952669,81.82732801,761.95689863,1.0624521612,2.3446413827,2.3808157594,1.1360923361,394.13535077,4058.3930522,29.690080084,307.73412649,148.45040042,1538.6706324,256.49673422,3178.2693437,PASS
typical,125.0,2.97,band0,typical_125c_2.97v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,47.105715253,60.592806203,75.239651224,588.38214043,671.74253105,765.48436316,11.086176283,128.49435647,1207.4374872,9.3968133725,1.8416660206,2.9062366291,4.0411923479,16.351563813,22.402054522,29.143845128,7.7082692776,3.213374983,23.471236386,0.61346550886,0.80536722389,2.2414814814,2.0256199247,14.531183146,112.01027261,33.120254584,258.11559737,165.60127292,1290.5779868,294.0956294,2498.015474,PASS
typical,125.0,2.97,band7,typical_125c_2.97v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,164.97520838,248.23148775,337.78672507,1620.5973368,1975.5944848,2220.2506853,7.9586780175,128.49435649,1207.4374871,9.3968133705,54.982372626,87.327959195,121.98752338,492.81555151,654.46600416,736.80119562,7.4943467155,88.776269889,498.69185286,1.0743491091,2.3210546017,1.7250155597,0.74732016169,436.63979597,3272.3300208,33.120254572,258.11559731,165.60127286,1290.5779865,294.09562935,2498.0154737,PASS
typical,125.0,3.3,band0,typical_125c_3.30v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,48.016526794,61.58298294,76.31173753,702.69770496,786.35328468,880.97404868,12.76900285,131.04294525,1374.7023475,10.490471996,1.9160404401,3.0074737269,4.1685009844,18.549074542,24.67424411,31.542655176,8.2043091147,3.3889591684,26.09938608,0.61489956629,0.81765837164,2.5678331485,2.3394642012,15.037368635,123.37122055,33.989553588,283.63181296,169.94776794,1418.1590648,300.99071319,2792.8614123,PASS
typical,125.0,3.3,band7,typical_125c_3.30v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,168.98555138,253.37722836,344.14984398,1890.2035268,2278.2882159,2592.09294,8.9916849697,131.04294523,1374.7023473,10.490471997,56.552010563,89.443102921,124.67579508,558.17758894,732.01538533,860.33022541,8.1841456906,91.729998005,598.19514455,1.0796647786,2.4544903662,2.0461751991,0.90366944135,447.21551461,3660.0769266,33.989553573,283.63181293,169.94776786,1418.1590646,300.99071309,2792.861412,PASS
typical,125.0,3.63,band0,typical_125c_3.63v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,49.020902301,62.667646047,77.480347124,821.88331241,905.76751944,1000.7432406,14.453511127,133.81619853,1546.2520019,11.555043551,1.9990296769,3.1183504738,4.3061895516,20.775638291,26.963640363,33.912627813,8.6467639187,3.5885424126,28.795704052,0.6165070021,0.82942716534,2.8937903875,2.6537669021,15.591752369,134.81820182,34.924273013,309.07095625,174.62136507,1545.3547812,308.4375636,3091.6067831,PASS
typical,125.0,3.63,band7,typical_125c_3.63v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,173.35218499,258.78734363,350.65185514,2159.796006,2574.4748902,2954.9862047,9.9482256518,133.81619832,1546.2520019,11.55504357,58.246488592,91.649481468,127.40774523,623.46259029,801.96716448,971.62979237,8.7503731787,94.745234234,695.10970889,1.0852863861,2.5724088529,2.3671712015,1.0750082767,458.24740734,4009.8358224,34.924272966,309.07095625,174.62136483,1545.3547813,308.43756315,3091.6067832,PASS
ff,-40.0,2.97,band0,ff_-40c_2.97v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,27.028362304,38.019585912,49.862149233,793.16542591,884.61232435,986.2521299,23.267279302,89.152248604,1451.0836021,16.276466661,1.3495638393,2.2290320931,3.156435648,16.940129026,23.585300608,30.911235485,10.580960535,2.5579470453,25.037902612,0.65125592521,0.80025297492,2.1976972179,2.0334795137,11.145160466,117.92650304,25.002728325,272.81089907,125.01364163,1364.0544954,214.16589023,2815.1380975,PASS
ff,-40.0,2.97,band7,ff_-40c_2.97v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,113.77337268,182.58450659,256.03575369,1925.1906423,2444.4817993,2943.0046333,13.388221405,89.152248576,1451.0836022,16.276466666,40.554938251,67.423722054,95.998151001,523.96845556,726.5837692,942.79241999,10.77638177,69.679396693,684.91636592,0.92546387186,1.8714558706,1.8793089628,0.89939859367,337.11861027,3632.918846,25.002728329,272.81089909,125.01364164,1364.0544954,214.16589022,2815.1380976,PASS
ff,-40.0,3.3,band0,ff_-40c_3.30v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,27.838286994,38.928005488,50.864942493,944.89287173,1036.6821271,1138.8114048,26.630753724,91.716138828,1653.438452,18.027780859,1.4292378516,2.3426594513,3.3016377321,19.127684516,25.873103644,33.316307385,11.044329823,2.7620268295,27.821449885,0.65257603155,0.80790801341,2.5244531329,2.3519560171,11.713297257,129.36551822,25.924726448,297.55968451,129.62363224,1487.7984226,221.33977107,3141.2368746,PASS
ff,-40.0,3.3,band7,ff_-40c_3.30v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,117.75301221,187.83474657,262.49828503,2213.759554,2747.7639633,3299.8033878,14.628624435,91.716138828,1653.438452,18.027780859,42.150272439,69.62508882,98.775805499,587.22264327,792.97950113,1015.1888649,11.389278126,72.736812056,763.7033622,0.92938336855,1.948541965,2.201875483,1.1415898231,348.1254441,3964.8975057,25.924726448,297.55968451,129.62363224,1487.7984226,221.33977107,3141.2368746,PASS
ff,-40.0,3.63,band0,ff_-40c_3.63v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,28.766096603,39.960576423,51.99936287,1100.5513669,1192.6311721,1295.1211107,29.845194409,94.595927055,1858.5087647,19.64681591,1.5180938204,2.4675913659,3.4600867718,21.325396714,28.160264603,35.702901839,11.412045362,2.9941172848,30.682671554,0.65404171641,0.81515506548,2.850932096,2.6706984981,12.33795683,140.80132301,26.933501935,321.8806578,134.66750967,1609.403289,229.26343673,3467.9120537,PASS
ff,-40.0,3.63,band7,ff_-40c_3.63v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,122.22360629,193.59519763,269.46714029,2502.9317622,3045.3246854,3627.4775078,15.730373081,94.595926877,1858.5087645,19.646815945,43.907462703,71.998983524,101.72842908,649.28541099,857.52158341,1083.8310498,11.910190137,76.013894018,835.72748967,0.93365208834,2.0228944151,2.5239541484,1.3942642606,359.99491762,4287.6079171,26.933501899,321.88065772,134.66750949,1609.4032886,229.26343637,3467.9120531,PASS
ff,27.0,2.97,band0,ff_27c_2.97v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,33.18853257,45.540876719,58.812271091,732.15808629,822.36261003,922.50339973,18.057680687,103.93525106,1397.222495,13.443201232,1.5415540977,2.5346252048,3.5791336357,17.42475854,24.014422789,31.266079539,9.4745458789,2.8818164157,25.457310562,0.58834760638,0.75741507876,2.2653994392,2.0772125611,12.673126024,120.07211394,28.567956432,277.07592602,142.83978216,1385.3796301,246.77503322,2782.6021251,PASS
ff,27.0,2.97,band7,ff_27c_2.97v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,131.41999365,208.63036213,290.80629664,1878.6272094,2349.147729,2776.7778561,11.259855493,103.93525117,1397.2224951,13.443201218,45.937700732,76.080337891,108.03623999,532.34700669,728.06846444,925.86088074,9.5697322675,78.39244611,644.3923733,0.92850602204,2.0132857718,1.8755933561,0.83707063193,380.40168945,3640.3423222,28.567956468,277.07592603,142.83978234,1385.3796301,246.77503351,2782.6021253,PASS
ff,27.0,3.3,band0,ff_27c_3.30v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,34.010324278,46.45545748,59.817731197,870.09398922,960.60808773,1061.286714,20.678046022,106.46815146,1587.1278693,14.90706702,1.6188355527,2.6438298528,3.7182236738,19.642119449,26.319638765,33.683527064,9.9551182302,3.0771898132,28.216675069,0.58969727267,0.76666139855,2.5919582884,2.3941699694,13.219149264,131.59819383,29.470677705,302.41193688,147.35338853,1512.0596844,253.82153999,3099.1875537,PASS
ff,27.0,3.3,band7,ff_27c_3.30v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,135.34414679,213.7759489,297.1543635,2158.6511599,2661.9371703,3136.0270861,12.451995578,106.46815157,1587.1278692,14.907067004,47.505362444,78.236772521,110.76793515,597.12912414,796.50077471,1007.764378,10.180644587,81.398518093,742.39127398,0.93287266366,2.1037875589,2.1977738875,1.038471276,391.1838626,3982.5038735,29.470677712,302.4119369,147.35338856,1512.0596845,253.82154013,3099.1875538,PASS
ff,27.0,3.63,band0,ff_27c_3.63v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,34.97459839,47.5181105,60.979071191,1012.5090464,1103.2740062,1204.2933863,23.217968783,109.36831584,1780.7071444,16.281746049,1.7069107692,2.7660172153,3.8723100353,21.886007533,28.639732927,36.092592568,10.354141243,3.3037082368,31.066312053,0.59124991533,0.77550228015,2.9181074821,2.7113648262,13.830086076,143.19866464,30.474957033,327.5269786,152.37478517,1637.634893,261.74310101,3418.3420374,PASS
ff,27.0,3.63,band7,ff_27c_3.63v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,139.84611726,219.48736486,304.0332445,2440.246691,2961.6212702,3480.1124664,13.493356541,109.36831584,1780.7071444,16.281746049,49.266674523,80.586910157,113.68391068,661.33646163,863.46170846,1080.5991599,10.714664538,84.624634718,825.95534487,0.93771466435,2.1916153083,2.5193836667,1.2644644564,402.93455078,4317.3085423,30.474957033,327.5269786,152.37478517,1637.634893,261.74310101,3418.3420374,PASS
ff,125.0,2.97,band0,ff_125c_2.97v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,45.307081564,59.342863725,74.37831319,663.48990932,751.29589335,848.26755157,12.660256789,128.17190343,1329.9628489,10.376399299,1.8452079837,2.9817848439,4.1736716883,17.868482583,24.331544613,31.401455119,8.1600604626,3.3667945996,25.811287935,0.50146603308,0.69505301555,2.3650889335,2.1476472559,14.90892422,121.65772306,33.716435501,279.18188735,168.58217751,1395.9094367,296.75408094,2725.8722856,PASS
ff,125.0,2.97,band7,ff_125c_2.97v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,161.58942148,249.17514649,342.05716833,1799.7659989,2200.9840969,2506.0043172,8.8330803768,128.17190334,1329.9628489,10.376399306,54.419000945,88.601196638,124.68827611,535.54691284,716.04121939,835.53457461,8.0816201875,91.066818717,572.90332315,0.94201489462,2.2015525399,1.8706134455,0.82130695454,443.00598319,3580.206097,33.716435477,279.18188734,168.58217739,1395.9094367,296.75408073,2725.8722856,PASS
ff,125.0,3.3,band0,ff_125c_3.30v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,46.24333741,60.365309304,75.488412704,784.35696794,872.43859181,970.12363817,14.452648415,130.82591842,1503.4344715,11.491870186,1.9233145583,3.0895879179,4.3096462026,20.089761058,26.628062908,33.813921591,8.6186454685,3.559168805,28.522633674,0.50292906953,0.70628762542,2.6913437878,2.4626645586,15.44793959,133.14031454,34.630771059,304.74925602,173.15385529,1523.7462801,303.97977371,3027.1807516,PASS
ff,125.0,3.3,band7,ff_125c_3.30v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,165.70183966,254.45983546,348.55739117,2072.6244837,2504.4306264,2886.5532559,9.8421451146,130.82591832,1503.4344715,11.491870196,56.035018901,90.791440513,127.46498002,600.94307197,788.00663442,956.56251757,8.6793053395,94.125608451,674.21283903,0.94713973194,2.3125149009,2.1920648912,0.99064850956,453.95720257,3940.0331721,34.630771047,304.74925602,173.15385524,1523.7462801,303.97977356,3027.1807516,PASS
ff,125.0,3.63,band0,ff_125c_3.63v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,47.351169417,61.563515122,76.782173073,909.91278917,998.20450678,1096.2184753,16.214222089,133.91413869,1681.0852424,12.553455959,2.0153579889,3.2135906034,4.4638809804,22.350494,28.951521577,36.216106431,9.0090883219,3.7896642375,31.334180161,0.50469178653,0.71712583924,3.0169588761,2.7778968844,16.067953017,144.75760788,35.669971269,330.25847286,178.34985635,1651.2923643,312.26399503,3332.3776066,PASS
ff,125.0,3.63,band7,ff_125c_3.63v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,170.51314552,260.37712666,355.60369539,2344.3288128,2805.5114293,3238.363217,10.774799866,133.91413869,1681.0852422,12.553455958,57.893891895,93.203813376,130.43222801,666.22932984,857.12615668,1052.4565715,9.1962563079,97.405268628,772.10961226,0.9529341572,2.4180329533,2.5128488504,1.1739273971,466.01906688,4285.6307834,35.669971269,330.2584728,178.34985635,1651.292364,312.26399503,3332.3776062,PASS
ss,-40.0,2.97,band0,ss_-40c_2.97v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,27.782140965,37.781439506,49.010842324,619.93831692,700.22086546,795.82266099,18.53346179,86.895163599,1187.2279836,13.662762511,1.3218646568,2.0776769647,2.9143236873,14.313550825,19.990309924,26.704982592,9.6214716068,2.2652001075,20.639095906,0.87115365417,1.0188095891,1.9556994003,1.7920172177,10.388384823,99.951549619,23.814643358,233.73785193,119.07321679,1168.6892597,205.96838039,2355.9172433,PASS
ss,-40.0,2.97,band7,ss_-40c_2.97v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,115.83417831,177.06441004,245.34191849,1587.8761585,2004.962323,2392.1721949,11.323350201,86.895163636,1187.2279833,13.662762502,40.931228059,64.634384747,90.996851349,448.97085849,621.72428024,798.94765979,9.6190948931,65.260296829,547.90241203,1.1679973763,2.1378125455,1.6097283914,0.68603561007,323.17192374,3108.6214012,23.814643377,233.73785185,119.07321689,1168.6892593,205.96838052,2355.9172426,PASS
ss,-40.0,3.3,band0,ss_-40c_3.30v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,28.492708127,38.575821468,49.888193443,758.24899815,838.90377473,935.11992935,21.746880372,89.204241586,1379.2035605,15.461188123,1.3954712728,2.1790878737,3.0429878572,16.552571397,22.323345716,29.160749413,10.244353147,2.4387852733,23.344507024,0.87247463949,1.0284388147,2.2824658918,2.1081724453,10.895439368,111.61672858,24.653751209,259.6315236,123.26875604,1298.157618,212.47299763,2677.3611785,PASS
ss,-40.0,3.3,band7,ss_-40c_3.30v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,119.56689323,181.92229013,251.34509159,1872.6603407,2320.3121467,2771.3619758,12.754413684,89.204241664,1379.2035607,15.461188111,42.444336373,66.673011161,93.566197564,515.62370376,691.84365741,891.86830098,10.376667341,68.054407372,644.0266307,1.1722582753,2.2385446215,1.931879669,0.88531462746,333.3650558,3459.218287,24.653751229,259.63152359,123.26875614,1298.157618,212.47299781,2677.3611786,PASS
ss,-40.0,3.63,band0,ss_-40c_3.63v_band0,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,29.258729924,39.427234841,50.822445041,901.69621792,982.65617905,1079.2550094,24.923284197,91.61471572,1574.9898067,17.191450023,1.4729307747,2.2848883701,3.1762598569,18.787969145,24.640384403,31.575079243,10.78406487,2.6248420841,26.079355887,0.87382352844,1.0374154784,2.6091671244,2.4249957111,11.42444185,123.20192202,25.515267573,285.04334955,127.57633786,1425.2167478,219.19105358,3000.2065545,PASS
ss,-40.0,3.63,band7,ss_-40c_3.63v_band7,20529.46348,117318.4629,2222.4766245,12416.853785,9.2372010814,123.43399469,186.87347928,257.36684223,2158.7345364,2621.6424613,3121.5707124,14.028970143,91.614715706,1574.9898064,17.191450023,43.995102866,68.734400505,96.130637881,581.1553236,759.99267386,966.16019271,11.056947733,70.862924821,724.79464658,1.1765448626,2.3354519826,2.2540928656,1.1116170187,343.67200252,3799.9633693,25.515267553,285.0433495,127.57633777,1425.2167475,219.19105347,3000.2065539,PASS
ss,27.0,2.97,band0,ss_27c_2.97v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,34.84089387,46.1445692,58.736152834,571.14003925,651.0673925,744.87270339,14.109296149,102.66803565,1143.2701044,11.135599285,1.5277147147,2.3905775643,3.3373405781,14.636959286,20.322900871,26.944293975,8.501251402,2.5980477325,21.001949467,0.80989571824,0.97650144343,2.0214822771,1.8352219665,11.952887822,101.61450435,27.434920713,236.57023712,137.17460356,1182.8511856,239.84263921,2326.12129,PASS
ss,27.0,2.97,band7,ss_27c_2.97v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,135.33218379,204.50699262,280.95800371,1534.1723765,1901.5701907,2198.6192734,9.2983137953,102.66803566,1143.2701043,11.135599283,46.730296307,73.511211051,103.02566195,452.28790155,618.65238665,741.28275513,8.4157556079,74.100723134,494.25376494,1.1805332467,2.2801300682,1.5969219172,0.66469340223,367.55605525,3093.2619332,27.434920726,236.57023709,137.17460363,1182.8511854,239.84263929,2326.1212897,PASS
ss,27.0,3.3,band0,ss_27c_3.30v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,35.590853212,46.973880556,59.64590256,694.98854789,775.27483667,869.86427246,16.504381318,104.99121762,1320.9456416,12.581487019,1.5993583125,2.488516949,3.4611697366,16.858951343,22.630097142,29.378434319,9.0938087247,2.7649535372,23.648965117,0.81123971881,0.98787121215,2.3480940663,2.1497611424,12.442584745,113.15048571,28.261891839,262.4423874,141.3094592,1312.211937,246.30067681,2633.1575786,PASS
ss,27.0,3.3,band7,ss_27c_3.30v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,139.07076444,209.35712419,286.97924442,1810.0685137,2211.2129471,2583.9927055,10.561918806,104.99121763,1320.9456415,12.581487016,48.229083015,75.530779129,105.58579032,518.7146718,690.11743304,859.73592737,9.1369034054,76.896000174,596.46071354,1.1853159716,2.3973768029,1.9185590653,0.83087214376,377.65389564,3450.5871652,28.261891847,262.44238738,141.30945924,1312.2119369,246.30067687,2633.1575784,PASS
ss,27.0,3.63,band0,ss_27c_3.63v_band0,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,36.394744502,47.857828859,60.609549544,823.95061302,904.51470038,999.48871749,18.900036252,107.41425322,1502.710186,13.989858338,1.6751611032,2.5910388217,3.589672918,19.089374564,24.932917913,31.771398222,9.6227496491,2.9446961438,26.333054119,0.81263292453,0.9985661316,2.6745854982,2.4649876148,12.955194109,124.66458956,29.112487747,288.00748427,145.56243873,1440.0374214,252.97669195,2942.7476074,PASS
ss,27.0,3.63,band7,ss_27c_3.63v_band7,18187.950081,103985.86383,2191.0287503,12294.612156,8.3011006033,142.94571399,214.27736438,292.96501214,2085.1088586,2516.4907793,2939.8133597,11.74408126,107.41425303,1502.7101858,13.989858361,49.768866985,77.567002675,108.12352444,584.55017354,759.10949245,951.39720152,9.7865002678,79.681876953,692.97862542,1.1901336049,2.509163882,2.2403083092,1.0156047729,387.83501338,3795.5474623,29.112487712,288.00748427,145.56243856,1440.0374214,252.97669159,2942.7476072,PASS
ss,125.0,2.97,band0,ss_125c_2.97v_band0,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,49.374338396,62.277131561,76.542771543,519.13583368,597.48358169,687.69180799,9.5939483196,129.65518768,1090.6319632,8.411788088,1.8577145156,2.8528724867,3.9358233543,14.928505307,20.543916141,26.951947008,7.2011336772,3.094928644,21.285720994,0.72586921152,0.91503788285,2.11766157,1.9048078738,14.264362433,102.7195807,32.744601634,237.49160475,163.72300817,1187.4580238,293.37819584,2278.089987,PASS
ss,125.0,2.97,band7,ss_125c_2.97v_band7,15874.444568,90806.38854,2170.0843288,12255.247659,7.3151279687,169.92114839,248.75105241,335.0970095,1449.9664718,1746.1781245,1947.3034199,7.0197818563,129.65518765,1090.6319632,8.4117880896,56.079051409,86.585200586,119.89390392,451.45790487,582.6414402,638.35896668,6.7291111674,87.121290447,427.02048404,1.2107689568,2.4225686326,1.5771412101,0.68152336901,432.92600293,2913.207201,32.744601597,237.49160476,163.72300799,1187.4580238,293.37819564,2278.089987,PASS
