# campaign: devchar-delay
# record_id: 20260731-041318-833292f
# generated_utc: 2026-07-31T04:13:19Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-delay/testbench/tb_delay_stage.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points
# topology_ring1x/ring4x: 5-stage self-loaded ring of unstarved minimum-length
#   CMOS inverters ; ring1x: Wn=1.0um Wp=2.5um L=0.28um ; ring4x: Wn=4.0um
#   Wp=10.0um L=0.28um ; tstage = 1/(2*N*fosc) with N=5, fosc from 8 periods
#   after start-up. This is the ceiling an equivalent current-starved ring
#   approaches as the starving devices are driven fully on.
# topology_cs_lo/md/hi: 5-stage current-starved ring (DR-001 Decision 2 cell:
#   matched PMOS-head / NMOS-tail starving devices, l_st=0.5um, w_ph=5um,
#   w_nt=2um), starved at a fixed ideal-mirrored current of 10/50/250 uA
#   respectively. Isolates the delay cell from bias-generator PVT. Gives both
#   the per-corner frequency and the fosc-vs-Ictrl slope (Kvco proxy) #8 needs.
# topology_fo1: open 4-inverter chain (1x), stage 3 measured (identical driver
#   and identical fan-out-1 load), ideal step at the chain input
# idsat_n_1u / idsat_p_2u5: single device at Vgs=Vds=Vdd, W=1.0um n / 2.5um p
# qstage/cstage: supply charge per stage transition of ring1x and Q/Vdd;
#   includes short-circuit current, so cstage is an upper bound on load C
process,temp_c,vdd_v,ring1x_fosc_hz,ring1x_tstage_s,ring1x_isupply_a,ring1x_qstage_c,ring1x_cstage_f,ring4x_fosc_hz,ring4x_tstage_s,ring4x_isupply_a,fo1_tphl_s,fo1_tplh_s,fo1_tpd_s,fo1_tfall_s,fo1_trise_s,idsat_n_1u_a,idsat_p_2u5_a,cs_lo_fosc_hz,cs_lo_tstage_s,cs_lo_isupply_a,cs_md_fosc_hz,cs_md_tstage_s,cs_md_isupply_a,cs_hi_fosc_hz,cs_hi_tstage_s,cs_hi_isupply_a
fs,-40,3.30,2.6089e+09,3.83304e-11,0.000415062,3.1819e-14,9.64212e-15,2.65004e+09,3.77353e-11,0.00165859,3.63306e-11,4.04902e-11,3.84104e-11,5.05709e-11,6.06438e-11,0.000634026,0.000624937,6.89231e+07,1.45089e-09,3.98425e-05,4.01407e+08,2.49124e-10,0.000185205,1.38584e+09,7.21582e-11,0.000729798
fs,-40,3.63,2.79573e+09,3.57689e-11,0.000495674,3.54594e-14,9.76844e-15,2.83237e+09,3.53062e-11,0.00197661,3.44924e-11,3.72312e-11,3.58618e-11,4.92378e-11,5.71308e-11,0.000722019,0.000744978,5.87311e+07,1.70268e-09,4.04536e-05,3.41439e+08,2.92878e-10,0.000189577,1.42865e+09,6.99962e-11,0.000768458
fs,27,2.97,2.08215e+09,4.80274e-11,0.000302092,2.90174e-14,9.77016e-15,2.12057e+09,4.71571e-11,0.00121047,4.45239e-11,5.16902e-11,4.81071e-11,6.18054e-11,7.71839e-11,0.000494743,0.000451683,7.86022e+07,1.27223e-09,3.92183e-05,4.4415e+08,2.25149e-10,0.000178113,1.18151e+09,8.46376e-11,0.000658098
fs,27,3.30,2.27413e+09,4.39728e-11,0.000371228,3.26479e-14,9.89329e-15,2.30966e+09,4.32965e-11,0.00148296,4.15736e-11,4.65951e-11,4.40843e-11,5.96094e-11,7.13537e-11,0.000575894,0.000555253,6.49854e+07,1.53881e-09,4.01406e-05,3.88013e+08,2.57723e-10,0.000184823,1.22374e+09,8.17164e-11,0.000705737
fs,27,3.63,2.44098e+09,4.09671e-11,0.000443565,3.63431e-14,1.00119e-14,2.4723e+09,4.04482e-11,0.00176783,3.93802e-11,4.2813e-11,4.10966e-11,5.78574e-11,6.70496e-11,0.000657138,0.000662346,5.5579e+07,1.79924e-09,4.07434e-05,3.33225e+08,3.00097e-10,0.000189586,1.27995e+09,7.8128e-11,0.000745126
fs,125,2.97,1.76661e+09,5.66054e-11,0.00026621,3.01378e-14,1.01474e-14,1.79734e+09,5.56378e-11,0.00106408,5.30297e-11,6.04357e-11,5.67327e-11,7.78926e-11,9.30964e-11,0.000430499,0.000400907,7.17686e+07,1.39337e-09,3.99028e-05,4.1841e+08,2.39e-10,0.000177963,9.99297e+08,1.0007e-10,0.000618779
fs,125,3.30,1.92775e+09,5.18739e-11,0.000326208,3.38434e-14,1.02556e-14,1.9564e+09,5.11142e-11,0.0013015,4.95244e-11,5.45325e-11,5.20284e-11,7.44549e-11,8.59311e-11,0.000502496,0.000491763,5.99785e+07,1.66726e-09,4.02959e-05,3.69143e+08,2.70898e-10,0.000184933,1.04234e+09,9.5938e-11,0.00067434
fs,125,3.63,2.07116e+09,4.82821e-11,0.000389618,3.76232e-14,1.03645e-14,2.09642e+09,4.77004e-11,0.00155011,4.68472e-11,5.00725e-11,4.84599e-11,7.20115e-11,8.04277e-11,0.000575091,0.000586814,5.15858e+07,1.93852e-09,4.13695e-05,3.20754e+08,3.11765e-10,0.000189919,1.09933e+09,9.09642e-11,0.000716456
sf,-40,2.97,2.36785e+09,4.22324e-11,0.000336494,2.84219e-14,9.56966e-15,2.41148e+09,4.14683e-11,0.00134904,4.73144e-11,3.71881e-11,4.22512e-11,6.33775e-11,5.56494e-11,0.000437856,0.000645819,7.75132e+07,1.2901e-09,3.86525e-05,4.51119e+08,2.21671e-10,0.000179999,1.30963e+09,7.63575e-11,0.00069016
sf,-40,3.30,2.5722e+09,3.88772e-11,0.000411482,3.19945e-14,9.69531e-15,2.61208e+09,3.82837e-11,0.00164509,4.40285e-11,3.38691e-11,3.89488e-11,6.04314e-11,5.25754e-11,0.000514694,0.000777194,6.38985e+07,1.56498e-09,3.90853e-05,3.83726e+08,2.60603e-10,0.000185312,1.36362e+09,7.3334e-11,0.000731599
sf,-40,3.63,2.74719e+09,3.64009e-11,0.000489901,3.56657e-14,9.82525e-15,2.78241e+09,3.594e-11,0.00195392,4.16053e-11,3.13641e-11,3.64847e-11,5.80688e-11,4.99616e-11,0.000591803,0.000910647,5.47765e+07,1.8256e-09,3.99362e-05,3.23612e+08,3.09012e-10,0.000188711,1.37766e+09,7.2587e-11,0.000769931
sf,27,2.97,2.05945e+09,4.85566e-11,0.000300756,2.92074e-14,9.83413e-15,2.0974e+09,4.76781e-11,0.00120532,5.45764e-11,4.26624e-11,4.86194e-11,7.52115e-11,6.62321e-11,0.000394339,0.000574294,7.24239e+07,1.38076e-09,3.87329e-05,4.28832e+08,2.33192e-10,0.000179346,1.14191e+09,8.75727e-11,0.000667313
sf,27,3.30,2.2397e+09,4.46489e-11,0.000367813,3.28449e-14,9.953e-15,2.27434e+09,4.39689e-11,0.00146966,5.06582e-11,3.88205e-11,4.47393e-11,7.10646e-11,6.242e-11,0.00046456,0.000691236,6.03009e+07,1.65835e-09,3.94179e-05,3.69715e+08,2.70479e-10,0.000184959,1.19875e+09,8.34203e-11,0.00070804
sf,27,3.63,2.39631e+09,4.17308e-11,0.000438184,3.65715e-14,1.00748e-14,2.42648e+09,4.1212e-11,0.00174593,4.77435e-11,3.59464e-11,4.18449e-11,6.8003e-11,5.93378e-11,0.000535148,0.00081101,5.1824e+07,1.92961e-09,4.00888e-05,3.15595e+08,3.16862e-10,0.000188863,1.2273e+09,8.14794e-11,0.000745711
sf,125,2.97,1.74024e+09,5.74632e-11,0.000263961,3.03361e-14,1.02142e-14,1.77087e+09,5.64693e-11,0.00105611,6.55501e-11,4.96049e-11,5.75775e-11,9.39208e-11,8.09645e-11,0.000340748,0.000508507,6.6142e+07,1.5119e-09,3.90549e-05,3.98783e+08,2.50763e-10,0.000178894,9.63007e+08,1.03841e-10,0.000636097
sf,125,3.30,1.89205e+09,5.28526e-11,0.000322249,3.40634e-14,1.03222e-14,1.92018e+09,5.20783e-11,0.00128556,6.07791e-11,4.52164e-11,5.29977e-11,8.80401e-11,7.59154e-11,0.000402282,0.000611724,5.56647e+07,1.79647e-09,3.97257e-05,3.49512e+08,2.86113e-10,0.000185054,1.01697e+09,9.8331e-11,0.000680663
sf,125,3.63,2.02698e+09,4.93344e-11,0.000383616,3.78509e-14,1.04273e-14,2.05146e+09,4.87459e-11,0.00152669,5.71466e-11,4.18742e-11,4.95104e-11,8.33535e-11,7.17224e-11,0.000464553,0.000718785,4.81534e+07,2.0767e-09,4.0358e-05,3.02954e+08,3.30083e-10,0.000189443,1.04981e+09,9.52556e-11,0.000717312
ss,-40,2.97,1.94294e+09,5.14685e-11,0.000276452,2.84571e-14,9.58153e-15,1.98e+09,5.05052e-11,0.00111309,5.22945e-11,5.05753e-11,5.14349e-11,6.56551e-11,7.10729e-11,0.000411018,0.000475732,9.10598e+07,1.09818e-09,3.80715e-05,4.53871e+08,2.20327e-10,0.000171447,1.12941e+09,8.85417e-11,0.000650923
ss,-40,3.30,2.14296e+09,4.66644e-11,0.000342457,3.19611e-14,9.68518e-15,2.17767e+09,4.59207e-11,0.00137452,4.81843e-11,4.51387e-11,4.66615e-11,6.34343e-11,6.57127e-11,0.000484257,0.000587531,7.29029e+07,1.37169e-09,3.86923e-05,4.09853e+08,2.4399e-10,0.000179121,1.20919e+09,8.26997e-11,0.000693437
ss,-40,3.63,2.31592e+09,4.31793e-11,0.000411815,3.55638e-14,9.79718e-15,2.34713e+09,4.26052e-11,0.00164834,4.52211e-11,4.12478e-11,4.32344e-11,6.16255e-11,6.20108e-11,0.000557863,0.000702406,6.07308e+07,1.64661e-09,3.92651e-05,3.5699e+08,2.8012e-10,0.000184527,1.25657e+09,7.9582e-11,0.000731455
ss,27,2.97,1.68997e+09,5.91725e-11,0.000246468,2.91683e-14,9.82096e-15,1.72181e+09,5.80786e-11,0.000991807,6.01898e-11,5.81014e-11,5.91456e-11,7.87187e-11,8.44401e-11,0.000369672,0.000423322,8.49764e+07,1.1768e-09,3.83531e-05,4.31631e+08,2.31679e-10,0.000170589,9.79664e+08,1.02076e-10,0.000620857
ss,27,3.30,1.86472e+09,5.36275e-11,0.000305282,3.2743e-14,9.92213e-15,1.89433e+09,5.27891e-11,0.0012243,5.54156e-11,5.19002e-11,5.36579e-11,7.54287e-11,7.79202e-11,0.000436455,0.000522226,6.85916e+07,1.4579e-09,3.88348e-05,3.92551e+08,2.54744e-10,0.000178277,1.05658e+09,9.46448e-11,0.000669551
ss,27,3.63,2.0178e+09,4.95589e-11,0.000367445,3.64203e-14,1.00332e-14,2.04409e+09,4.89215e-11,0.00146958,5.1883e-11,4.7385e-11,4.9634e-11,7.26248e-11,7.30725e-11,0.000503674,0.000624648,5.75923e+07,1.73634e-09,3.95246e-05,3.45552e+08,2.89392e-10,0.000183937,1.10702e+09,9.03322e-11,0.000707438
ss,125,2.97,1.43102e+09,6.98804e-11,0.000215862,3.0169e-14,1.01579e-14,1.45599e+09,6.86818e-11,0.000866422,7.20325e-11,6.77614e-11,6.9897e-11,1.0065e-10,1.02215e-10,0.000318792,0.000375829,7.71346e+07,1.29643e-09,3.86592e-05,4.03133e+08,2.48057e-10,0.000169803,8.25008e+08,1.21211e-10,0.000581621
ss,125,3.30,1.57646e+09,6.34332e-11,0.00026673,3.38391e-14,1.02543e-14,1.59979e+09,6.25081e-11,0.001068,6.63524e-11,6.06645e-11,6.35084e-11,9.49104e-11,9.42172e-11,0.00037709,0.000462443,6.31744e+07,1.58292e-09,3.91555e-05,3.69478e+08,2.70652e-10,0.000177518,8.94056e+08,1.1185e-10,0.000636203
ss,125,3.63,1.70638e+09,5.86035e-11,0.000320574,3.75735e-14,1.03508e-14,1.72705e+09,5.79023e-11,0.00128045,6.2045e-11,5.53547e-11,5.86999e-11,9.03145e-11,8.80921e-11,0.000436136,0.000553148,5.3591e+07,1.86598e-09,3.98183e-05,3.2915e+08,3.03812e-10,0.000183416,9.42209e+08,1.06134e-10,0.000678886
typical,-40,2.97,2.39481e+09,4.1757e-11,0.000339294,2.83358e-14,9.54067e-15,2.43978e+09,4.09873e-11,0.00136019,4.27832e-11,4.0775e-11,4.17791e-11,5.71014e-11,6.04062e-11,0.000491918,0.000575977,8.08994e+07,1.2361e-09,3.89511e-05,4.60527e+08,2.17142e-10,0.000179641,1.33794e+09,7.4742e-11,0.000689203
typical,-40,3.30,2.60643e+09,3.83667e-11,0.000415667,3.18955e-14,9.66532e-15,2.64783e+09,3.77668e-11,0.00166191,3.99111e-11,3.69242e-11,3.84177e-11,5.51781e-11,5.66422e-11,0.000574693,0.000700808,6.63836e+07,1.5064e-09,3.96783e-05,3.93992e+08,2.53813e-10,0.000185378,1.39647e+09,7.16091e-11,0.000731747
typical,-40,3.63,2.78764e+09,3.58726e-11,0.000495462,3.5547e-14,9.79257e-15,2.82447e+09,3.54049e-11,0.00197631,3.7795e-11,3.41229e-11,3.5959e-11,5.37934e-11,5.37189e-11,0.00065757,0.000828247,5.67038e+07,1.76355e-09,4.0143e-05,3.32863e+08,3.00424e-10,0.000189224,1.41202e+09,7.08207e-11,0.000770339
typical,27,2.97,2.08327e+09,4.80015e-11,0.000303261,2.9114e-14,9.80268e-15,2.1223e+09,4.71188e-11,0.00121561,4.92236e-11,4.68544e-11,4.8039e-11,6.80823e-11,7.1868e-11,0.000444311,0.000511872,7.55553e+07,1.32353e-09,3.90288e-05,4.39146e+08,2.27714e-10,0.000179002,1.16702e+09,8.5688e-11,0.000664451
typical,27,3.30,2.26969e+09,4.40589e-11,0.000371604,3.27449e-14,9.92271e-15,2.30554e+09,4.33738e-11,0.00148463,4.58123e-11,4.2461e-11,4.41366e-11,6.53497e-11,6.70373e-11,0.000520289,0.000622601,6.25742e+07,1.5981e-09,3.9662e-05,3.80028e+08,2.63138e-10,0.000185095,1.22771e+09,8.14522e-11,0.00070779
typical,27,3.63,2.43177e+09,4.11223e-11,0.000443139,3.64458e-14,1.00402e-14,2.4633e+09,4.05959e-11,0.00176607,4.32578e-11,3.91466e-11,4.12022e-11,6.29744e-11,6.3396e-11,0.000596502,0.000736568,5.36453e+07,1.8641e-09,4.04211e-05,3.24717e+08,3.0796e-10,0.000189163,1.25932e+09,7.94079e-11,0.000746321
typical,125,2.97,1.76286e+09,5.67259e-11,0.00026639,3.02224e-14,1.01759e-14,1.79423e+09,5.57341e-11,0.00106578,5.88978e-11,5.47249e-11,5.68113e-11,8.62213e-11,8.70387e-11,0.000385218,0.000453527,6.88719e+07,1.45197e-09,3.94197e-05,4.10832e+08,2.43408e-10,0.000178663,9.85522e+08,1.01469e-10,0.000628754
typical,125,3.30,1.91972e+09,5.20911e-11,0.000325684,3.39305e-14,1.0282e-14,1.9488e+09,5.13136e-11,0.00130004,5.47892e-11,4.96349e-11,5.2212e-11,8.15477e-11,8.09833e-11,0.00045223,0.000550909,5.773e+07,1.7322e-09,3.99264e-05,3.60274e+08,2.77566e-10,0.00018506,1.04256e+09,9.59173e-11,0.000678808
typical,125,3.63,2.05934e+09,4.85594e-11,0.000388339,3.7715e-14,1.03898e-14,2.08495e+09,4.79629e-11,0.0015455,5.16608e-11,4.57542e-11,4.87075e-11,7.77351e-11,7.62098e-11,0.000519922,0.000652369,4.97768e+07,2.00897e-09,4.08376e-05,3.12157e+08,3.20351e-10,0.0001898,1.078e+09,9.2764e-11,0.000717659
