# campaign: mc-cp-mismatch (dc)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: typical/27C/3.30V, N=200 mismatch samples
seed,vctrl_v,iup_a,idn_a,mism_pct
102,0.9,5.237e-06,4.94179e-06,5.8005
102,1.65,5.232e-06,4.96357e-06,5.2656
102,2.4,5.2194e-06,4.98285e-06,4.6372
103,0.9,5.17589e-06,5.31376e-06,-2.6287
103,1.65,5.17103e-06,5.34138e-06,-3.2409
103,2.4,5.159e-06,5.36605e-06,-3.9344
104,0.9,5.13952e-06,5.05939e-06,1.5713
104,1.65,5.13493e-06,5.08492e-06,0.9787
104,2.4,5.1234e-06,5.10744e-06,0.3120
105,0.9,5.10357e-06,4.8861e-06,4.3539
105,1.65,5.09897e-06,4.91112e-06,3.7532
105,2.4,5.08758e-06,4.93328e-06,3.0796
106,0.9,5.20944e-06,5.17433e-06,0.6762
106,1.65,5.20474e-06,5.20122e-06,0.0677
106,2.4,5.19297e-06,5.22477e-06,-0.6105
107,0.9,5.26708e-06,5.34464e-06,-1.4618
107,1.65,5.26207e-06,5.37035e-06,-2.0368
107,2.4,5.24974e-06,5.39307e-06,-2.6935
108,0.9,5.28152e-06,5.32573e-06,-0.8336
108,1.65,5.27659e-06,5.35445e-06,-1.4648
108,2.4,5.26422e-06,5.37957e-06,-2.1675
109,0.9,5.24695e-06,5.17247e-06,1.4296
109,1.65,5.24193e-06,5.19924e-06,0.8177
109,2.4,5.22942e-06,5.22258e-06,0.1309
110,0.9,5.19676e-06,5.00425e-06,3.7743
110,1.65,5.19171e-06,5.0269e-06,3.2257
110,2.4,5.17904e-06,5.04698e-06,2.5828
111,0.9,5.05653e-06,5.21633e-06,-3.1111
111,1.65,5.05178e-06,5.24104e-06,-3.6775
111,2.4,5.04008e-06,5.2629e-06,-4.3254
112,0.9,5.29444e-06,5.36273e-06,-1.2816
112,1.65,5.28944e-06,5.39502e-06,-1.9763
112,2.4,5.27681e-06,5.42271e-06,-2.7272
113,0.9,5.29585e-06,5.03908e-06,4.9690
113,1.65,5.29077e-06,5.06664e-06,4.3279
113,2.4,5.27819e-06,5.09072e-06,3.6160
114,0.9,5.23727e-06,5.25584e-06,-0.3539
114,1.65,5.23204e-06,5.28354e-06,-0.9795
114,2.4,5.2195e-06,5.30793e-06,-1.6800
115,0.9,5.18315e-06,5.40445e-06,-4.1804
115,1.65,5.17848e-06,5.42967e-06,-4.7358
115,2.4,5.16708e-06,5.4513e-06,-5.3534
116,0.9,5.42927e-06,5.22331e-06,3.8669
116,1.65,5.42368e-06,5.24768e-06,3.2985
116,2.4,5.40995e-06,5.26909e-06,2.6381
117,0.9,5.27019e-06,5.17679e-06,1.7881
117,1.65,5.26539e-06,5.20191e-06,1.2129
117,2.4,5.25326e-06,5.22387e-06,0.5610
118,0.9,5.40505e-06,5.21442e-06,3.5902
118,1.65,5.39977e-06,5.23773e-06,3.0466
118,2.4,5.38665e-06,5.25842e-06,2.4092
119,0.9,5.27025e-06,5.152e-06,2.2692
119,1.65,5.26524e-06,5.1734e-06,1.7596
119,2.4,5.25268e-06,5.1923e-06,1.1562
120,0.9,5.3144e-06,5.38177e-06,-1.2597
120,1.65,5.30929e-06,5.41142e-06,-1.9053
120,2.4,5.29644e-06,5.43739e-06,-2.6263
121,0.9,5.20905e-06,5.37606e-06,-3.1556
121,1.65,5.20389e-06,5.40803e-06,-3.8474
121,2.4,5.1913e-06,5.43543e-06,-4.5946
122,0.9,5.21545e-06,5.20756e-06,0.1514
122,1.65,5.21039e-06,5.23403e-06,-0.4527
122,2.4,5.19793e-06,5.25715e-06,-1.1328
123,0.9,5.17311e-06,5.06265e-06,2.1583
123,1.65,5.16829e-06,5.08513e-06,1.6221
123,2.4,5.15648e-06,5.1052e-06,0.9994
124,0.9,5.21354e-06,5.49048e-06,-5.1745
124,1.65,5.20867e-06,5.51934e-06,-5.7918
124,2.4,5.19632e-06,5.54419e-06,-6.4777
125,0.9,5.22467e-06,5.10778e-06,2.2626
125,1.65,5.21974e-06,5.13532e-06,1.6305
125,2.4,5.20762e-06,5.15949e-06,0.9285
126,0.9,5.178e-06,5.01588e-06,3.1807
126,1.65,5.17324e-06,5.03644e-06,2.6798
126,2.4,5.16146e-06,5.05487e-06,2.0867
127,0.9,5.17413e-06,5.08412e-06,1.7549
127,1.65,5.16961e-06,5.10857e-06,1.1878
127,2.4,5.15836e-06,5.13018e-06,0.5478
128,0.9,5.21158e-06,5.34136e-06,-2.4596
128,1.65,5.2065e-06,5.36649e-06,-3.0264
128,2.4,5.1941e-06,5.38846e-06,-3.6732
129,0.9,5.35478e-06,5.32294e-06,0.5964
129,1.65,5.34975e-06,5.35077e-06,-0.0191
129,2.4,5.33729e-06,5.37469e-06,-0.6983
130,0.9,5.11462e-06,5.15776e-06,-0.8399
130,1.65,5.11012e-06,5.18365e-06,-1.4286
130,2.4,5.09876e-06,5.20606e-06,-2.0825
131,0.9,5.15666e-06,5.22864e-06,-1.3862
131,1.65,5.15182e-06,5.25535e-06,-1.9896
131,2.4,5.13982e-06,5.27877e-06,-2.6673
132,0.9,5.16583e-06,5.40151e-06,-4.4605
132,1.65,5.16111e-06,5.43031e-06,-5.0834
132,2.4,5.14939e-06,5.45537e-06,-5.7706
133,0.9,5.14355e-06,5.10963e-06,0.6616
133,1.65,5.13859e-06,5.13465e-06,0.0767
133,2.4,5.12661e-06,5.1568e-06,-0.5872
134,0.9,5.26008e-06,5.08343e-06,3.4157
134,1.65,5.25509e-06,5.11282e-06,2.7444
134,2.4,5.24252e-06,5.13832e-06,2.0075
135,0.9,5.29834e-06,5.54329e-06,-4.5187
135,1.65,5.29334e-06,5.57192e-06,-5.1279
135,2.4,5.28086e-06,5.59677e-06,-5.8084
136,0.9,5.1255e-06,5.18098e-06,-1.0766
136,1.65,5.12061e-06,5.20461e-06,-1.6271
136,2.4,5.10851e-06,5.22543e-06,-2.2628
137,0.9,5.20548e-06,5.22225e-06,-0.3216
137,1.65,5.20066e-06,5.24998e-06,-0.9439
137,2.4,5.18877e-06,5.27406e-06,-1.6303
138,0.9,5.25152e-06,5.0842e-06,3.2377
138,1.65,5.24649e-06,5.10836e-06,2.6679
138,2.4,5.23399e-06,5.12942e-06,2.0181
139,0.9,5.2915e-06,5.08659e-06,3.9489
139,1.65,5.28651e-06,5.11005e-06,3.3946
139,2.4,5.27423e-06,5.13059e-06,2.7610
140,0.9,5.21861e-06,5.18355e-06,0.6741
140,1.65,5.21398e-06,5.20824e-06,0.1101
140,2.4,5.2025e-06,5.22976e-06,-0.5226
141,0.9,5.17723e-06,4.89014e-06,5.7034
141,1.65,5.17236e-06,4.90772e-06,5.2508
141,2.4,5.16019e-06,4.92376e-06,4.6892
142,0.9,5.17514e-06,5.41433e-06,-4.5175
142,1.65,5.17005e-06,5.4457e-06,-5.1932
142,2.4,5.15751e-06,5.47272e-06,-5.9304
143,0.9,5.21898e-06,5.32659e-06,-2.0409
143,1.65,5.21412e-06,5.35159e-06,-2.6022
143,2.4,5.20205e-06,5.37341e-06,-3.2407
144,0.9,5.37793e-06,5.11858e-06,4.9416
144,1.65,5.37269e-06,5.13989e-06,4.4290
144,2.4,5.35955e-06,5.15882e-06,3.8168
145,0.9,5.30381e-06,5.35693e-06,-0.9966
145,1.65,5.29874e-06,5.38355e-06,-1.5879
145,2.4,5.2862e-06,5.40705e-06,-2.2603
146,0.9,5.35668e-06,5.01085e-06,6.6714
146,1.65,5.35165e-06,5.03736e-06,6.0504
146,2.4,5.33899e-06,5.0606e-06,5.3539
147,0.9,5.23013e-06,5.18238e-06,0.9172
147,1.65,5.22515e-06,5.20709e-06,0.3462
147,2.4,5.21286e-06,5.22889e-06,-0.3070
148,0.9,5.33897e-06,5.06455e-06,5.2755
148,1.65,5.33382e-06,5.08844e-06,4.7088
148,2.4,5.32121e-06,5.10959e-06,4.0576
149,0.9,5.32227e-06,5.17202e-06,2.8635
149,1.65,5.31719e-06,5.20371e-06,2.1572
149,2.4,5.30442e-06,5.23088e-06,1.3961
150,0.9,5.2272e-06,5.29709e-06,-1.3282
150,1.65,5.22228e-06,5.32037e-06,-1.8608
150,2.4,5.21001e-06,5.34108e-06,-2.4845
151,0.9,5.32597e-06,5.23536e-06,1.7159
151,1.65,5.32091e-06,5.26187e-06,1.1158
151,2.4,5.30828e-06,5.28511e-06,0.4374
152,0.9,5.21219e-06,5.29661e-06,-1.6067
152,1.65,5.20746e-06,5.32611e-06,-2.2528
152,2.4,5.1959e-06,5.35181e-06,-2.9563
153,0.9,5.32966e-06,5.38422e-06,-1.0185
153,1.65,5.3248e-06,5.41342e-06,-1.6506
153,2.4,5.31279e-06,5.43856e-06,-2.3396
154,0.9,5.22589e-06,5.13956e-06,1.6657
154,1.65,5.22106e-06,5.16434e-06,1.0923
154,2.4,5.20893e-06,5.18614e-06,0.4385
155,0.9,5.21358e-06,5.0345e-06,3.4949
155,1.65,5.20871e-06,5.05758e-06,2.9442
155,2.4,5.1966e-06,5.07789e-06,2.3108
156,0.9,5.30091e-06,5.15451e-06,2.8005
156,1.65,5.29615e-06,5.18035e-06,2.2107
156,2.4,5.28431e-06,5.20278e-06,1.5549
157,0.9,5.27e-06,5.1955e-06,1.4237
157,1.65,5.26479e-06,5.22204e-06,0.8153
157,2.4,5.25187e-06,5.24533e-06,0.1246
158,0.9,5.26612e-06,5.02579e-06,4.6703
158,1.65,5.26094e-06,5.05127e-06,4.0664
158,2.4,5.24813e-06,5.07377e-06,3.3784
159,0.9,5.20466e-06,5.2209e-06,-0.3115
159,1.65,5.19987e-06,5.24753e-06,-0.9124
159,2.4,5.18811e-06,5.27086e-06,-1.5824
160,0.9,5.17401e-06,5.15102e-06,0.4453
160,1.65,5.16911e-06,5.17514e-06,-0.1166
160,2.4,5.1573e-06,5.19632e-06,-0.7537
161,0.9,5.31378e-06,5.15823e-06,2.9708
161,1.65,5.30904e-06,5.18288e-06,2.4049
161,2.4,5.29728e-06,5.20461e-06,1.7648
162,0.9,5.24578e-06,4.95877e-06,5.6251
162,1.65,5.24065e-06,4.98094e-06,5.0816
162,2.4,5.22798e-06,5.00061e-06,4.4458
163,0.9,5.34182e-06,5.17886e-06,3.0979
