# campaign: vco-tuning-range (supply jitter)
# record_id: 20260731-184845-0a12e6c
# generated_utc: 2026-07-31T18:48:55Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-184845-0a12e6c.spice
# corners: 7 bundles x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V at band 5, plus a band sweep and a ripple-frequency sweep at 3 bundles
# deck: tb_vco_supply_jitter.sp -- three VCO copies per run, quiet / stepped /
#   rippled supply, all other conditions identical. The quiet copy is the
#   numerical jitter floor of the transient solver at these settings, not a
#   circuit result; every supply-induced number is reported against it.
# step: 0.1 V step with a 1n edge at the window midpoint
# ripple: 0.05 V amplitude sine at f_osc/<ripple_div>, 4 whole ripple periods
#   inside the measurement window
# *_pred: quasi-static prediction from the measured transient pushing
#   coefficient -- TIE_pp = K*A/(pi*f_rip*f_osc), period_pp = 2*T0*K*A/f_osc.
#   Agreement is what licenses projecting these numbers to ripple frequencies
#   other than the ones simulated.
bundle,temp_c,vdd_v,band,vctrl_v,ripple_div,arip_v,astep_v,frip_hz,quiet_f_hz,quiet_tj_pp_s,quiet_tj_rms_s,quiet_c2c_rms_s,quiet_tie_pp_s,quiet_tie_rms_s,step_f_pre_hz,step_f_post_hz,step_df_hz,step_kvdd_hz_per_v,step_tie_per_us_s,rip_f_hz,rip_tj_pp_s,rip_tj_rms_s,rip_c2c_rms_s,rip_tie_pp_s,rip_tie_rms_s,rip_tie_pp_pred_s,rip_tj_pp_pred_s,quiet_cycles,rip_cycles
all-slow,-40,3.30,5,1.8,16,0.05,0.1,3.46032e+06,6.4621e+07,4.78183e-12,1.02387e-12,1.61484e-12,7.62632e-12,1.52953e-12,6.46208e+07,6.14981e+07,-3.12272e+06,-3.12272e+07,-4.83238e-08,6.46649e+07,9.21736e-10,3.24352e-10,1.10439e-10,3.14142e-09,9.53675e-10,2.22261e-09,7.47799e-10,75,75
all-slow,-40,3.63,5,1.8,16,0.05,0.1,3.04924e+06,5.5705e+07,6.33569e-12,1.26295e-12,1.94196e-12,7.57453e-12,1.72409e-12,5.57053e+07,5.36919e+07,-2.01337e+06,-2.01337e+07,-3.61433e-08,5.57396e+07,8.33833e-10,2.92863e-10,1.02378e-10,2.79266e-09,8.46678e-10,1.8865e-09,6.48837e-10,73,73
all-slow,27,2.97,5,1.8,16,0.05,0.1,5.16188e+06,8.5614e+07,2.76484e-12,5.54462e-13,7.72929e-13,3.80758e-12,8.11497e-13,8.56144e+07,8.05739e+07,-5.04049e+06,-5.04049e+07,-5.88743e-08,8.56967e+07,8.28371e-10,2.8966e-10,1.12179e-10,2.52715e-09,7.64946e-10,1.81527e-09,6.87676e-10,66,66
all-slow,27,3.30,0,1.8,16,0.05,0.1,377256,5.34061e+06,4.74207e-11,7.18312e-12,9.99835e-12,6.57142e-11,1.37983e-11,5.34058e+06,5.17759e+06,-162989,-1.62989e+06,-3.05191e-08,5.34428e+06,6.2729e-09,2.19929e-09,9.89899e-10,1.6192e-08,4.98515e-09,1.28752e-08,5.7145e-09,56,56
all-slow,27,3.30,1,1.8,16,0.05,0.1,622472,8.68635e+06,1.9208e-11,4.27818e-12,5.57669e-12,3.3183e-11,6.8889e-12,8.68637e+06,8.39364e+06,-292732,-2.92732e+06,-3.37002e-08,8.69067e+06,4.19144e-09,1.50194e-09,6.74264e-10,1.04789e-08,3.33035e-09,8.61654e-09,3.87967e-09,56,56
all-slow,27,3.30,2,1.8,16,0.05,0.1,1.02708e+06,1.46217e+07,1.37418e-11,2.59883e-12,3.62979e-12,1.6451e-11,3.42568e-12,1.46217e+07,1.40912e+07,-530522,-5.30522e+06,-3.62832e-08,1.46304e+07,2.76271e-09,9.73948e-10,4.31552e-10,7.10714e-09,2.20284e-09,5.62239e-09,2.48146e-09,57,57
all-slow,27,3.30,3,1.8,16,0.05,0.1,1.69468e+06,2.41587e+07,7.61866e-12,1.71399e-12,2.40383e-12,1.08881e-11,2.14754e-12,2.41586e+07,2.3185e+07,-973622,-9.73622e+06,-4.03012e-08,2.41759e+07,1.86764e-09,6.56555e-10,2.91214e-10,4.82882e-09,1.48797e-09,3.78485e-09,1.66818e-09,57,57
all-slow,27,3.30,4,1.8,16,0.05,0.1,2.79622e+06,4.17575e+07,4.1543e-12,9.14524e-13,1.41038e-12,4.81241e-12,1.08747e-12,4.17576e+07,3.99591e+07,-1.79847e+06,-1.79847e+07,-4.30694e-08,4.17859e+07,1.315e-09,4.63891e-10,1.97871e-10,3.62695e-09,1.09494e-09,2.45142e-09,1.03142e-09,60,60
all-slow,27,3.30,5,1.8,4,0.05,0.1,1.8455e+07,7.08521e+07,1.69452e-12,4.29633e-13,7.37054e-13,2.23183e-12,5.04606e-13,7.08522e+07,6.749e+07,-3.36223e+06,-3.36223e+07,-4.74541e-08,7.08482e+07,1.29325e-09,4.5663e-10,6.71949e-10,9.19165e-10,3.12078e-10,4.09242e-10,6.69765e-10,62,62
all-slow,27,3.30,5,1.8,16,0.05,0.1,4.61376e+06,7.08507e+07,2.32128e-12,5.29956e-13,8.18071e-13,3.34335e-12,8.30523e-13,7.08511e+07,6.74895e+07,-3.36158e+06,-3.36158e+07,-4.74457e-08,7.08885e+07,8.49958e-10,2.99739e-10,1.23695e-10,2.37968e-09,7.23638e-10,1.63668e-09,6.69661e-10,62,62
all-slow,27,3.30,5,1.8,32,0.05,0.1,2.30688e+06,7.08508e+07,3.89408e-12,6.1208e-13,9.20764e-13,7.96652e-12,1.68185e-12,7.0851e+07,6.7469e+07,-3.38207e+06,-3.38207e+07,-4.7735e-08,7.08868e+07,7.56918e-10,2.67787e-10,5.45121e-11,4.05096e-09,1.30096e-09,3.29331e-09,6.73742e-10,123,123
all-slow,27,3.30,6,1.8,16,0.05,0.1,7.61269e+06,1.26046e+08,1.62321e-12,3.67252e-13,5.7432e-13,1.76792e-12,3.62931e-13,1.26046e+08,1.19957e+08,-6.08891e+06,-6.08891e+07,-4.83071e-08,1.26142e+08,5.57349e-10,1.95257e-10,7.51578e-11,1.68348e-09,5.13501e-10,1.00994e-09,3.83251e-10,66,66
all-slow,27,3.30,7,1.8,16,0.05,0.1,1.2561e+07,2.17067e+08,1.05092e-12,2.51324e-13,4.26691e-13,1.72943e-12,3.63522e-13,2.17069e+08,2.0779e+08,-9.27849e+06,-9.27849e+07,-4.27445e-08,2.17107e+08,3.04288e-10,1.07412e-10,3.88691e-11,9.24218e-10,2.93964e-10,5.416e-10,1.96919e-10,69,69
all-slow,27,3.63,5,1.8,16,0.05,0.1,4.06565e+06,6.11068e+07,2.65038e-12,6.4647e-13,9.51014e-13,3.5186e-12,6.33224e-13,6.11069e+07,5.88801e+07,-2.22678e+06,-2.22678e+07,-3.64407e-08,6.11506e+07,7.91995e-10,2.80001e-10,1.19073e-10,2.20691e-09,6.69112e-10,1.42652e-09,5.96345e-10,60,60
all-slow,125,2.97,5,1.8,16,0.05,0.1,6.96856e+06,9.47496e+07,2.56491e-12,5.00953e-13,6.4838e-13,6.93143e-12,1.91392e-12,9.47519e+07,8.95552e+07,-5.19664e+06,-5.19664e+07,-5.48448e-08,9.48413e+07,7.00942e-10,2.44381e-10,1.15424e-10,1.76021e-09,5.32178e-10,1.25263e-09,5.78853e-10,54,54
all-slow,125,3.30,5,1.8,16,0.05,0.1,6.22858e+06,7.92146e+07,1.96689e-12,5.31126e-13,6.43976e-13,7.93286e-12,2.35386e-12,7.92166e+07,7.55745e+07,-3.64203e+06,-3.64203e+07,-4.59757e-08,7.92691e+07,7.46776e-10,2.62242e-10,1.30656e-10,1.7281e-09,5.30483e-10,1.17482e-09,5.80407e-10,51,51
all-slow,125,3.63,5,1.8,16,0.05,0.1,5.48862e+06,6.8516e+07,2.15742e-12,4.75291e-13,6.91923e-13,5.92055e-12,1.58773e-12,6.8517e+07,6.60422e+07,-2.47488e+06,-2.47488e+07,-3.61207e-08,6.85602e+07,7.2789e-10,2.56148e-10,1.3021e-10,1.65489e-09,5.0924e-10,1.04742e-09,5.27194e-10,50,50
ff,-40,2.97,5,1.8,16,0.05,0.1,4.83926e+06,8.37438e+07,2.23881e-12,4.7062e-13,7.85783e-13,2.7991e-12,5.94702e-13,8.37437e+07,7.99341e+07,-3.8096e+06,-3.8096e+07,-4.54912e-08,8.38156e+07,6.68584e-10,2.3476e-10,8.69253e-11,2.12603e-09,6.4505e-10,1.49613e-09,5.43218e-10,69,69
ff,-40,3.30,5,1.8,16,0.05,0.1,4.32541e+06,7.27663e+07,3.85227e-12,7.54292e-13,1.16988e-12,3.68645e-12,7.2041e-13,7.2766e+07,7.02457e+07,-2.52028e+06,-2.52028e+07,-3.46354e-08,7.28162e+07,6.15672e-10,2.1645e-10,8.25248e-11,1.91973e-09,5.78894e-10,1.27442e-09,4.7598e-10,67,67
ff,-40,3.63,5,1.8,16,0.05,0.1,3.81154e+06,6.54132e+07,4.85108e-12,9.02643e-13,1.29075e-12,4.7585e-12,1.04066e-12,6.54134e+07,6.37316e+07,-1.68176e+06,-1.68176e+07,-2.57098e-08,6.5437e+07,5.40027e-10,1.90998e-10,7.07393e-11,1.69462e-09,5.15923e-10,1.07354e-09,3.93037e-10,69,69
ff,27,2.97,5,1.8,16,0.05,0.1,6.45238e+06,9.20177e+07,1.64663e-12,3.29639e-13,4.90115e-13,2.37201e-12,6.15465e-13,9.20174e+07,8.7879e+07,-4.13849e+06,-4.13849e+07,-4.4975e-08,9.20945e+07,6.22393e-10,2.17994e-10,9.78499e-11,1.63496e-09,4.94464e-10,1.10936e-09,4.88764e-10,57,57
ff,27,3.30,5,1.8,16,0.05,0.1,5.76721e+06,7.98169e+07,1.91434e-12,3.62705e-13,5.3823e-13,1.6575e-12,3.43503e-13,7.98168e+07,7.6997e+07,-2.81976e+06,-2.81976e+07,-3.5328e-08,7.9882e+07,5.93057e-10,2.07431e-10,9.63531e-11,1.50636e-09,4.59551e-10,9.74928e-10,4.42612e-10,55,55
ff,27,3.63,5,1.8,16,0.05,0.1,5.08206e+06,7.15141e+07,2.26381e-12,4.59064e-13,6.58528e-13,2.33591e-12,5.35658e-13,7.15142e+07,6.95996e+07,-1.91464e+06,-1.91464e+07,-2.67728e-08,7.15594e+07,5.3424e-10,1.8783e-10,8.56027e-11,1.38281e-09,4.2219e-10,8.38447e-10,3.74372e-10,56,56
ff,125,2.97,5,1.8,16,0.05,0.1,8.71069e+06,1.03581e+08,1.62039e-12,3.75892e-13,5.23674e-13,4.73218e-12,1.35636e-12,1.03583e+08,9.89473e+07,-4.63565e+06,-4.63565e+07,-4.4753e-08,1.0369e+08,5.40494e-10,1.89972e-10,1.01586e-10,1.17951e-09,3.63289e-10,8.17708e-10,4.32067e-10,47,47
ff,125,3.30,5,1.8,16,0.05,0.1,7.78575e+06,8.98908e+07,1.4856e-12,3.88406e-13,5.64472e-13,4.08162e-12,1.09569e-12,8.98922e+07,8.66849e+07,-3.20727e+06,-3.20727e+07,-3.56791e-08,8.99608e+07,5.36923e-10,1.87863e-10,1.03869e-10,1.11905e-09,3.47853e-10,7.29357e-10,3.96922e-10,46,46
ff,125,3.63,5,1.8,16,0.05,0.1,6.86081e+06,8.04288e+07,1.50877e-12,3.42922e-13,4.37002e-13,2.79224e-12,6.42799e-13,8.04293e+07,7.82697e+07,-2.15959e+06,-2.15959e+07,-2.68509e-08,8.04738e+07,5.00493e-10,1.75482e-10,9.52253e-11,1.07991e-09,3.28068e-10,6.22881e-10,3.33848e-10,47,47
fs,-40,2.97,5,1.8,16,0.05,0.1,4.83926e+06,9.27791e+07,2.66992e-12,6.09547e-13,9.07726e-13,5.2042e-12,1.15617e-12,9.27784e+07,8.77543e+07,-5.02405e+06,-5.02405e+07,-5.41511e-08,9.288e+07,7.02863e-10,2.45546e-10,8.24446e-11,2.46819e-09,7.50847e-10,1.78092e-09,5.83651e-10,76,76
fs,-40,3.30,5,1.8,16,0.05,0.1,4.32541e+06,7.81925e+07,3.14331e-12,6.6959e-13,1.07153e-12,3.64738e-12,7.65833e-13,7.81921e+07,7.48812e+07,-3.31088e+06,-3.31088e+07,-4.23429e-08,7.82244e+07,6.77228e-10,2.4056e-10,8.41767e-11,2.23996e-09,6.81253e-10,1.55801e-09,5.41519e-10,73,73
fs,-40,3.63,5,1.8,16,0.05,0.1,3.81154e+06,6.85119e+07,4.90069e-12,9.2715e-13,1.42235e-12,3.52286e-12,8.4044e-13,6.85118e+07,6.6279e+07,-2.23284e+06,-2.23284e+07,-3.25905e-08,6.85469e+07,6.20019e-10,2.18293e-10,7.74115e-11,2.04893e-09,6.19422e-10,1.36085e-09,4.75691e-10,72,72
fs,27,2.97,5,1.8,16,0.05,0.1,6.45238e+06,1.02101e+08,1.23144e-12,2.98168e-13,4.60556e-13,1.28187e-12,2.93948e-13,1.02101e+08,9.67032e+07,-5.39784e+06,-5.39784e+07,-5.28676e-08,1.02142e+08,6.31177e-10,2.23212e-10,8.91648e-11,1.82549e-09,5.54141e-10,1.30403e-09,5.17795e-10,64,64
fs,27,3.30,5,1.8,16,0.05,0.1,5.76721e+06,8.6182e+07,1.78396e-12,3.68426e-13,6.17111e-13,1.89701e-12,4.12877e-13,8.61818e+07,8.25019e+07,-3.67983e+06,-3.67983e+07,-4.26985e-08,8.62347e+07,6.3192e-10,2.2289e-10,9.49914e-11,1.72905e-09,5.26687e-10,1.17833e-09,4.95444e-10,60,60
fs,27,3.63,5,1.8,16,0.05,0.1,5.08206e+06,7.53757e+07,2.07227e-12,4.79808e-13,7.20253e-13,2.34794e-12,4.87909e-13,7.53755e+07,7.285e+07,-2.5255e+06,-2.5255e+07,-3.35056e-08,7.54298e+07,5.97086e-10,2.09237e-10,9.02949e-11,1.63358e-09,4.95036e-10,1.04929e-09,4.44514e-10,59,59
fs,125,2.97,5,1.8,16,0.05,0.1,8.71069e+06,1.15006e+08,1.84293e-12,4.16358e-13,4.78308e-13,5.42135e-12,1.48148e-12,1.15009e+08,1.0919e+08,-5.81873e+06,-5.81873e+07,-5.05939e-08,1.15069e+08,5.28343e-10,1.85873e-10,8.87286e-11,1.24081e-09,3.89732e-10,9.2443e-10,4.39931e-10,53,53
fs,125,3.30,5,1.8,16,0.05,0.1,7.78575e+06,9.75202e+07,1.15232e-12,2.63895e-13,4.05422e-13,2.68241e-12,7.21206e-13,9.75211e+07,9.3462e+07,-4.0591e+06,-4.0591e+07,-4.16228e-08,9.75905e+07,5.53883e-10,1.94597e-10,9.83992e-11,1.26544e-09,3.88963e-10,8.50853e-10,4.26815e-10,50,50
fs,125,3.63,5,1.8,16,0.05,0.1,6.86081e+06,8.53067e+07,1.32293e-12,2.57771e-13,4.08905e-13,7.963e-13,2.15566e-13,8.53069e+07,8.24519e+07,-2.85494e+06,-2.85494e+07,-3.34667e-08,8.535e+07,5.4126e-10,1.90234e-10,9.69208e-11,1.21862e-09,3.75644e-10,7.76351e-10,3.92311e-10,50,50
sf,-40,2.97,5,1.8,16,0.05,0.1,4.83926e+06,8.85906e+07,3.17721e-12,7.35037e-13,1.09313e-12,4.59138e-12,9.56393e-13,8.85902e+07,8.38209e+07,-4.76922e+06,-4.76922e+07,-5.38346e-08,8.86846e+07,7.3293e-10,2.56628e-10,8.9754e-11,2.46337e-09,7.4531e-10,1.77052e-09,6.07675e-10,74,73
sf,-40,3.30,5,1.8,16,0.05,0.1,4.32541e+06,7.50367e+07,3.83742e-12,7.2015e-13,1.0124e-12,4.93551e-12,9.6976e-13,7.50367e+07,7.20001e+07,-3.03658e+06,-3.03658e+07,-4.0468e-08,7.51004e+07,6.74681e-10,2.36274e-10,8.7428e-11,2.15203e-09,6.52383e-10,1.48903e-09,5.39308e-10,69,69
sf,-40,3.63,5,1.8,16,0.05,0.1,3.81154e+06,6.62959e+07,3.68358e-12,7.55356e-13,1.07682e-12,4.08615e-12,8.61306e-13,6.62964e+07,6.42935e+07,-2.00293e+06,-2.00293e+07,-3.02118e-08,6.63219e+07,5.98392e-10,2.11302e-10,7.71212e-11,1.90851e-09,5.78027e-10,1.26153e-09,4.55714e-10,70,70
sf,27,2.97,5,1.8,16,0.05,0.1,6.45238e+06,9.79974e+07,1.69536e-12,4.29533e-13,5.81014e-13,6.41626e-12,1.70242e-12,9.79992e+07,9.28017e+07,-5.1975e+06,-5.1975e+07,-5.30361e-08,9.80725e+07,6.56789e-10,2.3063e-10,9.6718e-11,1.82995e-09,5.5371e-10,1.30822e-09,5.41209e-10,61,61
sf,27,3.30,5,1.8,16,0.05,0.1,5.76721e+06,8.30599e+07,1.52925e-12,3.67194e-13,5.6988e-13,1.81394e-12,4.53754e-13,8.30599e+07,7.96574e+07,-3.40251e+06,-3.40251e+07,-4.09645e-08,8.3145e+07,6.31556e-10,2.20543e-10,9.84979e-11,1.65564e-09,5.09675e-10,1.13048e-09,4.93193e-10,57,57
sf,27,3.63,5,1.8,16,0.05,0.1,5.08206e+06,7.31848e+07,2.41525e-12,5.24351e-13,8.50576e-13,1.95006e-12,3.69115e-13,7.31848e+07,7.09037e+07,-2.28113e+06,-2.28113e+07,-3.11694e-08,7.32442e+07,5.78267e-10,2.02417e-10,9.03107e-11,1.51351e-09,4.67372e-10,9.76133e-10,4.25901e-10,57,57
sf,125,2.97,5,1.8,16,0.05,0.1,8.71069e+06,1.11408e+08,2.05365e-12,4.1566e-13,4.74722e-13,7.37244e-12,2.01527e-12,1.11411e+08,1.05811e+08,-5.60067e+06,-5.60067e+07,-5.02702e-08,1.11502e+08,5.45705e-10,1.91434e-10,9.48325e-11,1.27521e-09,3.90709e-10,9.18524e-10,4.51239e-10,51,51
sf,125,3.30,5,1.8,16,0.05,0.1,7.78575e+06,9.48224e+07,2.27222e-12,6.13876e-13,7.5471e-13,9.62767e-12,2.8091e-12,9.48258e+07,9.1026e+07,-3.79989e+06,-3.79989e+07,-4.00723e-08,9.48758e+07,5.54554e-10,1.94413e-10,1.0136e-10,1.23179e-09,3.75882e-10,8.1918e-10,4.22619e-10,49,49
