# per-cycle period and TIE sequences, one row per measured cycle
# vsup=3.3 tsettle=9.94021e-07 tstepon=6.29547e-06 astep=0.1 arip=0.05 frip=377256
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
11,3.184004468e-06,1.87249e-07,-5.75003e-12,3.184004469e-06,1.87249e-07,7.64728e-09,3.185980627e-06,1.90098e-07,-4.96598e-09
12,3.371253343e-06,1.87245e-07,-2.2992e-12,3.371253344e-06,1.87245e-07,4.8336e-09,3.376078475e-06,1.9036e-07,-2.01213e-09
13,3.558498317e-06,1.87257e-07,-2.74917e-12,3.558498318e-06,1.87257e-07,2.01602e-09,3.56643841e-06,1.89978e-07,1.20379e-09
14,3.745755488e-06,1.87247e-07,8.99781e-12,3.745755489e-06,1.87247e-07,-7.89364e-10,3.756416764e-06,1.89034e-07,4.03814e-09
15,3.933002097e-06,1.8724e-07,1.01832e-11,3.933002098e-06,1.8724e-07,-3.60531e-09,3.94545067e-06,1.87744e-07,5.92804e-09
16,4.120241784e-06,1.87243e-07,4.44619e-12,4.120241785e-06,1.87243e-07,-6.42818e-09,4.133194283e-06,1.86356e-07,6.52764e-09
17,4.307485174e-06,1.87242e-07,2.41254e-12,4.307485175e-06,1.87242e-07,-9.24735e-09,4.319550449e-06,1.85135e-07,5.7398e-09
18,4.494727452e-06,1.87249e-07,-7.33147e-13,4.494727453e-06,1.87249e-07,-1.20676e-08,4.504685468e-06,1.84321e-07,3.73082e-09
19,4.681976757e-06,1.8725e-07,3.14802e-12,4.681976758e-06,1.8725e-07,-1.48809e-08,4.689006182e-06,1.84087e-07,9.07523e-10
20,4.86922723e-06,1.87246e-07,8.19703e-12,4.869227231e-06,1.87246e-07,-1.7693e-08,4.873093216e-06,1.84405e-07,-2.14945e-09
21,5.056473057e-06,1.87247e-07,8.59994e-12,5.056473058e-06,1.87247e-07,-2.05097e-08,5.057498173e-06,1.85291e-07,-4.8885e-09
22,5.243719773e-06,1.87243e-07,9.8924e-12,5.243719774e-06,1.87243e-07,-2.33255e-08,5.242788764e-06,1.86532e-07,-6.74192e-09
23,5.430962337e-06,1.87242e-07,7.0328e-12,5.430962339e-06,1.87242e-07,-2.61455e-08,5.429320486e-06,1.87903e-07,-7.3542e-09
24,5.618204293e-06,1.87244e-07,3.56448e-12,5.618204294e-06,1.87244e-07,-2.89661e-08,5.617223538e-06,1.89149e-07,-6.59516e-09
25,5.805448591e-06,1.87249e-07,2.43871e-12,5.805448592e-06,1.87249e-07,-3.17844e-08,5.806372598e-06,1.90011e-07,-4.5901e-09
26,5.992697154e-06,1.87246e-07,5.5778e-12,5.992697155e-06,1.87246e-07,-3.45984e-08,5.996383226e-06,1.90354e-07,-1.72348e-09
27,6.179943635e-06,1.87253e-07,6.63534e-12,6.179943637e-06,1.85321e-07,-3.74144e-08,6.186737572e-06,1.90072e-07,1.48686e-09
28,6.367196561e-06,1.87254e-07,1.41368e-11,6.365264141e-06,1.93131e-07,-4.21565e-08,6.376809212e-06,1.89218e-07,4.41449e-09
29,6.554450342e-06,1.87236e-07,2.24947e-11,6.55839559e-06,1.93156e-07,-3.90876e-08,6.566027443e-06,1.87988e-07,6.48871e-09
30,6.741686811e-06,1.87249e-07,1.35398e-11,6.751551928e-06,1.93145e-07,-3.59938e-08,6.754015169e-06,1.86573e-07,7.33243e-09
31,6.928936094e-06,1.87239e-07,1.73984e-11,6.944696766e-06,1.93139e-07,-3.29115e-08,6.940587969e-06,1.8531e-07,6.76123e-09
32,7.116175279e-06,1.87256e-07,1.11601e-11,7.137835405e-06,1.93128e-07,-2.98355e-08,7.125898183e-06,1.84399e-07,4.92743e-09
33,7.303431181e-06,1.87242e-07,2.16381e-11,7.330963235e-06,1.93132e-07,-2.67702e-08,7.310297463e-06,1.84093e-07,2.18271e-09
34,7.49067296e-06,1.8724e-07,1.79932e-11,7.524094802e-06,1.93141e-07,-2.37012e-08,7.494390305e-06,1.84321e-07,-8.6846e-10
35,7.677912915e-06,1.87248e-07,1.25242e-11,7.717236101e-06,1.93152e-07,-2.06224e-08,7.678711783e-06,1.85119e-07,-3.69099e-09
36,7.86516131e-06,1.87247e-07,1.54959e-11,7.91038815e-06,1.93138e-07,-1.75329e-08,7.863831095e-06,1.86305e-07,-5.71568e-09
37,8.052408668e-06,1.8723e-07,1.74296e-11,8.103525897e-06,1.93146e-07,-1.44577e-08,8.050136264e-06,1.87693e-07,-6.55452e-09
38,8.2396383e-06,1.87242e-07,1.63768e-12,8.296672032e-06,1.93132e-07,-1.13742e-08,8.237829217e-06,1.8897e-07,-6.00558e-09
39,8.426880309e-06,1.87237e-07,-1.77645e-12,8.489804032e-06,1.93145e-07,-8.30472e-09,8.426799518e-06,1.89903e-07,-4.17928e-09
40,8.614116853e-06,1.87245e-07,-1.06563e-11,8.682949445e-06,1.93154e-07,-5.22186e-09,8.616702207e-06,1.90336e-07,-1.4206e-09
41,8.801362064e-06,1.87246e-07,-1.08699e-11,8.876103357e-06,1.93132e-07,-2.1305e-09,8.807038505e-06,1.90181e-07,1.77169e-09
42,8.988607708e-06,1.87276e-07,-1.06493e-11,9.069235775e-06,1.93134e-07,9.39358e-10,8.997219032e-06,1.89381e-07,4.80821e-09
43,9.175883682e-06,1.87238e-07,1.99005e-11,9.26236943e-06,1.93139e-07,4.01046e-09,9.186600143e-06,1.88184e-07,7.04531e-09
44,9.363121497e-06,1.87239e-07,1.22918e-11,9.455508729e-06,1.93129e-07,7.0872e-09,9.374783723e-06,1.86812e-07,8.08489e-09
45,9.550360742e-06,1.8724e-07,6.11346e-12,9.648637495e-06,1.93142e-07,1.01534e-08,9.561596035e-06,1.85494e-07,7.75319e-09
46,9.737600319e-06,1.87252e-07,2.66505e-13,9.841779026e-06,1.9316e-07,1.32324e-08,9.747089696e-06,1.84531e-07,6.10285e-09
47,9.924851976e-06,1.87248e-07,6.49972e-12,1.003493878e-05,1.93134e-07,1.63296e-08,9.931620728e-06,1.84104e-07,3.48987e-09
48,1.011210016e-05,1.87238e-07,9.26412e-12,1.022807276e-05,1.93142e-07,1.9401e-08,1.011572475e-05,1.84244e-07,4.49883e-10
49,1.029933839e-05,1.8724e-07,2.06984e-12,1.042121434e-05,1.93126e-07,2.248e-08,1.029996854e-05,1.8495e-07,-2.45033e-09
50,1.04865784e-05,1.87238e-07,-3.34357e-12,1.061434048e-05,1.93139e-07,2.55436e-08,1.048491845e-05,1.86102e-07,-4.64443e-09
51,1.067381595e-05,1.87242e-07,-1.12244e-11,1.080747953e-05,1.93142e-07,2.86201e-08,1.067102075e-05,1.87463e-07,-5.68614e-09
52,1.086105752e-05,1.87229e-07,-1.50804e-11,1.100062187e-05,1.93143e-07,3.16999e-08,1.085848358e-05,1.8878e-07,-5.36732e-09
53,1.104828607e-05,1.87242e-07,-3.19514e-11,1.119376442e-05,1.93137e-07,3.47799e-08,1.10472639e-05,1.89795e-07,-3.731e-09
54,1.123552779e-05,1.87238e-07,-3.56573e-11,1.138690098e-05,1.9314e-07,3.78539e-08,1.123705854e-05,1.90306e-07,-1.08037e-09
