# campaign: devchar-passives (resistors)
# record_id: 20260731-041346-833292f
# generated_utc: 2026-07-31T04:13:47Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-passives/testbench/tb_res.sp
# corners: res_{typical,ff,ss} x temp{-40,27,125}C; V across device swept 0..1.0V
# geometry: two drawn lengths per device, 10 um and 50 um, at W = 1 um
#   (ppolyf_u additionally at W = 2 um)
# rsh_eff_ohm_sq = (R_50um - R_10um) / squares between the two lengths, which
#   cancels the contact head resistance; r_head_ohm is the remaining intercept
#   (both terminals). rsh_eff differs from the model rsh parameter by the
#   effective-width narrowing, which is why it is measured rather than quoted.
# r_vcoef_pct_per_v: change in R between 0.1 V and 1.0 V across the device
device,width_um,corner_section,temp_c,r_10um_ohm,r_50um_ohm,rsh_eff_ohm_sq,r_head_ohm,r_vcoef_pct_per_v
ppolyf_u,2,res_typical,125,1845.22,9014.02,358.44,53.0169,0
ppolyf_u_1k,1,res_ff,-40,9132.95,44471.4,883.462,298.331,0
ppolyf_u_1k,1,res_ff,27,8401.91,41316.4,822.862,173.29,0
ppolyf_u_1k,1,res_ff,125,7788.25,38495.6,767.683,111.42,0
ppolyf_u_1k,1,res_ss,-40,13550.2,66558,1325.19,298.297,0
ppolyf_u_1k,1,res_ss,27,12516.2,61887.9,1234.29,173.258,1.306e-14
ppolyf_u_1k,1,res_ss,125,11626.6,57687.6,1151.53,111.391,1.401e-14
ppolyf_u_1k,1,res_typical,-40,11341.6,55514.7,1104.33,298.314,0
ppolyf_u_1k,1,res_typical,27,10459.1,51602.2,1028.58,173.274,0
ppolyf_u_1k,1,res_typical,125,9707.45,48091.6,959.604,111.406,0
ppolyf_u_2k,1,res_ff,-40,19280.2,94639,1883.97,440.495,-1.708e-14
ppolyf_u_2k,1,res_ff,27,17080.6,83881.8,1670.03,380.228,0
ppolyf_u_2k,1,res_ff,125,14907.3,73248.5,1458.53,322.001,0
ppolyf_u_2k,1,res_ss,-40,28875.6,141914,2825.96,616.081,0
ppolyf_u_2k,1,res_ss,27,25586.4,125788,2505.05,535.875,-1.285e-14
ppolyf_u_2k,1,res_ss,125,22335.9,109848,2187.79,457.936,0
ppolyf_u_2k,1,res_typical,-40,24077.9,118276,2354.96,528.288,-1.367e-14
ppolyf_u_2k,1,res_typical,27,21333.5,104835,2087.54,458.051,-1.542e-14
ppolyf_u_2k,1,res_typical,125,18621.6,91548.1,1823.16,389.968,-1.766e-14
ppolyf_u_3k,1,res_ff,-40,27076.5,133050,2649.33,583.158,0
ppolyf_u_3k,1,res_ff,27,23991.5,117931,2348.48,506.691,0
ppolyf_u_3k,1,res_ff,125,20943,102985,2051.06,432.448,0
ppolyf_u_3k,1,res_ss,-40,45067.9,221690,4415.56,912.382,-1.459e-14
ppolyf_u_3k,1,res_ss,27,39939.9,196505,3914.14,798.529,0
ppolyf_u_3k,1,res_ss,125,34871.6,171609,3418.43,687.326,-1.884e-14
ppolyf_u_3k,1,res_typical,-40,36072.2,177370,3532.45,747.77,0
ppolyf_u_3k,1,res_typical,27,31965.7,157218,3131.31,652.61,-2.057e-14
ppolyf_u_3k,1,res_typical,125,27907.3,137297,2734.74,559.887,0
