# campaign: devchar-passives (capacitors)
# record_id: 20260731-041345-833292f
# generated_utc: 2026-07-31T04:13:47Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-passives/testbench/tb_cap_cv.sp
# corners: mimcap_{typical,ff,ss} + moscap_{typical,ff,ss} (swept together) x temp{-40,27,125}C; C-V sweep 0..3.63V covers the control range at every supply corner
# geometry: every device drawn 30 um x 30 um = 900 um^2
# method: linear 0 -> 3.63 V ramp in 1 us; C(V) = i / (dv/dt) with both taken
#   from the simulated waveform, then a 1 us hold at 3.63 V whose residual
#   branch current is the leakage column
# dens_min/max and cv_ratio are taken over a 0.30 .. 3.30 V control window
# family mim_legacy = the cap_mim_*fF names in the .LIB cap_mim section of
#   sm141064.ngspice, which NO corner section includes; this deck pulls that
#   section in explicitly so the two naming families can be compared
device,family,corner_section,temp_c,area_um2,c_0v30_f,c_1v65_f,c_3v30_f,dens_3v30_ff_um2,dens_min_ff_um2,dens_max_ff_um2,cv_ratio,leak_3v63_a
cap_mim_1f5_m2m3_noshield,mim,ss,125,900,1.58592e-12,1.58592e-12,1.58592e-12,1.7621,1.7621,1.7621,1.0000,2.36875e-17
cap_mim_1f5_m2m3_noshield,mim,typical,-40,900,1.36447e-12,1.36447e-12,1.36447e-12,1.5161,1.5161,1.5161,1.0000,9.74484e-18
cap_mim_1f5_m2m3_noshield,mim,typical,27,900,1.36859e-12,1.36859e-12,1.36859e-12,1.5207,1.5207,1.5207,1.0000,7.70785e-18
cap_mim_1f5_m2m3_noshield,mim,typical,125,900,1.37309e-12,1.37309e-12,1.37309e-12,1.5257,1.5257,1.5257,1.0000,3.41591e-18
cap_mim_1f5fF,mim_legacy,ff,-40,900,1.15298e-12,1.15298e-12,1.15298e-12,1.2811,1.2811,1.2811,1.0000,1.03464e-17
cap_mim_1f5fF,mim_legacy,ff,27,900,1.15646e-12,1.15646e-12,1.15646e-12,1.2850,1.2850,1.2850,1.0000,2.39262e-17
cap_mim_1f5fF,mim_legacy,ff,125,900,1.16026e-12,1.16026e-12,1.16026e-12,1.2892,1.2892,1.2892,1.0000,2.24304e-19
cap_mim_1f5fF,mim_legacy,ss,-40,900,1.57596e-12,1.57596e-12,1.57596e-12,1.7511,1.7511,1.7511,1.0000,2.41008e-17
cap_mim_1f5fF,mim_legacy,ss,27,900,1.58072e-12,1.58072e-12,1.58072e-12,1.7564,1.7564,1.7564,1.0000,1.97051e-18
cap_mim_1f5fF,mim_legacy,ss,125,900,1.58592e-12,1.58592e-12,1.58592e-12,1.7621,1.7621,1.7621,1.0000,2.36875e-17
cap_mim_1f5fF,mim_legacy,typical,-40,900,1.36447e-12,1.36447e-12,1.36447e-12,1.5161,1.5161,1.5161,1.0000,9.74484e-18
cap_mim_1f5fF,mim_legacy,typical,27,900,1.36859e-12,1.36859e-12,1.36859e-12,1.5207,1.5207,1.5207,1.0000,7.70785e-18
cap_mim_1f5fF,mim_legacy,typical,125,900,1.37309e-12,1.37309e-12,1.37309e-12,1.5257,1.5257,1.5257,1.0000,3.41591e-18
cap_mim_2f0_m2m3_noshield,mim,ff,-40,900,1.6357e-12,1.6357e-12,1.6357e-12,1.8174,1.8174,1.8174,1.0000,6.21404e-15
cap_mim_2f0_m2m3_noshield,mim,ff,27,900,1.63768e-12,1.63768e-12,1.63768e-12,1.8196,1.8196,1.8196,1.0000,6.22758e-15
cap_mim_2f0_m2m3_noshield,mim,ff,125,900,1.63912e-12,1.63912e-12,1.63912e-12,1.8212,1.8212,1.8212,1.0000,6.22275e-15
cap_mim_2f0_m2m3_noshield,mim,ss,-40,900,1.99919e-12,1.99919e-12,1.99919e-12,2.2213,2.2213,2.2213,1.0000,6.24504e-15
cap_mim_2f0_m2m3_noshield,mim,ss,27,900,2.00161e-12,2.00161e-12,2.00161e-12,2.2240,2.2240,2.2240,1.0000,6.25928e-15
cap_mim_2f0_m2m3_noshield,mim,ss,125,900,2.00337e-12,2.00337e-12,2.00337e-12,2.2260,2.2260,2.2260,1.0000,6.2341e-15
cap_mim_2f0_m2m3_noshield,mim,typical,-40,900,1.81744e-12,1.81744e-12,1.81744e-12,2.0194,2.0194,2.0194,1.0000,6.21913e-15
cap_mim_2f0_m2m3_noshield,mim,typical,27,900,1.81965e-12,1.81965e-12,1.81965e-12,2.0218,2.0218,2.0218,1.0000,6.19328e-15
cap_mim_2f0_m2m3_noshield,mim,typical,125,900,1.82124e-12,1.82124e-12,1.82124e-12,2.0236,2.0236,2.0236,1.0000,6.23379e-15
cap_mim_2f0fF,mim_legacy,ff,-40,900,1.6357e-12,1.6357e-12,1.6357e-12,1.8174,1.8174,1.8174,1.0000,6.21404e-15
cap_mim_2f0fF,mim_legacy,ff,27,900,1.63768e-12,1.63768e-12,1.63768e-12,1.8196,1.8196,1.8196,1.0000,6.22758e-15
cap_mim_2f0fF,mim_legacy,ff,125,900,1.63912e-12,1.63912e-12,1.63912e-12,1.8212,1.8212,1.8212,1.0000,6.22275e-15
cap_mim_2f0fF,mim_legacy,ss,-40,900,1.99919e-12,1.99919e-12,1.99919e-12,2.2213,2.2213,2.2213,1.0000,6.24504e-15
cap_mim_2f0fF,mim_legacy,ss,27,900,2.00161e-12,2.00161e-12,2.00161e-12,2.2240,2.2240,2.2240,1.0000,6.25928e-15
cap_mim_2f0fF,mim_legacy,ss,125,900,2.00337e-12,2.00337e-12,2.00337e-12,2.2260,2.2260,2.2260,1.0000,6.2341e-15
cap_mim_2f0fF,mim_legacy,typical,-40,900,1.81744e-12,1.81744e-12,1.81744e-12,2.0194,2.0194,2.0194,1.0000,6.21913e-15
cap_mim_2f0fF,mim_legacy,typical,27,900,1.81965e-12,1.81965e-12,1.81965e-12,2.0218,2.0218,2.0218,1.0000,6.19328e-15
cap_mim_2f0fF,mim_legacy,typical,125,900,1.82124e-12,1.82124e-12,1.82124e-12,2.0236,2.0236,2.0236,1.0000,6.23379e-15
cap_nmos_03v3,moscap,ff,-40,900,6.8788e-14,3.22622e-12,3.22623e-12,3.5847,0.0790,3.5847,45.3898,3.27674e-17
cap_nmos_03v3,moscap,ff,27,900,6.8788e-14,3.22622e-12,3.22623e-12,3.5847,0.0790,3.5847,45.3898,2.26145e-17
cap_nmos_03v3,moscap,ff,125,900,6.8788e-14,3.22622e-12,3.22623e-12,3.5847,0.0790,3.5847,45.3898,2.04603e-17
cap_nmos_03v3,moscap,ss,-40,900,8.40742e-14,3.94316e-12,3.94317e-12,4.3813,0.0965,4.3813,45.3898,2.5007e-17
cap_nmos_03v3,moscap,ss,27,900,8.40742e-14,3.94316e-12,3.94317e-12,4.3813,0.0965,4.3813,45.3898,1.7486e-17
cap_nmos_03v3,moscap,ss,125,900,8.40742e-14,3.94316e-12,3.94317e-12,4.3813,0.0965,4.3813,45.3898,2.5007e-17
cap_nmos_03v3,moscap,typical,-40,900,7.64311e-14,3.58469e-12,3.5847e-12,3.9830,0.0878,3.9830,45.3898,1.829e-17
cap_nmos_03v3,moscap,typical,27,900,7.64311e-14,3.58469e-12,3.5847e-12,3.9830,0.0878,3.9830,45.3898,5.00827e-17
cap_nmos_03v3,moscap,typical,125,900,7.64311e-14,3.58469e-12,3.5847e-12,3.9830,0.0878,3.9830,45.3898,9.0591e-18
cap_nmos_03v3_b,moscap,ff,-40,900,2.94341e-12,3.22725e-12,3.23267e-12,3.5919,3.2736,3.5919,1.0972,3.2833e-17
cap_nmos_03v3_b,moscap,ff,27,900,2.94341e-12,3.22725e-12,3.23267e-12,3.5919,3.2736,3.5919,1.0972,2.26599e-17
cap_nmos_03v3_b,moscap,ff,125,900,2.94341e-12,3.22725e-12,3.23267e-12,3.5919,3.2736,3.5919,1.0972,2.05013e-17
cap_nmos_03v3_b,moscap,ss,-40,900,3.5975e-12,3.94442e-12,3.95105e-12,4.3901,4.0010,4.3900,1.0972,2.50571e-17
cap_nmos_03v3_b,moscap,ss,27,900,3.5975e-12,3.94442e-12,3.95105e-12,4.3901,4.0010,4.3900,1.0972,1.75211e-17
cap_nmos_03v3_b,moscap,ss,125,900,3.5975e-12,3.94442e-12,3.95105e-12,4.3901,4.0010,4.3900,1.0972,2.50571e-17
cap_nmos_03v3_b,moscap,typical,-40,900,3.27046e-12,3.58584e-12,3.59186e-12,3.9910,3.6373,3.9910,1.0972,1.83267e-17
cap_nmos_03v3_b,moscap,typical,27,900,3.27046e-12,3.58584e-12,3.59186e-12,3.9910,3.6373,3.9910,1.0972,5.01831e-17
cap_nmos_03v3_b,moscap,typical,125,900,3.27046e-12,3.58584e-12,3.59186e-12,3.9910,3.6373,3.9910,1.0972,9.07726e-18
cap_pmos_03v3,moscap,ff,-40,900,3.75917e-14,3.20591e-12,3.20598e-12,3.5622,0.0421,3.5622,84.5745,3.25617e-17
cap_pmos_03v3,moscap,ff,27,900,3.75917e-14,3.20591e-12,3.20598e-12,3.5622,0.0421,3.5622,84.5745,2.24726e-17
cap_pmos_03v3,moscap,ff,125,900,3.75917e-14,3.20591e-12,3.20598e-12,3.5622,0.0421,3.5622,84.5745,2.03319e-17
cap_pmos_03v3,moscap,ss,-40,900,4.59454e-14,3.91834e-12,3.91842e-12,4.3538,0.0515,4.3538,84.5745,2.485e-17
cap_pmos_03v3,moscap,ss,27,900,4.59454e-14,3.91834e-12,3.91842e-12,4.3538,0.0515,4.3538,84.5745,1.73763e-17
cap_pmos_03v3,moscap,ss,125,900,4.59454e-14,3.91834e-12,3.91842e-12,4.3538,0.0515,4.3538,84.5745,2.485e-17
cap_pmos_03v3,moscap,typical,-40,900,4.17685e-14,3.56212e-12,3.5622e-12,3.9580,0.0468,3.9580,84.5745,1.81752e-17
cap_pmos_03v3,moscap,typical,27,900,4.17685e-14,3.56212e-12,3.5622e-12,3.9580,0.0468,3.9580,84.5745,4.97684e-17
cap_pmos_03v3,moscap,typical,125,900,4.17685e-14,3.56212e-12,3.5622e-12,3.9580,0.0468,3.9580,84.5745,9.00224e-18
cap_pmos_03v3_b,moscap,ff,-40,900,2.99146e-12,3.21696e-12,3.21974e-12,3.5775,3.3266,3.5775,1.0754,3.27015e-17
cap_pmos_03v3_b,moscap,ff,27,900,2.99146e-12,3.21696e-12,3.21974e-12,3.5775,3.3266,3.5775,1.0754,2.25691e-17
cap_pmos_03v3_b,moscap,ff,125,900,2.99146e-12,3.21696e-12,3.21974e-12,3.5775,3.3266,3.5775,1.0754,2.04192e-17
cap_pmos_03v3_b,moscap,ss,-40,900,3.65623e-12,3.93185e-12,3.93524e-12,4.3725,4.0659,4.3725,1.0754,2.49568e-17
cap_pmos_03v3_b,moscap,ss,27,900,3.65623e-12,3.93185e-12,3.93524e-12,4.3725,4.0659,4.3725,1.0754,1.74509e-17
cap_pmos_03v3_b,moscap,ss,125,900,3.65623e-12,3.93185e-12,3.93524e-12,4.3725,4.0659,4.3725,1.0754,2.49568e-17
cap_pmos_03v3_b,moscap,typical,-40,900,3.32384e-12,3.57441e-12,3.57749e-12,3.9750,3.6962,3.9750,1.0754,1.82532e-17
cap_pmos_03v3_b,moscap,typical,27,900,3.32384e-12,3.57441e-12,3.57749e-12,3.9750,3.6962,3.9750,1.0754,4.99821e-17
cap_pmos_03v3_b,moscap,typical,125,900,3.32384e-12,3.57441e-12,3.57749e-12,3.9750,3.6962,3.9750,1.0754,9.04089e-18
