corner,temp_c,vdd,band,corner_id,tp1,tp2,tp3,tp4,tp5,tp6,tp7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,sw1hi,sw1lo,sw7hi,sw7lo,k1,k2,k3,k4,k5,k6,k7,kvco_min,kvco_max,kvco_mean,kvco_over_f_max,fine_ratio,verdict
typical,-40.0,3.3,band2,typical_-40c_3.30v_band2,3.86394e-07,3.23631e-07,2.75383e-07,2.3835e-07,2.09678e-07,1.86795e-07,1.67821e-07,10352100.0,12359800.0,14525200.0,16782000.0,19076900.0,21413900.0,23834900.0,5.64278e-05,6.38077e-05,7.13598e-05,7.83991e-05,8.64522e-05,9.35126e-05,0.000101785,3.37569,-0.0862632,3.40983,-0.114533,6692333.333333335,6955166.666666667,7370333.333333332,7586166.666666665,7719833.333333335,7929999.999999999,8069999.999999993,6692333.333333335,8069999.999999993,7490444.444444443,0.6464710863818293,2.3024217308565413,PASS
typical,-40.0,3.3,band3,typical_-40c_3.30v_band3,2.39479e-07,1.99814e-07,1.69456e-07,1.46543e-07,1.28274e-07,1.13926e-07,1.02182e-07,16702900.0,20018600.0,23604900.0,27295700.0,31183300.0,35110400.0,39145600.0,7.25965e-05,8.16818e-05,9.33712e-05,0.000104306,0.000115723,0.000127462,0.000138603,3.4104,-0.113622,3.40657,-0.129391,11052333.333333336,11503333.333333334,12128499.999999998,12630666.666666664,13024500.000000004,13270499.999999998,13450666.666666655,11052333.333333336,13450666.666666655,12468166.666666664,0.6617014610237345,2.3436409246298546,PASS
typical,-40.0,3.3,band4,typical_-40c_3.30v_band4,1.44157e-07,1.19857e-07,1.01346e-07,8.72346e-08,7.62627e-08,6.74889e-08,6.03636e-08,27747500.0,33373100.0,39468800.0,45853400.0,52450300.0,59269000.0,66265100.0,7.9556e-05,9.11496e-05,0.000103011,0.000116417,0.00012781,0.000141597,0.000155184,3.44888,-0.119329,3.4499,-0.161286,18752000.000000004,19535500.0,20800499.999999996,21635833.33333333,22359333.33333334,23024666.666666664,23320333.333333313,18752000.000000004,23320333.333333313,21398666.666666664,0.6758086314082351,2.3881466798810704,PASS
typical,-40.0,3.3,band5,typical_-40c_3.30v_band5,8.7624e-08,7.25334e-08,6.10194e-08,5.22658e-08,4.54959e-08,4.00728e-08,3.56904e-08,45649600.0,55147000.0,65552900.0,76531900.0,87919900.0,99818400.0,112075000.0,0.000110089,0.0001258,0.000143998,0.000162506,0.000181213,0.000201691,0.000220401,3.40713,-0.109605,3.42122,-0.136522,31658000.000000007,33172166.666666668,35641499.99999999,37278333.33333333,38810833.33333334,40258499.99999999,40855333.3333333,31658000.000000007,40855333.3333333,36902999.99999999,0.693500052574393,2.4551146121762293,PASS
typical,-40.0,3.3,band6,typical_-40c_3.30v_band6,5.01028e-08,4.1221e-08,3.44975e-08,2.94053e-08,2.54582e-08,2.23442e-08,1.98433e-08,79835900.0,97038000.0,115950000.0,136030000.0,157120000.0,179017000.0,201580000.0,0.000153664,0.000179703,0.0002086,0.000236285,0.000265704,0.000295686,0.000325558,3.34553,-0.105159,3.40828,-0.161538,57340333.33333334,60190166.66666667,64986666.66666666,68616666.66666666,71645000.00000001,74099999.99999999,75209999.99999994,57340333.33333334,75209999.99999994,67635611.1111111,0.7182274306838571,2.524929261146928,PASS
typical,-40.0,3.3,band7,typical_-40c_3.30v_band7,2.95363e-08,2.41199e-08,2.00607e-08,1.70231e-08,1.47091e-08,1.29101e-08,1.14824e-08,135427000.0,165838000.0,199395000.0,234975000.0,271940000.0,309836000.0,348360000.0,0.000231191,0.000269726,0.000314636,0.000358235,0.000405625,0.000450672,0.000497156,3.3406,-0.0370345,3.35542,-0.0585272,101370000.00000003,106613333.33333334,115228333.33333331,120908333.33333331,124768333.33333336,127366666.66666664,128413333.33333322,101370000.00000003,128413333.33333322,118296111.11111109,0.7485213436020884,2.572308328472166,PASS
typical,-40.0,3.63,band0,typical_-40c_3.63v_band0,1.11368e-06,9.37375e-07,8.02481e-07,6.99134e-07,6.18512e-07,5.53571e-07,5.00868e-07,3591690.0,4267240.0,4984540.0,5721370.0,6467130.0,7225820.0,7986140.0,4.78174e-05,5.17004e-05,5.61784e-05,6.084e-05,6.50064e-05,7.05683e-05,7.58889e-05,3.69274,-0.0551459,3.71602,-0.0533601,2251833.333333334,2321416.666666667,2423549.9999999995,2470983.333333333,2507416.6666666674,2531683.333333333,2534399.9999999977,2251833.333333334,2534399.9999999977,2441361.1111111105,0.6269564838093861,2.2235048124977377,PASS
typical,-40.0,3.63,band1,typical_-40c_3.63v_band1,7.00965e-07,5.89574e-07,5.04675e-07,4.3887e-07,3.87876e-07,3.46241e-07,3.13247e-07,5706420.0,6784560.0,7925900.0,9114330.0,10312600.0,11552700.0,12769500.0,5.64879e-05,6.23583e-05,6.70325e-05,7.40652e-05,7.87228e-05,8.77264e-05,9.2971e-05,3.68915,-0.0535537,3.72107,-0.062857,3593800.000000001,3699133.3333333335,3882949.9999999995,3977833.3333333326,4063950.000000001,4094833.3333333326,4055999.9999999963,3593800.000000001,4094833.3333333326,3923933.3333333326,0.6297818947781623,2.237742752899366,PASS
typical,-40.0,3.63,band2,typical_-40c_3.63v_band2,4.19783e-07,3.52679e-07,3.01721e-07,2.62509e-07,2.31364e-07,2.06641e-07,1.86345e-07,9528740.0,11341800.0,13257300.0,15237600.0,17288800.0,19357200.0,21465500.0,6.31669e-05,7.0182e-05,7.77276e-05,8.60199e-05,9.38415e-05,9.9755e-05,0.00011008,3.72217,-0.0866309,3.71678,-0.0857593,6043533.333333335,6214266.666666667,6492999.999999999,6719166.666666666,6866000.000000002,6961166.666666666,7027666.66666666,6043533.333333335,7027666.66666666,6631533.333333332,0.6342426525787601,2.2527112713748094,PASS
typical,-40.0,3.63,band3,typical_-40c_3.63v_band3,2.62827e-07,2.20436e-07,1.87912e-07,1.63105e-07,1.43453e-07,1.27914e-07,1.15031e-07,15219100.0,18145800.0,21286600.0,24524100.0,27883600.0,31270900.0,34773200.0,8.07671e-05,9.07052e-05,0.000101423,0.000112478,0.000123288,0.000134583,0.000147497,3.73269,-0.105787,3.74139,-0.121576,9755666.666666668,10112500.0,10630499.999999998,10994999.999999998,11244666.66666667,11482666.666666664,11674333.333333323,9755666.666666668,11674333.333333323,10863388.888888888,0.6410146898743466,2.2848394451708707,PASS
typical,-40.0,3.63,band4,typical_-40c_3.63v_band4,1.58913e-07,1.32886e-07,1.13066e-07,9.7695e-08,8.57677e-08,7.62298e-08,6.84125e-08,25171100.0,30101000.0,35377400.0,40943800.0,46637600.0,52472900.0,58468900.0,8.86308e-05,9.94071e-05,0.000112841,0.000124745,0.000137869,0.000150189,0.000163388,3.7486,-0.125191,3.78402,-0.162976,16433000.000000004,17010500.0,18071333.333333332,18766999.999999996,19215166.66666667,19718833.333333332,19986666.66666665,16433000.000000004,19986666.66666665,18498777.777777776,0.6528518817214982,2.322858357401941,PASS
typical,-40.0,3.63,band5,typical_-40c_3.63v_band5,9.79478e-08,8.15692e-08,6.90395e-08,5.94658e-08,5.19302e-08,4.59731e-08,4.10931e-08,40838100.0,49038100.0,57937900.0,67265500.0,77026400.0,87007400.0,97339900.0,0.000118709,0.00013496,0.000154708,0.000173656,0.000192629,0.000213091,0.000232935,3.74245,-0.127846,3.80341,-0.173097,27333333.33333334,28499666.666666668,30378999.999999996,31814166.66666666,32903166.666666675,33855833.33333333,34441666.666666634,27333333.33333334,34441666.666666634,31389888.888888884,0.6693096234480385,2.3835560420293795,PASS
typical,-40.0,3.63,band6,typical_-40c_3.63v_band6,5.66147e-08,4.68953e-08,3.94922e-08,3.38279e-08,2.94325e-08,2.59209e-08,2.3084e-08,70653000.0,85296300.0,101286000.0,118246000.0,135904000.0,154316000.0,173280000.0,0.00016568,0.000192497,0.000220159,0.000250019,0.00027892,0.000310177,0.000340262,3.67504,-0.119286,3.77596,-0.160709,48811000.00000001,51055000.0,54916166.66666666,57696666.66666666,60116666.66666668,62293333.33333332,63213333.333333276,48811000.00000001,63213333.333333276,57014999.99999999,0.6908553069225654,2.4525497855717378,PASS
typical,-40.0,3.63,band7,typical_-40c_3.63v_band7,3.39065e-08,2.78653e-08,2.32895e-08,1.98213e-08,1.71365e-08,1.50227e-08,1.33252e-08,117972000.0,143548000.0,171751000.0,201803000.0,233420000.0,266263000.0,300184000.0,0.000243471,0.000285057,0.000330495,0.000375274,0.000420526,0.000468084,0.00051584,3.6626,-0.0942379,3.67973,-0.081133,85253333.33333336,89631666.66666667,97091666.66666666,102781666.66666666,107433333.33333336,111273333.33333331,113069999.9999999,85253333.33333336,113069999.9999999,101228888.88888888,0.7226573537223524,2.544535991591225,PASS
typical,27.0,2.97,band0,typical_27c_2.97v_band0,8.95334e-07,7.47313e-07,6.3481e-07,5.49474e-07,4.82717e-07,4.30067e-07,3.857e-07,4467610.0,5352510.0,6301100.0,7279690.0,8286430.0,9300880.0,10370800.0,4.55077e-05,4.91554e-05,5.39368e-05,5.98063e-05,6.4311e-05,6.97598e-05,7.51383e-05,3.02507,-0.046231,3.02883,-0.0549054,2949666.6666666674,3055816.666666667,3211966.666666666,3308883.333333333,3368650.000000001,3473949.9999999995,3566399.9999999967,2949666.6666666674,3566399.9999999967,3279549.9999999995,0.6602336969132641,2.321330644348992,PASS
typical,27.0,2.97,band1,typical_27c_2.97v_band1,5.50069e-07,4.5835e-07,3.88678e-07,3.3622e-07,2.9486e-07,2.61686e-07,2.34975e-07,7271810.0,8726960.0,10291300.0,11897000.0,13565800.0,15285500.0,17023100.0,5.30515e-05,5.97468e-05,6.60523e-05,7.24049e-05,7.99391e-05,8.70374e-05,9.35333e-05,3.04039,-0.0821312,3.04594,-0.0977254,4850500.000000001,5032483.333333334,5283399.999999999,5457499.999999999,5647500.000000001,5762166.666666666,5791999.999999994,4850500.000000001,5791999.999999994,5417383.333333332,0.6670278788912253,2.340971505031072,PASS
typical,27.0,2.97,band2,typical_27c_2.97v_band2,3.27839e-07,2.72381e-07,2.30645e-07,1.98872e-07,1.73962e-07,1.54189e-07,1.38019e-07,12201100.0,14685300.0,17342600.0,20113400.0,22993500.0,25942200.0,28981500.0,6.00138e-05,6.75895e-05,7.53566e-05,8.41658e-05,9.31299e-05,0.000101034,0.000109269,3.06448,-0.103496,3.0797,-0.106775,8280666.666666669,8569166.666666668,9046833.333333332,9418166.666666666,9714666.666666668,9979999.999999998,10130999.99999999,8280666.666666669,10130999.99999999,9322444.444444442,0.6786819767616583,2.3753186188130577,PASS
typical,27.0,2.97,band3,typical_27c_2.97v_band3,1.99111e-07,1.64858e-07,1.38984e-07,1.19363e-07,1.04075e-07,9.1919e-08,8.20961e-08,20089300.0,24263300.0,28780300.0,33511400.0,38433700.0,43516600.0,48723400.0,7.73878e-05,8.79237e-05,9.98498e-05,0.000111147,0.000124011,0.000136265,0.000149607,3.07788,-0.104226,3.09991,-0.142011,13913333.333333336,14485000.0,15413499.999999998,16088999.999999998,16675333.333333338,17149499.999999996,17355999.999999985,13913333.333333336,17355999.999999985,15907833.33333333,0.692574322317519,2.425340853090949,PASS
typical,27.0,2.97,band4,typical_27c_2.97v_band4,1.15754e-07,9.54775e-08,8.01644e-08,6.85979e-08,5.9587e-08,5.24107e-08,4.66146e-08,34556000.0,41894700.0,49897500.0,58310800.0,67128700.0,76320200.0,85810000.0,8.57495e-05,9.81473e-05,0.00011201,0.000124682,0.000139088,0.000153314,0.000167692,3.0704,-0.117652,3.12433,-0.170144,24462333.33333334,25569166.666666668,27360166.666666664,28718666.666666664,30015666.66666667,31135499.999999996,31632666.666666638,24462333.33333334,31632666.666666638,28474444.44444444,0.7079040784041365,2.483215649959486,PASS
typical,27.0,2.97,band5,typical_27c_2.97v_band5,6.87035e-08,5.63044e-08,4.70207e-08,3.99871e-08,3.45753e-08,3.03175e-08,2.69017e-08,58221200.0,71042400.0,85068900.0,100032000.0,115690000.0,131937000.0,148690000.0,0.000117668,0.000136652,0.000157342,0.000177555,0.000199072,0.000221301,0.000243491,3.03041,-0.0937486,3.05091,-0.102821,42737333.33333334,44746166.66666667,48315999.99999999,51035166.66666666,53175000.000000015,54999999.99999999,55843333.33333328,42737333.33333334,55843333.33333328,50260444.44444444,0.7340510558582328,2.5538807169896875,PASS
typical,27.0,2.97,band6,typical_27c_2.97v_band6,3.89088e-08,3.16813e-08,2.63331e-08,2.23532e-08,1.93369e-08,1.69936e-08,1.51418e-08,102805000.0,126258000.0,151900000.0,178945000.0,206858000.0,235383000.0,264169000.0,0.000167652,0.000196057,0.000225764,0.000258675,0.000289578,0.000321265,0.000353162,3.00734,-0.0483437,3.02111,-0.0703313,78176666.66666669,81825000.0,87811666.66666666,91596666.66666666,94063333.33333336,95518333.33333331,95953333.33333325,78176666.66666669,95953333.33333325,89646666.66666666,0.7604364249469061,2.5696123729390594,PASS
typical,27.0,2.97,band7,typical_27c_2.97v_band7,2.23966e-08,1.82552e-08,1.52506e-08,1.30541e-08,1.14083e-08,1.01416e-08,9.14624e-09,178599000.0,219115000.0,262284000.0,306418000.0,350623000.0,394414000.0,437338000.0,0.000249827,0.000295993,0.000343971,0.00039042,0.00043853,0.000484286,0.000532732,3.01707,-0.039252,3.03183,-0.0486463,135053333.33333337,139475000.0,145504999.99999997,147231666.66666666,146660000.00000003,144524999.99999997,143079999.99999988,135053333.33333337,147231666.66666666,143743888.88888887,0.7561819121794264,2.4487147184474716,PASS
typical,27.0,3.3,band0,typical_27c_3.30v_band0,9.86931e-07,8.26175e-07,7.05264e-07,6.12285e-07,5.40052e-07,4.81984e-07,4.34401e-07,4052970.0,4841590.0,5671640.0,6532910.0,7406690.0,8299040.0,9208080.0,4.97913e-05,5.40787e-05,5.91718e-05,6.38573e-05,6.85383e-05,7.53034e-05,7.93997e-05,3.34393,-0.052666,3.38078,-0.064577,2628733.333333334,2697783.3333333335,2818866.666666666,2891749.9999999995,2943550.0000000005,3002316.666666666,3030133.3333333307,2628733.333333334,3030133.3333333307,2863949.9999999995,0.6485943230108622,2.2719339151289053,PASS
typical,27.0,3.3,band1,typical_27c_3.30v_band1,6.12294e-07,5.12386e-07,4.36493e-07,3.78595e-07,3.33334e-07,2.97009e-07,2.67222e-07,6532810.0,7806610.0,9163940.0,10565400.0,12000000.0,13467600.0,14968800.0,5.8354e-05,6.44991e-05,7.16944e-05,7.86316e-05,8.49505e-05,9.17728e-05,9.94308e-05,3.37356,-0.0586552,3.40357,-0.108846,4246000.000000001,4385216.666666667,4597983.333333333,4726766.666666666,4837000.000000001,4947999.999999999,5003999.999999995,4246000.000000001,5003999.999999995,4686661.11111111,0.6499500215068249,2.2913263970634383,PASS
typical,27.0,3.3,band2,typical_27c_3.30v_band2,3.67306e-07,3.06913e-07,2.61126e-07,2.2585e-07,1.98374e-07,1.76478e-07,1.58465e-07,10890100.0,13033000.0,15318300.0,17710900.0,20163900.0,22665700.0,25242200.0,6.54688e-05,7.33983e-05,8.12449e-05,8.90375e-05,9.86307e-05,0.00010789,0.000115533,3.38785,-0.0953691,3.40875,-0.124418,7143000.000000002,7380333.333333334,7796499.999999999,8075999.999999999,8258000.000000002,8463833.333333332,8588333.333333327,7143000.000000002,8588333.333333327,7973388.888888888,0.6559168419022784,2.317903416864859,PASS
typical,27.0,3.3,band3,typical_27c_3.30v_band3,2.25815e-07,1.88003e-07,1.59463e-07,1.37508e-07,1.20459e-07,1.06883e-07,9.56608e-08,17713600.0,21276300.0,25084300.0,29089100.0,33206400.0,37423900.0,41814400.0,8.3537e-05,9.40473e-05,0.000106791,0.000119136,0.000130845,0.000143523,0.000156125,3.40162,-0.100802,3.44819,-0.143233,11875666.66666667,12284500.0,13021333.333333332,13536833.333333332,13891333.333333336,14346666.666666664,14634999.999999987,11875666.66666667,14634999.999999987,13389333.333333332,0.6704264896275557,2.360581699936772,PASS
typical,27.0,3.3,band4,typical_27c_3.30v_band4,1.32387e-07,1.09922e-07,9.2916e-08,7.98755e-08,6.97624e-08,6.1594e-08,5.50451e-08,30214400.0,36389400.0,43049600.0,50077900.0,57337500.0,64941400.0,72667600.0,9.23864e-05,0.000105138,0.000118715,0.000132448,0.000147407,0.000161314,0.000176016,3.44864,-0.148274,3.47688,-0.177562,20583333.33333334,21392000.0,22814166.666666664,23813166.666666664,24772500.000000004,25550166.666666664,25753999.999999978,20583333.33333334,25753999.999999978,23585111.11111111,0.6812424980583212,2.4050651345054015,PASS
typical,27.0,3.3,band5,typical_27c_3.30v_band5,7.98334e-08,6.58981e-08,5.53663e-08,4.73277e-08,4.11158e-08,3.61597e-08,3.21405e-08,50104400.0,60699800.0,72246100.0,84517200.0,97286200.0,110620000.0,124454000.0,0.000125205,0.000144691,0.000166065,0.00018553,0.00020781,0.00022995,0.000252052,3.37965,-0.111752,3.37205,-0.154875,35318000.00000001,36902833.333333336,39695666.666666664,41733499.99999999,43504666.66666668,45279666.66666666,46113333.33333329,35318000.00000001,46113333.33333329,41305333.33333333,0.7048881934520722,2.4838936301003502,PASS
typical,27.0,3.3,band6,typical_27c_3.30v_band6,4.57977e-08,3.75214e-08,3.13045e-08,2.66055e-08,2.29891e-08,2.0144e-08,1.78717e-08,87340700.0,106606000.0,127777000.0,150345000.0,173996000.0,198571000.0,223817000.0,0.000177075,0.000206163,0.000237552,0.000269127,0.000302015,0.000335043,0.000368259,3.32928,-0.0548592,3.34435,-0.117858,64217666.66666668,67393833.33333334,72898333.33333333,77031666.66666666,80376666.66666669,83034999.99999999,84153333.33333325,64217666.66666668,84153333.33333325,75820166.66666666,0.735254774311022,2.5625739202914564,PASS
typical,27.0,3.3,band7,typical_27c_3.30v_band7,2.65984e-08,2.16418e-08,1.79807e-08,1.52703e-08,1.32249e-08,1.16403e-08,1.03947e-08,150385000.0,184828000.0,222460000.0,261947000.0,302460000.0,343633000.0,384812000.0,0.000260783,0.000308965,0.000358258,0.000407191,0.000458091,0.000506913,0.000559717,3.33876,-0.0357213,3.35517,-0.0468311,114810000.00000003,120125000.0,128531666.66666664,133333333.33333331,136143333.33333337,137253333.3333333,137263333.33333322,114810000.00000003,137263333.33333322,130237222.22222221,0.763440502709712,2.5588456295508197,PASS
typical,27.0,3.63,band0,typical_27c_3.63v_band0,1.06109e-06,8.91597e-07,7.64208e-07,6.65278e-07,5.87861e-07,5.2621e-07,4.75088e-07,3769720.0,4486330.0,5234180.0,6012530.0,6804330.0,7601540.0,8419500.0,5.54638e-05,6.00263e-05,6.47976e-05,7.06584e-05,7.53652e-05,8.05579e-05,8.53326e-05,3.6791,-0.0367959,3.72946,-0.0850865,2388700.0000000005,2440766.666666667,2543666.6666666665,2616916.6666666665,2648350.0000000005,2691949.9999999995,2726533.3333333307,2388700.0000000005,2726533.3333333307,2583211.1111111105,0.6336544889275597,2.2334550046157275,PASS
typical,27.0,3.63,band1,typical_27c_3.63v_band1,6.63666e-07,5.57622e-07,4.7709e-07,4.14742e-07,3.65842e-07,3.27305e-07,2.95379e-07,6027130.0,7173310.0,8384170.0,9644550.0,10933700.0,12221000.0,13541900.0,6.47688e-05,6.98583e-05,7.66942e-05,8.34557e-05,9.13273e-05,9.83819e-05,0.000106271,3.70005,-0.0760372,3.72595,-0.0803953,3820600.000000001,3928400.0,4118733.3333333326,4249216.666666666,4294083.333333334,4346999.999999999,4402999.999999996,3820600.000000001,4402999.999999996,4174872.2222222215,0.633900380446415,2.24682394439808,PASS
typical,27.0,3.63,band2,typical_27c_3.63v_band2,4.00294e-07,3.35718e-07,2.86869e-07,2.4924e-07,2.1974e-07,1.95812e-07,1.76442e-07,9992660.0,11914800.0,13943600.0,16048800.0,18203300.0,20427800.0,22670300.0,7.20885e-05,8.01046e-05,8.80909e-05,9.63463e-05,0.000105149,0.000114363,0.000123468,3.71954,-0.0969287,3.75363,-0.122891,6407133.333333335,6584900.0,6889999.999999999,7099499.999999999,7298333.333333335,7444999.999999999,7474999.9999999935,6407133.333333335,7474999.9999999935,7043133.333333332,0.6411839623617069,2.268695222293163,PASS
typical,27.0,3.63,band3,typical_27c_3.63v_band3,2.48663e-07,2.07988e-07,1.77199e-07,1.53533e-07,1.34934e-07,1.20061e-07,1.07979e-07,16086000.0,19231900.0,22573500.0,26053100.0,29644100.0,33316300.0,37044400.0,9.10845e-05,0.000101921,0.000114012,0.000125944,0.000139426,0.000152136,0.000165748,3.75098,-0.120692,3.7675,-0.128192,10486333.333333336,10812500.0,11368666.666666664,11784333.333333332,12105333.333333336,12333833.333333332,12426999.999999989,10486333.333333336,12426999.999999989,11643555.555555554,0.6518919142940032,2.3028969290065895,PASS
typical,27.0,3.63,band4,typical_27c_3.63v_band4,1.46519e-07,1.22271e-07,1.03797e-07,8.97086e-08,7.86238e-08,6.97439e-08,6.24791e-08,27300300.0,32714300.0,38536800.0,44588800.0,50875200.0,57352700.0,64021400.0,0.000100645,0.000113891,0.00012685,0.000141543,0.000156276,0.000170973,0.000185661,3.74379,-0.11439,3.78993,-0.1804,18046666.66666667,18727500.0,19790833.333333332,20563999.999999996,21273166.66666667,21910333.33333333,22228999.99999998,18046666.66666667,22228999.99999998,20400611.11111111,0.6610427968435025,2.3450804569913153,PASS
