# campaign: lock-detector
# record_id: 20260731-095213-0bffe91
# generated_utc: 2026-07-31T09:52:32Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/lock_detector.sch -> design/netlist/lock_detector.spice + sim/lock-detector/testbench/tb_lock_detector.sp
# corners: 45-point PVT grid at terr=4n; plus a 10-step phase-error ladder at 5 corners
# Stimulus models the tri-state PFD interface: UP high for (terr + t_reset),
#   DN high for t_reset, both falling together, so XOR(UP,DN) is high for
#   exactly terr. t_reset = 1n, reference rate = 25e6 Hz.
# twin_r_s / twin_f_s: rise/fall delay of a bare delaywin_3v3 with an ideal
#   step in = the comparator window itself.
# *_swept: the XA copy, driven at the terr of this row.
# *_inlock: the XB copy, terr = 0 (reset overlap only) -- must assert.
# lock_bigerr: the XC copy, static phase error = Tref/4 -- must never assert.
# lock_freqerr: the XD copy, feedback train 25% slow, so the error pulse beats
#   through every width from 0 to Tref -- must never assert.
# *_pert: the XE copy, terr = 0 until 2.40u then kicked to 8n.
#   lock_pert_before must be HIGH and lock_pert_after LOW.
# Levels are classified HIGH (>90% rail) / LOW (<10% rail) / CHATTER
#   (in between, i.e. the flag is toggling within the averaging window).
# i_supply_a: total for five DUT copies plus the testbench's OR gates and the
#   bare window element on the same rail -- an upper bound on one copy x 5,
#   not a per-copy figure.
process,temp_c,vdd_v,terr_s,twin_r_s,twin_f_s,t_assert_swept_s,lock_swept,t_assert_inlock_s,lock_inlock,lock_bigerr,lock_freqerr,t_assert_pert_s,t_deassert_pert_s,lock_pert_before,lock_pert_after,i_supply_a,pass
typical,27,3.30,1.5e-09,1.17121e-09,1.15799e-09,nan,LOW,1.08959e-06,HIGH,LOW,LOW,1.08959e-06,2.40473e-06,HIGH,LOW,0.000139243,PASS
typical,27,3.30,1e-08,1.17121e-09,1.15799e-09,nan,LOW,1.08961e-06,HIGH,LOW,LOW,1.08961e-06,2.40472e-06,HIGH,LOW,0.000139345,PASS
typical,27,3.30,1e-09,1.16757e-09,1.15821e-09,1.08964e-06,HIGH,1.08964e-06,HIGH,LOW,LOW,1.08964e-06,2.40464e-06,HIGH,LOW,0.000135997,PASS
typical,27,3.30,2e-09,1.17121e-09,1.15799e-09,nan,LOW,1.08963e-06,HIGH,LOW,LOW,1.08963e-06,2.40466e-06,HIGH,LOW,0.000139262,PASS
typical,27,3.30,2e-10,1.16652e-09,1.15722e-09,1.08964e-06,HIGH,1.08964e-06,HIGH,LOW,LOW,1.08964e-06,2.40472e-06,HIGH,LOW,0.000115938,PASS
typical,27,3.30,3e-09,1.17121e-09,1.15799e-09,nan,LOW,1.08963e-06,HIGH,LOW,LOW,1.08963e-06,2.4048e-06,HIGH,LOW,0.000139447,PASS
typical,27,3.30,4e-09,1.17121e-09,1.15799e-09,nan,LOW,1.08963e-06,HIGH,LOW,LOW,1.08963e-06,2.40481e-06,HIGH,LOW,0.000139426,PASS
typical,27,3.30,5e-09,1.17121e-09,1.15799e-09,nan,LOW,1.08963e-06,HIGH,LOW,LOW,1.08963e-06,2.40472e-06,HIGH,LOW,0.000139441,PASS
typical,27,3.30,5e-10,1.16119e-09,1.15498e-09,1.08959e-06,HIGH,1.08959e-06,HIGH,LOW,LOW,1.08959e-06,2.40471e-06,HIGH,LOW,0.000128832,PASS
typical,27,3.30,8e-10,1.16645e-09,1.15142e-09,1.08963e-06,HIGH,1.08963e-06,HIGH,LOW,LOW,1.08963e-06,2.40464e-06,HIGH,LOW,0.000135647,PASS
typical,27,3.63,4e-09,1.11754e-09,1.0972e-09,nan,LOW,9.64772e-07,HIGH,LOW,LOW,9.64772e-07,2.40464e-06,HIGH,LOW,0.000157748,PASS
typical,125,2.97,4e-09,1.4634e-09,1.45201e-09,nan,LOW,1.65663e-06,HIGH,LOW,LOW,1.65663e-06,2.40497e-06,HIGH,LOW,0.000152667,PASS
typical,125,3.30,4e-09,1.37103e-09,1.35064e-09,nan,LOW,1.44026e-06,HIGH,LOW,LOW,1.44026e-06,2.40493e-06,HIGH,LOW,0.000163658,PASS
typical,125,3.63,4e-09,1.29437e-09,1.27683e-09,nan,LOW,1.27323e-06,HIGH,LOW,LOW,1.27323e-06,2.40485e-06,HIGH,LOW,0.000175327,PASS
