# campaign: mc-cp-mismatch (pfd_cp)
# record_id: 20260923-095854-1655e11
# generated_utc: 2026-09-23T09:58:58Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pfd_cp.sch (xschem export)
# corners: 3 corners, dphi={-1n,0,+1n}, N=16 mismatch samples/corner
corner,seed,qnet0_c,qplus_c,qminus_c,kd_wide_a,t_offset_s
ff_-40c_3.63v,14,-3.49041e-15,-3.80482e-17,-9.97356e-15,4.96776e-06,-7.02613e-10
ff_-40c_3.63v,15,-3.15059e-15,7.87945e-16,-9.36496e-15,5.07645e-06,-6.20628e-10
ff_-40c_3.63v,16,-3.2711e-15,1.66622e-16,-9.4887e-15,4.82766e-06,-6.77575e-10
ss_125c_2.97v,1,-9.22984e-16,3.80881e-15,-6.92969e-15,5.36925e-06,-1.71902e-10
ss_125c_2.97v,2,-2.01194e-17,4.65932e-15,-5.80539e-15,5.23236e-06,-3.84519e-12
ss_125c_2.97v,3,-5.30624e-16,4.25764e-15,-6.54504e-15,5.40134e-06,-9.82393e-11
ss_125c_2.97v,4,-2.50591e-16,4.4689e-15,-6.17231e-15,5.3206e-06,-4.70982e-11
ss_125c_2.97v,5,-5.30758e-16,4.17019e-15,-6.46762e-15,5.3189e-06,-9.97871e-11
ss_125c_2.97v,6,-4.04953e-16,4.26711e-15,-6.26988e-15,5.2685e-06,-7.68631e-11
ss_125c_2.97v,7,1.06724e-15,5.93078e-15,-4.64785e-15,5.28931e-06,2.01773e-10
ss_125c_2.97v,8,2.31736e-17,4.78971e-15,-5.83045e-15,5.31008e-06,4.36408e-12
ss_125c_2.97v,9,-5.34066e-16,4.10473e-15,-6.56475e-15,5.33474e-06,-1.00111e-10
ss_125c_2.97v,10,3.7436e-16,5.11477e-15,-5.34667e-15,5.23072e-06,7.15695e-11
ss_125c_2.97v,11,9.28013e-16,5.67213e-15,-4.7159e-15,5.19401e-06,1.7867e-10
ss_125c_2.97v,12,9.27833e-17,4.76183e-15,-5.71755e-15,5.23969e-06,1.77078e-11
ss_125c_2.97v,13,2.42081e-16,5.03104e-15,-5.546e-15,5.28852e-06,4.57748e-11
ss_125c_2.97v,14,-2.93539e-16,4.47213e-15,-6.15761e-15,5.31487e-06,-5.52298e-11
ss_125c_2.97v,15,-2.13912e-16,4.4653e-15,-6.05613e-15,5.26071e-06,-4.06622e-11
ss_125c_2.97v,16,-2.87062e-16,4.39595e-15,-6.2603e-15,5.32812e-06,-5.38767e-11
typical_27c_3.30v,1,-1.90962e-15,2.92005e-15,-7.55016e-15,5.2351e-06,-3.64772e-10
typical_27c_3.30v,2,-1.0849e-15,3.66978e-15,-6.46163e-15,5.0657e-06,-2.14166e-10
typical_27c_3.30v,3,-2.08091e-15,3.0252e-15,-6.95475e-15,4.98997e-06,-4.17018e-10
typical_27c_3.30v,4,-1.68025e-15,3.32184e-15,-6.77797e-15,5.04991e-06,-3.32729e-10
typical_27c_3.30v,5,-1.5768e-15,2.8366e-15,-7.20947e-15,5.02303e-06,-3.13914e-10
typical_27c_3.30v,6,-1.25022e-15,3.02222e-15,-7.23802e-15,5.13012e-06,-2.43702e-10
typical_27c_3.30v,7,-5.20453e-16,4.59707e-15,-5.70422e-15,5.15065e-06,-1.01046e-10
typical_27c_3.30v,8,-1.17921e-15,3.36311e-15,-6.72855e-15,5.04583e-06,-2.337e-10
typical_27c_3.30v,9,-1.87579e-15,2.41438e-15,-7.39548e-15,4.90493e-06,-3.8243e-10
typical_27c_3.30v,10,-1.45321e-15,3.89893e-15,-6.9612e-15,5.43006e-06,-2.67623e-10
typical_27c_3.30v,11,-2.45321e-16,3.70191e-15,-5.97074e-15,4.83632e-06,-5.07247e-11
typical_27c_3.30v,12,-1.46562e-15,3.39034e-15,-6.67903e-15,5.03468e-06,-2.91105e-10
typical_27c_3.30v,13,-8.80946e-16,3.55585e-15,-6.42792e-15,4.99188e-06,-1.76476e-10
typical_27c_3.30v,14,-1.31716e-15,3.23531e-15,-7.44497e-15,5.34014e-06,-2.46653e-10
typical_27c_3.30v,15,-1.69918e-15,3.35469e-15,-6.7642e-15,5.05944e-06,-3.35843e-10
typical_27c_3.30v,16,-1.91347e-15,3.40136e-15,-7.71282e-15,5.55709e-06,-3.44329e-10
