corner,temp_c,vdd,wc,corner_id,twin_r,twin_f,ctl_r,ctl_f,repl_err_pct,verdict
typical,-40.0,3.63,w26,typical_-40c_3.63v_w26,2.86184e-09,2.82225e-09,9.73121e-10,9.6251e-10,not measured,PASS
typical,27.0,2.97,w08,typical_27c_2.97v_w08,1.2352e-09,1.23453e-09,1.23519e-09,1.23452e-09,0.0008095920465746797,PASS
typical,27.0,2.97,w09,typical_27c_2.97v_w09,1.36792e-09,1.36684e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w095,typical_27c_2.97v_w095,1.43428e-09,1.43298e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w10,typical_27c_2.97v_w10,1.50063e-09,1.49912e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w11,typical_27c_2.97v_w11,1.6332e-09,1.63131e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w12,typical_27c_2.97v_w12,1.76576e-09,1.76348e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w16,typical_27c_2.97v_w16,2.29594e-09,2.29211e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w24,typical_27c_2.97v_w24,3.35614e-09,3.34926e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w25,typical_27c_2.97v_w25,3.48865e-09,3.48139e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,2.97,w26,typical_27c_2.97v_w26,3.62117e-09,3.61353e-09,1.23519e-09,1.23452e-09,not measured,PASS
typical,27.0,3.3,w08,typical_27c_3.30v_w08,1.1588e-09,1.1509e-09,1.15878e-09,1.15089e-09,0.0017259531576282621,PASS
typical,27.0,3.3,w09,typical_27c_3.30v_w09,1.28363e-09,1.27445e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w095,typical_27c_3.30v_w095,1.34603e-09,1.33622e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w10,typical_27c_3.30v_w10,1.40844e-09,1.39799e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w11,typical_27c_3.30v_w11,1.53315e-09,1.52144e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w12,typical_27c_3.30v_w12,1.65785e-09,1.64489e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w16,typical_27c_3.30v_w16,2.15659e-09,2.13862e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w24,typical_27c_3.30v_w24,3.15392e-09,3.12603e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w25,typical_27c_3.30v_w25,3.27858e-09,3.24945e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.3,w26,typical_27c_3.30v_w26,3.40324e-09,3.37287e-09,1.15878e-09,1.15089e-09,not measured,PASS
typical,27.0,3.63,w08,typical_27c_3.63v_w08,1.10044e-09,1.08796e-09,1.10043e-09,1.08795e-09,0.0009087356760429095,PASS
typical,27.0,3.63,w09,typical_27c_3.63v_w09,1.21923e-09,1.20491e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w095,typical_27c_3.63v_w095,1.27862e-09,1.26338e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w10,typical_27c_3.63v_w10,1.33801e-09,1.32185e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w11,typical_27c_3.63v_w11,1.4567e-09,1.43872e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w12,typical_27c_3.63v_w12,1.57539e-09,1.5556e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w16,typical_27c_3.63v_w16,2.05009e-09,2.02304e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w24,typical_27c_3.63v_w24,2.99936e-09,2.95788e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w25,typical_27c_3.63v_w25,3.11801e-09,3.07474e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,27.0,3.63,w26,typical_27c_3.63v_w26,3.23666e-09,3.19159e-09,1.10043e-09,1.08795e-09,not measured,PASS
typical,125.0,2.97,w08,typical_125c_2.97v_w08,1.45094e-09,1.44152e-09,1.45093e-09,1.44151e-09,0.0006892131253664194,PASS
typical,125.0,2.97,w09,typical_125c_2.97v_w09,1.60699e-09,1.59619e-09,1.45093e-09,1.44151e-09,not measured,PASS
typical,125.0,2.97,w095,typical_125c_2.97v_w095,1.68501e-09,1.67352e-09,1.45093e-09,1.44151e-09,not measured,PASS
typical,125.0,2.97,w10,typical_125c_2.97v_w10,1.76302e-09,1.75085e-09,1.45093e-09,1.44151e-09,not measured,PASS
typical,125.0,2.97,w11,typical_125c_2.97v_w11,1.91898e-09,1.90546e-09,1.45093e-09,1.44149e-09,not measured,PASS
typical,125.0,2.97,w12,typical_125c_2.97v_w12,2.07494e-09,2.06006e-09,1.45093e-09,1.44149e-09,not measured,PASS
typical,125.0,2.97,w16,typical_125c_2.97v_w16,2.69868e-09,2.67841e-09,1.45093e-09,1.44149e-09,not measured,PASS
typical,125.0,2.97,w24,typical_125c_2.97v_w24,3.946e-09,3.91496e-09,1.45093e-09,1.4415e-09,not measured,PASS
typical,125.0,2.97,w25,typical_125c_2.97v_w25,4.1019e-09,4.06952e-09,1.45093e-09,1.4415e-09,not measured,PASS
typical,125.0,2.97,w26,typical_125c_2.97v_w26,4.25781e-09,4.22408e-09,1.45093e-09,1.4415e-09,not measured,PASS
typical,125.0,3.3,w08,typical_125c_3.30v_w08,1.35764e-09,1.34277e-09,1.35763e-09,1.34276e-09,0.00073657771263789,PASS
typical,125.0,3.3,w09,typical_125c_3.30v_w09,1.50397e-09,1.48706e-09,1.35763e-09,1.34276e-09,not measured,PASS
typical,125.0,3.3,w095,typical_125c_3.30v_w095,1.57713e-09,1.5592e-09,1.35763e-09,1.34276e-09,not measured,PASS
typical,125.0,3.3,w10,typical_125c_3.30v_w10,1.65028e-09,1.63134e-09,1.35763e-09,1.34276e-09,not measured,PASS
typical,125.0,3.3,w11,typical_125c_3.30v_w11,1.79655e-09,1.77558e-09,1.35763e-09,1.34276e-09,not measured,PASS
typical,125.0,3.3,w12,typical_125c_3.30v_w12,1.9428e-09,1.91981e-09,1.35763e-09,1.34276e-09,not measured,PASS
typical,125.0,3.3,w16,typical_125c_3.30v_w16,2.52775e-09,2.4967e-09,1.35763e-09,1.34275e-09,not measured,PASS
typical,125.0,3.3,w24,typical_125c_3.30v_w24,3.69748e-09,3.65038e-09,1.35763e-09,1.34275e-09,not measured,PASS
typical,125.0,3.3,w25,typical_125c_3.30v_w25,3.84368e-09,3.79458e-09,1.35763e-09,1.34275e-09,not measured,PASS
typical,125.0,3.3,w26,typical_125c_3.30v_w26,3.98989e-09,3.93878e-09,1.35763e-09,1.34275e-09,not measured,PASS
typical,125.0,3.63,w08,typical_125c_3.63v_w08,1.28471e-09,1.26656e-09,1.2847e-09,1.26655e-09,0.0007783918424601686,PASS
typical,125.0,3.63,w09,typical_125c_3.63v_w09,1.42342e-09,1.40282e-09,1.2847e-09,1.26655e-09,not measured,PASS
typical,125.0,3.63,w095,typical_125c_3.63v_w095,1.49277e-09,1.47094e-09,1.2847e-09,1.26655e-09,not measured,PASS
typical,125.0,3.63,w10,typical_125c_3.63v_w10,1.56212e-09,1.53908e-09,1.2847e-09,1.26655e-09,not measured,PASS
typical,125.0,3.63,w11,typical_125c_3.63v_w11,1.70078e-09,1.67529e-09,1.2847e-09,1.26655e-09,not measured,PASS
typical,125.0,3.63,w12,typical_125c_3.63v_w12,1.83942e-09,1.81151e-09,1.2847e-09,1.26655e-09,not measured,PASS
typical,125.0,3.63,w16,typical_125c_3.63v_w16,2.39396e-09,2.35632e-09,1.2847e-09,1.26654e-09,not measured,PASS
typical,125.0,3.63,w24,typical_125c_3.63v_w24,3.50289e-09,3.4459e-09,1.2847e-09,1.26654e-09,not measured,PASS
typical,125.0,3.63,w25,typical_125c_3.63v_w25,3.6415e-09,3.58209e-09,1.2847e-09,1.26654e-09,not measured,PASS
typical,125.0,3.63,w26,typical_125c_3.63v_w26,3.78011e-09,3.71828e-09,1.2847e-09,1.26654e-09,not measured,PASS
ff,-40.0,2.97,w08,ff_-40c_2.97v_w08,9.60067e-10,9.55793e-10,9.60056e-10,9.55781e-10,0.0011457664969534032,PASS
ff,-40.0,2.97,w09,ff_-40c_2.97v_w09,1.06398e-09,1.05873e-09,9.60059e-10,9.5578e-10,not measured,PASS
ff,-40.0,2.97,w095,ff_-40c_2.97v_w095,1.11593e-09,1.1102e-09,9.60059e-10,9.5578e-10,not measured,PASS
ff,-40.0,2.97,w10,ff_-40c_2.97v_w10,1.16788e-09,1.16166e-09,9.60059e-10,9.5578e-10,not measured,PASS
ff,-40.0,2.97,w11,ff_-40c_2.97v_w11,1.27164e-09,1.26449e-09,9.60059e-10,9.5578e-10,not measured,PASS
ff,-40.0,2.97,w12,ff_-40c_2.97v_w12,1.37539e-09,1.3673e-09,9.60058e-10,9.5578e-10,not measured,PASS
ff,-40.0,2.97,w16,ff_-40c_2.97v_w16,1.79037e-09,1.77855e-09,9.60056e-10,9.55781e-10,not measured,PASS
ff,-40.0,2.97,w24,ff_-40c_2.97v_w24,2.62022e-09,2.60096e-09,9.60056e-10,9.55777e-10,not measured,PASS
ff,-40.0,2.97,w25,ff_-40c_2.97v_w25,2.72394e-09,2.70377e-09,9.60056e-10,9.55777e-10,not measured,PASS
ff,-40.0,2.97,w26,ff_-40c_2.97v_w26,2.82767e-09,2.80656e-09,9.60056e-10,9.55777e-10,not measured,PASS
ff,-40.0,3.3,w08,ff_-40c_3.30v_w08,9.11603e-10,9.02693e-10,9.11591e-10,9.02681e-10,0.00131637982384639,PASS
ff,-40.0,3.3,w09,ff_-40c_3.30v_w09,1.01049e-09,1.00005e-09,9.11592e-10,9.02681e-10,not measured,PASS
ff,-40.0,3.3,w095,ff_-40c_3.30v_w095,1.05994e-09,1.04874e-09,9.11592e-10,9.02683e-10,not measured,PASS
ff,-40.0,3.3,w10,ff_-40c_3.30v_w10,1.10938e-09,1.09742e-09,9.11592e-10,9.02683e-10,not measured,PASS
ff,-40.0,3.3,w11,ff_-40c_3.30v_w11,1.20814e-09,1.19469e-09,9.11592e-10,9.02684e-10,not measured,PASS
ff,-40.0,3.3,w12,ff_-40c_3.30v_w12,1.30691e-09,1.29196e-09,9.11592e-10,9.02684e-10,not measured,PASS
ff,-40.0,3.3,w16,ff_-40c_3.30v_w16,1.70194e-09,1.681e-09,9.11592e-10,9.02682e-10,not measured,PASS
ff,-40.0,3.3,w24,ff_-40c_3.30v_w24,2.49195e-09,2.45909e-09,9.11591e-10,9.02681e-10,not measured,PASS
ff,-40.0,3.3,w25,ff_-40c_3.30v_w25,2.5907e-09,2.55634e-09,9.11591e-10,9.02681e-10,not measured,PASS
ff,-40.0,3.3,w26,ff_-40c_3.30v_w26,2.68944e-09,2.65361e-09,9.11591e-10,9.02681e-10,not measured,PASS
ff,-40.0,3.63,w08,ff_-40c_3.63v_w08,8.74554e-10,8.62795e-10,8.74542e-10,8.62783e-10,0.0013721467922637844,PASS
ff,-40.0,3.63,w09,ff_-40c_3.63v_w09,9.69601e-10,9.55971e-10,8.74543e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w095,ff_-40c_3.63v_w095,1.01712e-09,1.00256e-09,8.74543e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w10,ff_-40c_3.63v_w10,1.06464e-09,1.04915e-09,8.74543e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w11,ff_-40c_3.63v_w11,1.15959e-09,1.14224e-09,8.74543e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w12,ff_-40c_3.63v_w12,1.25454e-09,1.23533e-09,8.74542e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w16,ff_-40c_3.63v_w16,1.63433e-09,1.60771e-09,8.74542e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w24,ff_-40c_3.63v_w24,2.39389e-09,2.35246e-09,8.74542e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w25,ff_-40c_3.63v_w25,2.48883e-09,2.44556e-09,8.74542e-10,8.62783e-10,not measured,PASS
ff,-40.0,3.63,w26,ff_-40c_3.63v_w26,2.58378e-09,2.53866e-09,8.74542e-10,8.62783e-10,not measured,PASS
ff,27.0,2.97,w08,ff_27c_2.97v_w08,1.08859e-09,1.08203e-09,1.08858e-09,1.08202e-09,0.0009186279373207101,PASS
ff,27.0,2.97,w09,ff_27c_2.97v_w09,1.20646e-09,1.19867e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w095,ff_27c_2.97v_w095,1.26539e-09,1.25699e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w10,ff_27c_2.97v_w10,1.32431e-09,1.31531e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w11,ff_27c_2.97v_w11,1.44206e-09,1.43185e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w12,ff_27c_2.97v_w12,1.5598e-09,1.5484e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w16,ff_27c_2.97v_w16,2.03072e-09,2.01454e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w24,ff_27c_2.97v_w24,2.97245e-09,2.94677e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w25,ff_27c_2.97v_w25,3.09017e-09,3.06329e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,2.97,w26,ff_27c_2.97v_w26,3.20788e-09,3.17982e-09,1.08858e-09,1.08202e-09,not measured,PASS
ff,27.0,3.3,w08,ff_27c_3.30v_w08,1.03052e-09,1.01973e-09,1.0305e-09,1.01971e-09,0.0019408054342718653,PASS
ff,27.0,3.3,w09,ff_27c_3.30v_w09,1.14232e-09,1.12979e-09,1.0305e-09,1.01971e-09,not measured,PASS
ff,27.0,3.3,w095,ff_27c_3.30v_w095,1.19822e-09,1.18482e-09,1.0305e-09,1.01972e-09,not measured,PASS
ff,27.0,3.3,w10,ff_27c_3.30v_w10,1.25412e-09,1.23986e-09,1.0305e-09,1.01972e-09,not measured,PASS
ff,27.0,3.3,w11,ff_27c_3.30v_w11,1.36584e-09,1.34985e-09,1.0305e-09,1.01972e-09,not measured,PASS
ff,27.0,3.3,w12,ff_27c_3.30v_w12,1.47755e-09,1.45983e-09,1.0305e-09,1.01972e-09,not measured,PASS
ff,27.0,3.3,w16,ff_27c_3.30v_w16,1.92435e-09,1.89978e-09,1.0305e-09,1.01972e-09,not measured,PASS
ff,27.0,3.3,w24,ff_27c_3.30v_w24,2.81789e-09,2.77963e-09,1.0305e-09,1.01971e-09,not measured,PASS
ff,27.0,3.3,w25,ff_27c_3.30v_w25,2.92958e-09,2.88962e-09,1.0305e-09,1.01971e-09,not measured,PASS
ff,27.0,3.3,w26,ff_27c_3.30v_w26,3.04127e-09,2.9996e-09,1.0305e-09,1.01971e-09,not measured,PASS
ff,27.0,3.63,w08,ff_27c_3.63v_w08,9.855e-10,9.72187e-10,9.85489e-10,9.72175e-10,0.0011161971366490104,PASS
ff,27.0,3.63,w09,ff_27c_3.63v_w09,1.0926e-09,1.07723e-09,9.85489e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w095,ff_27c_3.63v_w095,1.14615e-09,1.12975e-09,9.85489e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w10,ff_27c_3.63v_w10,1.1997e-09,1.18226e-09,9.85489e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w11,ff_27c_3.63v_w11,1.30673e-09,1.28724e-09,9.85489e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w12,ff_27c_3.63v_w12,1.41376e-09,1.39222e-09,9.85489e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w16,ff_27c_3.63v_w16,1.84185e-09,1.81214e-09,9.85486e-10,9.72176e-10,not measured,PASS
ff,27.0,3.63,w24,ff_27c_3.63v_w24,2.698e-09,2.65198e-09,9.85486e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w25,ff_27c_3.63v_w25,2.80502e-09,2.75696e-09,9.85486e-10,9.72175e-10,not measured,PASS
ff,27.0,3.63,w26,ff_27c_3.63v_w26,2.91204e-09,2.86195e-09,9.85486e-10,9.72175e-10,not measured,PASS
ff,125.0,2.97,w08,ff_125c_2.97v_w08,1.27398e-09,1.26125e-09,1.27397e-09,1.26124e-09,0.000784947840206519,PASS
ff,125.0,2.97,w09,ff_125c_2.97v_w09,1.41202e-09,1.39738e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w095,ff_125c_2.97v_w095,1.48104e-09,1.46544e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w10,ff_125c_2.97v_w10,1.55005e-09,1.5335e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w11,ff_125c_2.97v_w11,1.68804e-09,1.66958e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w12,ff_125c_2.97v_w12,1.82602e-09,1.80566e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w16,ff_125c_2.97v_w16,2.37789e-09,2.34996e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w24,ff_125c_2.97v_w24,3.48151e-09,3.43848e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w25,ff_125c_2.97v_w25,3.61946e-09,3.57455e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,2.97,w26,ff_125c_2.97v_w26,3.75741e-09,3.71061e-09,1.27397e-09,1.26124e-09,not measured,PASS
ff,125.0,3.3,w08,ff_125c_3.30v_w08,1.20164e-09,1.18634e-09,1.20163e-09,1.18633e-09,0.0008322029243682153,PASS
ff,125.0,3.3,w09,ff_125c_3.30v_w09,1.33205e-09,1.31452e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w095,ff_125c_3.30v_w095,1.39725e-09,1.3786e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w10,ff_125c_3.30v_w10,1.46245e-09,1.44269e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w11,ff_125c_3.30v_w11,1.59282e-09,1.57083e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w12,ff_125c_3.30v_w12,1.72318e-09,1.69897e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w16,ff_125c_3.30v_w16,2.2446e-09,2.21151e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w24,ff_125c_3.30v_w24,3.28736e-09,3.23658e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w25,ff_125c_3.30v_w25,3.4177e-09,3.36471e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.3,w26,ff_125c_3.30v_w26,3.54804e-09,3.49284e-09,1.20163e-09,1.18633e-09,not measured,PASS
ff,125.0,3.63,w08,ff_125c_3.63v_w08,1.14429e-09,1.12763e-09,1.14428e-09,1.12762e-09,0.0008739119795929131,PASS
ff,125.0,3.63,w09,ff_125c_3.63v_w09,1.26863e-09,1.24956e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w095,ff_125c_3.63v_w095,1.3308e-09,1.31053e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w10,ff_125c_3.63v_w10,1.39296e-09,1.37149e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w11,ff_125c_3.63v_w11,1.51727e-09,1.49339e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w12,ff_125c_3.63v_w12,1.64158e-09,1.6153e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w16,ff_125c_3.63v_w16,2.13879e-09,2.1029e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w24,ff_125c_3.63v_w24,3.13315e-09,3.07813e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w25,ff_125c_3.63v_w25,3.25745e-09,3.20004e-09,1.14428e-09,1.12762e-09,not measured,PASS
ff,125.0,3.63,w26,ff_125c_3.63v_w26,3.38174e-09,3.32194e-09,1.14428e-09,1.12762e-09,not measured,PASS
ss,-40.0,2.97,w08,ss_-40c_2.97v_w08,1.26047e-09,1.27025e-09,1.26046e-09,1.27024e-09,0.0007933611538712681,PASS
ss,-40.0,2.97,w09,ss_-40c_2.97v_w09,1.39489e-09,1.40555e-09,1.26047e-09,1.27025e-09,not measured,PASS
ss,-40.0,2.97,w095,ss_-40c_2.97v_w095,1.46209e-09,1.47319e-09,1.26047e-09,1.27025e-09,not measured,PASS
ss,-40.0,2.97,w10,ss_-40c_2.97v_w10,1.52928e-09,1.54082e-09,1.26047e-09,1.27025e-09,not measured,PASS
ss,-40.0,2.97,w11,ss_-40c_2.97v_w11,1.66348e-09,1.67594e-09,1.26047e-09,1.27025e-09,not measured,PASS
ss,-40.0,2.97,w12,ss_-40c_2.97v_w12,1.79766e-09,1.81104e-09,1.26047e-09,1.27024e-09,not measured,PASS
ss,-40.0,2.97,w16,ss_-40c_2.97v_w16,2.3343e-09,2.35134e-09,1.26047e-09,1.27024e-09,not measured,PASS
ss,-40.0,2.97,w24,ss_-40c_2.97v_w24,3.40738e-09,3.43179e-09,1.26046e-09,1.27024e-09,not measured,PASS
ss,-40.0,2.97,w25,ss_-40c_2.97v_w25,3.54151e-09,3.56684e-09,1.26046e-09,1.27024e-09,not measured,PASS
ss,-40.0,2.97,w26,ss_-40c_2.97v_w26,3.67563e-09,3.70188e-09,1.26046e-09,1.27024e-09,not measured,PASS
ss,-40.0,3.3,w08,ss_-40c_3.30v_w08,1.17412e-09,1.17245e-09,1.17411e-09,1.17244e-09,0.00085170895402354,PASS
ss,-40.0,3.3,w09,ss_-40c_3.30v_w09,1.29973e-09,1.2976e-09,1.17411e-09,1.17244e-09,not measured,PASS
ss,-40.0,3.3,w095,ss_-40c_3.30v_w095,1.36253e-09,1.36018e-09,1.17411e-09,1.17244e-09,not measured,PASS
ss,-40.0,3.3,w10,ss_-40c_3.30v_w10,1.42532e-09,1.42275e-09,1.17411e-09,1.17244e-09,not measured,PASS
ss,-40.0,3.3,w11,ss_-40c_3.30v_w11,1.55075e-09,1.54777e-09,1.17411e-09,1.17244e-09,not measured,PASS
ss,-40.0,3.3,w12,ss_-40c_3.30v_w12,1.67618e-09,1.67278e-09,1.17411e-09,1.17244e-09,not measured,PASS
ss,-40.0,3.3,w16,ss_-40c_3.30v_w16,2.17778e-09,2.17274e-09,1.17411e-09,1.17243e-09,not measured,PASS
ss,-40.0,3.3,w24,ss_-40c_3.30v_w24,3.1808e-09,3.17247e-09,1.17411e-09,1.17243e-09,not measured,PASS
ss,-40.0,3.3,w25,ss_-40c_3.30v_w25,3.30617e-09,3.29744e-09,1.17411e-09,1.17243e-09,not measured,PASS
ss,-40.0,3.3,w26,ss_-40c_3.30v_w26,3.43153e-09,3.42239e-09,1.17411e-09,1.17243e-09,not measured,PASS
