# campaign: cp-compliance (DC)
# record_id: 20260731-194124-afa338c
# generated_utc: 2026-07-31T19:41:54Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 PVT points; DC bench run at all 4 Icp trim codes (180 runs), switching bench run at Vctrl {0.9, 1.65, 2.4} V at the nominal trim code (135 runs)
# Vctrl window under test: 0.9 .. 2.4 V, nominal 1.65 V (DR-001 Decision 2)
# units: Icp in unit legs = 1 + b0 + 2*b1
# iup_*/idn_*: UP (source) and DN (sink) output current at the window's low,
#   mid and high point (A)
# mism_*_pct: 100*(iup-idn)/mean at that point; mism_absmax_pct is the largest
#   magnitude anywhere inside the window
# iup_flat_pct/idn_flat_pct: peak-to-peak variation of each polarity's current
#   across the window, as a percentage of its mid-window value
# satcasc_lo_v/satcasc_hi_v: smallest |vds|-|vdsat| among the two output
#   CASCODE devices at the low/high end of the window, with the device that
#   owns it.  Positive = in saturation.  This is the compliance verdict: the
#   cascode is the device whose operating point the output voltage moves.
# satmir_lo_v/satmir_hi_v: the same quantity for the two bottom MIRROR devices,
#   reported for context only.  A wide-swing cascode bias parks those at the
#   saturation boundary by construction (that is what buys the headroom), and
#   their bias does not move with the output voltage, so a margin near zero
#   there is the design working as intended.
process,temp_c,vdd_v,b1,b0,units,iup_lo_a,idn_lo_a,iup_mid_a,idn_mid_a,iup_hi_a,idn_hi_a,mism_lo_pct,mism_mid_pct,mism_hi_pct,mism_absmax_pct,iup_flat_pct,idn_flat_pct,satcasc_lo_v,satcasc_lo_dev,satcasc_hi_v,satcasc_hi_dev,satmir_lo_v,satmir_hi_v
ff,-40,3.63,1,0,3,5.1657e-06,4.97417e-06,5.1601e-06,4.99914e-06,5.14879e-06,5.02481e-06,3.7778,3.1687,2.4372,3.7778,0.3278,1.0131,0.7570,ncasc,1.0757,pcasc,-0.0069,-0.0077
ff,-40,3.63,1,1,4,6.88735e-06,6.6322e-06,6.88009e-06,6.66549e-06,6.86503e-06,6.69964e-06,3.7746,3.1685,2.4386,3.7746,0.3245,1.0118,0.7567,ncasc,1.0741,pcasc,-0.0069,-0.0077
ff,27,2.97,0,0,1,1.75108e-06,1.73633e-06,1.74814e-06,1.74512e-06,1.74291e-06,1.75088e-06,0.8464,0.1732,-0.4563,0.8464,0.4677,0.8340,0.7273,ncasc,0.3915,pcasc,-0.0118,-0.0104
ff,27,2.97,0,1,2,3.50188e-06,3.47261e-06,3.49627e-06,3.49016e-06,3.48582e-06,3.50099e-06,0.8393,0.1748,-0.4342,0.8393,0.4593,0.8131,0.7267,ncasc,0.3898,pcasc,-0.0118,-0.0104
ff,27,2.97,1,0,3,5.25253e-06,5.20888e-06,5.24436e-06,5.23518e-06,5.2287e-06,5.25078e-06,0.8345,0.1753,-0.4215,0.8345,0.4544,0.8004,0.7261,ncasc,0.3881,pcasc,-0.0118,-0.0104
ff,27,2.97,1,1,4,7.00306e-06,6.94513e-06,6.99242e-06,6.98016e-06,6.97155e-06,7.00035e-06,0.8307,0.1754,-0.4124,0.8307,0.4507,0.7911,0.7255,ncasc,0.3864,pcasc,-0.0118,-0.0104
ff,27,3.30,0,0,1,1.75228e-06,1.73633e-06,1.7498e-06,1.74512e-06,1.74564e-06,1.75388e-06,0.9148,0.2678,-0.4710,0.9148,0.3797,1.0059,0.7274,ncasc,0.7213,pcasc,-0.0118,-0.0100
ff,27,3.30,0,1,2,3.50429e-06,3.47261e-06,3.49959e-06,3.49018e-06,3.49129e-06,3.50738e-06,0.9081,0.2692,-0.4599,0.9081,0.3716,0.9961,0.7269,ncasc,0.7195,pcasc,-0.0118,-0.0100
ff,27,3.30,1,0,3,5.25616e-06,5.20889e-06,5.24934e-06,5.23522e-06,5.23691e-06,5.26062e-06,0.9035,0.2694,-0.4517,0.9035,0.3667,0.9882,0.7263,ncasc,0.7177,pcasc,-0.0118,-0.0100
ff,27,3.30,1,1,4,7.00793e-06,6.94514e-06,6.99906e-06,6.98024e-06,6.98252e-06,7.01364e-06,0.9000,0.2693,-0.4448,0.9000,0.3631,0.9813,0.7258,ncasc,0.7160,pcasc,-0.0118,-0.0100
ff,27,3.63,0,0,1,1.75343e-06,1.73633e-06,1.75127e-06,1.74512e-06,1.7477e-06,1.75404e-06,0.9801,0.3517,-0.3623,0.9801,0.3273,1.0151,0.7274,ncasc,1.0512,pcasc,-0.0118,-0.0097
ff,27,3.63,0,1,2,3.50659e-06,3.47262e-06,3.50252e-06,3.49019e-06,3.4954e-06,3.50796e-06,0.9735,0.3528,-0.3586,0.9735,0.3193,1.0127,0.7269,ncasc,1.0493,pcasc,-0.0118,-0.0097
ff,27,3.63,1,0,3,5.25961e-06,5.20889e-06,5.25374e-06,5.23523e-06,5.24309e-06,5.26182e-06,0.9690,0.3530,-0.3566,0.9690,0.3145,1.0110,0.7264,ncasc,1.0474,pcasc,-0.0118,-0.0097
ff,27,3.63,1,1,4,7.01254e-06,6.94515e-06,7.00494e-06,6.98027e-06,6.99076e-06,7.01562e-06,0.9656,0.3528,-0.3550,0.9656,0.3109,1.0096,0.7259,ncasc,1.0455,pcasc,-0.0118,-0.0097
ff,125,2.97,0,0,1,1.7868e-06,1.80929e-06,1.78374e-06,1.81841e-06,1.77881e-06,1.82536e-06,-1.2513,-1.9249,-2.5828,-2.5828,0.4474,0.8834,0.6841,ncasc,0.3535,pcasc,-0.0267,-0.0245
ff,125,2.97,0,1,2,3.57324e-06,3.61815e-06,3.56739e-06,3.63635e-06,3.55755e-06,3.64936e-06,-1.2490,-1.9144,-2.5477,-2.5477,0.4397,0.8583,0.6833,ncasc,0.3514,pcasc,-0.0267,-0.0245
ff,125,2.97,1,0,3,5.35952e-06,5.42698e-06,5.351e-06,5.45424e-06,5.33625e-06,5.47296e-06,-1.2508,-1.9109,-2.5295,-2.5295,0.4348,0.8431,0.6824,ncasc,0.3493,pcasc,-0.0267,-0.0246
ff,125,2.97,1,1,4,7.14567e-06,7.23578e-06,7.13458e-06,7.2721e-06,7.11491e-06,7.29628e-06,-1.2532,-1.9091,-2.5172,-2.5172,0.4312,0.8320,0.6815,ncasc,0.3472,pcasc,-0.0267,-0.0246
ff,125,3.30,0,0,1,1.78791e-06,1.8093e-06,1.78529e-06,1.81842e-06,1.78139e-06,1.82732e-06,-1.1888,-1.8387,-2.5455,-2.5455,0.3652,0.9915,0.6842,ncasc,0.6832,pcasc,-0.0267,-0.0243
ff,125,3.30,0,1,2,3.57546e-06,3.61815e-06,3.57048e-06,3.63637e-06,3.56272e-06,3.65396e-06,-1.1868,-1.8284,-2.5285,-2.5285,0.3568,0.9847,0.6835,ncasc,0.6810,pcasc,-0.0267,-0.0243
ff,125,3.30,1,0,3,5.36286e-06,5.42699e-06,5.35565e-06,5.45429e-06,5.34403e-06,5.48039e-06,-1.1886,-1.8251,-2.5195,-2.5195,0.3517,0.9790,0.6827,ncasc,0.6788,pcasc,-0.0267,-0.0243
ff,125,3.30,1,1,4,7.15015e-06,7.2358e-06,7.14078e-06,7.27219e-06,7.1253e-06,7.30662e-06,-1.1909,-1.8236,-2.5127,-2.5127,0.3479,0.9738,0.6819,ncasc,0.6766,pcasc,-0.0267,-0.0243
ff,125,3.63,0,0,1,1.78897e-06,1.8093e-06,1.78665e-06,1.81842e-06,1.78332e-06,1.82741e-06,-1.1298,-1.7626,-2.4423,-2.4423,0.3162,0.9963,0.6843,ncasc,1.0130,pcasc,-0.0267,-0.0243
ff,125,3.63,0,1,2,3.57756e-06,3.61816e-06,3.57321e-06,3.63638e-06,3.56658e-06,3.6543e-06,-1.1282,-1.7525,-2.4295,-2.4295,0.3074,0.9938,0.6836,ncasc,1.0107,pcasc,-0.0267,-0.0243
ff,125,3.63,1,0,3,5.36601e-06,5.427e-06,5.35974e-06,5.45432e-06,5.34982e-06,5.48111e-06,-1.1301,-1.7493,-2.4243,-2.4243,0.3021,0.9921,0.6829,ncasc,1.0084,pcasc,-0.0267,-0.0243
ff,125,3.63,1,1,4,7.15435e-06,7.23582e-06,7.14623e-06,7.27224e-06,7.13304e-06,7.30785e-06,-1.1322,-1.7478,-2.4210,-2.4210,0.2982,0.9904,0.6822,ncasc,1.0061,pcasc,-0.0267,-0.0243
fs,-40,2.97,0,0,1,1.7141e-06,1.65426e-06,1.71239e-06,1.66253e-06,1.70706e-06,1.66694e-06,3.5531,2.9549,2.3784,3.5531,0.4111,0.7626,0.7567,ncasc,0.4128,pcasc,-0.0076,-0.0085
fs,-40,2.97,0,1,2,3.42793e-06,3.30849e-06,3.42474e-06,3.32499e-06,3.41413e-06,3.33327e-06,3.5462,2.9558,2.3969,3.5462,0.4031,0.7451,0.7563,ncasc,0.4109,pcasc,-0.0076,-0.0085
fs,-40,2.97,1,0,3,5.14161e-06,4.96271e-06,5.13704e-06,4.98742e-06,5.12115e-06,4.99934e-06,3.5412,2.9555,2.4073,3.5412,0.3983,0.7345,0.7558,ncasc,0.4091,pcasc,-0.0076,-0.0085
fs,-40,2.97,1,1,4,6.85518e-06,6.61691e-06,6.84928e-06,6.64984e-06,6.82814e-06,6.66523e-06,3.5373,2.9549,2.4147,3.5373,0.3947,0.7267,0.7553,ncasc,0.4073,pcasc,-0.0076,-0.0085
fs,-40,3.30,0,0,1,1.71541e-06,1.65426e-06,1.71408e-06,1.66253e-06,1.70984e-06,1.67048e-06,3.6290,3.0537,2.3287,3.6290,0.3246,0.9757,0.7568,ncasc,0.7426,pcasc,-0.0074,-0.0081
fs,-40,3.30,0,1,2,3.43056e-06,3.30849e-06,3.42812e-06,3.325e-06,3.41969e-06,3.3403e-06,3.6226,3.0541,2.3488,3.6226,0.3170,0.9567,0.7564,ncasc,0.7406,pcasc,-0.0074,-0.0081
fs,-40,3.30,1,0,3,5.14557e-06,4.96271e-06,5.14211e-06,4.98746e-06,5.12951e-06,5.0098e-06,3.6180,3.0535,2.3614,3.6180,0.3123,0.9441,0.7559,ncasc,0.7386,pcasc,-0.0074,-0.0081
fs,-40,3.30,1,1,4,6.86048e-06,6.61692e-06,6.85605e-06,6.6499e-06,6.83931e-06,6.67906e-06,3.6144,3.0527,2.3708,3.6144,0.3088,0.9345,0.7555,ncasc,0.7367,pcasc,-0.0074,-0.0081
fs,-40,3.63,0,0,1,1.71662e-06,1.65426e-06,1.71559e-06,1.66253e-06,1.71194e-06,1.67105e-06,3.6998,3.1413,2.4174,3.6998,0.2727,1.0098,0.7568,ncasc,1.0724,pcasc,-0.0072,-0.0079
fs,-40,3.63,0,1,2,3.433e-06,3.30849e-06,3.43112e-06,3.32501e-06,3.42389e-06,3.34199e-06,3.6937,3.1414,2.4210,3.6937,0.2655,1.0074,0.7564,ncasc,1.0703,pcasc,-0.0072,-0.0079
fs,-40,3.63,1,0,3,5.14925e-06,4.96271e-06,5.14661e-06,4.98747e-06,5.13582e-06,5.01287e-06,3.6894,3.1406,2.4228,3.6894,0.2610,1.0057,0.7560,ncasc,1.0682,pcasc,-0.0073,-0.0079
fs,-40,3.63,1,1,4,6.86541e-06,6.61692e-06,6.86203e-06,6.64992e-06,6.84772e-06,6.68371e-06,3.6860,3.1396,2.4242,3.6860,0.2577,1.0043,0.7556,ncasc,1.0661,pcasc,-0.0073,-0.0079
fs,27,2.97,0,0,1,1.7443e-06,1.73177e-06,1.74239e-06,1.74047e-06,1.7373e-06,1.74579e-06,0.7205,0.1104,-0.4871,0.7205,0.4014,0.8051,0.7260,ncasc,0.3844,pcasc,-0.0120,-0.0107
fs,27,2.97,0,1,2,3.48829e-06,3.46351e-06,3.48474e-06,3.48086e-06,3.4746e-06,3.49082e-06,0.7129,0.1114,-0.4658,0.7129,0.3928,0.7848,0.7254,ncasc,0.3822,pcasc,-0.0120,-0.0107
fs,27,2.97,1,0,3,5.23212e-06,5.19522e-06,5.22703e-06,5.22122e-06,5.21186e-06,5.23555e-06,0.7076,0.1113,-0.4536,0.7076,0.3876,0.7724,0.7247,ncasc,0.3799,pcasc,-0.0120,-0.0107
fs,27,2.97,1,1,4,6.97582e-06,6.92692e-06,6.96927e-06,6.96155e-06,6.94907e-06,6.98006e-06,0.7034,0.1108,-0.4450,0.7034,0.3839,0.7633,0.7241,ncasc,0.3777,pcasc,-0.0120,-0.0108
fs,27,3.30,0,0,1,1.7455e-06,1.73177e-06,1.74399e-06,1.74047e-06,1.73997e-06,1.74902e-06,0.7894,0.2023,-0.5193,0.7894,0.3173,0.9911,0.7261,ncasc,0.7141,pcasc,-0.0120,-0.0103
fs,27,3.30,0,1,2,3.49071e-06,3.46351e-06,3.48795e-06,3.48088e-06,3.47993e-06,3.49756e-06,0.7823,0.2028,-0.5051,0.7823,0.3091,0.9780,0.7255,ncasc,0.7118,pcasc,-0.0120,-0.0103
fs,27,3.30,1,0,3,5.23578e-06,5.19523e-06,5.23184e-06,5.22126e-06,5.21987e-06,5.24577e-06,0.7774,0.2024,-0.4950,0.7774,0.3041,0.9680,0.7249,ncasc,0.7094,pcasc,-0.0120,-0.0103
fs,27,3.30,1,1,4,6.98073e-06,6.92694e-06,6.97568e-06,6.96163e-06,6.95978e-06,6.99374e-06,0.7736,0.2017,-0.4868,0.7736,0.3004,0.9596,0.7244,ncasc,0.7070,pcasc,-0.0120,-0.0103
fs,27,3.63,0,0,1,1.74662e-06,1.73177e-06,1.74541e-06,1.74047e-06,1.74196e-06,1.74928e-06,0.8536,0.2834,-0.4190,0.8536,0.2668,1.0057,0.7261,ncasc,1.0439,pcasc,-0.0120,-0.0100
fs,27,3.63,0,1,2,3.49297e-06,3.46351e-06,3.49077e-06,3.48088e-06,3.48393e-06,3.49843e-06,0.8469,0.2837,-0.4152,0.8469,0.2589,1.0031,0.7256,ncasc,1.0414,pcasc,-0.0120,-0.0100
fs,27,3.63,1,0,3,5.23918e-06,5.19524e-06,5.23608e-06,5.22128e-06,5.22588e-06,5.24751e-06,0.8423,0.2830,-0.4132,0.8423,0.2541,1.0013,0.7251,ncasc,1.0389,pcasc,-0.0120,-0.0100
fs,27,3.63,1,1,4,6.98529e-06,6.92695e-06,6.98133e-06,6.96166e-06,6.96779e-06,6.99654e-06,0.8387,0.2822,-0.4117,0.8387,0.2506,0.9996,0.7246,ncasc,1.0363,pcasc,-0.0120,-0.0100
fs,125,2.97,0,0,1,1.77817e-06,1.80378e-06,1.776e-06,1.81278e-06,1.77119e-06,1.81923e-06,-1.4301,-2.0497,-2.6762,-2.6762,0.3931,0.8556,0.6823,ncasc,0.3451,pcasc,-0.0269,-0.0248
fs,125,2.97,0,1,2,3.55599e-06,3.60729e-06,3.55195e-06,3.62525e-06,3.54237e-06,3.6373e-06,-1.4324,-2.0425,-2.6443,-2.6443,0.3833,0.8277,0.6814,ncasc,0.3424,pcasc,-0.0269,-0.0248
fs,125,2.97,1,0,3,5.33363e-06,5.41078e-06,5.32784e-06,5.43767e-06,5.31351e-06,5.45498e-06,-1.4361,-2.0404,-2.6276,-2.6276,0.3776,0.8129,0.6805,ncasc,0.3397,pcasc,-0.0269,-0.0249
fs,125,2.97,1,1,4,7.11113e-06,7.21424e-06,7.10368e-06,7.25006e-06,7.08459e-06,7.27239e-06,-1.4395,-2.0396,-2.6161,-2.6161,0.3736,0.8021,0.6796,ncasc,0.3370,pcasc,-0.0269,-0.0249
fs,125,3.30,0,0,1,1.77926e-06,1.80378e-06,1.7775e-06,1.81279e-06,1.77372e-06,1.82152e-06,-1.3691,-1.9655,-2.6592,-2.6592,0.3114,0.9786,0.6824,ncasc,0.6748,pcasc,-0.0269,-0.0245
fs,125,3.30,0,1,2,3.55818e-06,3.6073e-06,3.55496e-06,3.62527e-06,3.54744e-06,3.64247e-06,-1.3709,-1.9587,-2.6435,-2.6435,0.3023,0.9701,0.6816,ncasc,0.6719,pcasc,-0.0269,-0.0245
fs,125,3.30,1,0,3,5.33695e-06,5.41079e-06,5.33235e-06,5.43773e-06,5.32112e-06,5.46316e-06,-1.3741,-1.9569,-2.6343,-2.6343,0.2969,0.9631,0.6809,ncasc,0.6690,pcasc,-0.0269,-0.0245
fs,125,3.30,1,1,4,7.11559e-06,7.21426e-06,7.10969e-06,7.25016e-06,7.09476e-06,7.28364e-06,-1.3772,-1.9564,-2.6272,-2.6272,0.2929,0.9569,0.6801,ncasc,0.6661,pcasc,-0.0269,-0.0246
fs,125,3.63,0,0,1,1.78027e-06,1.80378e-06,1.77882e-06,1.81279e-06,1.7756e-06,1.82165e-06,-1.3121,-1.8914,-2.5600,-2.5600,0.2626,0.9853,0.6825,ncasc,1.0046,pcasc,-0.0269,-0.0245
fs,125,3.63,0,1,2,3.56023e-06,3.6073e-06,3.55759e-06,3.62529e-06,3.5512e-06,3.64292e-06,-1.3134,-1.8848,-2.5501,-2.5501,0.2540,0.9826,0.6818,ncasc,1.0015,pcasc,-0.0269,-0.0245
fs,125,3.63,1,0,3,5.34004e-06,5.4108e-06,5.33631e-06,5.43776e-06,5.32676e-06,5.46412e-06,-1.3164,-1.8832,-2.5458,-2.5458,0.2488,0.9806,0.6811,ncasc,0.9984,pcasc,-0.0269,-0.0245
fs,125,3.63,1,1,4,7.11973e-06,7.21428e-06,7.11497e-06,7.25021e-06,7.1023e-06,7.28524e-06,-1.3192,-1.8829,-2.5430,-2.5430,0.2450,0.9788,0.6804,ncasc,0.9953,pcasc,-0.0269,-0.0245
sf,-40,2.97,0,0,1,1.71856e-06,1.64191e-06,1.71594e-06,1.64988e-06,1.71048e-06,1.65261e-06,4.5623,3.9250,3.4411,4.5623,0.4714,0.6487,0.7536,ncasc,0.4178,pcasc,-0.0073,-0.0083
sf,-40,2.97,0,1,2,3.43687e-06,3.28378e-06,3.43186e-06,3.29969e-06,3.42096e-06,3.30465e-06,4.5558,3.9270,3.4587,4.5558,0.4636,0.6324,0.7530,ncasc,0.4163,pcasc,-0.0073,-0.0083
sf,-40,2.97,1,0,3,5.15503e-06,4.92564e-06,5.14775e-06,4.94945e-06,5.13141e-06,4.95644e-06,4.5513,3.9278,3.4688,4.5513,0.4589,0.6224,0.7524,ncasc,0.4148,pcasc,-0.0073,-0.0083
sf,-40,2.97,1,1,4,6.87309e-06,6.56748e-06,6.8636e-06,6.59917e-06,6.84183e-06,6.60807e-06,4.5477,3.9283,3.4760,4.5477,0.4555,0.6151,0.7518,ncasc,0.4134,pcasc,-0.0073,-0.0083
sf,-40,3.30,0,0,1,1.71986e-06,1.64191e-06,1.71768e-06,1.64989e-06,1.71332e-06,1.65577e-06,4.6377,4.0261,3.4164,4.6377,0.3811,0.8399,0.7536,ncasc,0.7476,pcasc,-0.0071,-0.0080
sf,-40,3.30,0,1,2,3.43948e-06,3.28378e-06,3.43535e-06,3.29973e-06,3.42664e-06,3.31085e-06,4.6315,4.0274,3.4374,4.6315,0.3736,0.8202,0.7531,ncasc,0.7461,pcasc,-0.0072,-0.0080
sf,-40,3.30,1,0,3,5.15897e-06,4.92564e-06,5.15299e-06,4.94954e-06,5.13995e-06,4.96565e-06,4.6273,4.0276,3.4495,4.6273,0.3691,0.8083,0.7526,ncasc,0.7445,pcasc,-0.0072,-0.0080
sf,-40,3.30,1,1,4,6.87836e-06,6.56749e-06,6.87059e-06,6.59933e-06,6.85323e-06,6.62026e-06,4.6240,4.0276,3.4582,4.6240,0.3657,0.7997,0.7521,ncasc,0.7430,pcasc,-0.0072,-0.0080
sf,-40,3.63,0,0,1,1.72109e-06,1.64191e-06,1.71924e-06,1.64989e-06,1.71547e-06,1.65807e-06,4.7091,4.1164,3.4027,4.7091,0.3270,0.9798,0.7537,ncasc,1.0775,pcasc,-0.0070,-0.0077
sf,-40,3.63,0,1,2,3.44194e-06,3.28378e-06,3.43846e-06,3.29974e-06,3.43095e-06,3.31594e-06,4.7032,4.1174,3.4093,4.7032,0.3197,0.9746,0.7532,ncasc,1.0758,pcasc,-0.0070,-0.0077
sf,-40,3.63,1,0,3,5.16268e-06,4.92565e-06,5.15764e-06,4.94956e-06,5.14642e-06,4.97368e-06,4.6991,4.1175,3.4138,4.6991,0.3153,0.9704,0.7528,ncasc,1.0742,pcasc,-0.0070,-0.0077
sf,-40,3.63,1,1,4,6.88332e-06,6.5675e-06,6.8768e-06,6.59937e-06,6.86186e-06,6.63129e-06,4.6959,4.1173,3.4177,4.6959,0.3120,0.9666,0.7523,ncasc,1.0726,pcasc,-0.0070,-0.0077
sf,27,2.97,0,0,1,1.74975e-06,1.71823e-06,1.74699e-06,1.72658e-06,1.74178e-06,1.73005e-06,1.8176,1.1751,0.6754,1.8176,0.4561,0.6848,0.7220,ncasc,0.3901,pcasc,-0.0123,-0.0105
sf,27,2.97,0,1,2,3.4992e-06,3.43642e-06,3.49396e-06,3.45306e-06,3.48356e-06,3.45942e-06,1.8105,1.1773,0.6954,1.8105,0.4477,0.6662,0.7212,ncasc,0.3883,pcasc,-0.0123,-0.0105
sf,27,2.97,1,0,3,5.2485e-06,5.15458e-06,5.24089e-06,5.1795e-06,5.22531e-06,5.18849e-06,1.8056,1.1782,0.7070,1.8056,0.4427,0.6547,0.7204,ncasc,0.3865,pcasc,-0.0123,-0.0105
sf,27,2.97,1,1,4,6.99769e-06,6.87273e-06,6.98779e-06,6.90589e-06,6.96702e-06,6.91736e-06,1.8019,1.1789,0.7153,1.8019,0.4390,0.6463,0.7197,ncasc,0.3847,pcasc,-0.0123,-0.0105
sf,27,3.30,0,0,1,1.75094e-06,1.71823e-06,1.74864e-06,1.72659e-06,1.7445e-06,1.7334e-06,1.8858,1.2689,0.6381,1.8858,0.3685,0.8786,0.7221,ncasc,0.7199,pcasc,-0.0123,-0.0101
sf,27,3.30,0,1,2,3.50161e-06,3.43642e-06,3.49726e-06,3.45311e-06,3.489e-06,3.46597e-06,1.8791,1.2704,0.6622,1.8791,0.3604,0.8559,0.7214,ncasc,0.7180,pcasc,-0.0123,-0.0101
sf,27,3.30,1,0,3,5.25214e-06,5.15459e-06,5.24584e-06,5.1796e-06,5.23349e-06,5.1982e-06,1.8746,1.2707,0.6764,1.8746,0.3555,0.8420,0.7208,ncasc,0.7161,pcasc,-0.0123,-0.0101
sf,27,3.30,1,1,4,7.00256e-06,6.87275e-06,6.99439e-06,6.90607e-06,6.97794e-06,6.93019e-06,1.8710,1.2707,0.6867,1.8710,0.3519,0.8317,0.7201,ncasc,0.7142,pcasc,-0.0123,-0.0101
sf,27,3.63,0,0,1,1.75208e-06,1.71823e-06,1.7501e-06,1.72659e-06,1.74655e-06,1.73501e-06,1.9506,1.3523,0.6629,1.9506,0.3161,0.9716,0.7221,ncasc,1.0497,pcasc,-0.0123,-0.0098
