# per-cycle period and TIE sequence at the nominal point -- `typical_27c_3.30v_band5_r16_f100`
# One row per measured cycle of each of the three copies. The quiet column is the transient solver's own numerical floor at these settings; the ripple column is the signal.
cycle,quiet_t_s,quiet_period_s,quiet_tie_s,step_t_s,step_period_s,step_tie_s,ripple_t_s,ripple_period_s,ripple_tie_s
39,5.330322963e-07,1.18367e-08,-3.84825e-13,5.371038938e-07,1.23597e-08,-1.24084e-09,5.328468737e-07,1.17571e-08,-6.0681e-10
40,5.448690212e-07,1.18374e-08,-4.63052e-13,5.494635852e-07,1.23608e-08,-9.35316e-10,5.446040048e-07,1.18883e-08,-6.77262e-10
41,5.567064087e-07,1.18365e-08,1.21295e-13,5.61824373e-07,1.23589e-08,-6.287e-10,5.564922645e-07,1.20149e-08,-6.16587e-10
42,5.685428847e-07,1.1837e-08,-2.05926e-13,5.741832333e-07,1.23604e-08,-3.24012e-10,5.68507148e-07,1.21103e-08,-4.29287e-10
43,5.803799061e-07,1.18364e-08,1.23048e-14,5.865436133e-07,1.23605e-08,-1.78031e-11,5.806174436e-07,1.21556e-08,-1.46575e-10
44,5.922163292e-07,1.18363e-08,-3.67774e-13,5.989041049e-07,1.23594e-08,2.88517e-10,5.927730001e-07,1.21391e-08,1.81398e-10
45,6.040526699e-07,1.1837e-08,-8.30318e-13,6.112635206e-07,1.23595e-08,5.93761e-10,6.049120595e-07,1.20657e-08,4.92873e-10
46,6.15889708e-07,1.18368e-08,-5.95371e-13,6.236230685e-07,1.23601e-08,8.99137e-10,6.169777838e-07,1.19486e-08,7.31014e-10
47,6.277265262e-07,1.18375e-08,-5.80342e-13,6.359831309e-07,1.23607e-08,1.20503e-09,6.289263351e-07,1.18112e-08,8.51981e-10
48,6.395640015e-07,1.18373e-08,9.17908e-14,6.483438718e-07,1.23595e-08,1.5116e-09,6.407375374e-07,1.1681e-08,8.356e-10
49,6.51401269e-07,1.18376e-08,5.56018e-13,6.60703415e-07,1.23604e-08,1.81697e-09,6.524185156e-07,1.15804e-08,6.88994e-10
50,6.632388819e-07,1.18361e-08,1.36578e-12,6.730638022e-07,1.23602e-08,2.12318e-09,6.639989215e-07,1.15269e-08,4.41816e-10
51,6.750749794e-07,1.18367e-08,6.6013e-13,6.854239872e-07,1.23595e-08,2.4292e-09,6.755258146e-07,1.1527e-08,1.41125e-10
52,6.869117104e-07,1.18368e-08,5.87868e-13,6.977834504e-07,1.23597e-08,2.73449e-09,6.870528495e-07,1.158e-08,-1.59424e-10
53,6.987484665e-07,1.18367e-08,5.40795e-13,7.101431876e-07,1.23601e-08,3.04006e-09,6.986328686e-07,1.1677e-08,-4.06988e-10
54,7.105851283e-07,1.1837e-08,3.9939e-13,7.22503311e-07,1.23594e-08,3.34601e-09,7.103098981e-07,1.1802e-08,-5.57543e-10
55,7.224220964e-07,1.1837e-08,5.64315e-13,7.348627327e-07,1.23599e-08,3.65126e-09,7.221119237e-07,1.19342e-08,-5.83101e-10
