# campaign: devchar-delay
# generated_utc: 2026-07-31T03:16:18Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-delay/tb_delay_stage.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points
# topology_ring: 5-stage self-loaded ring of minimum-length CMOS inverters
#   ring1x: Wn=1.0um Wp=2.5um L=0.28um ; ring4x: Wn=4.0um Wp=10.0um L=0.28um
#   tstage = 1/(2*N*fosc) with N=5 ; fosc from 8 periods after start-up
# topology_fo1: open 4-inverter chain (1x), stage 3 measured (identical driver
#   and identical fan-out-1 load), ideal step at the chain input
# idsat_n_1u / idsat_p_2u5: single device at Vgs=Vds=Vdd, W=1.0um n / 2.5um p
# qstage/cstage: supply charge per stage transition of ring1x and Q/Vdd;
#   includes short-circuit current, so cstage is an upper bound on load C
process,temp_c,vdd_v,ring1x_fosc_hz,ring1x_tstage_s,ring1x_isupply_a,ring1x_qstage_c,ring1x_cstage_f,ring4x_fosc_hz,ring4x_tstage_s,ring4x_isupply_a,fo1_tphl_s,fo1_tplh_s,fo1_tpd_s,fo1_tfall_s,fo1_trise_s,idsat_n_1u_a,idsat_p_2u5_a
ss,125,2.97,1.43173e+09,6.98458e-11,0.000215892,3.01583e-14,1.01543e-14,1.45675e+09,6.86461e-11,0.000866644,7.20178e-11,6.77123e-11,6.9865e-11,1.00611e-10,1.02147e-10,0.000318792,0.000375829
ss,125,3.30,1.57736e+09,6.3397e-11,0.000266766,3.38243e-14,1.02498e-14,1.60075e+09,6.24708e-11,0.00106811,6.63305e-11,6.06084e-11,6.34695e-11,9.48974e-11,9.41171e-11,0.00037709,0.000462443
ss,125,3.63,1.70752e+09,5.85646e-11,0.000320589,3.75503e-14,1.03444e-14,1.72821e+09,5.78633e-11,0.00128054,6.20515e-11,5.52979e-11,5.86747e-11,9.02434e-11,8.79565e-11,0.000436136,0.000553148
typical,-40,2.97,2.39761e+09,4.17083e-11,0.000339419,2.83132e-14,9.53306e-15,2.44272e+09,4.0938e-11,0.00136098,4.27835e-11,4.068e-11,4.17317e-11,5.6937e-11,6.04247e-11,0.000491918,0.000575977
typical,-40,3.30,2.61007e+09,3.83132e-11,0.000415859,3.18658e-14,9.6563e-15,2.65169e+09,3.77119e-11,0.0016626,3.9911e-11,3.68371e-11,3.83741e-11,5.51579e-11,5.64839e-11,0.000574693,0.000700808
typical,-40,3.63,2.79218e+09,3.58143e-11,0.000495777,3.55118e-14,9.78287e-15,2.8292e+09,3.53457e-11,0.00197689,3.77871e-11,3.40173e-11,3.59022e-11,5.36288e-11,5.35645e-11,0.00065757,0.000828247
typical,27,2.97,2.08518e+09,4.79575e-11,0.000303368,2.90975e-14,9.79715e-15,2.12431e+09,4.70742e-11,0.00121567,4.92191e-11,4.67886e-11,4.80039e-11,6.81017e-11,7.17224e-11,0.000444311,0.000511872
typical,27,3.30,2.27214e+09,4.40114e-11,0.000371622,3.27112e-14,9.91249e-15,2.30814e+09,4.3325e-11,0.0014846,4.58173e-11,4.23708e-11,4.4094e-11,6.52656e-11,6.68677e-11,0.000520289,0.000622601
typical,27,3.63,2.43486e+09,4.10702e-11,0.000443322,3.64146e-14,1.00316e-14,2.4665e+09,4.05432e-11,0.00176619,4.3275e-11,3.9083e-11,4.1179e-11,6.29224e-11,6.32033e-11,0.000596502,0.000736568
typical,125,2.97,1.76408e+09,5.66867e-11,0.000266484,3.02122e-14,1.01725e-14,1.79552e+09,5.56943e-11,0.00106594,5.88922e-11,5.46631e-11,5.67777e-11,8.61368e-11,8.69934e-11,0.000385218,0.000453527
typical,125,3.30,1.92129e+09,5.20483e-11,0.000325812,3.39159e-14,1.02776e-14,1.95045e+09,5.12702e-11,0.0013001,5.47741e-11,4.95665e-11,5.21703e-11,8.14186e-11,8.08647e-11,0.00045223,0.000550909
typical,125,3.63,2.06126e+09,4.85141e-11,0.00038848,3.76935e-14,1.03839e-14,2.08691e+09,4.79177e-11,0.00154605,5.16283e-11,4.56885e-11,4.86584e-11,7.76321e-11,7.60999e-11,0.000519922,0.000652369
