# net charge per reference cycle and UP/DN pulse width at every (PVT corner, phase offset) point -- the raw evidence the per-corner verdict reduces
# ref period 40 ns (25 MHz, the top of DR-002's ratified 1-25 MHz v1 range)
# vctrl held at 1.65 V; Icp trim code b1b0=10 (3 unit legs)
# dphi_s: FB-relative-to-REF phase offset (s)
# qnet_c: net charge delivered to the control node per reference cycle (C), positive = pump sourcing.  This is the dead-zone-critical quantity.
# width_up_s/width_dn_s: UP/DN pulse width (s) at the per-corner mid-supply crossing, third reference cycle.  Their MINIMUM at dphi = 0 is the PFD reset delay that #11's retiming pulse must be at least as wide as.  An empty cell is an `optional` measurement that did not fire -- i.e. that polarity never crossed mid-supply at all, which the pre-migration runner spelled as a literal 0.
process,temp_c,vdd_v,dphi_s,qnet_c,width_up_s,width_dn_s
typical,125,3.63,200p,-2.18558e-15,1.94827e-09,1.78073e-09
typical,125,3.63,1n,5.37728e-16,2.74924e-09,1.78136e-09
ff,-40,2.97,-1n,-5.76645e-15,1.26355e-09,2.28796e-09
ff,-40,2.97,-200p,-1.90915e-15,1.26371e-09,1.48753e-09
ff,-40,2.97,0,-1.06816e-15,1.27255e-09,1.29623e-09
ff,-40,2.97,200p,9.31285e-16,1.43312e-09,1.25583e-09
ff,-40,2.97,1n,4.14536e-15,2.23432e-09,1.25678e-09
ff,-40,3.30,-1n,-8.05231e-15,1.17384e-09,2.19735e-09
ff,-40,3.30,-200p,-3.89825e-15,1.1742e-09,1.39774e-09
ff,-40,3.30,0,-6.89477e-16,1.18343e-09,1.20658e-09
ff,-40,3.30,200p,-2.63421e-16,1.34929e-09,1.17118e-09
ff,-40,3.30,1n,3.5168e-15,2.14992e-09,1.17152e-09
ff,-40,3.63,-1n,-9.67653e-15,1.1063e-09,2.12956e-09
ff,-40,3.63,-200p,-6.2555e-15,1.10671e-09,1.33006e-09
ff,-40,3.63,0,-3.22872e-15,1.11668e-09,1.13959e-09
ff,-40,3.63,200p,-2.04766e-15,1.28662e-09,1.10798e-09
ff,-40,3.63,1n,4.59713e-16,2.08697e-09,1.10823e-09
ff,27,2.97,-1n,-5.84939e-15,1.45582e-09,2.4864e-09
ff,27,2.97,-200p,-2.44368e-15,1.45606e-09,1.68669e-09
ff,27,2.97,0,-5.43357e-16,1.46653e-09,1.49675e-09
ff,27,2.97,200p,9.90237e-17,1.6205e-09,1.44912e-09
ff,27,2.97,1n,4.02415e-15,2.42069e-09,1.44909e-09
ff,27,3.30,-1n,-7.33947e-15,1.34911e-09,2.37847e-09
ff,27,3.30,-200p,-3.96563e-15,1.34919e-09,1.57829e-09
ff,27,3.30,0,-1.17287e-15,1.36037e-09,1.38933e-09
ff,27,3.30,200p,-3.33491e-16,1.519e-09,1.34672e-09
ff,27,3.30,1n,2.65385e-15,2.32e-09,1.34718e-09
ff,27,3.63,-1n,-9.51237e-15,1.26739e-09,2.2958e-09
ff,27,3.63,-200p,-5.72131e-15,1.26726e-09,1.49514e-09
ff,27,3.63,0,-3.42324e-15,1.27902e-09,1.30708e-09
ff,27,3.63,200p,-2.71574e-15,1.44304e-09,1.2698e-09
ff,27,3.63,1n,8.81963e-16,2.24389e-09,1.27003e-09
ff,125,2.97,-1n,-6.53806e-15,1.73081e-09,2.77016e-09
ff,125,2.97,-200p,-2.62779e-15,1.73159e-09,1.97137e-09
ff,125,2.97,0,-5.07448e-16,1.74622e-09,1.78499e-09
ff,125,2.97,200p,4.41997e-16,1.88925e-09,1.72642e-09
ff,125,2.97,1n,4.05401e-15,2.68913e-09,1.72577e-09
ff,125,3.30,-1n,-8.30694e-15,1.60102e-09,2.63858e-09
ff,125,3.30,-200p,-4.28481e-15,1.60169e-09,1.83957e-09
ff,125,3.30,0,-2.10734e-15,1.61662e-09,1.65376e-09
ff,125,3.30,200p,-1.04971e-15,1.76718e-09,1.60229e-09
ff,125,3.30,1n,2.79123e-15,2.56751e-09,1.60214e-09
ff,125,3.63,-1n,-9.80078e-15,1.49956e-09,2.5355e-09
ff,125,3.63,-200p,-6.1524e-15,1.50033e-09,1.73658e-09
ff,125,3.63,0,-3.49669e-15,1.51562e-09,1.55134e-09
ff,125,3.63,200p,-2.30157e-15,1.67244e-09,1.50598e-09
ff,125,3.63,1n,6.22328e-16,2.47207e-09,1.50559e-09
ss,-40,2.97,-1n,-5.00511e-15,1.87332e-09,2.89129e-09
ss,-40,2.97,-200p,-1.27059e-15,1.87396e-09,2.09228e-09
ss,-40,2.97,0,-1.81711e-16,1.88737e-09,1.90473e-09
ss,-40,2.97,200p,1.24223e-15,2.04072e-09,1.85779e-09
ss,-40,2.97,1n,4.51083e-15,2.84263e-09,1.85876e-09
ss,-40,3.30,-1n,-6.39416e-15,1.69506e-09,2.7137e-09
ss,-40,3.30,-200p,-2.20043e-15,1.69561e-09,1.91425e-09
ss,-40,3.30,0,-6.36187e-16,1.70903e-09,1.72722e-09
ss,-40,3.30,200p,2.22362e-16,1.87029e-09,1.68777e-09
ss,-40,3.30,1n,3.6921e-15,2.67169e-09,1.68847e-09
ss,-40,3.63,-1n,-8.5162e-15,1.5651e-09,2.58449e-09
ss,-40,3.63,-200p,-4.04285e-15,1.56502e-09,1.78481e-09
ss,-40,3.63,0,-2.12599e-15,1.57924e-09,1.5982e-09
ss,-40,3.63,200p,-1.35898e-15,1.74555e-09,1.56317e-09
ss,-40,3.63,1n,1.71557e-15,2.54645e-09,1.56382e-09
ss,27,2.97,-1n,-5.60869e-15,2.1605e-09,3.18473e-09
ss,27,2.97,-200p,-1.38643e-15,2.16181e-09,2.38647e-09
ss,27,2.97,0,-1.68331e-16,2.1784e-09,2.20199e-09
ss,27,2.97,200p,1.01737e-15,2.32135e-09,2.14419e-09
ss,27,2.97,1n,4.67098e-15,3.1236e-09,2.14562e-09
ss,27,3.30,-1n,-6.90561e-15,1.95366e-09,2.97787e-09
ss,27,3.30,-200p,-2.62783e-15,1.95459e-09,2.17923e-09
ss,27,3.30,0,-9.89914e-16,1.97115e-09,1.99483e-09
ss,27,3.30,200p,8.47435e-17,2.12268e-09,1.94572e-09
ss,27,3.30,1n,3.73945e-15,2.92505e-09,1.94702e-09
ss,27,3.63,-1n,-9.02431e-15,1.80164e-09,2.82647e-09
ss,27,3.63,-200p,-4.47613e-15,1.8013e-09,2.02647e-09
ss,27,3.63,0,-2.53158e-15,1.81926e-09,1.84368e-09
ss,27,3.63,200p,-1.75549e-15,1.97764e-09,1.80091e-09
ss,27,3.63,1n,1.54272e-15,2.77846e-09,1.80095e-09
ss,125,2.97,-1n,-5.90346e-15,2.56108e-09,3.59492e-09
ss,125,2.97,-200p,-1.52644e-15,2.56365e-09,2.7978e-09
ss,125,2.97,0,-6.97822e-17,2.58388e-09,2.61713e-09
ss,125,2.97,200p,1.00937e-15,2.7139e-09,2.54622e-09
ss,125,2.97,1n,4.64385e-15,3.51524e-09,2.54676e-09
ss,125,3.30,-1n,-7.53058e-15,2.31911e-09,3.35228e-09
ss,125,3.30,-200p,-2.69969e-15,2.32155e-09,2.5551e-09
ss,125,3.30,0,-1.14017e-15,2.34171e-09,2.37445e-09
ss,125,3.30,200p,-1.48317e-16,2.4817e-09,2.31334e-09
ss,125,3.30,1n,3.41366e-15,3.28359e-09,2.31431e-09
ss,125,3.63,-1n,-9.45533e-15,2.13776e-09,3.1706e-09
ss,125,3.63,-200p,-4.3726e-15,2.13942e-09,2.3729e-09
ss,125,3.63,0,-2.83555e-15,2.16051e-09,2.19295e-09
ss,125,3.63,200p,-1.72362e-15,2.30756e-09,2.13887e-09
ss,125,3.63,1n,1.48409e-15,3.10966e-09,2.13994e-09
fs,-40,2.97,-1n,-5.60184e-15,1.50315e-09,2.52853e-09
fs,-40,2.97,-200p,-1.65996e-15,1.50372e-09,1.72869e-09
fs,-40,2.97,0,-1.74161e-16,1.515e-09,1.53976e-09
fs,-40,2.97,200p,9.96206e-16,1.66956e-09,1.49251e-09
fs,-40,2.97,1n,4.31865e-15,2.47118e-09,1.49346e-09
fs,-40,3.30,-1n,-6.02185e-15,1.37317e-09,2.3968e-09
fs,-40,3.30,-200p,-2.81113e-15,1.37389e-09,1.59735e-09
fs,-40,3.30,0,-5.1213e-16,1.38545e-09,1.40856e-09
fs,-40,3.30,200p,4.1166e-17,1.5472e-09,1.36836e-09
fs,-40,3.30,1n,3.99644e-15,2.34811e-09,1.36868e-09
fs,-40,3.63,-1n,-8.27245e-15,1.28206e-09,2.30494e-09
fs,-40,3.63,-200p,-4.51228e-15,1.28179e-09,1.50476e-09
fs,-40,3.63,0,-2.43758e-15,1.29385e-09,1.31624e-09
fs,-40,3.63,200p,-1.24971e-15,1.46025e-09,1.28023e-09
fs,-40,3.63,1n,1.84522e-15,2.26144e-09,1.28126e-09
fs,27,2.97,-1n,-5.54166e-15,1.73109e-09,2.7631e-09
fs,27,2.97,-200p,-1.5514e-15,1.73217e-09,1.96435e-09
fs,27,2.97,0,-2.78173e-16,1.7462e-09,1.7777e-09
fs,27,2.97,200p,6.8479e-16,1.89164e-09,1.72073e-09
fs,27,2.97,1n,4.34295e-15,2.69289e-09,1.72128e-09
fs,27,3.30,-1n,-6.85689e-15,1.5821e-09,2.61172e-09
fs,27,3.30,-200p,-2.63661e-15,1.58242e-09,1.81244e-09
fs,27,3.30,0,-1.05173e-15,1.59655e-09,1.6257e-09
fs,27,3.30,200p,-5.16884e-17,1.75031e-09,1.57694e-09
fs,27,3.30,1n,2.99461e-15,2.55139e-09,1.57753e-09
fs,27,3.63,-1n,-9.05568e-15,1.47094e-09,2.49929e-09
fs,27,3.63,-200p,-4.678e-15,1.47146e-09,1.69968e-09
fs,27,3.63,0,-2.80812e-15,1.48631e-09,1.5141e-09
fs,27,3.63,200p,-1.40746e-15,1.64491e-09,1.47057e-09
fs,27,3.63,1n,1.91649e-15,2.4464e-09,1.47117e-09
fs,125,2.97,-1n,-6.46461e-15,2.05262e-09,3.09444e-09
fs,125,2.97,-200p,-2.10072e-15,2.05421e-09,2.29637e-09
fs,125,2.97,0,-5.84765e-16,2.07206e-09,2.11313e-09
fs,125,2.97,200p,6.29107e-16,2.20542e-09,2.04332e-09
fs,125,2.97,1n,4.0257e-15,3.0054e-09,2.0426e-09
fs,125,3.30,-1n,-7.57515e-15,1.87709e-09,2.91561e-09
fs,125,3.30,-200p,-3.36629e-15,1.87844e-09,2.11736e-09
fs,125,3.30,0,-1.46326e-15,1.89645e-09,1.93436e-09
fs,125,3.30,200p,-2.72638e-16,2.03943e-09,1.87443e-09
fs,125,3.30,1n,3.09285e-15,2.83948e-09,1.87384e-09
fs,125,3.63,-1n,-9.63701e-15,1.74297e-09,2.77942e-09
fs,125,3.63,-200p,-4.79858e-15,1.74398e-09,1.98069e-09
fs,125,3.63,0,-2.96922e-15,1.76254e-09,1.79842e-09
fs,125,3.63,200p,-2.11403e-15,1.912e-09,1.74505e-09
fs,125,3.63,1n,1.32393e-15,2.71298e-09,1.74539e-09
sf,-40,2.97,-1n,-5.33903e-15,1.5603e-09,2.57875e-09
sf,-40,2.97,-200p,-1.94421e-15,1.56038e-09,1.77918e-09
sf,-40,2.97,0,2.97121e-16,1.57134e-09,1.58944e-09
sf,-40,2.97,200p,1.18013e-15,1.73279e-09,1.55069e-09
sf,-40,2.97,1n,4.22301e-15,2.53333e-09,1.55074e-09
sf,-40,3.30,-1n,-6.71201e-15,1.43059e-09,2.4504e-09
sf,-40,3.30,-200p,-2.90294e-15,1.4311e-09,1.65119e-09
sf,-40,3.30,0,-7.75335e-16,1.44146e-09,1.46098e-09
sf,-40,3.30,200p,1.18926e-18,1.61112e-09,1.43026e-09
sf,-40,3.30,1n,3.26785e-15,2.40963e-09,1.42833e-09
sf,-40,3.63,-1n,-8.64504e-15,1.33823e-09,2.3593e-09
sf,-40,3.63,-200p,-4.98337e-15,1.33884e-09,1.55991e-09
sf,-40,3.63,0,-2.96622e-15,1.35063e-09,1.37145e-09
sf,-40,3.63,200p,-1.59475e-15,1.52038e-09,1.34041e-09
sf,-40,3.63,1n,1.5319e-15,2.3215e-09,1.34133e-09
sf,27,2.97,-1n,-5.80507e-15,1.80365e-09,2.82809e-09
sf,27,2.97,-200p,-1.75018e-15,1.80482e-09,2.02925e-09
sf,27,2.97,0,-5.19958e-16,1.81685e-09,1.84082e-09
sf,27,2.97,200p,8.56824e-16,1.96959e-09,1.79355e-09
sf,27,2.97,1n,4.16869e-15,2.77077e-09,1.7937e-09
sf,27,3.30,-1n,-7.34311e-15,1.65039e-09,2.67578e-09
sf,27,3.30,-200p,-3.00461e-15,1.6511e-09,1.87669e-09
sf,27,3.30,0,-1.40204e-15,1.66387e-09,1.68898e-09
sf,27,3.30,200p,-3.44443e-16,1.82409e-09,1.6488e-09
sf,27,3.30,1n,3.06363e-15,2.62466e-09,1.64873e-09
sf,27,3.63,-1n,-9.41573e-15,1.53737e-09,2.56372e-09
sf,27,3.63,-200p,-5.00928e-15,1.53751e-09,1.76385e-09
sf,27,3.63,0,-2.90038e-15,1.55135e-09,1.57744e-09
sf,27,3.63,200p,-2.15323e-15,1.71527e-09,1.54054e-09
sf,27,3.63,1n,1.12939e-15,2.51604e-09,1.54089e-09
sf,125,2.97,-1n,-6.27632e-15,2.14403e-09,3.17752e-09
sf,125,2.97,-200p,-1.84041e-15,2.14548e-09,2.37899e-09
sf,125,2.97,0,-1.27829e-16,2.16162e-09,2.1947e-09
sf,125,2.97,200p,1.01171e-15,2.30347e-09,2.13585e-09
sf,125,2.97,1n,4.2305e-15,3.10435e-09,2.13614e-09
sf,125,3.30,-1n,-7.91933e-15,1.96468e-09,2.99875e-09
sf,125,3.30,-200p,-3.20713e-15,1.96601e-09,2.20022e-09
sf,125,3.30,0,-1.56007e-15,1.98277e-09,2.01641e-09
sf,125,3.30,200p,-4.53041e-16,2.13269e-09,1.96545e-09
sf,125,3.30,1n,3.07676e-15,2.9334e-09,1.96586e-09
sf,125,3.63,-1n,-1.05287e-14,1.82695e-09,2.86101e-09
sf,125,3.63,-200p,-5.31333e-15,1.82798e-09,2.06237e-09
sf,125,3.63,0,-2.46166e-15,1.84584e-09,1.87957e-09
sf,125,3.63,200p,-1.7823e-15,2.00101e-09,1.83425e-09
sf,125,3.63,1n,1.25036e-15,2.80184e-09,1.83428e-09
