# campaign: supply-sensitivity (issue #511)
# question: CAN the band-selection rule keep the loop off the bottom of the
#   control window, where DR-012 Decision 4b measured the criterion is lost?
# sweep: f_out 10-200 MHz in 5 MHz steps x 5 bundles x 3 temperatures x 3 supplies
# band_rule: the lowest band reaching f at all three supplies inside DR-003
#   Decision 5's measured 0.9-2.7 V window
# t_sys_ns: sim/pfd-deadzone's MEASURED open-loop systematic term at that Vctrl,
#   interpolated on its 0.90/1.65/2.40 V grid (record 20260916-051356-8cedbba)
# over_ratified: |t_sys| > the ratified 1 ns Lock criterion, on the SYSTEMATIC
#   term alone -- before mc-cp-mismatch's 0.576 ns statistical term and the
#   0.239 ns divider retiming term are added
# budget_sum_ns / over_budget: DR-012 Decision 4a's summed budget at this point,
#   t_sys + 0.576 statistical + 0.239 retiming, graded against the
#   same ratified 1 ns. A worst-case linear sum, as the budget states it.
# NOTE: t_sys is measured OPEN LOOP at f_ref = 12.5 MHz. A cell at another f_out
#   runs at another f_ref under the Icp trim-code rule; DR-012 measured f_ref
#   moves this term by -6.4 % over a 2:1 change, so it is carried as the
#   operating-point term it is, not as a closed-loop prediction.
# NO SIMULATION WAS RUN. Every column is arithmetic on committed data.
fout_mhz,bundle,temp_c,vdd_v,band_rule,vctrl_rule_v,t_sys_ns,budget_sum_ns,over_ratified,over_budget,note
10,ss,-40,3.63,1,1.998,0.2467,1.0617,no,yes,
10,ss,27,2.97,1,1.324,0.3814,1.1964,no,yes,
10,ss,27,3.30,1,1.601,0.2604,1.0754,no,yes,
10,ss,27,3.63,1,1.840,0.4241,1.2391,no,yes,
10,ss,125,2.97,1,1.170,0.5804,1.3954,no,yes,
10,ss,125,3.30,1,1.420,0.5476,1.3626,no,yes,
10,ss,125,3.63,1,1.643,0.5307,1.3457,no,yes,
10,fs,-40,2.97,1,1.520,0.1916,1.0066,no,yes,
10,fs,-40,3.30,1,1.763,0.1383,0.9533,no,no,
10,fs,-40,3.63,1,1.977,0.3433,1.1583,no,yes,
10,fs,27,2.97,1,1.411,0.3416,1.1566,no,yes,
10,fs,27,3.30,1,1.644,0.2042,1.0192,no,yes,
10,fs,27,3.63,1,1.847,0.4598,1.2748,no,yes,
10,fs,125,2.97,1,1.283,0.5714,1.3864,no,yes,
10,fs,125,3.30,1,1.499,0.4934,1.3084,no,yes,
10,fs,125,3.63,1,1.690,0.5343,1.3493,no,yes,
10,sf,-40,2.97,1,1.600,0.0858,0.9008,no,no,
10,sf,-40,3.30,1,1.853,0.2482,1.0632,no,yes,
10,sf,-40,3.63,1,2.063,0.3113,1.1263,no,yes,
10,sf,27,2.97,1,1.475,0.3097,1.1247,no,yes,
10,sf,27,3.30,1,1.707,0.2601,1.0751,no,yes,
10,sf,27,3.63,1,1.915,0.4182,1.2332,no,yes,
10,sf,125,2.97,1,1.313,0.4791,1.2941,no,yes,
10,sf,125,3.30,1,1.535,0.4587,1.2737,no,yes,
10,sf,125,3.63,1,1.729,0.4049,1.2199,no,yes,
15,typical,-40,2.97,2,1.328,0.4058,1.2208,no,yes,
15,typical,-40,3.30,2,1.563,0.3745,1.1895,no,yes,
15,typical,-40,3.63,2,1.764,0.5270,1.3420,no,yes,
15,typical,27,2.97,2,1.234,0.5349,1.3499,no,yes,
15,typical,27,3.30,2,1.466,0.4573,1.2723,no,yes,
15,typical,27,3.63,2,1.650,0.5646,1.3796,no,yes,
15,typical,125,2.97,2,1.108,0.7367,1.5517,no,yes,
15,typical,125,3.30,2,1.316,0.8030,1.6180,no,yes,
15,typical,125,3.63,2,1.500,0.8178,1.6328,no,yes,
15,ff,-40,2.97,2,1.409,0.4150,1.2300,no,yes,
15,ff,-40,3.30,2,1.607,0.2506,1.0656,no,yes,
15,ff,-40,3.63,2,1.773,0.5489,1.3639,no,yes,
15,ff,27,2.97,2,1.326,0.5122,1.3272,no,yes,
15,ff,27,3.30,2,1.519,0.4633,1.2783,no,yes,
15,ff,27,3.63,2,1.682,0.6368,1.4518,no,yes,
15,ff,125,2.97,2,1.218,0.6610,1.4760,no,yes,
15,ff,125,3.30,2,1.397,0.7473,1.5623,no,yes,
15,ff,125,3.63,2,1.551,0.7919,1.6069,no,yes,
15,ss,-40,2.97,2,1.193,0.4777,1.2927,no,yes,
15,ss,-40,3.30,2,1.487,0.3602,1.1752,no,yes,
15,ss,-40,3.63,2,1.725,0.3315,1.1465,no,yes,
15,ss,27,2.97,2,1.098,0.6258,1.4408,no,yes,
15,ss,27,3.30,2,1.366,0.6038,1.4188,no,yes,
15,ss,27,3.63,2,1.595,0.5937,1.4087,no,yes,
15,ss,125,2.97,2,0.957,0.8319,1.6469,no,yes,
15,ss,125,3.30,2,1.204,0.8663,1.6813,no,yes,
15,ss,125,3.63,2,1.416,0.8955,1.7105,no,yes,
15,fs,-40,2.97,2,1.295,0.4473,1.2623,no,yes,
15,fs,-40,3.30,2,1.527,0.3151,1.1301,no,yes,
15,fs,-40,3.63,2,1.728,0.4408,1.2558,no,yes,
15,fs,27,2.97,2,1.211,0.5858,1.4008,no,yes,
15,fs,27,3.30,2,1.431,0.5376,1.3526,no,yes,
15,fs,27,3.63,2,1.621,0.5524,1.3674,no,yes,
15,fs,125,2.97,2,1.098,0.8037,1.6187,no,yes,
15,fs,125,3.30,2,1.301,0.8040,1.6190,no,yes,
15,fs,125,3.63,2,1.484,0.8236,1.6386,no,yes,
15,sf,-40,2.97,2,1.358,0.3697,1.1847,no,yes,
15,sf,-40,3.30,2,1.596,0.2796,1.0946,no,yes,
15,sf,-40,3.63,2,1.795,0.4555,1.2705,no,yes,
15,sf,27,2.97,2,1.254,0.5512,1.3662,no,yes,
15,sf,27,3.30,2,1.480,0.5022,1.3172,no,yes,
15,sf,27,3.63,2,1.673,0.5217,1.3367,no,yes,
15,sf,125,2.97,2,1.109,0.7608,1.5758,no,yes,
15,sf,125,3.30,2,1.321,0.7605,1.5755,no,yes,
15,sf,125,3.63,2,1.507,0.6978,1.5128,no,yes,
20,typical,-40,2.97,2,1.904,0.1495,0.9645,no,no,
20,typical,-40,3.30,2,2.218,0.2818,1.0968,no,yes,
20,typical,-40,3.63,2,2.495,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
20,typical,27,2.97,2,1.787,0.1035,0.9185,no,no,
20,typical,27,3.30,2,2.078,0.2677,1.0827,no,yes,
20,typical,27,3.63,2,2.342,0.2372,1.0522,no,yes,
20,typical,125,2.97,2,1.642,0.0576,0.8726,no,no,
20,typical,125,3.30,2,1.914,0.3010,1.1160,no,yes,
20,typical,125,3.63,2,2.159,0.3192,1.1342,no,yes,
20,ff,-40,2.97,2,1.997,0.3353,1.1503,no,yes,
20,ff,-40,3.30,2,2.267,0.3324,1.1474,no,yes,
20,ff,-40,3.63,2,2.507,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
20,ff,27,2.97,2,1.887,0.2756,1.0906,no,yes,
20,ff,27,3.30,2,2.149,0.3324,1.1474,no,yes,
20,ff,27,3.63,2,2.376,0.1902,1.0052,no,yes,
20,ff,125,2.97,2,1.757,0.1686,0.9836,no,no,
20,ff,125,3.30,2,1.999,0.4040,1.2190,no,yes,
20,ff,125,3.63,2,2.214,0.3303,1.1453,no,yes,
20,ss,-40,2.97,2,1.747,0.0649,0.8799,no,no,
20,ss,-40,3.30,2,2.125,0.1979,1.0129,no,yes,
20,ss,-40,3.63,2,2.449,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
20,ss,27,2.97,2,1.636,0.0455,0.8605,no,no,
20,ss,27,3.30,2,1.979,0.2246,1.0396,no,yes,
20,ss,27,3.63,2,2.281,0.2201,1.0351,no,yes,
20,ss,125,2.97,2,1.489,0.2039,1.0189,no,yes,
20,ss,125,3.30,2,1.794,0.2128,1.0278,no,yes,
20,ss,125,3.63,2,2.075,0.3144,1.1294,no,yes,
20,fs,-40,2.97,2,1.844,0.1513,0.9663,no,no,
20,fs,-40,3.30,2,2.156,0.2966,1.1116,no,yes,
20,fs,-40,3.63,2,2.433,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
20,fs,27,2.97,2,1.735,0.1043,0.9193,no,no,
20,fs,27,3.30,2,2.028,0.2764,1.0914,no,yes,
20,fs,27,3.63,2,2.291,0.3567,1.1717,no,yes,
20,fs,125,2.97,2,1.607,0.1653,0.9803,no,no,
20,fs,125,3.30,2,1.876,0.2902,1.1052,no,yes,
20,fs,125,3.63,2,2.120,0.3602,1.1752,no,yes,
20,sf,-40,2.97,2,1.961,0.1848,0.9998,no,no,
20,sf,-40,3.30,2,2.277,0.3518,1.1668,no,yes,
20,sf,-40,3.63,2,2.553,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
20,sf,27,2.97,2,1.831,0.1934,1.0084,no,yes,
20,sf,27,3.30,2,2.130,0.3052,1.1202,no,yes,
20,sf,27,3.63,2,2.389,0.2157,1.0307,no,yes,
20,sf,125,2.97,2,1.670,0.0250,0.8400,no,no,
20,sf,125,3.30,2,1.942,0.2865,1.1015,no,yes,
20,sf,125,3.63,2,2.187,0.1442,0.9592,no,no,
25,typical,-40,2.97,3,1.352,0.3761,1.1911,no,yes,
25,typical,-40,3.30,3,1.614,0.2991,1.1141,no,yes,
25,typical,-40,3.63,3,1.844,0.4962,1.3112,no,yes,
25,typical,27,2.97,3,1.249,0.5167,1.3317,no,yes,
25,typical,27,3.30,3,1.494,0.4147,1.2297,no,yes,
25,typical,27,3.63,3,1.708,0.5370,1.3520,no,yes,
25,typical,125,2.97,3,1.108,0.7362,1.5512,no,yes,
25,typical,125,3.30,3,1.333,0.7780,1.5930,no,yes,
25,typical,125,3.63,3,1.536,0.7594,1.5744,no,yes,
25,ff,-40,2.97,3,1.454,0.3628,1.1778,no,yes,
25,ff,-40,3.30,3,1.677,0.1844,0.9994,no,no,
25,ff,-40,3.63,3,1.873,0.4946,1.3096,no,yes,
25,ff,27,2.97,3,1.355,0.4747,1.2897,no,yes,
25,ff,27,3.30,3,1.569,0.3851,1.2001,no,yes,
25,ff,27,3.63,3,1.755,0.5896,1.4046,no,yes,
25,ff,125,2.97,3,1.230,0.6441,1.4591,no,yes,
25,ff,125,3.30,3,1.427,0.7029,1.5179,no,yes,
25,ff,125,3.63,3,1.601,0.7088,1.5238,no,yes,
25,ss,-40,2.97,3,1.193,0.4768,1.2918,no,yes,
25,ss,-40,3.30,3,1.512,0.3239,1.1389,no,yes,
25,ss,-40,3.63,3,1.782,0.3137,1.1287,no,yes,
25,ss,27,2.97,3,1.088,0.6363,1.4513,no,yes,
25,ss,27,3.30,3,1.381,0.5824,1.3974,no,yes,
25,ss,27,3.63,3,1.635,0.5343,1.3493,no,yes,
25,ss,125,2.97,2,1.968,0.1765,0.9915,no,no,
25,ss,125,3.30,2,2.344,0.2305,1.0455,no,yes,
25,ss,125,3.63,2,2.689,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
25,fs,-40,2.97,3,1.317,0.4223,1.2373,no,yes,
25,fs,-40,3.30,3,1.578,0.2230,1.0380,no,yes,
25,fs,-40,3.63,3,1.803,0.4114,1.2264,no,yes,
25,fs,27,2.97,3,1.225,0.5697,1.3847,no,yes,
25,fs,27,3.30,3,1.464,0.4866,1.3016,no,yes,
25,fs,27,3.63,3,1.676,0.4996,1.3146,no,yes,
25,fs,125,2.97,3,1.098,0.8032,1.6182,no,yes,
25,fs,125,3.30,3,1.318,0.7771,1.5921,no,yes,
25,fs,125,3.63,3,1.519,0.7668,1.5818,no,yes,
25,sf,-40,2.97,3,1.382,0.3413,1.1563,no,yes,
25,sf,-40,3.30,3,1.647,0.2023,1.0173,no,yes,
25,sf,-40,3.63,3,1.875,0.4127,1.2277,no,yes,
25,sf,27,2.97,3,1.269,0.5352,1.3502,no,yes,
25,sf,27,3.30,3,1.516,0.4500,1.2650,no,yes,
25,sf,27,3.63,3,1.734,0.4958,1.3108,no,yes,
25,sf,125,2.97,3,1.110,0.7595,1.5745,no,yes,
25,sf,125,3.30,3,1.340,0.7331,1.5481,no,yes,
25,sf,125,3.63,3,1.543,0.6352,1.4502,no,yes,
30,typical,-40,2.97,3,1.697,0.0404,0.8554,no,no,
30,typical,-40,3.30,3,2.009,0.2681,1.0831,no,yes,
30,typical,-40,3.63,3,2.290,0.3245,1.1395,no,yes,
30,typical,27,2.97,3,1.577,0.1138,0.9288,no,no,
30,typical,27,3.30,3,1.867,0.2239,1.0389,no,yes,
30,typical,27,3.63,3,2.131,0.3368,1.1518,no,yes,
30,typical,125,2.97,3,1.427,0.3306,1.1456,no,yes,
30,typical,125,3.30,3,1.691,0.3093,1.1243,no,yes,
30,typical,125,3.63,3,1.932,0.4333,1.2483,no,yes,
30,ff,-40,2.97,3,1.809,0.2247,1.0397,no,yes,
30,ff,-40,3.30,3,2.078,0.2851,1.1001,no,yes,
30,ff,-40,3.63,3,2.321,0.2537,1.0687,no,yes,
30,ff,27,2.97,3,1.695,0.1368,0.9518,no,no,
30,ff,27,3.30,3,1.951,0.3017,1.1167,no,yes,
30,ff,27,3.63,3,2.179,0.3172,1.1322,no,yes,
30,ff,125,2.97,3,1.554,0.2189,1.0339,no,yes,
30,ff,125,3.30,3,1.791,0.3865,1.2015,no,yes,
30,ff,125,3.63,3,2.001,0.4428,1.2578,no,yes,
30,ss,-40,2.97,3,1.523,0.1387,0.9537,no,no,
30,ss,-40,3.30,3,1.896,0.1647,0.9797,no,no,
30,ss,-40,3.63,3,2.219,0.1782,0.9932,no,no,
30,ss,27,2.97,3,1.412,0.2865,1.1015,no,yes,
30,ss,27,3.30,3,1.749,0.1996,1.0146,no,yes,
30,ss,27,3.63,3,2.048,0.3279,1.1429,no,yes,
30,ss,125,2.97,3,1.259,0.4751,1.2901,no,yes,
30,ss,125,3.30,3,1.558,0.3442,1.1592,no,yes,
30,ss,125,3.63,3,1.830,0.4324,1.2474,no,yes,
30,fs,-40,2.97,3,1.647,0.0469,0.8619,no,no,
30,fs,-40,3.30,3,1.956,0.2162,1.0312,no,yes,
30,fs,-40,3.63,3,2.232,0.2437,1.0587,no,yes,
30,fs,27,2.97,3,1.538,0.1858,1.0008,no,yes,
30,fs,27,3.30,3,1.824,0.2323,1.0473,no,yes,
30,fs,27,3.63,3,2.083,0.4052,1.2202,no,yes,
30,fs,125,2.97,3,1.401,0.4227,1.2377,no,yes,
30,fs,125,3.30,3,1.661,0.2586,1.0736,no,yes,
30,fs,125,3.63,3,1.901,0.4489,1.2639,no,yes,
30,sf,-40,2.97,3,1.746,0.0753,0.8903,no,no,
30,sf,-40,3.30,3,2.061,0.2989,1.1139,no,yes,
30,sf,-40,3.63,3,2.337,0.1633,0.9783,no,no,
30,sf,27,2.97,3,1.614,0.1576,0.9726,no,no,
30,sf,27,3.30,3,1.905,0.2812,1.0962,no,yes,
30,sf,27,3.63,3,2.167,0.3106,1.1256,no,yes,
30,sf,125,2.97,3,1.446,0.2951,1.1101,no,yes,
30,sf,125,3.30,3,1.713,0.2939,1.1089,no,yes,
30,sf,125,3.63,3,1.955,0.2762,1.0912,no,yes,
35,typical,-40,2.97,4,1.046,0.7467,1.5617,no,yes,
35,typical,-40,3.30,4,1.279,0.7982,1.6132,no,yes,
35,typical,-40,3.63,4,1.478,0.8322,1.6472,no,yes,
35,typical,27,2.97,3,1.890,0.1631,0.9781,no,no,
35,typical,27,3.30,3,2.226,0.2983,1.1133,no,yes,
35,typical,27,3.63,3,2.535,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,typical,125,2.97,3,1.728,0.0950,0.9100,no,no,
35,typical,125,3.30,3,2.033,0.2965,1.1115,no,yes,
35,typical,125,3.63,3,2.313,0.2414,1.0564,no,yes,
35,ff,-40,2.97,4,1.158,0.7112,1.5262,no,yes,
35,ff,-40,3.30,4,1.349,0.6882,1.5032,no,yes,
35,ff,-40,3.63,4,1.514,0.8416,1.6566,no,yes,
35,ff,27,2.97,3,2.023,0.3738,1.1888,no,yes,
35,ff,27,3.30,3,2.322,0.3590,1.1740,no,yes,
35,ff,27,3.63,3,2.589,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,ff,125,2.97,3,1.864,0.2442,1.0592,no,yes,
35,ff,125,3.30,3,2.138,0.4157,1.2307,no,yes,
35,ff,125,3.63,3,2.389,0.2378,1.0528,no,yes,
35,ss,-40,2.97,3,1.837,0.1170,0.9320,no,no,
35,ss,-40,3.30,3,2.262,0.2178,1.0328,no,yes,
35,ss,-40,3.63,3,2.644,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,ss,27,2.97,3,1.711,0.0615,0.8765,no,no,
35,ss,27,3.30,3,2.096,0.2371,1.0521,no,yes,
35,ss,27,3.63,3,2.444,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,ss,125,2.97,3,1.550,0.1326,0.9476,no,no,
35,ss,125,3.30,3,1.891,0.2159,1.0309,no,yes,
35,ss,125,3.63,3,2.204,0.2521,1.0671,no,yes,
35,fs,-40,2.97,3,1.963,0.2181,1.0331,no,yes,
35,fs,-40,3.30,3,2.328,0.3656,1.1806,no,yes,
35,fs,-40,3.63,3,2.647,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,fs,27,2.97,3,1.838,0.1723,0.9873,no,no,
35,fs,27,3.30,3,2.170,0.3073,1.1223,no,yes,
35,fs,27,3.63,3,2.473,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,fs,125,2.97,3,1.689,0.1352,0.9502,no,no,
35,fs,125,3.30,3,1.989,0.3070,1.1220,no,yes,
35,fs,125,3.63,3,2.267,0.3007,1.1157,no,yes,
35,sf,-40,2.97,4,1.058,0.7222,1.5372,no,yes,
35,sf,-40,3.30,4,1.298,0.7263,1.5413,no,yes,
35,sf,-40,3.63,4,1.498,0.7825,1.5975,no,yes,
35,sf,27,2.97,3,1.941,0.2395,1.0545,no,yes,
35,sf,27,3.30,3,2.279,0.3211,1.1361,no,yes,
35,sf,27,3.63,3,2.589,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
35,sf,125,2.97,3,1.761,0.0765,0.8915,no,no,
35,sf,125,3.30,3,2.068,0.2824,1.0974,no,yes,
35,sf,125,3.63,3,2.350,0.0516,0.8666,no,no,
40,typical,-40,2.97,4,1.264,0.4829,1.2979,no,yes,
40,typical,-40,3.30,4,1.525,0.4317,1.2467,no,yes,
40,typical,-40,3.63,4,1.751,0.5322,1.3472,no,yes,
40,typical,27,2.97,4,1.122,0.6726,1.4876,no,yes,
40,typical,27,3.30,4,1.362,0.6141,1.4291,no,yes,
40,typical,27,3.63,4,1.572,0.6890,1.5040,no,yes,
40,typical,125,2.97,3,2.016,0.2726,1.0876,no,yes,
40,typical,125,3.30,3,2.362,0.2841,1.0991,no,yes,
40,typical,125,3.63,3,2.682,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
40,ff,-40,2.97,4,1.375,0.4550,1.2700,no,yes,
40,ff,-40,3.30,4,1.596,0.2685,1.0835,no,yes,
40,ff,-40,3.63,4,1.786,0.5414,1.3564,no,yes,
40,ff,27,2.97,4,1.241,0.6190,1.4340,no,yes,
40,ff,27,3.30,4,1.447,0.5791,1.3941,no,yes,
40,ff,27,3.63,4,1.625,0.6963,1.5113,no,yes,
40,ff,125,2.97,4,1.072,0.8530,1.6680,no,yes,
40,ff,125,3.30,4,1.260,0.9489,1.7639,no,yes,
40,ff,125,3.63,4,1.423,1.0052,1.8202,yes,yes,
40,ss,-40,2.97,4,1.088,0.5850,1.4000,no,yes,
40,ss,-40,3.30,4,1.409,0.4697,1.2847,no,yes,
40,ss,-40,3.63,4,1.679,0.3455,1.1605,no,yes,
40,ss,27,2.97,4,0.948,0.7874,1.6024,no,yes,
40,ss,27,3.30,4,1.241,0.7872,1.6022,no,yes,
40,ss,27,3.63,4,1.488,0.7531,1.5681,no,yes,
40,ss,125,2.97,3,1.825,0.1041,0.9191,no,no,
40,ss,125,3.30,3,2.206,0.2261,1.0411,no,yes,
40,ss,125,3.63,3,2.565,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
40,fs,-40,2.97,4,1.234,0.5170,1.3320,no,yes,
40,fs,-40,3.30,4,1.492,0.3780,1.1930,no,yes,
40,fs,-40,3.63,4,1.714,0.4463,1.2613,no,yes,
40,fs,27,2.97,4,1.103,0.7184,1.5334,no,yes,
40,fs,27,3.30,4,1.338,0.6834,1.4984,no,yes,
40,fs,27,3.63,4,1.548,0.6715,1.4865,no,yes,
40,fs,125,2.97,3,1.966,0.3064,1.1214,no,yes,
40,fs,125,3.30,3,2.307,0.3537,1.1687,no,yes,
40,fs,125,3.63,3,2.626,unmeasured,,,,Vctrl outside the measured 0.90-2.40 V offset grid
40,sf,-40,2.97,4,1.290,0.4496,1.2646,no,yes,
40,sf,-40,3.30,4,1.555,0.3416,1.1566,no,yes,
40,sf,-40,3.63,4,1.779,0.4641,1.2791,no,yes,
40,sf,27,2.97,4,1.136,0.6809,1.4959,no,yes,
40,sf,27,3.30,4,1.382,0.6453,1.4603,no,yes,
40,sf,27,3.63,4,1.593,0.6189,1.4339,no,yes,
40,sf,125,2.97,4,0.935,1.0014,1.8164,yes,yes,
40,sf,125,3.30,4,1.159,0.9882,1.8032,no,yes,
40,sf,125,3.63,4,1.352,0.9660,1.7810,no,yes,
45,typical,-40,2.97,4,1.469,0.2351,1.0501,no,yes,
45,typical,-40,3.30,4,1.759,0.2517,1.0667,no,yes,
45,typical,-40,3.63,4,2.014,0.4308,1.2458,no,yes,
45,typical,27,2.97,4,1.316,0.4347,1.2497,no,yes,
45,typical,27,3.30,4,1.582,0.2812,1.0962,no,yes,
45,typical,27,3.63,4,1.820,0.4843,1.2993,no,yes,
45,typical,125,2.97,4,1.127,0.7118,1.5268,no,yes,
45,typical,125,3.30,4,1.366,0.7297,1.5447,no,yes,
45,typical,125,3.63,4,1.581,0.6860,1.5010,no,yes,
45,ff,-40,2.97,4,1.588,0.2052,1.0202,no,yes,
45,ff,-40,3.30,4,1.838,0.2248,1.0398,no,yes,
45,ff,-40,3.63,4,2.058,0.3949,1.2099,no,yes,
45,ff,27,2.97,4,1.439,0.3696,1.1846,no,yes,
45,ff,27,3.30,4,1.669,0.2582,1.0732,no,yes,
45,ff,27,3.63,4,1.873,0.5137,1.3287,no,yes,
45,ff,125,2.97,4,1.259,0.6060,1.4210,no,yes,
45,ff,125,3.30,4,1.469,0.6414,1.4564,no,yes,
45,ff,125,3.63,4,1.652,0.6270,1.4420,no,yes,
45,ss,-40,2.97,4,1.293,0.3749,1.1899,no,yes,
45,ss,-40,3.30,4,1.636,0.1483,0.9633,no,no,
45,ss,-40,3.63,4,1.940,0.2648,1.0798,no,yes,
45,ss,27,2.97,4,1.143,0.5768,1.3918,no,yes,
45,ss,27,3.30,4,1.456,0.4722,1.2872,no,yes,
45,ss,27,3.63,4,1.730,0.4749,1.2899,no,yes,
45,ss,125,2.97,4,0.945,0.8460,1.6610,no,yes,
45,ss,125,3.30,4,1.227,0.8332,1.6482,no,yes,
45,ss,125,3.63,4,1.474,0.8030,1.6180,no,yes,
45,fs,-40,2.97,4,1.430,0.2938,1.1088,no,yes,
45,fs,-40,3.30,4,1.715,0.1193,0.9343,no,no,
45,fs,-40,3.63,4,1.969,0.3466,1.1616,no,yes,
45,fs,27,2.97,4,1.288,0.4921,1.3071,no,yes,
45,fs,27,3.30,4,1.550,0.3516,1.1666,no,yes,
45,fs,27,3.63,4,1.784,0.4745,1.2895,no,yes,
45,fs,125,2.97,4,1.115,0.7821,1.5971,no,yes,
45,fs,125,3.30,4,1.348,0.7300,1.5450,no,yes,
45,fs,125,3.63,4,1.561,0.6969,1.5119,no,yes,
45,sf,-40,2.97,4,1.506,0.1960,1.0110,no,yes,
45,sf,-40,3.30,4,1.804,0.2360,1.0510,no,yes,
45,sf,-40,3.63,4,2.053,0.3168,1.1318,no,yes,
45,sf,27,2.97,4,1.341,0.4565,1.2715,no,yes,
45,sf,27,3.30,4,1.611,0.3106,1.1256,no,yes,
45,sf,27,3.63,4,1.849,0.4466,1.2616,no,yes,
45,sf,125,2.97,4,1.132,0.7287,1.5437,no,yes,
45,sf,125,3.30,4,1.376,0.6826,1.4976,no,yes,
45,sf,125,3.63,4,1.591,0.5519,1.3669,no,yes,
50,typical,-40,2.97,4,1.665,0.0239,0.8389,no,no,
50,typical,-40,3.30,4,1.987,0.2667,1.0817,no,yes,
50,typical,-40,3.63,4,2.277,0.3297,1.1447,no,yes,
50,typical,27,2.97,4,1.502,0.2055,1.0205,no,yes,
50,typical,27,3.30,4,1.795,0.2091,1.0241,no,yes,
50,typical,27,3.63,4,2.057,0.3723,1.1873,no,yes,
50,typical,125,2.97,4,1.303,0.4878,1.3028,no,yes,
50,typical,125,3.30,4,1.565,0.4355,1.2505,no,yes,
50,typical,125,3.63,4,1.805,0.4975,1.3125,no,yes,
50,ff,-40,2.97,4,1.796,0.2176,1.0326,no,yes,
50,ff,-40,3.30,4,2.075,0.2842,1.0992,no,yes,
50,ff,-40,3.63,4,2.318,0.2552,1.0702,no,yes,
