# campaign: vco-tuning-range (stage count)
# record_id: 20260731-100719-07f4b7b
# generated_utc: 2026-07-31T10:07:23Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-100719-07f4b7b.spice
# corners: 3 PVT points x band{0..7} x vctrl{0.9,2.7}V x stage-count{3,5,7} = 144 points
# deck: tb_vco_stages.sp -- 3-, 5- and 7-stage rings in one deck, same
#   vco_stage cell, same vco_bias instance topology, same band code, same
#   control voltage, same corner. Each ring has its own supply ammeter.
# fosc_hz: measured on a ring node over 4 whole cycles after tsettle (no output
#   buffer: the buffer is common to all three counts and only adds a constant).
# swing_hi_v/swing_lo_v: max/min of that ring node in the measurement window --
#   a starved ring that has lost swing is not a usable oscillator.
# fosc_hz = 0 means the ring DID NOT OSCILLATE at that point: the node was
#   static across the whole measurement window (swing_hi == swing_lo) despite an
#   identical start-up kick that dislodged the other counts. That is a measured
#   outcome, not a missing measurement.
bundle,temp_c,vdd_v,band,vctrl_v,nstage,fosc_hz,isupply_a,swing_hi_v,swing_lo_v
all-fast,125,2.97,2,2.7,7,2.98034e+07,0.000170607,2.99,-0.01346
all-fast,125,2.97,3,0.9,3,5.2836e+07,0.00012738,2.842,0.01417
all-fast,125,2.97,3,0.9,5,2.99636e+07,0.000126834,2.988,-0.01243
all-fast,125,2.97,3,0.9,7,2.13864e+07,0.000126815,2.988,-0.01257
all-fast,125,2.97,3,2.7,3,1.28691e+08,0.000229557,2.793,0.03189
all-fast,125,2.97,3,2.7,5,7.09176e+07,0.000227939,2.994,-0.01402
all-fast,125,2.97,3,2.7,7,5.0592e+07,0.000227898,2.995,-0.01476
all-fast,125,2.97,4,0.9,3,9.54037e+07,0.000139182,2.814,0.02327
all-fast,125,2.97,4,0.9,5,5.32072e+07,0.00013818,2.992,-0.01351
all-fast,125,2.97,4,0.9,7,3.79627e+07,0.000138129,2.992,-0.01396
all-fast,125,2.97,4,2.7,3,2.45156e+08,0.000253836,2.723,0.07474
all-fast,125,2.97,4,2.7,5,1.29239e+08,0.000250244,2.999,-0.01444
all-fast,125,2.97,4,2.7,7,9.21376e+07,0.000250155,3.001,-0.01722
all-fast,125,2.97,5,0.9,3,1.6678e+08,0.000188084,2.769,0.04395
all-fast,125,2.97,5,0.9,5,9.06401e+07,0.000186013,2.996,-0.01419
all-fast,125,2.97,5,0.9,7,6.46544e+07,0.000185943,2.997,-0.01547
all-fast,125,2.97,5,2.7,3,4.90651e+08,0.0003646,2.589,0.2082
all-fast,125,2.97,5,2.7,5,2.27577e+08,0.000353395,3.003,-0.01506
all-fast,125,2.97,5,2.7,7,1.619e+08,0.000353443,3.011,-0.02367
all-fast,125,2.97,6,0.9,3,3.15036e+08,0.000259087,2.684,0.1082
all-fast,125,2.97,6,0.9,5,1.60935e+08,0.000253939,3,-0.0145
all-fast,125,2.97,6,0.9,7,1.14678e+08,0.000253846,3.005,-0.01902
all-fast,125,2.97,6,2.7,3,1.08755e+09,0.000521127,2.428,0.4076
all-fast,125,2.97,6,2.7,5,4.02769e+08,0.000492675,3.006,-0.01895
all-fast,125,2.97,6,2.7,7,2.84666e+08,0.00049234,3.028,-0.03708
all-fast,125,2.97,7,0.9,3,0,0.000454212,1.48,1.48
all-fast,125,2.97,7,0.9,5,2.83722e+08,0.000369299,3.004,-0.01588
all-fast,125,2.97,7,0.9,7,2.0145e+08,0.000369032,3.016,-0.02794
all-fast,125,2.97,7,2.7,3,1.50063e+09,0.000727336,2.559,0.2787
all-fast,125,2.97,7,2.7,5,6.51728e+08,0.000715356,3.011,-0.02814
all-fast,125,2.97,7,2.7,7,4.56948e+08,0.000714977,3.049,-0.0551
all-slow,-40,3.63,0,0.9,3,5409480,2.48379e-05,3.598,-0.006528
all-slow,-40,3.63,0,0.9,5,3050540,2.47703e-05,3.639,-0.01217
all-slow,-40,3.63,0,0.9,7,2179650,2.47675e-05,3.639,-0.01186
all-slow,-40,3.63,0,2.7,3,1.18898e+07,4.47849e-05,3.591,-0.004687
all-slow,-40,3.63,0,2.7,5,6674680,4.46397e-05,3.641,-0.01392
all-slow,-40,3.63,0,2.7,7,4766000,4.46326e-05,3.641,-0.01389
all-slow,-40,3.63,1,0.9,3,8665860,3.04914e-05,3.596,-0.005499
all-slow,-40,3.63,1,0.9,5,4877590,3.0388e-05,3.641,-0.013
all-slow,-40,3.63,1,0.9,7,3483100,3.03839e-05,3.64,-0.01312
all-slow,-40,3.63,1,2.7,3,1.92003e+07,5.7413e-05,3.583,-0.005551
all-slow,-40,3.63,1,2.7,5,1.07349e+07,5.71931e-05,3.645,-0.01603
all-slow,-40,3.63,1,2.7,7,7663430,5.71811e-05,3.645,-0.01588
all-slow,-40,3.63,2,0.9,3,1.4596e+07,3.51732e-05,3.589,-0.005322
all-slow,-40,3.63,2,0.9,5,8179660,3.50015e-05,3.642,-0.0148
all-slow,-40,3.63,2,0.9,7,5840100,3.49943e-05,3.643,-0.01485
all-slow,-40,3.63,2,2.7,3,3.26008e+07,6.73457e-05,3.565,-0.00583
all-slow,-40,3.63,2,2.7,5,1.81093e+07,6.69697e-05,3.649,-0.01861
all-slow,-40,3.63,2,2.7,7,1.29234e+07,6.69459e-05,3.65,-0.01865
all-slow,-40,3.63,3,0.9,3,2.35708e+07,4.69957e-05,3.576,-0.005912
all-slow,-40,3.63,3,0.9,5,1.31456e+07,4.67109e-05,3.646,-0.01679
all-slow,-40,3.63,3,0.9,7,9384430,4.66975e-05,3.647,-0.01678
all-slow,-40,3.63,3,2.7,3,5.35948e+07,9.36286e-05,3.543,-0.00582
all-slow,-40,3.63,3,2.7,5,2.95379e+07,9.29728e-05,3.655,-0.0218
all-slow,-40,3.63,3,2.7,7,2.10758e+07,9.29322e-05,3.655,-0.02191
all-slow,-40,3.63,4,0.9,3,3.93476e+07,5.13713e-05,3.558,-0.006508
all-slow,-40,3.63,4,0.9,5,2.17981e+07,5.09246e-05,3.651,-0.01957
all-slow,-40,3.63,4,0.9,7,1.55509e+07,5.08838e-05,3.651,-0.01978
all-slow,-40,3.63,4,2.7,3,9.1415e+07,0.000102437,3.509,-0.003732
all-slow,-40,3.63,4,2.7,5,4.98067e+07,0.000101392,3.661,-0.02588
all-slow,-40,3.63,4,2.7,7,3.55189e+07,0.000101312,3.661,-0.0261
all-slow,-40,3.63,5,0.9,3,6.4896e+07,7.27297e-05,3.532,-0.005679
all-slow,-40,3.63,5,0.9,5,3.56392e+07,7.19655e-05,3.657,-0.02306
all-slow,-40,3.63,5,0.9,7,2.54222e+07,7.19076e-05,3.657,-0.02331
all-slow,-40,3.63,5,2.7,3,1.56065e+08,0.000149634,3.464,0.005271
all-slow,-40,3.63,5,2.7,5,8.34567e+07,0.00014785,3.67,-0.03031
all-slow,-40,3.63,5,2.7,7,5.94857e+07,0.000147793,3.67,-0.03102
all-slow,-40,3.63,6,0.9,3,1.14583e+08,0.000105712,3.492,-0.00105
all-slow,-40,3.63,6,0.9,5,6.2036e+07,0.000104374,3.665,-0.02767
all-slow,-40,3.63,6,0.9,7,4.42349e+07,0.000104308,3.665,-0.02808
all-slow,-40,3.63,6,2.7,3,2.91617e+08,0.000221594,3.387,0.03705
all-slow,-40,3.63,6,2.7,5,1.49005e+08,0.000218157,3.684,-0.03541
all-slow,-40,3.63,6,2.7,7,1.06126e+08,0.000218033,3.684,-0.03776
all-slow,-40,3.63,7,0.9,3,1.977e+08,0.000159636,3.44,0.01309
all-slow,-40,3.63,7,0.9,5,1.04344e+08,0.000157431,3.675,-0.03223
all-slow,-40,3.63,7,0.9,7,7.4361e+07,0.000157321,3.675,-0.03202
all-slow,-40,3.63,7,2.7,3,5.50173e+08,0.000341623,3.272,0.1192
all-slow,-40,3.63,7,2.7,5,2.56573e+08,0.000333606,3.701,-0.04056
all-slow,-40,3.63,7,2.7,7,1.82485e+08,0.000333502,3.704,-0.04707
typical,27,3.30,0,0.9,3,7254760,3.77523e-05,3.246,-0.003168
typical,27,3.30,0,0.9,5,4179330,3.76623e-05,3.311,-0.0128
typical,27,3.30,0,0.9,7,2985980,3.76571e-05,3.311,-0.01292
typical,27,3.30,0,2.7,3,1.66543e+07,6.63682e-05,3.239,-0.003234
typical,27,3.30,0,2.7,5,9505900,6.6171e-05,3.313,-0.0153
typical,27,3.30,0,2.7,7,6787020,6.61577e-05,3.313,-0.01538
typical,27,3.30,1,0.9,3,1.17586e+07,4.55377e-05,3.242,-0.003311
typical,27,3.30,1,0.9,5,6739860,4.53795e-05,3.312,-0.0142
typical,27,3.30,1,0.9,7,4813160,4.53707e-05,3.312,-0.01417
typical,27,3.30,1,2.7,3,2.72733e+07,8.41518e-05,3.232,-0.002774
typical,27,3.30,1,2.7,5,1.54538e+07,8.38554e-05,3.314,-0.01733
typical,27,3.30,1,2.7,7,1.10313e+07,8.38323e-05,3.314,-0.01742
typical,27,3.30,2,0.9,3,1.97394e+07,5.162e-05,3.237,-0.002899
typical,27,3.30,2,0.9,5,1.12405e+07,5.13829e-05,3.313,-0.01597
typical,27,3.30,2,0.9,7,8024700,5.13699e-05,3.313,-0.016
typical,27,3.30,2,2.7,3,4.64113e+07,9.75432e-05,3.216,-0.001448
typical,27,3.30,2,2.7,5,2.60633e+07,9.69874e-05,3.317,-0.01992
typical,27,3.30,2,2.7,7,1.85987e+07,9.69606e-05,3.317,-0.02005
typical,27,3.30,3,0.9,3,3.23695e+07,6.77356e-05,3.227,-0.002313
typical,27,3.30,3,0.9,5,1.82928e+07,6.73401e-05,3.315,-0.01811
typical,27,3.30,3,0.9,7,1.30571e+07,6.73209e-05,3.315,-0.01821
typical,27,3.30,3,2.7,3,7.78022e+07,0.000134283,3.19,0.001688
typical,27,3.30,3,2.7,5,4.32052e+07,0.000133416,3.32,-0.02281
typical,27,3.30,3,2.7,7,3.08217e+07,0.00013335,3.32,-0.02307
typical,27,3.30,4,0.9,3,5.57856e+07,7.42636e-05,3.208,-0.0006196
typical,27,3.30,4,0.9,5,3.12165e+07,7.36184e-05,3.318,-0.02091
typical,27,3.30,4,0.9,7,2.22737e+07,7.35762e-05,3.318,-0.02091
typical,27,3.30,4,2.7,3,1.38018e+08,0.000147758,3.146,0.01103
typical,27,3.30,4,2.7,5,7.521e+07,0.000146238,3.328,-0.02619
typical,27,3.30,4,2.7,7,5.36307e+07,0.000146205,3.328,-0.02682
typical,27,3.30,5,0.9,3,9.37981e+07,0.000103695,3.177,0.003899
typical,27,3.30,5,0.9,5,5.18241e+07,0.000102684,3.322,-0.02385
typical,27,3.30,5,0.9,7,3.69632e+07,0.000102637,3.322,-0.02397
typical,27,3.30,5,2.7,3,2.44984e+08,0.000214906,3.081,0.03774
typical,27,3.30,5,2.7,5,1.28793e+08,0.000212006,3.338,-0.02942
typical,27,3.30,5,2.7,7,9.17901e+07,0.000211993,3.339,-0.03147
typical,27,3.30,6,0.9,3,1.67427e+08,0.000147472,3.126,0.01718
typical,27,3.30,6,0.9,5,9.03976e+07,0.000145594,3.331,-0.02728
typical,27,3.30,6,0.9,7,6.44526e+07,0.000145584,3.331,-0.02825
typical,27,3.30,6,2.7,3,4.86854e+08,0.000314761,2.96,0.1297
typical,27,3.30,6,2.7,5,2.31513e+08,0.000307081,3.354,-0.03279
typical,27,3.30,6,2.7,7,1.64711e+08,0.000306926,3.357,-0.03906
typical,27,3.30,7,0.9,3,3.02669e+08,0.000221788,3.048,0.05878
typical,27,3.30,7,0.9,5,1.55633e+08,0.000217925,3.343,-0.03045
typical,27,3.30,7,0.9,7,1.10886e+08,0.000217787,3.344,-0.03356
typical,27,3.30,7,2.7,3,9.3032e+08,0.000477779,2.87,0.2315
typical,27,3.30,7,2.7,5,3.97653e+08,0.000463787,3.367,-0.03835
typical,27,3.30,7,2.7,7,2.81711e+08,0.000463606,3.381,-0.05249
