# per (PVT corner, control voltage): steady-state current, delivered charge, effective pulse width and edge delays for both polarities
# Both polarities driven from the SAME control edge, one instance each, at the nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
typical,27,3.30,0.9,5.04122e-06,-5.20446e-06,2.16396e-14,-2.44151e-14,4.29254e-09,4.6912e-09,-3.98662e-10,-9.99695e-11,8.73313e-11,-9.99372e-11,2.98993e-11
typical,27,3.30,1.65,4.99382e-06,-5.09347e-06,2.18228e-14,-2.31598e-14,4.36996e-09,4.54695e-09,-1.76993e-10,-9.99891e-11,5.72233e-12,-9.99385e-11,2.1716e-11
typical,27,3.30,2.4,4.94337e-06,-5.12544e-06,2.0673e-14,-2.2729e-14,4.18197e-09,4.43454e-09,-2.52566e-10,-9.9989e-11,2.7367e-11,-9.99417e-11,1.91193e-11
typical,27,3.63,0.9,5.04599e-06,-5.18821e-06,2.16683e-14,-2.47424e-14,4.29416e-09,4.76897e-09,-4.74807e-10,-9.99712e-11,8.08997e-11,-9.99422e-11,2.94334e-11
typical,27,3.63,1.65,5.01281e-06,-5.08543e-06,2.19281e-14,-2.38161e-14,4.37442e-09,4.68321e-09,-3.08792e-10,-9.999e-11,1.26036e-12,-9.99437e-11,2.07271e-11
typical,27,3.63,2.4,4.87108e-06,-5.16467e-06,2.05602e-14,-2.31401e-14,4.22087e-09,4.48046e-09,-2.59596e-10,-9.99905e-11,-8.52684e-12,-9.99474e-11,1.58318e-11
typical,125,2.97,0.9,4.90598e-06,-5.15178e-06,2.16089e-14,-2.4422e-14,4.4046e-09,4.74049e-09,-3.3589e-10,-9.99762e-11,1.00112e-10,-9.99316e-11,3.79302e-11
typical,125,2.97,1.65,4.79371e-06,-5.10234e-06,2.15676e-14,-2.34706e-14,4.49914e-09,4.59996e-09,-1.00823e-10,-9.99882e-11,2.30591e-11,-9.99376e-11,2.79373e-11
typical,125,2.97,2.4,5.15627e-06,-5.33652e-06,2.2336e-14,-2.42796e-14,4.33181e-09,4.5497e-09,-2.17889e-10,-9.99862e-11,4.44344e-11,-9.99318e-11,2.67138e-11
typical,125,3.30,0.9,4.90618e-06,-5.10924e-06,2.15928e-14,-2.47344e-14,4.40115e-09,4.84112e-09,-4.39968e-10,-9.9976e-11,1.00054e-10,-9.99381e-11,3.64481e-11
typical,125,3.30,1.65,4.81121e-06,-5.07975e-06,2.16811e-14,-2.4012e-14,4.50638e-09,4.727e-09,-2.20618e-10,-9.99893e-11,2.1317e-11,-9.99434e-11,2.45347e-11
typical,125,3.30,2.4,4.64839e-06,-5.14674e-06,2.03648e-14,-2.29694e-14,4.38106e-09,4.46291e-09,-8.18568e-11,-9.99898e-11,1.99357e-11,-9.99443e-11,2.07409e-11
typical,125,3.63,0.9,4.90639e-06,-5.06453e-06,2.15943e-14,-2.50549e-14,4.40125e-09,4.94714e-09,-5.45885e-10,-9.9976e-11,1.00003e-10,-9.99434e-11,3.60442e-11
typical,125,3.63,1.65,4.82568e-06,-5.06072e-06,2.17724e-14,-2.47418e-14,4.51179e-09,4.889e-09,-3.77212e-10,-9.99903e-11,1.00017e-10,-9.99487e-11,2.2829e-11
typical,125,3.63,2.4,4.64027e-06,-5.14556e-06,2.06218e-14,-2.34974e-14,4.44409e-09,4.56654e-09,-1.22447e-10,-9.99908e-11,2.34877e-14,-9.99496e-11,1.74617e-11
ff,-40,2.97,0.9,5.20361e-06,-5.21357e-06,2.19238e-14,-2.35354e-14,4.21319e-09,4.51426e-09,-3.01068e-10,-9.99712e-11,5.91537e-11,-9.99226e-11,2.01669e-11
ff,-40,2.97,1.65,5.16904e-06,-5.08903e-06,2.17985e-14,-2.21242e-14,4.21712e-09,4.34744e-09,-1.30314e-10,-9.99877e-11,-1.77575e-11,-9.9931e-11,1.29984e-11
ff,-40,2.97,2.4,5.39085e-06,-5.08547e-06,2.21791e-14,-2.33344e-14,4.11422e-09,4.58845e-09,-4.74232e-10,-9.99855e-11,1.86274e-11,-9.99191e-11,1.19543e-11
ff,-40,3.30,0.9,5.21347e-06,-5.22813e-06,2.19453e-14,-2.39988e-14,4.20934e-09,4.59033e-09,-3.80991e-10,-9.99704e-11,5.4411e-11,-9.99304e-11,2.0476e-11
ff,-40,3.30,1.65,5.1952e-06,-5.08847e-06,2.19719e-14,-2.19119e-14,4.22926e-09,4.30619e-09,-7.69278e-11,-9.99889e-11,-2.34943e-11,-9.99374e-11,1.19132e-11
ff,-40,3.30,2.4,5.16764e-06,-5.09553e-06,2.00514e-14,-2.22079e-14,3.88018e-09,4.35831e-09,-4.78127e-10,-9.99932e-11,-1.50121e-11,-9.99362e-11,5.92466e-12
ff,-40,3.63,0.9,5.22321e-06,-5.24301e-06,2.1978e-14,-2.44479e-14,4.20775e-09,4.66295e-09,-4.55193e-10,-9.99708e-11,5.13943e-11,-9.99368e-11,2.24535e-11
ff,-40,3.63,1.65,5.21691e-06,-5.09489e-06,2.21109e-14,-2.252e-14,4.23832e-09,4.42012e-09,-1.81807e-10,-9.99898e-11,-2.83279e-11,-9.99428e-11,1.23947e-11
ff,-40,3.63,2.4,5.16055e-06,-5.14261e-06,2.02284e-14,-2.2529e-14,3.91981e-09,4.38085e-09,-4.61038e-10,-9.99901e-11,-3.12416e-11,-9.99436e-11,3.85045e-12
ff,27,2.97,0.9,5.1083e-06,-5.30796e-06,2.18444e-14,-2.41193e-14,4.27626e-09,4.54398e-09,-2.67726e-10,-9.99782e-11,7.02726e-11,-9.99244e-11,2.47766e-11
ff,27,2.97,1.65,5.01881e-06,-5.18482e-06,2.15992e-14,-2.26829e-14,4.30365e-09,4.37488e-09,-7.12246e-11,-9.99879e-11,-1.21161e-11,-9.99295e-11,1.43539e-11
ff,27,2.97,2.4,5.28317e-06,-5.27687e-06,2.18869e-14,-2.39372e-14,4.14275e-09,4.53625e-09,-3.93498e-10,-9.9986e-11,2.34685e-11,-9.99268e-11,1.25001e-11
ff,27,3.30,0.9,5.115e-06,-5.30521e-06,2.18284e-14,-2.45069e-14,4.26752e-09,4.61941e-09,-3.51887e-10,-9.99771e-11,6.49244e-11,-9.99304e-11,2.56009e-11
ff,27,3.30,1.65,5.04431e-06,-5.16733e-06,2.17618e-14,-2.28135e-14,4.31412e-09,4.41495e-09,-1.00831e-10,-9.9989e-11,-1.79178e-11,-9.99361e-11,1.3544e-11
ff,27,3.30,2.4,4.91779e-06,-5.242e-06,1.99165e-14,-2.28541e-14,4.0499e-09,4.3598e-09,-3.09907e-10,-9.99894e-11,-1.61921e-11,-9.99432e-11,7.96144e-12
ff,27,3.63,0.9,5.12161e-06,-5.299e-06,2.18315e-14,-2.48842e-14,4.26262e-09,4.69602e-09,-4.33399e-10,-9.99763e-11,6.081e-11,-9.99356e-11,2.73157e-11
ff,27,3.63,1.65,5.06537e-06,-5.1617e-06,2.18873e-14,-2.34531e-14,4.32098e-09,4.54368e-09,-2.22702e-10,-9.999e-11,-2.27343e-11,-9.99415e-11,1.322e-11
ff,27,3.63,2.4,4.92665e-06,-5.24773e-06,2.01867e-14,-2.30254e-14,4.09746e-09,4.38769e-09,-2.90234e-10,-9.99904e-11,-2.77383e-11,-9.99471e-11,5.59151e-12
ff,125,2.97,0.9,4.96631e-06,-5.209e-06,2.18953e-14,-2.4619e-14,4.40876e-09,4.72625e-09,-3.17493e-10,-9.99831e-11,8.77789e-11,-9.99267e-11,3.10923e-11
ff,125,2.97,1.65,4.82692e-06,-5.17296e-06,2.14548e-14,-2.32393e-14,4.44483e-09,4.49245e-09,-4.76239e-11,-9.99881e-11,-4.90662e-12,-9.99298e-11,1.61294e-11
ff,125,2.97,2.4,5.00635e-06,-5.34277e-06,2.12104e-14,-2.41216e-14,4.23669e-09,4.51481e-09,-2.78125e-10,-9.99869e-11,3.02883e-11,-9.9929e-11,1.28476e-11
ff,125,3.30,0.9,4.97132e-06,-5.2002e-06,2.18616e-14,-2.49108e-14,4.39754e-09,4.79034e-09,-3.92801e-10,-9.9983e-11,8.11108e-11,-9.99327e-11,3.18797e-11
ff,125,3.30,1.65,4.84761e-06,-5.14952e-06,2.15945e-14,-2.37115e-14,4.45467e-09,4.6046e-09,-1.49933e-10,-9.99893e-11,-9.46358e-12,-9.99357e-11,1.57461e-11
ff,125,3.30,2.4,4.65158e-06,-5.25531e-06,2.00182e-14,-2.32815e-14,4.30354e-09,4.43009e-09,-1.26556e-10,-9.99898e-11,-1.27552e-11,-9.99365e-11,7.78357e-12
ff,125,3.63,0.9,4.97478e-06,-5.17776e-06,2.18299e-14,-2.5205e-14,4.38811e-09,4.86794e-09,-4.79829e-10,-9.99827e-11,7.60381e-11,-9.9938e-11,3.3063e-11
ff,125,3.63,1.65,4.86483e-06,-5.13172e-06,2.17139e-14,-2.4388e-14,4.46345e-09,4.7524e-09,-2.88951e-10,-9.99902e-11,-1.1205e-11,-9.99407e-11,1.63057e-11
ff,125,3.63,2.4,4.67097e-06,-5.22954e-06,2.02788e-14,-2.33531e-14,4.34145e-09,4.46561e-09,-1.24161e-10,-9.99907e-11,-2.12228e-11,-9.99421e-11,7.78513e-12
ss,-40,2.97,0.9,4.91007e-06,-5.02566e-06,2.13105e-14,-2.36132e-14,4.34017e-09,4.69853e-09,-3.58359e-10,-9.99662e-11,1.0008e-10,-9.99386e-11,3.98233e-11
ss,-40,2.97,1.65,5.05371e-06,-4.95835e-06,2.19063e-14,-2.26071e-14,4.33469e-09,4.55941e-09,-2.2472e-10,-9.99878e-11,2.52438e-11,-9.99391e-11,3.31251e-11
ss,-40,2.97,2.4,5.28867e-06,-4.96437e-06,2.30704e-14,-2.29599e-14,4.36222e-09,4.62493e-09,-2.62704e-10,-9.99855e-11,4.29532e-11,-9.99324e-11,3.55169e-11
ss,-40,3.30,0.9,4.91914e-06,-5.02617e-06,2.13537e-14,-2.38842e-14,4.34095e-09,4.75196e-09,-4.11008e-10,-9.99695e-11,1.00011e-10,-9.9945e-11,3.47929e-11
ss,-40,3.30,1.65,5.07806e-06,-4.95562e-06,2.20112e-14,-2.27492e-14,4.33456e-09,4.59059e-09,-2.56034e-10,-9.9989e-11,1.85028e-11,-9.99508e-11,2.92435e-11
ss,-40,3.30,2.4,5.2821e-06,-4.99541e-06,2.27185e-14,-2.26642e-14,4.30104e-09,4.537e-09,-2.35958e-10,-9.99878e-11,3.52357e-11,-9.99394e-11,2.86471e-11
ss,-40,3.63,0.9,4.92741e-06,-5.02539e-06,2.13989e-14,-2.41877e-14,4.34282e-09,4.8131e-09,-4.70278e-10,-9.99723e-11,9.43996e-11,-9.99474e-11,3.06149e-11
ss,-40,3.63,1.65,5.0974e-06,-4.95803e-06,2.21061e-14,-2.33229e-14,4.33674e-09,4.70407e-09,-3.67328e-10,-9.99899e-11,1.30145e-11,-9.99541e-11,2.62308e-11
ss,-40,3.63,2.4,5.02277e-06,-4.98715e-06,2.09175e-14,-2.22926e-14,4.16454e-09,4.47002e-09,-3.05481e-10,-9.99903e-11,8.7427e-12,-9.99479e-11,2.20746e-11
ss,27,2.97,0.9,4.92167e-06,-5.12163e-06,2.14416e-14,-2.41279e-14,4.35658e-09,4.71099e-09,-3.54408e-10,-9.99662e-11,1.00183e-10,-9.99377e-11,4.32997e-11
ss,27,2.97,1.65,4.92268e-06,-5.04582e-06,2.17278e-14,-2.31552e-14,4.41381e-09,4.58898e-09,-1.75179e-10,-9.9988e-11,3.25534e-11,-9.99425e-11,3.67923e-11
ss,27,2.97,2.4,5.27582e-06,-5.16062e-06,2.31239e-14,-2.3743e-14,4.38298e-09,4.60079e-09,-2.17809e-10,-9.99856e-11,5.71325e-11,-9.99344e-11,3.85629e-11
ss,27,3.30,0.9,4.92574e-06,-5.09758e-06,2.14738e-14,-2.43774e-14,4.35951e-09,4.78215e-09,-4.22641e-10,-9.99692e-11,1.00122e-10,-9.99435e-11,3.92989e-11
ss,27,3.30,1.65,4.94312e-06,-5.031e-06,2.18334e-14,-2.355e-14,4.41693e-09,4.68098e-09,-2.64052e-10,-9.99891e-11,2.61477e-11,-9.99476e-11,3.18995e-11
ss,27,3.30,2.4,5.11269e-06,-5.11754e-06,2.22009e-14,-2.31649e-14,4.34232e-09,4.52656e-09,-1.84245e-10,-9.99882e-11,4.5872e-11,-9.9944e-11,3.19356e-11
ss,27,3.63,0.9,4.92942e-06,-5.0722e-06,2.15089e-14,-2.46608e-14,4.36336e-09,4.86195e-09,-4.98582e-10,-9.99719e-11,1.00069e-10,-9.9948e-11,3.57597e-11
ss,27,3.63,1.65,4.96011e-06,-5.02366e-06,2.19118e-14,-2.42675e-14,4.41761e-09,4.83065e-09,-4.13034e-10,-9.99901e-11,2.3421e-11,-9.99509e-11,2.93146e-11
ss,27,3.63,2.4,4.82358e-06,-5.07399e-06,2.08393e-14,-2.29568e-14,4.3203e-09,4.52441e-09,-2.04107e-10,-9.99945e-11,1.57924e-11,-9.99532e-11,2.57302e-11
ss,125,2.97,0.9,4.84006e-06,-5.05522e-06,2.14325e-14,-2.43807e-14,4.42815e-09,4.82287e-09,-3.94721e-10,-9.99699e-11,1.00297e-10,-9.99378e-11,4.8102e-11
ss,125,2.97,1.65,4.76025e-06,-5.03742e-06,2.16199e-14,-2.36239e-14,4.54176e-09,4.68968e-09,-1.47915e-10,-9.99882e-11,4.93481e-11,-9.99432e-11,4.00297e-11
ss,125,2.97,2.4,5.20352e-06,-5.30541e-06,2.29716e-14,-2.42327e-14,4.41461e-09,4.56755e-09,-1.52936e-10,-9.99859e-11,1.00149e-10,-9.99351e-11,4.15482e-11
ss,125,3.30,0.9,4.83819e-06,-5.00379e-06,2.1448e-14,-2.46613e-14,4.43307e-09,4.92853e-09,-4.95464e-10,-9.99714e-11,1.00245e-10,-9.99437e-11,4.43726e-11
ss,125,3.30,1.65,4.77502e-06,-5.02103e-06,2.17172e-14,-2.43502e-14,4.54809e-09,4.84964e-09,-3.01556e-10,-9.99894e-11,1.00241e-10,-9.99483e-11,3.57605e-11
ss,125,3.30,2.4,4.78982e-06,-5.13447e-06,2.12766e-14,-2.32503e-14,4.44204e-09,4.52827e-09,-8.62299e-11,-9.99891e-11,5.75261e-11,-9.99469e-11,3.46555e-11
ss,125,3.63,0.9,4.83642e-06,-4.95082e-06,2.14716e-14,-2.49552e-14,4.43958e-09,5.04062e-09,-6.01046e-10,-9.99731e-11,1.002e-10,-9.99484e-11,4.17505e-11
ss,125,3.63,1.65,4.78703e-06,-5.00214e-06,2.17893e-14,-2.51049e-14,4.55173e-09,5.01883e-09,-4.67098e-10,-9.99903e-11,1.00193e-10,-9.99524e-11,3.20391e-11
ss,125,3.63,2.4,4.61252e-06,-5.05891e-06,2.08646e-14,-2.34386e-14,4.52348e-09,4.63313e-09,-1.09657e-10,-9.99909e-11,2.98738e-11,-9.99544e-11,2.92812e-11
fs,-40,2.97,0.9,5.13379e-06,-5.15959e-06,2.1751e-14,-2.35662e-14,4.23684e-09,4.56747e-09,-3.30626e-10,-9.99642e-11,6.54095e-11,-9.99349e-11,3.52099e-11
fs,-40,2.97,1.65,5.11524e-06,-5.03398e-06,2.19647e-14,-2.22511e-14,4.29398e-09,4.42019e-09,-1.26208e-10,-9.99878e-11,-1.0267e-11,-9.99368e-11,2.88453e-11
fs,-40,2.97,2.4,5.32721e-06,-5.03678e-06,2.30468e-14,-2.33602e-14,4.32623e-09,4.63792e-09,-3.11685e-10,-9.99854e-11,1.76686e-11,-9.99357e-11,3.00076e-11
fs,-40,3.30,0.9,5.1433e-06,-5.17023e-06,2.17901e-14,-2.40181e-14,4.2366e-09,4.64545e-09,-4.08846e-10,-9.99677e-11,5.95792e-11,-9.99387e-11,3.14341e-11
fs,-40,3.30,1.65,5.14158e-06,-5.03132e-06,2.20866e-14,-2.20258e-14,4.29568e-09,4.37773e-09,-8.20553e-11,-9.99889e-11,-1.62927e-11,-9.99426e-11,2.62227e-11
fs,-40,3.30,2.4,5.25339e-06,-5.06385e-06,2.24665e-14,-2.31178e-14,4.27657e-09,4.56526e-09,-2.88691e-10,-9.9988e-11,8.86255e-12,-9.99455e-11,2.46968e-11
fs,-40,3.63,0.9,5.15176e-06,-5.18042e-06,2.18267e-14,-2.4459e-14,4.23675e-09,4.72143e-09,-4.84682e-10,-9.99706e-11,5.55176e-11,-9.99437e-11,3.00573e-11
fs,-40,3.63,1.65,5.16155e-06,-5.03683e-06,2.21795e-14,-2.25776e-14,4.29705e-09,4.4825e-09,-1.85443e-10,-9.99899e-11,-2.09472e-11,-9.99477e-11,2.39343e-11
fs,-40,3.63,2.4,5.08303e-06,-5.08116e-06,2.08824e-14,-2.26029e-14,4.10827e-09,4.44837e-09,-3.40098e-10,-9.99903e-11,-2.59031e-11,-9.99514e-11,1.96964e-11
fs,27,2.97,0.9,5.03485e-06,-5.24431e-06,2.15914e-14,-2.41417e-14,4.28839e-09,4.6034e-09,-3.15006e-10,-9.99655e-11,7.80239e-11,-9.99333e-11,3.88347e-11
fs,27,2.97,1.65,4.98098e-06,-5.12554e-06,2.17537e-14,-2.28153e-14,4.36735e-09,4.45128e-09,-8.39313e-11,-9.99879e-11,-4.61921e-12,-9.99371e-11,3.08651e-11
fs,27,2.97,2.4,5.31545e-06,-5.24587e-06,2.30778e-14,-2.41808e-14,4.34165e-09,4.60948e-09,-2.67833e-10,-9.99855e-11,2.34094e-11,-9.99306e-11,3.22902e-11
fs,27,3.30,0.9,5.03973e-06,-5.23277e-06,2.16263e-14,-2.45154e-14,4.29116e-09,4.68497e-09,-3.9381e-10,-9.99891e-11,7.13482e-11,-9.99399e-11,3.62273e-11
fs,27,3.30,1.65,5.00449e-06,-5.10764e-06,2.18694e-14,-2.29312e-14,4.36995e-09,4.48959e-09,-1.19636e-10,-9.99891e-11,-1.02641e-11,-9.99433e-11,2.81482e-11
fs,27,3.30,2.4,5.06092e-06,-5.20193e-06,2.1971e-14,-2.37678e-14,4.34132e-09,4.56904e-09,-2.27724e-10,-9.99884e-11,-6.17534e-12,-9.99425e-11,2.61635e-11
fs,27,3.63,0.9,5.04393e-06,-5.21998e-06,2.16507e-14,-2.48991e-14,4.29244e-09,4.76997e-09,-4.7753e-10,-9.99709e-11,6.61418e-11,-9.99454e-11,3.50902e-11
fs,27,3.63,1.65,5.02296e-06,-5.10266e-06,2.19526e-14,-2.3561e-14,4.37044e-09,4.61739e-09,-2.46949e-10,-9.999e-11,-1.44755e-11,-9.99481e-11,2.63025e-11
fs,27,3.63,2.4,4.88205e-06,-5.17858e-06,2.07795e-14,-2.31211e-14,4.25631e-09,4.46476e-09,-2.08442e-10,-9.99905e-11,-2.10277e-11,-9.99508e-11,2.16543e-11
fs,125,2.97,0.9,4.90125e-06,-5.18285e-06,2.15062e-14,-2.45037e-14,4.3879e-09,4.72785e-09,-3.3995e-10,-9.99711e-11,9.77302e-11,-9.99339e-11,4.30498e-11
fs,125,2.97,1.65,4.80616e-06,-5.11863e-06,2.1599e-14,-2.33734e-14,4.49402e-09,4.56633e-09,-7.23119e-11,-9.99882e-11,4.91067e-12,-9.99399e-11,3.29845e-11
fs,125,2.97,2.4,5.22827e-06,-5.40015e-06,2.28475e-14,-2.4719e-14,4.36999e-09,4.57747e-09,-2.07479e-10,-9.99859e-11,3.07368e-11,-9.99322e-11,3.37035e-11
fs,125,3.30,0.9,4.90084e-06,-5.14466e-06,2.15131e-14,-2.48519e-14,4.38967e-09,4.83063e-09,-4.40965e-10,-9.99719e-11,8.9489e-11,-9.994e-11,4.18114e-11
fs,125,3.30,1.65,4.82387e-06,-5.09671e-06,2.16979e-14,-2.38461e-14,4.49803e-09,4.67873e-09,-1.80701e-10,-9.99893e-11,9.37194e-13,-9.99453e-11,3.0188e-11
fs,125,3.30,2.4,4.70322e-06,-5.21558e-06,2.10107e-14,-2.37346e-14,4.4673e-09,4.55071e-09,-8.34085e-11,-9.99895e-11,-3.60845e-12,-9.99466e-11,2.74052e-11
fs,125,3.63,0.9,4.90015e-06,-5.10456e-06,2.15304e-14,-2.52088e-14,4.39383e-09,4.93849e-09,-5.44661e-10,-9.99731e-11,8.31259e-11,-9.99452e-11,4.13843e-11
fs,125,3.63,1.65,4.83771e-06,-5.08071e-06,2.17777e-14,-2.45303e-14,4.50165e-09,4.82812e-09,-3.26471e-10,-9.99902e-11,-5.81743e-13,-9.99495e-11,2.86692e-11
fs,125,3.63,2.4,4.65626e-06,-5.16413e-06,2.07825e-14,-2.348e-14,4.46334e-09,4.54676e-09,-8.34144e-11,-9.99908e-11,-1.43401e-11,-9.99511e-11,2.24674e-11
sf,-40,2.97,0.9,5.05704e-06,-5.09815e-06,2.16297e-14,-2.35925e-14,4.27715e-09,4.62766e-09,-3.50514e-10,-9.99685e-11,9.95013e-11,-9.9928e-11,2.14377e-11
sf,-40,2.97,1.65,5.1063e-06,-5.01154e-06,2.17819e-14,-2.2543e-14,4.26569e-09,4.49822e-09,-2.32526e-10,-9.99878e-11,1.98142e-11,-9.99287e-11,1.64237e-11
sf,-40,2.97,2.4,5.34658e-06,-5.00248e-06,2.235e-14,-2.29869e-14,4.18024e-09,4.5951e-09,-4.14857e-10,-9.99855e-11,3.86795e-11,-9.99345e-11,1.65304e-11
sf,-40,3.30,0.9,5.06696e-06,-5.1053e-06,2.16667e-14,-2.38676e-14,4.27608e-09,4.67507e-09,-3.98991e-10,-9.99691e-11,9.09451e-11,-9.99367e-11,1.88893e-11
sf,-40,3.30,1.65,5.13031e-06,-5.0062e-06,2.19385e-14,-2.2594e-14,4.27625e-09,4.51321e-09,-2.36958e-10,-9.99889e-11,1.34161e-11,-9.99332e-11,1.41e-11
sf,-40,3.30,2.4,5.15472e-06,-4.97522e-06,2.01875e-14,-2.16393e-14,3.91631e-09,4.34942e-09,-4.33106e-10,-9.99887e-11,3.39835e-11,-9.99353e-11,1.0878e-11
sf,-40,3.63,0.9,5.07693e-06,-5.11231e-06,2.17075e-14,-2.41761e-14,4.27572e-09,4.729e-09,-4.53275e-10,-9.99707e-11,8.42908e-11,-9.99399e-11,1.86437e-11
sf,-40,3.63,1.65,5.15167e-06,-5.00766e-06,2.20782e-14,-2.31735e-14,4.28565e-09,4.62762e-09,-3.41968e-10,-9.99899e-11,8.26745e-12,-9.99418e-11,1.35076e-11
sf,-40,3.63,2.4,5.09053e-06,-5.05711e-06,2.03372e-14,-2.24311e-14,3.99511e-09,4.43555e-09,-4.4044e-10,-9.99902e-11,1.69328e-12,-9.99459e-11,7.77789e-12
sf,27,2.97,0.9,5.01981e-06,-5.1914e-06,2.16716e-14,-2.40726e-14,4.31722e-09,4.637e-09,-3.19787e-10,-9.99753e-11,1.00107e-10,-9.99284e-11,2.58561e-11
sf,27,2.97,1.65,4.95895e-06,-5.10205e-06,2.16044e-14,-2.30721e-14,4.35664e-09,4.52212e-09,-1.65486e-10,-9.99879e-11,2.65817e-11,-9.99355e-11,1.89768e-11
sf,27,2.97,2.4,5.27605e-06,-5.19405e-06,2.21606e-14,-2.35889e-14,4.20023e-09,4.54152e-09,-3.41298e-10,-9.99859e-11,4.66003e-11,-9.99271e-11,1.8101e-11
sf,27,3.30,0.9,5.02549e-06,-5.17333e-06,2.16709e-14,-2.43332e-14,4.3122e-09,4.70359e-09,-3.91391e-10,-9.99744e-11,1.00042e-10,-9.99351e-11,2.34276e-11
sf,27,3.30,1.65,4.98126e-06,-5.08309e-06,2.17515e-14,-2.33887e-14,4.36668e-09,4.60127e-09,-2.34593e-10,-9.99891e-11,2.04104e-11,-9.99456e-11,1.67949e-11
sf,27,3.30,2.4,4.9535e-06,-5.10584e-06,1.98926e-14,-2.20753e-14,4.01586e-09,4.32355e-09,-3.07691e-10,-9.99892e-11,4.05908e-11,-9.9937e-11,1.27591e-11
