# campaign: supply-sensitivity
# record_id: 20260901-155456-46b92f8
# generated_utc: 2026-09-01T15:54:59Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pll_top.sch -> sim/supply-sensitivity/netlist-snapshots/20260901-155456-46b92f8.spice
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points at f_out=100e6 Hz, plus 9 points at f_out=50e6 Hz (typical bundle) for the quiescent/dynamic power split
# dut: design/pll_top.sch (#52) -- pfd_cp (#9, post-#24 cp_dumpbuf) +
#   loop_filter (#10) + vco (#8) + divider_chain + lock_detector (#11)
# band/vctrl0: derived from #8's committed f(Vctrl) table,
#   sim/vco-tuning-range/corners/20260731-175947-0a12e6c/vco_tuning.csv
# fdev_ppm: (f_out - f_out at 3.30 V, same bundle/temp) / f_out(3.30 V), ppm
# phi_b_s: static REF->FB phase error in the late window, seconds
# skew_s: mean UP/DN pulse-WIDTH difference over 3 probes, seconds
# p_tot_w: vdd * (|i_core| + |i_vco| + |i_div|)
# tstop/tmax: the transient length and internal-timestep ceiling THIS
#   row was run at -- per row, not per grid: see the settling escalation
#   and the timestep-ceiling cross-check in run.sh
bundle,temp_c,vdd_v,band,fout_hz,fdev_ppm,ferr,phi_b_s,skew_s,skew_spread_s,wup_s,wdn_s,nmeas,vctrl_avg_v,vctrl_min_v,vctrl_max_v,lock_lvl_v,i_core_a,i_vco_a,i_div_a,p_tot_w,verdict,tstop,tmax
fs,-40,3.30,6,1e+08,0,5.301e-05,1.10188e-09,1.09532e-09,8.6e-13,2.61235e-09,1.51664e-09,8.00002,1.229,1.224,1.231,0.6147,-0.000108668,-0.000187144,-0.000120093,0.00137249,FAIL:lock,12.0u,100p
fs,-40,3.63,6,1.0001e+08,100,6.694e-05,1.33065e-09,1.30289e-09,3.595e-11,2.73096e-09,1.41105e-09,7.99998,1.451,1.446,1.454,4.745e-09,-9.13525e-05,-0.000221078,-0.00013597,0.00162769,FAIL:lock,12.0u,100p
fs,27,2.97,5,1.00001e+08,-89.99,2.952e-05,7.98589e-11,3.91166e-11,1.75007e-11,2.02511e-09,1.97659e-09,7.99982,1.76,1.757,1.763,2.97,-7.23234e-05,-0.000179128,-0.000107522,0.00106615,PASS,12.0u,100p
fs,27,3.30,5,1.0001e+08,0,0.0001403,1.08794e-09,1.05237e-09,3.82e-11,2.80609e-09,1.73659e-09,7.99994,2.111,2.11,2.114,3.3,-0.000106673,-0.000213186,-0.000123398,0.00146275,PASS,12.0u,100p
fs,27,3.63,5,1.00003e+08,-69.99,3.471e-05,3.22008e-10,2.97701e-10,4.168e-12,1.91393e-09,1.61446e-09,7.99997,2.442,2.44,2.447,3.63,-8.06371e-05,-0.000248905,-0.00013863,0.00169946,PASS,12.0u,100p
fs,125,2.97,5,1.00007e+08,30,0.0001144,7.6609e-10,7.40419e-10,2.8621e-11,3.02583e-09,2.27088e-09,7.99995,1.541,1.539,1.543,2.97,-8.15724e-05,-0.000199049,-0.000112999,0.00116905,PASS,12.0u,100p
fs,125,3.30,5,1.00004e+08,0,2.276e-05,2.51381e-10,2.25155e-10,1.3457e-11,2.31511e-09,2.08358e-09,8.00001,1.85,1.847,1.853,3.3,-7.72293e-05,-0.000232931,-0.000128689,0.0014482,PASS,12.0u,100p
fs,125,3.63,5,1.00005e+08,10,2.544e-05,3.92415e-10,3.60883e-10,8.784e-12,2.27539e-09,1.91035e-09,7.99993,2.143,2.141,2.147,3.63,-8.20282e-05,-0.000268698,-0.000144038,0.00179599,PASS,12.0u,100p
sf,-40,2.97,6,1.00004e+08,-20,6.695e-05,1.34347e-09,1.3204e-09,2.056e-11,3.06692e-09,1.73768e-09,7.99961,0.9949,0.9911,0.9979,4.299e-09,-8.17878e-05,-0.000162519,-0.000105372,0.00103855,FAIL:lock,12.0u,100p
sf,-40,3.30,6,1.00006e+08,0,7.205e-05,1.28326e-09,1.27162e-09,3.52e-12,2.86716e-09,1.59393e-09,8.00024,1.265,1.261,1.268,4.758e-09,-8.65333e-05,-0.000195802,-0.000120797,0.00133034,FAIL:lock,12.0u,100p
sf,-40,3.63,6,1.0001e+08,40,0.000189,2.13644e-09,2.10456e-09,3.942e-11,3.58673e-09,1.46618e-09,7.99973,1.497,1.493,1.5,5.535e-09,-9.1126e-05,-0.000230422,-0.000136998,0.00166452,FAIL:phi,12.0u,100p
sf,27,2.97,5,1.00006e+08,-9.999,8.599e-05,3.58489e-10,3.30916e-10,2.704e-11,2.34076e-09,1.99764e-09,7.99999,1.841,1.839,1.844,2.97,-7.44672e-05,-0.000187912,-0.000108411,0.00110125,PASS,12.0u,100p
sf,27,3.30,5,1.00007e+08,0,0.0001015,5.28481e-10,4.97597e-10,2.6414e-11,2.33343e-09,1.8236e-09,8.00001,2.209,2.208,2.214,3.3,-8.17381e-05,-0.000222783,-0.000123623,0.00141288,PASS,12.0u,100p
sf,27,3.63,5,1.00014e+08,70,0.0001884,1.30782e-09,1.27616e-09,3.824e-11,2.96936e-09,1.67273e-09,7.99997,2.549,2.547,2.554,1.494,-0.000110702,-0.000259159,-0.000139693,0.00184968,FAIL:lock,12.0u,100p
sf,125,2.97,5,1.0001e+08,90,0.000141,1.04414e-09,1.00955e-09,4.4354e-11,3.43405e-09,2.40198e-09,7.99994,1.589,1.588,1.591,2.97,-9.82961e-05,-0.000209415,-0.000113709,0.00125162,PASS,12.0u,100p
sf,125,3.30,5,1.00001e+08,0,2.536e-05,1.87125e-10,1.6431e-10,4.565e-12,2.36444e-09,2.19774e-09,8,1.913,1.91,1.917,3.3,-7.64143e-05,-0.00024413,-0.000129115,0.00148388,PASS,12.0u,100p
sf,125,3.63,5,1.00001e+08,0,3.004e-05,1.77355e-10,1.51683e-10,8.559e-12,2.19053e-09,2.03448e-09,7.99988,2.213,2.211,2.219,3.63,-7.93187e-05,-0.000279746,-0.000144802,0.00182904,PASS,12.0u,100p
ss,-40,2.97,5,1.0001e+08,30,0.0001234,5.42195e-10,5.22324e-10,3.3655e-11,2.5966e-09,2.05811e-09,8,1.796,1.795,1.798,2.97,-7.58053e-05,-0.000152606,-0.000103673,0.00098629,PASS,12.0u,100p
ss,-40,3.30,5,1.00007e+08,0,8.115e-05,5.84389e-10,5.58975e-10,2.7569e-11,2.44013e-09,1.86793e-09,8.00001,2.227,2.225,2.23,3.3,-7.95846e-05,-0.000187049,-0.00011773,0.0012684,PASS,12.0u,100p
ss,-40,3.63,5,1.00007e+08,0,9.222e-05,9.23221e-10,8.99146e-10,1.9748e-11,2.59784e-09,1.68776e-09,7.99995,2.642,2.64,2.647,3.63,-9.65439e-05,-0.000222353,-0.000133408,0.00164187,PASS,12.0u,100p
ss,27,2.97,5,1.00008e+08,-30,0.0001169,4.92024e-10,4.82005e-10,2.835e-11,2.86804e-09,2.37085e-09,7.99995,1.602,1.6,1.603,2.97,-7.53343e-05,-0.000164676,-0.000106411,0.00102887,PASS,12.0u,100p
ss,27,3.30,5,1.00011e+08,0,0.0001345,9.99005e-10,9.752e-10,3.6812e-11,3.15526e-09,2.1622e-09,8,1.989,1.987,1.992,3.3,-9.7651e-05,-0.000198214,-0.000121254,0.00137649,PASS,12.0u,100p
ss,27,3.63,5,1.00014e+08,30,0.0001729,1.22512e-09,1.19177e-09,4.167e-11,3.18394e-09,1.97087e-09,8,2.36,2.358,2.364,3.503,-0.000105114,-0.000233191,-0.000136522,0.00172362,PASS,12.0u,100p
ss,125,2.97,5,1.00009e+08,-39.99,0.0001199,8.26939e-10,8.09018e-10,2.875e-11,3.66139e-09,2.83726e-09,8,1.37,1.367,1.372,2.97,-7.96829e-05,-0.000186673,-0.000110696,0.00111984,PASS,12.0u,100p
ss,125,3.30,5,1.00013e+08,0,0.0001815,1.41572e-09,1.38318e-09,4.483e-11,3.97258e-09,2.56705e-09,7.99988,1.71,1.708,1.713,3.248,-0.000103077,-0.000219601,-0.000125657,0.00147951,PASS,12.0u,100p
ss,125,3.63,5,1.00003e+08,-99.99,2.079e-05,2.91876e-10,2.68148e-10,2.1098e-11,2.6423e-09,2.36521e-09,7.99991,2.035,2.032,2.039,3.63,-7.88869e-05,-0.000253682,-0.000140753,0.00171816,PASS,12.0u,100p
typical,-40,2.97,6,9.99998e+07,-22,1.708e-05,9.52484e-10,9.42522e-10,2.571e-12,2.64563e-09,1.70396e-09,8.00002,0.9887,0.9843,0.991,2.97,-8.00723e-05,-0.000158296,-0.000104954,0.00101967,PASS,12.0u,100p
typical,-40,3.30,6,1.00002e+08,0,2.8e-05,9.05717e-10,8.94026e-10,7.94e-13,2.45516e-09,1.56131e-09,7.99996,1.248,1.244,1.251,3.3,-8.43343e-05,-0.000191235,-0.000120152,0.00130588,PASS,12.0u,100p
typical,-40,3.63,6,1.00009e+08,70,3.3e-06,1.04881e-09,1.02509e-09,2.351e-11,2.4719e-09,1.43677e-09,7.99986,1.476,1.471,1.479,2.924,-0.000172048,-0.000226115,-0.000136292,0.00194007,FAIL:lock,12.0u,100p
typical,27,2.97,5,1.00005e+08,-69.99,8.989e-05,3.83948e-10,3.61683e-10,1.1233e-11,2.31351e-09,1.94578e-09,8.00006,1.8,1.798,1.802,2.97,-7.53044e-05,-0.00018307,-0.000108131,0.00108852,PASS,12.0u,100p
typical,27,3.30,5,1.00012e+08,0,0.0001579,1.06935e-09,1.02906e-09,4.057e-11,2.82804e-09,1.776e-09,7.9999,2.162,2.16,2.165,3.3,-0.000103623,-0.000217929,-0.000123636,0.00146912,PASS,12.0u,100p
typical,27,3.63,5,9.99826e+07,-294,-0.0002004,-9.42167e-10,-9.33852e-10,6.6195e-11,1.68448e-09,2.66068e-09,8.0001,2.498,2.495,2.502,3.63,-0.000112019,-0.000254344,-0.00013932,0.00183563,PASS,12.0u,100p
typical,125,2.97,5,1.00003e+08,-89.99,1.822e-05,1.42951e-10,1.19954e-10,9.947e-12,2.49074e-09,2.36669e-09,8.00005,1.567,1.564,1.57,2.97,-7.32967e-05,-0.000203827,-0.000113379,0.00115979,PASS,12.0u,100p
typical,125,3.30,5,1.00012e+08,0,0.0001935,1.4207e-09,1.37319e-09,6.433e-11,3.51636e-09,2.10986e-09,7.99987,1.885,1.883,1.887,1.775,-0.000109803,-0.000238556,-0.00012896,0.00157515,FAIL:lock,12.0u,100p
typical,125,3.63,5,1.00013e+08,9.999,0.0001189,1.01935e-09,9.77457e-10,4.6679e-11,2.9495e-09,1.94965e-09,7.99995,2.183,2.18,2.186,3.63,-0.00011605,-0.000274016,-0.000144466,0.00194035,PASS,12.0u,100p
