# campaign: mc-cp-mismatch (dc)
# record_id: 20260817-135712-0e9cfc9
# generated_utc: 2026-08-17T13:57:12Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: 3 corners x N=20 mismatch samples/corner
corner,seed,vctrl_v,iup_a,idn_a,mism_pct
ss_125c_2.97v,3,0.9,5.32816e-06,5.36929e-06,-0.7690
ss_125c_2.97v,3,1.65,5.32266e-06,5.39286e-06,-1.3102
ss_125c_2.97v,3,2.4,5.30725e-06,5.40297e-06,-1.7875
ss_125c_2.97v,4,0.9,5.26962e-06,5.33611e-06,-1.2539
ss_125c_2.97v,4,1.65,5.26439e-06,5.36441e-06,-1.8821
ss_125c_2.97v,4,2.4,5.24992e-06,5.37671e-06,-2.3863
ss_125c_2.97v,5,0.9,5.33902e-06,5.32355e-06,0.2902
ss_125c_2.97v,5,1.65,5.33395e-06,5.34918e-06,-0.2851
ss_125c_2.97v,5,2.4,5.31974e-06,5.3601e-06,-0.7558
ss_125c_2.97v,6,0.9,5.32542e-06,5.4806e-06,-2.8721
ss_125c_2.97v,6,1.65,5.32002e-06,5.5063e-06,-3.4412
ss_125c_2.97v,6,2.4,5.30489e-06,5.51741e-06,-3.9274
ss_125c_2.97v,7,0.9,5.32012e-06,5.28052e-06,0.7471
ss_125c_2.97v,7,1.65,5.31499e-06,5.30541e-06,0.1804
ss_125c_2.97v,7,2.4,5.30075e-06,5.31598e-06,-0.2869
ss_125c_2.97v,8,0.9,5.184e-06,5.37378e-06,-3.5951
ss_125c_2.97v,8,1.65,5.17916e-06,5.39704e-06,-4.1202
ss_125c_2.97v,8,2.4,5.16559e-06,5.40714e-06,-4.5693
ss_125c_2.97v,9,0.9,5.41497e-06,5.45534e-06,-0.7428
ss_125c_2.97v,9,1.65,5.40986e-06,5.48288e-06,-1.3407
ss_125c_2.97v,9,2.4,5.39543e-06,5.49491e-06,-1.8269
ss_125c_2.97v,10,0.9,5.3556e-06,5.37017e-06,-0.2717
ss_125c_2.97v,10,1.65,5.35058e-06,5.39486e-06,-0.8242
ss_125c_2.97v,10,2.4,5.33621e-06,5.40548e-06,-1.2897
ss_125c_2.97v,11,0.9,5.30292e-06,5.52475e-06,-4.0975
ss_125c_2.97v,11,1.65,5.2979e-06,5.55401e-06,-4.7201
ss_125c_2.97v,11,2.4,5.28352e-06,5.5668e-06,-5.2216
ss_125c_2.97v,12,0.9,5.38467e-06,5.57164e-06,-3.4130
ss_125c_2.97v,12,1.65,5.37958e-06,5.59869e-06,-3.9917
ss_125c_2.97v,12,2.4,5.36517e-06,5.61027e-06,-4.4663
ss_125c_2.97v,13,0.9,5.31757e-06,5.52203e-06,-3.7725
ss_125c_2.97v,13,1.65,5.31262e-06,5.54589e-06,-4.2965
ss_125c_2.97v,13,2.4,5.29873e-06,5.55595e-06,-4.7393
ss_125c_2.97v,14,0.9,5.35644e-06,5.29819e-06,1.0934
ss_125c_2.97v,14,1.65,5.35109e-06,5.32239e-06,0.5378
ss_125c_2.97v,14,2.4,5.33581e-06,5.33289e-06,0.0547
ss_125c_2.97v,15,0.9,5.21272e-06,5.44133e-06,-4.2915
ss_125c_2.97v,15,1.65,5.20793e-06,5.47033e-06,-4.9147
ss_125c_2.97v,15,2.4,5.19456e-06,5.48285e-06,-5.4000
ss_125c_2.97v,16,0.9,5.37652e-06,5.5589e-06,-3.3356
ss_125c_2.97v,16,1.65,5.37109e-06,5.58708e-06,-3.9421
ss_125c_2.97v,16,2.4,5.35579e-06,5.59916e-06,-4.4431
ss_125c_2.97v,17,0.9,5.33874e-06,5.13994e-06,3.7944
ss_125c_2.97v,17,1.65,5.33354e-06,5.16052e-06,3.2975
ss_125c_2.97v,17,2.4,5.31882e-06,5.16944e-06,2.8485
ss_125c_2.97v,18,0.9,5.38968e-06,5.44223e-06,-0.9703
ss_125c_2.97v,18,1.65,5.38443e-06,5.46809e-06,-1.5418
ss_125c_2.97v,18,2.4,5.3699e-06,5.47934e-06,-2.0175
ss_125c_2.97v,19,0.9,5.30441e-06,5.23809e-06,1.2581
ss_125c_2.97v,19,1.65,5.29951e-06,5.26124e-06,0.7248
ss_125c_2.97v,19,2.4,5.28586e-06,5.27119e-06,0.2779
ss_125c_2.97v,20,0.9,5.29835e-06,5.32804e-06,-0.5588
ss_125c_2.97v,20,1.65,5.29361e-06,5.35493e-06,-1.1517
ss_125c_2.97v,20,2.4,5.28012e-06,5.36653e-06,-1.6232
typical_27c_3.30v,1,0.9,5.33332e-06,5.16066e-06,3.2906
typical_27c_3.30v,1,1.65,5.32812e-06,5.18315e-06,2.7584
typical_27c_3.30v,1,2.4,5.31536e-06,5.20288e-06,2.1388
typical_27c_3.30v,2,0.9,5.30606e-06,5.10457e-06,3.8709
typical_27c_3.30v,2,1.65,5.30102e-06,5.13036e-06,3.2721
typical_27c_3.30v,2,2.4,5.28872e-06,5.15294e-06,2.6007
typical_27c_3.30v,3,0.9,5.24533e-06,5.1837e-06,1.1819
typical_27c_3.30v,3,1.65,5.24003e-06,5.20682e-06,0.6358
typical_27c_3.30v,3,2.4,5.22695e-06,5.22719e-06,-0.0046
typical_27c_3.30v,4,0.9,5.17262e-06,5.1757e-06,-0.0595
typical_27c_3.30v,4,1.65,5.16764e-06,5.20612e-06,-0.7419
typical_27c_3.30v,4,2.4,5.15549e-06,5.23263e-06,-1.4852
typical_27c_3.30v,5,0.9,5.25814e-06,5.14535e-06,2.1683
typical_27c_3.30v,5,1.65,5.25333e-06,5.17159e-06,1.5682
typical_27c_3.30v,5,2.4,5.24143e-06,5.19439e-06,0.9015
typical_27c_3.30v,6,0.9,5.24113e-06,5.33915e-06,-1.8529
typical_27c_3.30v,6,1.65,5.23595e-06,5.36538e-06,-2.4418
typical_27c_3.30v,6,2.4,5.22316e-06,5.38842e-06,-3.1147
typical_27c_3.30v,7,0.9,5.2351e-06,5.09091e-06,2.7928
typical_27c_3.30v,7,1.65,5.23022e-06,5.11609e-06,2.2062
typical_27c_3.30v,7,2.4,5.2183e-06,5.13799e-06,1.5509
typical_27c_3.30v,8,0.9,5.06588e-06,5.19008e-06,-2.4220
typical_27c_3.30v,8,1.65,5.06131e-06,5.21266e-06,-2.9463
typical_27c_3.30v,8,2.4,5.05006e-06,5.23275e-06,-3.5533
typical_27c_3.30v,9,0.9,5.35402e-06,5.31649e-06,0.7034
typical_27c_3.30v,9,1.65,5.34915e-06,5.34557e-06,0.0669
typical_27c_3.30v,9,2.4,5.33704e-06,5.37106e-06,-0.6354
typical_27c_3.30v,10,0.9,5.27981e-06,5.19402e-06,1.6382
typical_27c_3.30v,10,1.65,5.27504e-06,5.21878e-06,1.0723
typical_27c_3.30v,10,2.4,5.26299e-06,5.24052e-06,0.4279
typical_27c_3.30v,11,0.9,5.21296e-06,5.41138e-06,-3.7352
typical_27c_3.30v,11,1.65,5.20819e-06,5.44299e-06,-4.4089
typical_27c_3.30v,11,2.4,5.19613e-06,5.4706e-06,-5.1463
typical_27c_3.30v,12,0.9,5.31607e-06,5.44863e-06,-2.4629
typical_27c_3.30v,12,1.65,5.31123e-06,5.47678e-06,-3.0691
typical_27c_3.30v,12,2.4,5.29914e-06,5.50126e-06,-3.7428
typical_27c_3.30v,13,0.9,5.23268e-06,5.37058e-06,-2.6011
typical_27c_3.30v,13,1.65,5.22799e-06,5.39395e-06,-3.1249
typical_27c_3.30v,13,2.4,5.21642e-06,5.41435e-06,-3.7237
typical_27c_3.30v,14,0.9,5.28012e-06,5.10637e-06,3.3457
typical_27c_3.30v,14,1.65,5.27497e-06,5.13054e-06,2.7760
typical_27c_3.30v,14,2.4,5.262e-06,5.15191e-06,2.1143
typical_27c_3.30v,15,0.9,5.10062e-06,5.30853e-06,-3.9948
typical_27c_3.30v,15,1.65,5.09612e-06,5.34002e-06,-4.6741
typical_27c_3.30v,15,2.4,5.08505e-06,5.36734e-06,-5.4014
typical_27c_3.30v,16,0.9,5.30555e-06,5.44256e-06,-2.5495
typical_27c_3.30v,16,1.65,5.30033e-06,5.47251e-06,-3.1966
typical_27c_3.30v,16,2.4,5.28736e-06,5.49848e-06,-3.9148
typical_27c_3.30v,17,0.9,5.25788e-06,4.88566e-06,7.3391
typical_27c_3.30v,17,1.65,5.25292e-06,4.90458e-06,6.8588
typical_27c_3.30v,17,2.4,5.24052e-06,4.92162e-06,6.2762
typical_27c_3.30v,18,0.9,5.32128e-06,5.29123e-06,0.5663
typical_27c_3.30v,18,1.65,5.31627e-06,5.31777e-06,-0.0282
typical_27c_3.30v,18,2.4,5.30407e-06,5.34113e-06,-0.6963
typical_27c_3.30v,19,0.9,5.21565e-06,5.02955e-06,3.6329
typical_27c_3.30v,19,1.65,5.21103e-06,5.05214e-06,3.0963
typical_27c_3.30v,19,2.4,5.19969e-06,5.07207e-06,2.4849
typical_27c_3.30v,20,0.9,5.20776e-06,5.15981e-06,0.9250
typical_27c_3.30v,20,1.65,5.2033e-06,5.18805e-06,0.2935
typical_27c_3.30v,20,2.4,5.19211e-06,5.21266e-06,-0.3950
