# campaign: supply-sensitivity (#394)
# source record (read-only, never modified): 20260901-155456-46b92f8
# generated_utc: 2026-09-16T05:25:12Z
# NO SIMULATION WAS RUN. Every column is arithmetic on committed data.
# ratified criterion: |static phase at the PFD inputs| <= 1 ns (spec/pll.md, Lock criterion)
# deck criterion actually applied to the source record's verdict column:
#   ACC_PHI_FRAC = 0.02 of a reference period = 1.6 ns at f_ref = 12.5e6 Hz
# late window: ta=6.4e-6s tb=9.6e-6s (tstop=12.0u); loop tau=9.3e-6s
#   -> ta/tb are 0.69 and 1.03 tau: ONE tau is not settled
# phi_b_ns: the committed static REF->FB phase at tb (supply_steady.csv phi_b_s)
# skew_ns:  the same offset read as the UP/DN pulse-width difference at the PFD outputs
# xcheck_pct: |phi_b - skew| / |phi_b| * 100 -- the two-node cross-check; large = measurement error, not a design result
# vctrl_avg_v: the control voltage this closed-loop row settled at. Carried
#   because it is the JOIN KEY against sim/pfd-deadzone's open-loop t_offset:
#   that campaign's cited 0.671 ns systematic term is measured at ONE control
#   voltage (1.65 V), and a closed-loop row standing at a different one is not
#   being compared against its own operating point until the two are matched.
# phi_a_ns: the SAME phase (tb-ta) earlier, recovered exactly from ferr's own definition: phi_a = phi_b + ferr*(tb-ta)
# d_phi_window_ns: phi_b - phi_a, how far the 'static' phase moved across the late window
# settled: 'no' when |d_phi_window| > 10% of the ratified 1 ns criterion -- i.e. the
#   phase moved by more than a tenth of the bound it is being judged against, between
#   the record's own two measurement instants, so phi_b is a sample on a tail
# asymptote_ns: single-pole continuation to t->inf at the loop's own tau. NOT A
#   MEASUREMENT: two-point fit, numerator is a difference of near-equal numbers, and
#   this loop is measured under-damped at one corner. Read its SIGN and ORDER only.
# over_ratified: |phi_b| > 1 ns (the ratified criterion)
# over_deck: |phi_b| > the deck threshold above (what the verdict column applied)
# verdict: the source record's own verdict, unchanged
bundle,temp_c,vdd_v,phi_b_ns,skew_ns,xcheck_pct,vctrl_avg_v,ferr,phi_a_ns,d_phi_window_ns,settled,asymptote_ns,over_ratified,over_deck,verdict
ss,125,2.97,0.8269,0.809,2.17,1.367,0.0001199,1.211,-0.3837,no,-0.1073,no,no,PASS
ss,125,3.30,1.416,1.383,2.3,1.708,0.0001815,1.997,-0.5808,no,0.001549,yes,no,PASS
ss,125,3.63,0.2919,0.2681,8.13,2.032,2.079e-05,0.3584,-0.06653,yes,0.1299,no,no,PASS
typical,-40,2.97,0.9525,0.9425,1.05,0.9843,1.708e-05,1.007,-0.05466,yes,0.8194,no,no,PASS
typical,-40,3.30,0.9057,0.894,1.29,1.244,2.8e-05,0.9953,-0.0896,yes,0.6876,no,no,PASS
typical,-40,3.63,1.049,1.025,2.26,1.471,3.3e-06,1.059,-0.01056,yes,1.023,yes,no,FAIL:lock
typical,27,2.97,0.3839,0.3617,5.8,1.798,8.989e-05,0.6716,-0.2876,no,-0.3164,no,no,PASS
typical,27,3.30,1.069,1.029,3.77,2.16,0.0001579,1.575,-0.5053,no,-0.1609,yes,no,PASS
typical,27,3.63,-0.9422,-0.9339,0.883,2.495,-0.0002004,-1.583,0.6413,no,0.6193,no,no,PASS
typical,125,2.97,0.143,0.12,16.1,1.564,1.822e-05,0.2013,-0.0583,yes,0.0009885,no,no,PASS
typical,125,3.30,1.421,1.373,3.34,1.883,0.0001935,2.04,-0.6192,no,-0.08697,yes,no,FAIL:lock
typical,125,3.63,1.019,0.9775,4.11,2.18,0.0001189,1.4,-0.3805,no,0.09293,yes,no,PASS
