# net charge per reference cycle and UP/DN pulse width at every (PVT corner, control voltage, phase offset) point -- the raw evidence the static-offset table reduces
# ref period 80 ns (12.5 MHz) -- sim/supply-sensitivity's own reference (100 MHz / N=8), NOT the parent manifest's 25 MHz
# Icp trim code b1b0=10 (3 unit legs), the nominal setting and the one sim/supply-sensitivity runs its closed loop at
# vctrl_v: control-node voltage, held by an ideal source (open loop)
# dphi_s: FB-relative-to-REF phase offset (s)
# qnet_c: net charge delivered to the control node per reference cycle (C), positive = pump sourcing
# width_up_s/width_dn_s: UP/DN pulse width (s) at the per-corner mid-supply crossing, third reference cycle. An empty cell is an `optional` measurement that did not fire -- that polarity never crossed mid-supply.
process,temp_c,vdd_v,vctrl_v,dphi_s,qnet_c,width_up_s,width_dn_s
ff,-40,3.63,2.40,1n,3.92485e-15,2.07098e-09,1.09647e-09
ff,125,2.97,0.90,-1n,-1.14544e-14,1.73048e-09,2.75955e-09
ff,125,2.97,0.90,0,-5.23929e-15,1.75682e-09,1.78511e-09
ff,125,2.97,0.90,1n,-1.73947e-15,2.72072e-09,1.74683e-09
ff,125,2.97,1.65,-1n,-6.55628e-15,1.73081e-09,2.77016e-09
ff,125,2.97,1.65,0,-4.88369e-16,1.74623e-09,1.785e-09
ff,125,2.97,1.65,1n,4.01985e-15,2.68914e-09,1.72577e-09
ff,125,2.97,2.40,-1n,-7.41221e-15,1.75041e-09,2.77758e-09
ff,125,2.97,2.40,0,-2.9732e-15,1.76204e-09,1.78903e-09
ff,125,2.97,2.40,1n,2.10269e-15,2.68547e-09,1.71014e-09
ff,125,3.30,0.90,-1n,-1.34756e-14,1.60057e-09,2.62616e-09
ff,125,3.30,0.90,0,-6.95491e-15,1.6271e-09,1.65196e-09
ff,125,3.30,0.90,1n,-4.07842e-15,2.59519e-09,1.6177e-09
ff,125,3.30,1.65,-1n,-8.48853e-15,1.60102e-09,2.63859e-09
ff,125,3.30,1.65,0,-2.10805e-15,1.61662e-09,1.65376e-09
ff,125,3.30,1.65,1n,2.76454e-15,2.56751e-09,1.60214e-09
ff,125,3.30,2.40,-1n,-7.45484e-15,1.6083e-09,2.64261e-09
ff,125,3.30,2.40,0,-2.33994e-15,1.62027e-09,1.65434e-09
ff,125,3.30,2.40,1n,3.2386e-15,2.55235e-09,1.58409e-09
ff,125,3.63,0.90,-1n,-1.50905e-14,1.49953e-09,2.52142e-09
ff,125,3.63,0.90,0,-8.59561e-15,1.52585e-09,1.54693e-09
ff,125,3.63,0.90,1n,-5.91296e-15,2.49732e-09,1.51609e-09
ff,125,3.63,1.65,-1n,-9.80593e-15,1.49957e-09,2.5355e-09
ff,125,3.63,1.65,0,-3.29003e-15,1.51563e-09,1.55135e-09
ff,125,3.63,1.65,1n,6.70956e-16,2.47208e-09,1.50559e-09
ff,125,3.63,2.40,-1n,-7.87163e-15,1.50123e-09,2.54e-09
ff,125,3.63,2.40,0,-1.27046e-15,1.51193e-09,1.55025e-09
ff,125,3.63,2.40,1n,3.08873e-15,2.4528e-09,1.48883e-09
ff,27,2.97,0.90,-1n,-1.07846e-14,1.45406e-09,2.47871e-09
ff,27,2.97,0.90,0,-4.9535e-15,1.47489e-09,1.49881e-09
ff,27,2.97,0.90,1n,-1.32801e-15,2.44595e-09,1.46809e-09
ff,27,2.97,1.65,-1n,-5.93804e-15,1.45582e-09,2.48641e-09
ff,27,2.97,1.65,0,-5.23114e-16,1.46654e-09,1.49676e-09
ff,27,2.97,1.65,1n,4.0931e-15,2.4207e-09,1.4491e-09
ff,27,2.97,2.40,-1n,-6.73346e-15,1.46812e-09,2.4962e-09
ff,27,2.97,2.40,0,-2.8232e-15,1.47612e-09,1.50432e-09
ff,27,2.97,2.40,1n,1.99595e-15,2.41158e-09,1.43791e-09
ff,27,3.30,0.90,-1n,-1.27763e-14,1.3482e-09,2.37049e-09
ff,27,3.30,0.90,0,-6.49295e-15,1.36856e-09,1.39045e-09
ff,27,3.30,0.90,1n,-3.82207e-15,2.3424e-09,1.3623e-09
ff,27,3.30,1.65,-1n,-7.30286e-15,1.34911e-09,2.37848e-09
ff,27,3.30,1.65,0,-1.32501e-15,1.36038e-09,1.38934e-09
ff,27,3.30,1.65,1n,3.07787e-15,2.32e-09,1.34718e-09
ff,27,3.30,2.40,-1n,-6.61646e-15,1.35234e-09,2.38383e-09
ff,27,3.30,2.40,0,-1.92568e-15,1.35983e-09,1.39093e-09
ff,27,3.30,2.40,1n,3.76186e-15,2.30377e-09,1.33297e-09
ff,27,3.63,0.90,-1n,-1.47294e-14,1.26712e-09,2.28645e-09
ff,27,3.63,0.90,0,-8.1568e-15,1.28692e-09,1.30564e-09
ff,27,3.63,0.90,1n,-5.78006e-15,2.26361e-09,1.28027e-09
ff,27,3.63,1.65,-1n,-9.31074e-15,1.26739e-09,2.29581e-09
ff,27,3.63,1.65,0,-3.41458e-15,1.27902e-09,1.30709e-09
ff,27,3.63,1.65,1n,1.08367e-15,2.24394e-09,1.27003e-09
ff,27,3.63,2.40,-1n,-6.82484e-15,1.26694e-09,2.30013e-09
ff,27,3.63,2.40,0,-9.22054e-16,1.27466e-09,1.30758e-09
ff,27,3.63,2.40,1n,3.71472e-15,2.22568e-09,1.25646e-09
fs,-40,2.97,0.90,-1n,-9.9338e-15,1.50268e-09,2.52737e-09
fs,-40,2.97,0.90,0,-4.10159e-15,1.52015e-09,1.54374e-09
fs,-40,2.97,0.90,1n,-7.8508e-16,2.48903e-09,1.51023e-09
fs,-40,2.97,1.65,-1n,-5.53627e-15,1.50316e-09,2.52854e-09
fs,-40,2.97,1.65,0,-2.13686e-16,1.51501e-09,1.53977e-09
fs,-40,2.97,1.65,1n,4.35296e-15,2.47118e-09,1.49346e-09
fs,-40,2.97,2.40,-1n,-6.64986e-15,1.50414e-09,2.54619e-09
fs,-40,2.97,2.40,0,-2.15901e-15,1.5117e-09,1.55355e-09
fs,-40,2.97,2.40,1n,2.70018e-15,2.44502e-09,1.48479e-09
fs,-40,3.30,0.90,-1n,-1.19792e-14,1.37336e-09,2.39594e-09
fs,-40,3.30,0.90,0,-6.07439e-15,1.39105e-09,1.41277e-09
fs,-40,3.30,0.90,1n,-3.60086e-15,2.36386e-09,1.383e-09
fs,-40,3.30,1.65,-1n,-6.07937e-15,1.37317e-09,2.3968e-09
fs,-40,3.30,1.65,0,-4.48835e-16,1.38545e-09,1.40856e-09
fs,-40,3.30,1.65,1n,3.57308e-15,2.34811e-09,1.36869e-09
fs,-40,3.30,2.40,-1n,-5.86639e-15,1.3732e-09,2.40799e-09
fs,-40,3.30,2.40,0,-1.89901e-15,1.38089e-09,1.41521e-09
fs,-40,3.30,2.40,1n,3.76167e-15,2.32565e-09,1.35725e-09
fs,-40,3.63,0.90,-1n,-1.43629e-14,1.28189e-09,2.30177e-09
fs,-40,3.63,0.90,0,-7.75478e-15,1.29941e-09,1.3185e-09
fs,-40,3.63,0.90,1n,-5.6673e-15,2.27542e-09,1.29177e-09
fs,-40,3.63,1.65,-1n,-8.39125e-15,1.28206e-09,2.30494e-09
fs,-40,3.63,1.65,0,-2.41121e-15,1.29385e-09,1.31625e-09
fs,-40,3.63,1.65,1n,1.84313e-15,2.26144e-09,1.28126e-09
fs,-40,3.63,2.40,-1n,-5.82921e-15,1.28191e-09,2.31261e-09
fs,-40,3.63,2.40,0,-8.54277e-16,1.28974e-09,1.31994e-09
fs,-40,3.63,2.40,1n,3.76484e-15,2.24167e-09,1.26923e-09
fs,125,2.97,0.90,-1n,-1.10763e-14,2.05196e-09,3.08466e-09
fs,125,2.97,0.90,0,-5.06717e-15,2.08193e-09,2.11355e-09
fs,125,2.97,0.90,1n,-1.44218e-15,3.03669e-09,2.06447e-09
fs,125,2.97,1.65,-1n,-6.48032e-15,2.05262e-09,3.09445e-09
fs,125,2.97,1.65,0,-5.82952e-16,2.07207e-09,2.11315e-09
fs,125,2.97,1.65,1n,4.02913e-15,3.0054e-09,2.04261e-09
fs,125,2.97,2.40,-1n,-7.31642e-15,2.06028e-09,3.10978e-09
fs,125,2.97,2.40,0,-2.82367e-15,2.07448e-09,2.1238e-09
fs,125,2.97,2.40,1n,2.50111e-15,2.98227e-09,2.02754e-09
fs,125,3.30,0.90,-1n,-1.29371e-14,1.87644e-09,2.90526e-09
fs,125,3.30,0.90,0,-6.56483e-15,1.90592e-09,1.93365e-09
fs,125,3.30,0.90,1n,-3.77601e-15,2.86619e-09,1.88999e-09
fs,125,3.30,1.65,-1n,-7.51668e-15,1.8771e-09,2.91562e-09
fs,125,3.30,1.65,0,-1.36133e-15,1.89646e-09,1.93438e-09
fs,125,3.30,1.65,1n,3.07613e-15,2.83949e-09,1.87385e-09
fs,125,3.30,2.40,-1n,-7.12219e-15,1.87739e-09,2.92575e-09
fs,125,3.30,2.40,0,-1.96386e-15,1.89084e-09,1.93862e-09
fs,125,3.30,2.40,1n,3.56808e-15,2.81202e-09,1.85602e-09
fs,125,3.63,0.90,-1n,-1.49649e-14,1.74234e-09,2.76662e-09
fs,125,3.63,0.90,0,-8.30236e-15,1.77137e-09,1.79455e-09
fs,125,3.63,0.90,1n,-5.6676e-15,2.73589e-09,1.7555e-09
fs,125,3.63,1.65,-1n,-9.76404e-15,1.74304e-09,2.77955e-09
fs,125,3.63,1.65,0,-3.07943e-15,1.76254e-09,1.79842e-09
fs,125,3.63,1.65,1n,1.42413e-15,2.71298e-09,1.7454e-09
fs,125,3.63,2.40,-1n,-7.27907e-15,1.74206e-09,2.78761e-09
fs,125,3.63,2.40,0,-1.32718e-15,1.75545e-09,1.80046e-09
fs,125,3.63,2.40,1n,3.46684e-15,2.68708e-09,1.72844e-09
fs,27,2.97,0.90,-1n,-1.02764e-14,1.73038e-09,2.75862e-09
fs,27,2.97,0.90,0,-4.48174e-15,1.75303e-09,1.78023e-09
fs,27,2.97,0.90,1n,-1.01059e-15,2.71601e-09,1.74018e-09
fs,27,2.97,1.65,-1n,-5.61033e-15,1.7311e-09,2.76311e-09
fs,27,2.97,1.65,0,-2.42946e-16,1.74621e-09,1.77772e-09
fs,27,2.97,1.65,1n,4.44952e-15,2.6929e-09,1.72129e-09
fs,27,2.97,2.40,-1n,-7.11535e-15,1.7341e-09,2.78112e-09
fs,27,2.97,2.40,0,-2.56248e-15,1.74363e-09,1.79068e-09
fs,27,2.97,2.40,1n,2.30194e-15,2.66649e-09,1.71024e-09
fs,27,3.30,0.90,-1n,-1.24385e-14,1.58128e-09,2.6066e-09
fs,27,3.30,0.90,0,-6.27192e-15,1.6034e-09,1.62787e-09
fs,27,3.30,0.90,1n,-3.29338e-15,2.57085e-09,1.59207e-09
fs,27,3.30,1.65,-1n,-7.28081e-15,1.58174e-09,2.61143e-09
fs,27,3.30,1.65,0,-1.00334e-15,1.59656e-09,1.62571e-09
fs,27,3.30,1.65,1n,3.0369e-15,2.55139e-09,1.57753e-09
fs,27,3.30,2.40,-1n,-6.68152e-15,1.58105e-09,2.62227e-09
fs,27,3.30,2.40,0,-1.83149e-15,1.59087e-09,1.63161e-09
fs,27,3.30,2.40,1n,3.57207e-15,2.52547e-09,1.56288e-09
fs,27,3.63,0.90,-1n,-1.4599e-14,1.47055e-09,2.49297e-09
fs,27,3.63,0.90,0,-7.85903e-15,1.49262e-09,1.51411e-09
fs,27,3.63,0.90,1n,-5.46827e-15,2.46371e-09,1.48202e-09
fs,27,3.63,1.65,-1n,-8.9833e-15,1.47094e-09,2.4993e-09
fs,27,3.63,1.65,0,-2.75557e-15,1.48631e-09,1.51411e-09
fs,27,3.63,1.65,1n,1.9149e-15,2.4464e-09,1.47118e-09
fs,27,3.63,2.40,-1n,-6.56308e-15,1.47076e-09,2.50816e-09
fs,27,3.63,2.40,0,-1.68812e-15,1.48054e-09,1.51744e-09
fs,27,3.63,2.40,1n,3.62435e-15,2.42414e-09,1.45781e-09
sf,-40,2.97,0.90,-1n,-9.65377e-15,1.5589e-09,2.57983e-09
sf,-40,2.97,0.90,0,-4.04708e-15,1.57606e-09,1.59653e-09
sf,-40,2.97,0.90,1n,-7.41994e-16,2.55264e-09,1.57249e-09
sf,-40,2.97,1.65,-1n,-5.35674e-15,1.5603e-09,2.57875e-09
sf,-40,2.97,1.65,0,1.27701e-16,1.57135e-09,1.58945e-09
sf,-40,2.97,1.65,1n,4.23881e-15,2.53333e-09,1.55074e-09
sf,-40,2.97,2.40,-1n,-6.14375e-15,1.57048e-09,2.59379e-09
sf,-40,2.97,2.40,0,-1.82184e-15,1.57724e-09,1.60056e-09
sf,-40,2.97,2.40,1n,2.78344e-15,2.52173e-09,1.54442e-09
sf,-40,3.30,0.90,-1n,-1.148e-14,1.4298e-09,2.45201e-09
sf,-40,3.30,0.90,0,-5.62943e-15,1.44696e-09,1.46865e-09
sf,-40,3.30,0.90,1n,-2.97413e-15,2.42863e-09,1.44953e-09
sf,-40,3.30,1.65,-1n,-6.69526e-15,1.4306e-09,2.4504e-09
sf,-40,3.30,1.65,0,-9.82322e-16,1.44148e-09,1.461e-09
sf,-40,3.30,1.65,1n,3.20418e-15,2.40963e-09,1.42833e-09
sf,-40,3.30,2.40,-1n,-6.44518e-15,1.43292e-09,2.45809e-09
sf,-40,3.30,2.40,0,-1.85358e-15,1.43955e-09,1.46445e-09
sf,-40,3.30,2.40,1n,3.26526e-15,2.39422e-09,1.41835e-09
sf,-40,3.63,0.90,-1n,-1.37917e-14,1.33766e-09,2.35945e-09
sf,-40,3.63,0.90,0,-7.39409e-15,1.35436e-09,1.37578e-09
sf,-40,3.63,0.90,1n,-5.3726e-15,2.33597e-09,1.35632e-09
sf,-40,3.63,1.65,-1n,-8.72629e-15,1.33823e-09,2.3593e-09
sf,-40,3.63,1.65,0,-2.73521e-15,1.35052e-09,1.37134e-09
sf,-40,3.63,1.65,1n,1.51917e-15,2.3211e-09,1.34092e-09
sf,-40,3.63,2.40,-1n,-6.43168e-15,1.33936e-09,2.36256e-09
sf,-40,3.63,2.40,0,-6.7787e-16,1.3466e-09,1.36947e-09
sf,-40,3.63,2.40,1n,4.04876e-15,2.30532e-09,1.32707e-09
sf,125,2.97,0.90,-1n,-1.07767e-14,2.14265e-09,3.17542e-09
sf,125,2.97,0.90,0,-5.00651e-15,2.17205e-09,2.20425e-09
sf,125,2.97,0.90,1n,-1.2318e-15,3.13538e-09,2.16631e-09
sf,125,2.97,1.65,-1n,-6.32656e-15,2.14404e-09,3.17753e-09
sf,125,2.97,1.65,0,-7.42223e-17,2.16164e-09,2.19471e-09
sf,125,2.97,1.65,1n,4.22138e-15,3.10436e-09,2.13615e-09
sf,125,2.97,2.40,-1n,-7.02431e-15,2.16921e-09,3.19033e-09
sf,125,2.97,2.40,0,-2.08944e-15,2.18168e-09,2.20277e-09
sf,125,2.97,2.40,1n,2.59205e-15,3.10193e-09,2.12184e-09
sf,125,3.30,0.90,-1n,-1.27327e-14,1.96374e-09,2.99496e-09
sf,125,3.30,0.90,0,-6.25221e-15,1.99303e-09,2.02373e-09
sf,125,3.30,0.90,1n,-3.49829e-15,2.96035e-09,1.98967e-09
sf,125,3.30,1.65,-1n,-7.84417e-15,1.96469e-09,2.99876e-09
sf,125,3.30,1.65,0,-1.61557e-15,1.98279e-09,2.01642e-09
sf,125,3.30,1.65,1n,3.07544e-15,2.9334e-09,1.96586e-09
sf,125,3.30,2.40,-1n,-6.36532e-15,1.97407e-09,3.00292e-09
sf,125,3.30,2.40,0,-1.41704e-15,1.98706e-09,2.01548e-09
sf,125,3.30,2.40,1n,4.06718e-15,2.91815e-09,1.94556e-09
sf,125,3.63,0.90,-1n,-1.44442e-14,1.82606e-09,2.85522e-09
sf,125,3.63,0.90,0,-7.95414e-15,1.8553e-09,1.88393e-09
sf,125,3.63,0.90,1n,-5.34274e-15,2.82588e-09,1.85296e-09
sf,125,3.63,1.65,-1n,-1.06549e-14,1.82696e-09,2.86101e-09
sf,125,3.63,1.65,0,-2.6696e-15,1.84587e-09,1.8796e-09
sf,125,3.63,1.65,1n,1.21715e-15,2.80184e-09,1.83429e-09
sf,125,3.63,2.40,-1n,-6.5298e-15,1.8291e-09,2.86289e-09
sf,125,3.63,2.40,0,-1.20877e-16,1.84168e-09,1.87523e-09
sf,125,3.63,2.40,1n,3.86875e-15,2.78173e-09,1.81372e-09
sf,27,2.97,0.90,-1n,-1.02007e-14,1.80245e-09,2.82809e-09
sf,27,2.97,0.90,0,-4.32162e-15,1.82449e-09,1.84952e-09
sf,27,2.97,0.90,1n,-9.93138e-16,2.79505e-09,1.81924e-09
sf,27,2.97,1.65,-1n,-5.8603e-15,1.80366e-09,2.82809e-09
sf,27,2.97,1.65,0,-5.88817e-16,1.81686e-09,1.84083e-09
sf,27,2.97,1.65,1n,4.10593e-15,2.77077e-09,1.7937e-09
sf,27,2.97,2.40,-1n,-6.4198e-15,1.81854e-09,2.84226e-09
sf,27,2.97,2.40,0,-1.99604e-15,1.82878e-09,1.85242e-09
sf,27,2.97,2.40,1n,2.8536e-15,2.7614e-09,1.78425e-09
sf,27,3.30,0.90,-1n,-1.22161e-14,1.64971e-09,2.67537e-09
sf,27,3.30,0.90,0,-6.05947e-15,1.67197e-09,1.69703e-09
sf,27,3.30,0.90,1n,-3.22486e-15,2.6457e-09,1.66977e-09
sf,27,3.30,1.65,-1n,-7.41412e-15,1.65039e-09,2.67579e-09
sf,27,3.30,1.65,0,-1.34573e-15,1.66388e-09,1.68898e-09
sf,27,3.30,1.65,1n,3.18371e-15,2.62467e-09,1.64874e-09
sf,27,3.30,2.40,-1n,-6.17414e-15,1.65449e-09,2.68237e-09
sf,27,3.30,2.40,0,-1.61905e-15,1.66384e-09,1.69105e-09
sf,27,3.30,2.40,1n,3.52041e-15,2.60729e-09,1.63333e-09
sf,27,3.63,0.90,-1n,-1.38321e-14,1.53576e-09,2.5604e-09
sf,27,3.63,0.90,0,-7.48351e-15,1.55874e-09,1.58293e-09
sf,27,3.63,0.90,1n,-4.95883e-15,2.53453e-09,1.55756e-09
sf,27,3.63,1.65,-1n,-9.45763e-15,1.53737e-09,2.56373e-09
sf,27,3.63,1.65,0,-2.79819e-15,1.55139e-09,1.57746e-09
sf,27,3.63,1.65,1n,1.06947e-15,2.51611e-09,1.54096e-09
sf,27,3.63,2.40,-1n,-6.14636e-15,1.53796e-09,2.56621e-09
sf,27,3.63,2.40,0,-1.07176e-15,1.54705e-09,1.57495e-09
sf,27,3.63,2.40,1n,4.01463e-15,2.4975e-09,1.52407e-09
ss,-40,2.97,0.90,-1n,-9.20604e-15,1.87212e-09,2.89582e-09
ss,-40,2.97,0.90,0,-3.54157e-15,1.89147e-09,1.91444e-09
ss,-40,2.97,0.90,1n,-9.66628e-17,2.85966e-09,1.8815e-09
ss,-40,2.97,1.65,-1n,-5.13004e-15,1.87332e-09,2.89129e-09
ss,-40,2.97,1.65,0,-4.29382e-17,1.88738e-09,1.90474e-09
ss,-40,2.97,1.65,1n,4.57231e-15,2.84263e-09,1.85877e-09
ss,-40,2.97,2.40,-1n,-6.20836e-15,1.87442e-09,2.91335e-09
ss,-40,2.97,2.40,0,-2.09728e-15,1.88372e-09,1.92229e-09
ss,-40,2.97,2.40,1n,3.24818e-15,2.81533e-09,1.85248e-09
ss,-40,3.30,0.90,-1n,-1.15e-14,1.6941e-09,2.71829e-09
ss,-40,3.30,0.90,0,-5.21576e-15,1.71301e-09,1.73653e-09
ss,-40,3.30,0.90,1n,-2.73288e-15,2.68617e-09,1.70833e-09
ss,-40,3.30,1.65,-1n,-6.50302e-15,1.69506e-09,2.71371e-09
ss,-40,3.30,1.65,0,-6.56369e-16,1.70903e-09,1.72723e-09
ss,-40,3.30,1.65,1n,3.66836e-15,2.6717e-09,1.68847e-09
ss,-40,3.30,2.40,-1n,-5.72291e-15,1.69546e-09,2.7263e-09
ss,-40,3.30,2.40,0,-1.16713e-15,1.70492e-09,1.7353e-09
ss,-40,3.30,2.40,1n,4.09912e-15,2.64778e-09,1.67668e-09
ss,-40,3.63,0.90,-1n,-1.35967e-14,1.56457e-09,2.58816e-09
ss,-40,3.63,0.90,0,-6.86807e-15,1.58365e-09,1.60661e-09
ss,-40,3.63,0.90,1n,-5.32041e-15,2.55968e-09,1.58115e-09
ss,-40,3.63,1.65,-1n,-8.87913e-15,1.5651e-09,2.58449e-09
ss,-40,3.63,1.65,0,-2.00044e-15,1.57924e-09,1.59821e-09
ss,-40,3.63,1.65,1n,2.40392e-15,2.54641e-09,1.56378e-09
ss,-40,3.63,2.40,-1n,-5.60437e-15,1.56573e-09,2.59093e-09
ss,-40,3.63,2.40,0,-6.25451e-16,1.57535e-09,1.60006e-09
ss,-40,3.63,2.40,1n,4.63418e-15,2.52631e-09,1.54946e-09
ss,125,2.97,0.90,-1n,-1.01997e-14,2.5594e-09,3.5946e-09
ss,125,2.97,0.90,0,-4.27048e-15,2.59305e-09,2.62733e-09
ss,125,2.97,0.90,1n,-6.94967e-16,3.54565e-09,2.57787e-09
ss,125,2.97,1.65,-1n,-5.90108e-15,2.56109e-09,3.59493e-09
ss,125,2.97,1.65,0,-7.74067e-17,2.5839e-09,2.61716e-09
ss,125,2.97,1.65,1n,4.6398e-15,3.51525e-09,2.54677e-09
ss,125,2.97,2.40,-1n,-6.89892e-15,2.57213e-09,3.61655e-09
ss,125,2.97,2.40,0,-1.99582e-15,2.58825e-09,2.63251e-09
ss,125,2.97,2.40,1n,3.15854e-15,3.49053e-09,2.53286e-09
ss,125,3.30,0.90,-1n,-1.23823e-14,2.31799e-09,3.35165e-09
ss,125,3.30,0.90,0,-6.12899e-15,2.35087e-09,2.38352e-09
ss,125,3.30,0.90,1n,-3.06514e-15,3.3096e-09,2.34006e-09
ss,125,3.30,1.65,-1n,-7.56851e-15,2.31912e-09,3.35229e-09
ss,125,3.30,1.65,0,-1.13958e-15,2.34173e-09,2.37447e-09
ss,125,3.30,1.65,1n,3.37633e-15,3.2836e-09,2.31432e-09
ss,125,3.30,2.40,-1n,-6.51758e-15,2.32172e-09,3.36362e-09
ss,125,3.30,2.40,0,-1.25071e-15,2.33676e-09,2.37843e-09
ss,125,3.30,2.40,1n,4.24903e-15,3.2546e-09,2.294e-09
ss,125,3.63,0.90,-1n,-1.44296e-14,2.13682e-09,3.16784e-09
ss,125,3.63,0.90,0,-7.8992e-15,2.16873e-09,2.19886e-09
ss,125,3.63,0.90,1n,-5.26631e-15,3.13233e-09,2.16009e-09
ss,125,3.63,1.65,-1n,-9.48036e-15,2.13777e-09,3.17061e-09
ss,125,3.63,1.65,0,-2.84184e-15,2.16053e-09,2.19296e-09
ss,125,3.63,1.65,1n,1.45927e-15,3.10966e-09,2.13995e-09
ss,125,3.63,2.40,-1n,-6.89429e-15,2.13833e-09,3.17693e-09
ss,125,3.63,2.40,0,-8.6073e-16,2.15431e-09,2.19236e-09
ss,125,3.63,2.40,1n,4.04282e-15,3.08314e-09,2.1188e-09
ss,27,2.97,0.90,-1n,-9.60743e-15,2.15898e-09,3.18745e-09
ss,27,2.97,0.90,0,-3.94296e-15,2.18424e-09,2.21183e-09
ss,27,2.97,0.90,1n,-2.10664e-16,3.14563e-09,2.17175e-09
ss,27,2.97,1.65,-1n,-5.54417e-15,2.1605e-09,3.18474e-09
ss,27,2.97,1.65,0,-1.54422e-16,2.17841e-09,2.202e-09
ss,27,2.97,1.65,1n,4.63991e-15,3.1236e-09,2.14562e-09
ss,27,2.97,2.40,-1n,-6.7429e-15,2.16477e-09,3.20773e-09
ss,27,2.97,2.40,0,-2.03343e-15,2.17678e-09,2.2194e-09
ss,27,2.97,2.40,1n,3.13087e-15,3.09512e-09,2.13638e-09
ss,27,3.30,0.90,-1n,-1.20488e-14,1.95269e-09,2.98145e-09
ss,27,3.30,0.90,0,-5.82427e-15,1.97739e-09,2.00527e-09
ss,27,3.30,0.90,1n,-2.9836e-15,2.94319e-09,1.96939e-09
ss,27,3.30,1.65,-1n,-6.91812e-15,1.95367e-09,2.97787e-09
ss,27,3.30,1.65,0,-9.95198e-16,1.97116e-09,1.99483e-09
ss,27,3.30,1.65,1n,3.62095e-15,2.92505e-09,1.94702e-09
ss,27,3.30,2.40,-1n,-6.36601e-15,1.95425e-09,2.99054e-09
ss,27,3.30,2.40,0,-1.36537e-15,1.96573e-09,2.00148e-09
ss,27,3.30,2.40,1n,3.74486e-15,2.89788e-09,1.93177e-09
ss,27,3.63,0.90,-1n,-1.41481e-14,1.79975e-09,2.82644e-09
ss,27,3.63,0.90,0,-7.38727e-15,1.82465e-09,1.85056e-09
ss,27,3.63,0.90,1n,-5.07904e-15,2.79632e-09,1.82031e-09
ss,27,3.63,1.65,-1n,-9.03359e-15,1.80165e-09,2.82647e-09
ss,27,3.63,1.65,0,-2.70013e-15,1.81927e-09,1.84369e-09
ss,27,3.63,1.65,1n,1.51389e-15,2.77847e-09,1.80095e-09
