# static phase offset at the PFD inputs that nulls the pump's residual charge -- 135 (corner, control voltage) cell(s); largest magnitude 1.8732 ns at ff/125C/3.63V @ Vctrl=0.90 V
# kd_wide_a: detector gain well outside the reset window, [q(+1ns)-q(-1ns)]/2ns (A)
# q_zero_c: net charge per reference cycle at dphi = 0 (C) -- the residual up/down asymmetry the loop must null
# t_offset_s: the static phase offset that nulls it, -q_zero/kd_wide (s). This is the quantity spec/pll.md's static phase-offset budget calls the SYSTEMATIC term, measured here at the closed loop's own reference frequency and across DR-001 Decision 2's ratified control window.
# t_offset_abs_ns: |t_offset| in ns, for direct comparison against spec/pll.md's ratified 1 ns Lock criterion
# No dead-zone verdict column: this manifest does not sweep the near pair that criterion differences across, so it neither computes nor claims one (the parent manifest does, at all 45 corners).
corner,vctrl_v,kd_wide_a,q_zero_c,t_offset_s,t_offset_abs_ns
fs/27C/3.63V,1.65,5.4491e-06,-2.75557e-15,5.05693e-10,0.5057
fs/27C/3.63V,2.40,5.09372e-06,-1.68812e-15,3.31412e-10,0.3314
sf/-40C/2.97V,0.90,4.45589e-06,-4.04708e-15,9.08254e-10,0.9083
sf/-40C/2.97V,1.65,4.79777e-06,1.27701e-16,-2.66167e-11,0.0266
sf/-40C/2.97V,2.40,4.4636e-06,-1.82184e-15,4.08155e-10,0.4082
sf/-40C/3.30V,0.90,4.25294e-06,-5.62943e-15,1.32366e-09,1.3237
sf/-40C/3.30V,1.65,4.94972e-06,-9.82322e-16,1.9846e-10,0.1985
sf/-40C/3.30V,2.40,4.85522e-06,-1.85358e-15,3.81771e-10,0.3818
sf/-40C/3.63V,0.90,4.20955e-06,-7.39409e-15,1.7565e-09,1.7565
sf/-40C/3.63V,1.65,5.12273e-06,-2.73521e-15,5.33936e-10,0.5339
sf/-40C/3.63V,2.40,5.24022e-06,-6.7787e-16,1.29359e-10,0.1294
sf/125C/2.97V,0.90,4.77245e-06,-5.00651e-15,1.04904e-09,1.0490
sf/125C/2.97V,1.65,5.27397e-06,-7.42223e-17,1.40733e-11,0.0141
sf/125C/2.97V,2.40,4.80818e-06,-2.08944e-15,4.34559e-10,0.4346
sf/125C/3.30V,0.90,4.6172e-06,-6.25221e-15,1.35411e-09,1.3541
sf/125C/3.30V,1.65,5.4598e-06,-1.61557e-15,2.95903e-10,0.2959
sf/125C/3.30V,2.40,5.21625e-06,-1.41704e-15,2.71659e-10,0.2717
sf/125C/3.63V,0.90,4.55073e-06,-7.95414e-15,1.74788e-09,1.7479
sf/125C/3.63V,1.65,5.93603e-06,-2.6696e-15,4.49729e-10,0.4497
sf/125C/3.63V,2.40,5.19927e-06,-1.20877e-16,2.32488e-11,0.0232
sf/27C/2.97V,0.90,4.60378e-06,-4.32162e-15,9.38711e-10,0.9387
sf/27C/2.97V,1.65,4.98311e-06,-5.88817e-16,1.18162e-10,0.1182
sf/27C/2.97V,2.40,4.6367e-06,-1.99604e-15,4.30487e-10,0.4305
sf/27C/3.30V,0.90,4.49562e-06,-6.05947e-15,1.34786e-09,1.3479
sf/27C/3.30V,1.65,5.29891e-06,-1.34573e-15,2.53963e-10,0.2540
sf/27C/3.30V,2.40,4.84727e-06,-1.61905e-15,3.34012e-10,0.3340
sf/27C/3.63V,0.90,4.43663e-06,-7.48351e-15,1.68675e-09,1.6868
sf/27C/3.63V,1.65,5.26355e-06,-2.79819e-15,5.31616e-10,0.5316
sf/27C/3.63V,2.40,5.08049e-06,-1.07176e-15,2.10956e-10,0.2110
ss/-40C/2.97V,0.90,4.55469e-06,-3.54157e-15,7.77566e-10,0.7776
ss/-40C/2.97V,1.65,4.85118e-06,-4.29382e-17,8.85109e-12,0.0089
ss/-40C/2.97V,2.40,4.72827e-06,-2.09728e-15,4.43562e-10,0.4436
ss/-40C/3.30V,0.90,4.38356e-06,-5.21576e-15,1.18985e-09,1.1898
ss/-40C/3.30V,1.65,5.08569e-06,-6.56369e-16,1.29062e-10,0.1291
ss/-40C/3.30V,2.40,4.91101e-06,-1.16713e-15,2.37656e-10,0.2377
ss/-40C/3.63V,0.90,4.13814e-06,-6.86807e-15,1.6597e-09,1.6597
ss/-40C/3.63V,1.65,5.64153e-06,-2.00044e-15,3.54592e-10,0.3546
ss/-40C/3.63V,2.40,5.11927e-06,-6.25451e-16,1.22176e-10,0.1222
ss/125C/2.97V,0.90,4.75237e-06,-4.27048e-15,8.98601e-10,0.8986
ss/125C/2.97V,1.65,5.27044e-06,-7.74067e-17,1.4687e-11,0.0147
ss/125C/2.97V,2.40,5.02873e-06,-1.99582e-15,3.96884e-10,0.3969
ss/125C/3.30V,0.90,4.65858e-06,-6.12899e-15,1.31563e-09,1.3156
ss/125C/3.30V,1.65,5.47242e-06,-1.13958e-15,2.08241e-10,0.2082
ss/125C/3.30V,2.40,5.3833e-06,-1.25071e-15,2.32331e-10,0.2323
ss/125C/3.63V,0.90,4.58164e-06,-7.8992e-15,1.7241e-09,1.7241
ss/125C/3.63V,1.65,5.46981e-06,-2.84184e-15,5.1955e-10,0.5195
ss/125C/3.63V,2.40,5.46855e-06,-8.6073e-16,1.57396e-10,0.1574
ss/27C/2.97V,0.90,4.69838e-06,-3.94296e-15,8.39216e-10,0.8392
ss/27C/2.97V,1.65,5.09204e-06,-1.54422e-16,3.03262e-11,0.0303
ss/27C/2.97V,2.40,4.93688e-06,-2.03343e-15,4.11885e-10,0.4119
ss/27C/3.30V,0.90,4.5326e-06,-5.82427e-15,1.28497e-09,1.2850
ss/27C/3.30V,1.65,5.26953e-06,-9.95198e-16,1.88859e-10,0.1889
ss/27C/3.30V,2.40,5.05543e-06,-1.36537e-15,2.7008e-10,0.2701
ss/27C/3.63V,0.90,4.53453e-06,-7.38727e-15,1.62911e-09,1.6291
ss/27C/3.63V,1.65,5.27374e-06,-2.70013e-15,5.11995e-10,0.5120
ss/27C/3.63V,2.40,5.15175e-06,-8.51791e-16,1.6534e-10,0.1653
typical/-40C/2.97V,0.90,4.47172e-06,-4.12725e-15,9.22968e-10,0.9230
typical/-40C/2.97V,1.65,4.9744e-06,-7.89936e-17,1.588e-11,0.0159
typical/-40C/2.97V,2.40,4.54627e-06,-1.86748e-15,4.10771e-10,0.4108
typical/-40C/3.30V,0.90,4.43271e-06,-6.04778e-15,1.36435e-09,1.3644
typical/-40C/3.30V,1.65,5.45515e-06,-1.3342e-15,2.44576e-10,0.2446
typical/-40C/3.30V,2.40,4.78728e-06,-1.40589e-15,2.93672e-10,0.2937
typical/-40C/3.63V,0.90,4.51443e-06,-7.7269e-15,1.7116e-09,1.7116
typical/-40C/3.63V,1.65,5.02404e-06,-2.8688e-15,5.71015e-10,0.5710
typical/-40C/3.63V,2.40,5.07083e-06,-1.43113e-15,2.82228e-10,0.2822
typical/125C/2.97V,0.90,4.75959e-06,-4.76187e-15,1.00048e-09,1.0005
typical/125C/2.97V,1.65,5.29726e-06,-2.49711e-16,4.71397e-11,0.0471
typical/125C/2.97V,2.40,4.88741e-06,-2.49178e-15,5.09836e-10,0.5098
typical/125C/3.30V,0.90,4.63876e-06,-6.56996e-15,1.41632e-09,1.4163
typical/125C/3.30V,1.65,5.49966e-06,-1.70972e-15,3.10877e-10,0.3109
typical/125C/3.30V,2.40,5.35668e-06,-1.51427e-15,2.82688e-10,0.2827
typical/125C/3.63V,0.90,4.61064e-06,-8.23516e-15,1.78612e-09,1.7861
typical/125C/3.63V,1.65,5.40735e-06,-3.11073e-15,5.75278e-10,0.5753
typical/125C/3.63V,2.40,5.37072e-06,-1.0624e-15,1.97814e-10,0.1978
typical/27C/2.97V,0.90,4.69687e-06,-4.44333e-15,9.46019e-10,0.9460
typical/27C/2.97V,1.65,5.07602e-06,-1.22791e-16,2.41904e-11,0.0242
typical/27C/2.97V,2.40,4.67345e-06,-2.14445e-15,4.58858e-10,0.4589
typical/27C/3.30V,0.90,4.71165e-06,-6.18568e-15,1.31285e-09,1.3128
typical/27C/3.30V,1.65,5.4012e-06,-9.67143e-16,1.79061e-10,0.1791
typical/27C/3.30V,2.40,5.0425e-06,-1.68525e-15,3.3421e-10,0.3342
typical/27C/3.63V,0.90,4.42333e-06,-7.82023e-15,1.76795e-09,1.7680
typical/27C/3.63V,1.65,5.20782e-06,-2.94092e-15,5.64712e-10,0.5647
typical/27C/3.63V,2.40,5.1873e-06,-1.08781e-15,2.09706e-10,0.2097
