corner,temp_c,vdd,vc,d,corner_id,qnet2,qnet,width_up,width_dn,q_zero,verdict
typical,-40.0,3.63,v1p65,d-1n,typical_-40c_3.63v_v1p65_d-1n,-1.73752e-14,-8.68758e-15,1.30278e-09,2.32447e-09,not measured,PASS
typical,-40.0,3.63,v1p65,d0,typical_-40c_3.63v_v1p65_d0,-5.73761e-15,-2.8688e-15,1.31426e-09,1.33556e-09,-2.8688e-15,PASS
typical,-40.0,3.63,v1p65,d1n,typical_-40c_3.63v_v1p65_d1n,2.72097e-15,1.36049e-15,2.28371e-09,1.30339e-09,not measured,PASS
typical,-40.0,3.63,v2p40,d-1n,typical_-40c_3.63v_v2p40_d-1n,-1.36758e-14,-6.83791e-15,1.30391e-09,2.3305e-09,not measured,PASS
typical,-40.0,3.63,v2p40,d0,typical_-40c_3.63v_v2p40_d0,-2.86226e-15,-1.43113e-15,1.31061e-09,1.33684e-09,-1.43113e-15,PASS
typical,-40.0,3.63,v2p40,d1n,typical_-40c_3.63v_v2p40_d1n,6.60752e-15,3.30376e-15,2.26586e-09,1.29034e-09,not measured,PASS
typical,27.0,2.97,v0p90,d-1n,typical_27c_2.97v_v0p90_d-1n,-2.06095e-14,-1.03047e-14,1.75681e-09,2.78281e-09,not measured,PASS
typical,27.0,2.97,v0p90,d0,typical_27c_2.97v_v0p90_d0,-8.88666e-15,-4.44333e-15,1.77901e-09,1.80435e-09,-4.44333e-15,PASS
typical,27.0,2.97,v0p90,d1n,typical_27c_2.97v_v0p90_d1n,-1.82192e-15,-9.10961e-16,2.7458e-09,1.76954e-09,not measured,PASS
typical,27.0,2.97,v1p65,d-1n,typical_27c_2.97v_v1p65_d-1n,-1.17589e-14,-5.87944e-15,1.758e-09,2.78569e-09,not measured,PASS
typical,27.0,2.97,v1p65,d0,typical_27c_2.97v_v1p65_d0,-2.45582e-16,-1.22791e-16,1.77165e-09,1.79888e-09,-1.22791e-16,PASS
typical,27.0,2.97,v1p65,d1n,typical_27c_2.97v_v1p65_d1n,8.54523e-15,4.27261e-15,2.72188e-09,1.74742e-09,not measured,PASS
typical,27.0,2.97,v2p40,d-1n,typical_27c_2.97v_v2p40_d-1n,-1.33705e-14,-6.68527e-15,1.76595e-09,2.80134e-09,not measured,PASS
typical,27.0,2.97,v2p40,d0,typical_27c_2.97v_v2p40_d0,-4.2889e-15,-2.14445e-15,1.77537e-09,1.81062e-09,-2.14445e-15,PASS
typical,27.0,2.97,v2p40,d1n,typical_27c_2.97v_v2p40_d1n,5.32326e-15,2.66163e-15,2.70366e-09,1.73715e-09,not measured,PASS
typical,27.0,3.3,v0p90,d-1n,typical_27c_3.30v_v0p90_d-1n,-2.51015e-14,-1.25507e-14,1.60688e-09,2.63198e-09,not measured,PASS
typical,27.0,3.3,v0p90,d0,typical_27c_3.30v_v0p90_d0,-1.23714e-14,-6.18568e-15,1.62961e-09,1.65375e-09,-6.18568e-15,PASS
typical,27.0,3.3,v0p90,d1n,typical_27c_3.30v_v0p90_d1n,-6.2548e-15,-3.1274e-15,2.60053e-09,1.62284e-09,not measured,PASS
typical,27.0,3.3,v1p65,d-1n,typical_27c_3.30v_v1p65_d-1n,-1.54096e-14,-7.70479e-15,1.60802e-09,2.63494e-09,not measured,PASS
typical,27.0,3.3,v1p65,d0,typical_27c_3.30v_v1p65_d0,-1.93429e-15,-9.67143e-16,1.62201e-09,1.64855e-09,-9.67143e-16,PASS
typical,27.0,3.3,v1p65,d1n,typical_27c_3.30v_v1p65_d1n,6.19523e-15,3.09761e-15,2.5795e-09,1.60428e-09,not measured,PASS
typical,27.0,3.3,v2p40,d-1n,typical_27c_3.30v_v2p40_d-1n,-1.3453e-14,-6.7265e-15,1.60901e-09,2.64323e-09,not measured,PASS
typical,27.0,3.3,v2p40,d0,typical_27c_3.30v_v2p40_d0,-3.37051e-15,-1.68525e-15,1.6191e-09,1.65272e-09,-1.68525e-15,PASS
typical,27.0,3.3,v2p40,d1n,typical_27c_3.30v_v2p40_d1n,6.71697e-15,3.35849e-15,2.55737e-09,1.58912e-09,not measured,PASS
typical,27.0,3.63,v0p90,d-1n,typical_27c_3.63v_v0p90_d-1n,-2.81059e-14,-1.4053e-14,1.49696e-09,2.51986e-09,not measured,PASS
typical,27.0,3.63,v0p90,d0,typical_27c_3.63v_v0p90_d0,-1.56405e-14,-7.82023e-15,1.51842e-09,1.5407e-09,-7.82023e-15,PASS
typical,27.0,3.63,v0p90,d1n,typical_27c_3.63v_v0p90_d1n,-1.04127e-14,-5.20634e-15,2.49261e-09,1.51285e-09,not measured,PASS
typical,27.0,3.63,v1p65,d-1n,typical_27c_3.63v_v1p65_d-1n,-1.82235e-14,-9.11174e-15,1.49643e-09,2.52338e-09,not measured,PASS
typical,27.0,3.63,v1p65,d0,typical_27c_3.63v_v1p65_d0,-5.88185e-15,-2.94092e-15,1.51158e-09,1.53809e-09,-2.94092e-15,PASS
typical,27.0,3.63,v1p65,d1n,typical_27c_3.63v_v1p65_d1n,2.6078e-15,1.3039e-15,2.47443e-09,1.49905e-09,not measured,PASS
typical,27.0,3.63,v2p40,d-1n,typical_27c_3.63v_v2p40_d-1n,-1.33847e-14,-6.69233e-15,1.49718e-09,2.52965e-09,not measured,PASS
typical,27.0,3.63,v2p40,d0,typical_27c_3.63v_v2p40_d0,-2.17562e-15,-1.08781e-15,1.50672e-09,1.53877e-09,-1.08781e-15,PASS
typical,27.0,3.63,v2p40,d1n,typical_27c_3.63v_v2p40_d1n,7.36454e-15,3.68227e-15,2.45399e-09,1.48401e-09,not measured,PASS
typical,125.0,2.97,v0p90,d-1n,typical_125c_2.97v_v0p90_d-1n,-2.16114e-14,-1.08057e-14,2.0865e-09,3.1183e-09,not measured,PASS
typical,125.0,2.97,v0p90,d0,typical_125c_2.97v_v0p90_d0,-9.52374e-15,-4.76187e-15,2.11636e-09,2.14712e-09,-4.76187e-15,PASS
typical,125.0,2.97,v0p90,d1n,typical_125c_2.97v_v0p90_d1n,-2.57302e-15,-1.28651e-15,3.07561e-09,2.10418e-09,not measured,PASS
typical,125.0,2.97,v1p65,d-1n,typical_125c_2.97v_v1p65_d-1n,-1.24282e-14,-6.21411e-15,2.08786e-09,3.12481e-09,not measured,PASS
typical,125.0,2.97,v1p65,d0,typical_125c_2.97v_v1p65_d0,-4.99422e-16,-2.49711e-16,2.10644e-09,2.14281e-09,-2.49711e-16,PASS
typical,125.0,2.97,v1p65,d1n,typical_125c_2.97v_v1p65_d1n,8.7608e-15,4.3804e-15,3.04385e-09,2.07828e-09,not measured,PASS
typical,125.0,2.97,v2p40,d-1n,typical_125c_2.97v_v2p40_d-1n,-1.4194e-14,-7.09699e-15,2.10354e-09,3.1386e-09,not measured,PASS
typical,125.0,2.97,v2p40,d0,typical_125c_2.97v_v2p40_d0,-4.98356e-15,-2.49178e-15,2.11698e-09,2.15194e-09,-2.49178e-15,PASS
typical,125.0,2.97,v2p40,d1n,typical_125c_2.97v_v2p40_d1n,5.35566e-15,2.67783e-15,3.03094e-09,2.06345e-09,not measured,PASS
typical,125.0,3.3,v0p90,d-1n,typical_125c_3.30v_v0p90_d-1n,-2.56757e-14,-1.28379e-14,1.91117e-09,2.94087e-09,not measured,PASS
typical,125.0,3.3,v0p90,d0,typical_125c_3.30v_v0p90_d0,-1.31399e-14,-6.56996e-15,1.94015e-09,1.96903e-09,-6.56996e-15,PASS
typical,125.0,3.3,v0p90,d1n,typical_125c_3.30v_v0p90_d1n,-7.12075e-15,-3.56037e-15,2.904e-09,1.93057e-09,not measured,PASS
typical,125.0,3.3,v1p65,d-1n,typical_125c_3.30v_v1p65_d-1n,-1.57388e-14,-7.8694e-15,1.91194e-09,2.94753e-09,not measured,PASS
typical,125.0,3.3,v1p65,d0,typical_125c_3.30v_v1p65_d0,-3.41944e-15,-1.70972e-15,1.93044e-09,1.96566e-09,-1.70972e-15,PASS
typical,125.0,3.3,v1p65,d1n,typical_125c_3.30v_v1p65_d1n,6.25986e-15,3.12993e-15,2.87723e-09,1.91019e-09,not measured,PASS
typical,125.0,3.3,v2p40,d-1n,typical_125c_3.30v_v2p40_d-1n,-1.35997e-14,-6.79986e-15,1.91617e-09,2.95448e-09,not measured,PASS
typical,125.0,3.3,v2p40,d0,typical_125c_3.30v_v2p40_d0,-3.02854e-15,-1.51427e-15,1.92879e-09,1.96669e-09,-1.51427e-15,PASS
typical,125.0,3.3,v2p40,d1n,typical_125c_3.30v_v2p40_d1n,7.827e-15,3.9135e-15,2.85531e-09,1.89085e-09,not measured,PASS
typical,125.0,3.63,v0p90,d-1n,typical_125c_3.63v_v0p90_d-1n,-2.97333e-14,-1.48667e-14,1.77553e-09,2.80168e-09,not measured,PASS
typical,125.0,3.63,v0p90,d0,typical_125c_3.63v_v0p90_d0,-1.64703e-14,-8.23516e-15,1.80453e-09,1.83e-09,-8.23516e-15,PASS
typical,125.0,3.63,v0p90,d1n,typical_125c_3.63v_v0p90_d1n,-1.12909e-14,-5.64543e-15,2.77248e-09,1.79541e-09,not measured,PASS
typical,125.0,3.63,v1p65,d-1n,typical_125c_3.63v_v1p65_d-1n,-2.00014e-14,-1.00007e-14,1.7766e-09,2.81143e-09,not measured,PASS
typical,125.0,3.63,v1p65,d0,typical_125c_3.63v_v1p65_d0,-6.22146e-15,-3.11073e-15,1.7956e-09,1.83017e-09,-3.11073e-15,PASS
typical,125.0,3.63,v1p65,d1n,typical_125c_3.63v_v1p65_d1n,1.628e-15,8.14e-16,2.74924e-09,1.78137e-09,not measured,PASS
typical,125.0,3.63,v2p40,d-1n,typical_125c_3.63v_v2p40_d-1n,-1.44554e-14,-7.22768e-15,1.7768e-09,2.81634e-09,not measured,PASS
typical,125.0,3.63,v2p40,d0,typical_125c_3.63v_v2p40_d0,-2.1248e-15,-1.0624e-15,1.79011e-09,1.82934e-09,-1.0624e-15,PASS
typical,125.0,3.63,v2p40,d1n,typical_125c_3.63v_v2p40_d1n,7.02751e-15,3.51375e-15,2.72573e-09,1.76239e-09,not measured,PASS
ff,-40.0,2.97,v0p90,d-1n,ff_-40c_2.97v_v0p90_d-1n,-2.05234e-14,-1.02617e-14,1.26315e-09,2.28389e-09,not measured,PASS
ff,-40.0,2.97,v0p90,d0,ff_-40c_2.97v_v0p90_d0,-9.00056e-15,-4.50028e-15,1.27894e-09,1.29919e-09,-4.50028e-15,PASS
ff,-40.0,2.97,v0p90,d1n,ff_-40c_2.97v_v0p90_d1n,-2.77335e-15,-1.38667e-15,2.25507e-09,1.27391e-09,not measured,PASS
ff,-40.0,2.97,v1p65,d-1n,ff_-40c_2.97v_v1p65_d-1n,-1.11457e-14,-5.57285e-15,1.26356e-09,2.28797e-09,not measured,PASS
ff,-40.0,2.97,v1p65,d0,ff_-40c_2.97v_v1p65_d0,-1.29102e-15,-6.45508e-16,1.27256e-09,1.29623e-09,-6.45508e-16,PASS
ff,-40.0,2.97,v1p65,d1n,ff_-40c_2.97v_v1p65_d1n,8.43147e-15,4.21574e-15,2.23432e-09,1.25678e-09,not measured,PASS
ff,-40.0,2.97,v2p40,d-1n,ff_-40c_2.97v_v2p40_d-1n,-1.28258e-14,-6.41289e-15,1.27174e-09,2.29863e-09,not measured,PASS
ff,-40.0,2.97,v2p40,d0,ff_-40c_2.97v_v2p40_d0,-4.9338e-15,-2.4669e-15,1.27756e-09,1.30434e-09,-2.4669e-15,PASS
ff,-40.0,2.97,v2p40,d1n,ff_-40c_2.97v_v2p40_d1n,4.44855e-15,2.22427e-15,2.2227e-09,1.24797e-09,not measured,PASS
ff,-40.0,3.3,v0p90,d-1n,ff_-40c_3.30v_v0p90_d-1n,-2.45687e-14,-1.22843e-14,1.17355e-09,2.19314e-09,not measured,PASS
ff,-40.0,3.3,v0p90,d0,ff_-40c_3.30v_v0p90_d0,-1.23162e-14,-6.15808e-15,1.18938e-09,1.20813e-09,-6.15808e-15,PASS
ff,-40.0,3.3,v0p90,d1n,ff_-40c_3.30v_v0p90_d1n,-7.55685e-15,-3.77842e-15,2.16796e-09,1.18525e-09,not measured,PASS
ff,-40.0,3.3,v1p65,d-1n,ff_-40c_3.30v_v1p65_d-1n,-1.52557e-14,-7.62787e-15,1.17384e-09,2.19736e-09,not measured,PASS
ff,-40.0,3.3,v1p65,d0,ff_-40c_3.30v_v1p65_d0,-1.92865e-15,-9.64324e-16,1.18345e-09,1.20659e-09,-9.64324e-16,PASS
ff,-40.0,3.3,v1p65,d1n,ff_-40c_3.30v_v1p65_d1n,6.45304e-15,3.22652e-15,2.14992e-09,1.17152e-09,not measured,PASS
ff,-40.0,3.3,v2p40,d-1n,ff_-40c_3.30v_v2p40_d-1n,-1.27419e-14,-6.37093e-15,1.17559e-09,2.20326e-09,not measured,PASS
ff,-40.0,3.3,v2p40,d0,ff_-40c_3.30v_v2p40_d0,-3.64489e-15,-1.82245e-15,1.18181e-09,1.20898e-09,-1.82245e-15,PASS
ff,-40.0,3.3,v2p40,d1n,ff_-40c_3.30v_v2p40_d1n,7.18743e-15,3.59372e-15,2.13408e-09,1.15986e-09,not measured,PASS
ff,-40.0,3.63,v0p90,d-1n,ff_-40c_3.63v_v0p90_d-1n,-2.8823e-14,-1.44115e-14,1.10646e-09,2.12421e-09,not measured,PASS
ff,-40.0,3.63,v0p90,d0,ff_-40c_3.63v_v0p90_d0,-1.53699e-14,-7.68494e-15,1.12234e-09,1.1396e-09,-7.68494e-15,PASS
ff,-40.0,3.63,v0p90,d1n,ff_-40c_3.63v_v0p90_d1n,-1.23196e-14,-6.1598e-15,2.10282e-09,1.11828e-09,not measured,PASS
ff,-40.0,3.63,v1p65,d-1n,ff_-40c_3.63v_v1p65_d-1n,-1.93291e-14,-9.66457e-15,1.1063e-09,2.12956e-09,not measured,PASS
ff,-40.0,3.63,v1p65,d0,ff_-40c_3.63v_v1p65_d0,-6.14448e-15,-3.07224e-15,1.11668e-09,1.1396e-09,-3.07224e-15,PASS
ff,-40.0,3.63,v1p65,d1n,ff_-40c_3.63v_v1p65_d1n,6.58875e-16,3.29438e-16,2.08698e-09,1.10823e-09,not measured,PASS
ff,-40.0,3.63,v2p40,d-1n,ff_-40c_3.63v_v2p40_d-1n,-1.22321e-14,-6.11605e-15,1.10685e-09,2.13442e-09,not measured,PASS
ff,-40.0,3.63,v2p40,d0,ff_-40c_3.63v_v2p40_d0,-2.11977e-15,-1.05988e-15,1.11328e-09,1.14055e-09,-1.05988e-15,PASS
ff,-40.0,3.63,v2p40,d1n,ff_-40c_3.63v_v2p40_d1n,7.84969e-15,3.92485e-15,2.07098e-09,1.09647e-09,not measured,PASS
ff,27.0,2.97,v0p90,d-1n,ff_27c_2.97v_v0p90_d-1n,-2.15693e-14,-1.07846e-14,1.45406e-09,2.47871e-09,not measured,PASS
ff,27.0,2.97,v0p90,d0,ff_27c_2.97v_v0p90_d0,-9.907e-15,-4.9535e-15,1.47489e-09,1.49881e-09,-4.9535e-15,PASS
ff,27.0,2.97,v0p90,d1n,ff_27c_2.97v_v0p90_d1n,-2.65601e-15,-1.32801e-15,2.44595e-09,1.46809e-09,not measured,PASS
ff,27.0,2.97,v1p65,d-1n,ff_27c_2.97v_v1p65_d-1n,-1.18761e-14,-5.93804e-15,1.45582e-09,2.48641e-09,not measured,PASS
ff,27.0,2.97,v1p65,d0,ff_27c_2.97v_v1p65_d0,-1.04623e-15,-5.23114e-16,1.46654e-09,1.49676e-09,-5.23114e-16,PASS
ff,27.0,2.97,v1p65,d1n,ff_27c_2.97v_v1p65_d1n,8.1862e-15,4.0931e-15,2.4207e-09,1.4491e-09,not measured,PASS
ff,27.0,2.97,v2p40,d-1n,ff_27c_2.97v_v2p40_d-1n,-1.34669e-14,-6.73346e-15,1.46812e-09,2.4962e-09,not measured,PASS
ff,27.0,2.97,v2p40,d0,ff_27c_2.97v_v2p40_d0,-5.6464e-15,-2.8232e-15,1.47612e-09,1.50432e-09,-2.8232e-15,PASS
ff,27.0,2.97,v2p40,d1n,ff_27c_2.97v_v2p40_d1n,3.99191e-15,1.99595e-15,2.41158e-09,1.43791e-09,not measured,PASS
ff,27.0,3.3,v0p90,d-1n,ff_27c_3.30v_v0p90_d-1n,-2.55526e-14,-1.27763e-14,1.3482e-09,2.37049e-09,not measured,PASS
ff,27.0,3.3,v0p90,d0,ff_27c_3.30v_v0p90_d0,-1.29859e-14,-6.49295e-15,1.36856e-09,1.39045e-09,-6.49295e-15,PASS
ff,27.0,3.3,v0p90,d1n,ff_27c_3.30v_v0p90_d1n,-7.64414e-15,-3.82207e-15,2.3424e-09,1.3623e-09,not measured,PASS
ff,27.0,3.3,v1p65,d-1n,ff_27c_3.30v_v1p65_d-1n,-1.46057e-14,-7.30286e-15,1.34911e-09,2.37848e-09,not measured,PASS
ff,27.0,3.3,v1p65,d0,ff_27c_3.30v_v1p65_d0,-2.65001e-15,-1.32501e-15,1.36038e-09,1.38934e-09,-1.32501e-15,PASS
ff,27.0,3.3,v1p65,d1n,ff_27c_3.30v_v1p65_d1n,6.15574e-15,3.07787e-15,2.32e-09,1.34718e-09,not measured,PASS
ff,27.0,3.3,v2p40,d-1n,ff_27c_3.30v_v2p40_d-1n,-1.32329e-14,-6.61646e-15,1.35234e-09,2.38383e-09,not measured,PASS
ff,27.0,3.3,v2p40,d0,ff_27c_3.30v_v2p40_d0,-3.85136e-15,-1.92568e-15,1.35983e-09,1.39093e-09,-1.92568e-15,PASS
ff,27.0,3.3,v2p40,d1n,ff_27c_3.30v_v2p40_d1n,7.52373e-15,3.76186e-15,2.30377e-09,1.33297e-09,not measured,PASS
ff,27.0,3.63,v0p90,d-1n,ff_27c_3.63v_v0p90_d-1n,-2.94589e-14,-1.47294e-14,1.26712e-09,2.28645e-09,not measured,PASS
ff,27.0,3.63,v0p90,d0,ff_27c_3.63v_v0p90_d0,-1.63136e-14,-8.1568e-15,1.28692e-09,1.30564e-09,-8.1568e-15,PASS
ff,27.0,3.63,v0p90,d1n,ff_27c_3.63v_v0p90_d1n,-1.15601e-14,-5.78006e-15,2.26361e-09,1.28027e-09,not measured,PASS
ff,27.0,3.63,v1p65,d-1n,ff_27c_3.63v_v1p65_d-1n,-1.86215e-14,-9.31074e-15,1.26739e-09,2.29581e-09,not measured,PASS
ff,27.0,3.63,v1p65,d0,ff_27c_3.63v_v1p65_d0,-6.82915e-15,-3.41458e-15,1.27902e-09,1.30709e-09,-3.41458e-15,PASS
ff,27.0,3.63,v1p65,d1n,ff_27c_3.63v_v1p65_d1n,2.16733e-15,1.08367e-15,2.24394e-09,1.27003e-09,not measured,PASS
ff,27.0,3.63,v2p40,d-1n,ff_27c_3.63v_v2p40_d-1n,-1.36497e-14,-6.82484e-15,1.26694e-09,2.30013e-09,not measured,PASS
ff,27.0,3.63,v2p40,d0,ff_27c_3.63v_v2p40_d0,-1.84411e-15,-9.22054e-16,1.27466e-09,1.30758e-09,-9.22054e-16,PASS
ff,27.0,3.63,v2p40,d1n,ff_27c_3.63v_v2p40_d1n,7.42944e-15,3.71472e-15,2.22568e-09,1.25646e-09,not measured,PASS
ff,125.0,2.97,v0p90,d-1n,ff_125c_2.97v_v0p90_d-1n,-2.29089e-14,-1.14544e-14,1.73048e-09,2.75955e-09,not measured,PASS
ff,125.0,2.97,v0p90,d0,ff_125c_2.97v_v0p90_d0,-1.04786e-14,-5.23929e-15,1.75682e-09,1.78511e-09,-5.23929e-15,PASS
ff,125.0,2.97,v0p90,d1n,ff_125c_2.97v_v0p90_d1n,-3.47895e-15,-1.73947e-15,2.72072e-09,1.74683e-09,not measured,PASS
ff,125.0,2.97,v1p65,d-1n,ff_125c_2.97v_v1p65_d-1n,-1.31126e-14,-6.55628e-15,1.73081e-09,2.77016e-09,not measured,PASS
ff,125.0,2.97,v1p65,d0,ff_125c_2.97v_v1p65_d0,-9.76738e-16,-4.88369e-16,1.74623e-09,1.785e-09,-4.88369e-16,PASS
ff,125.0,2.97,v1p65,d1n,ff_125c_2.97v_v1p65_d1n,8.0397e-15,4.01985e-15,2.68914e-09,1.72577e-09,not measured,PASS
ff,125.0,2.97,v2p40,d-1n,ff_125c_2.97v_v2p40_d-1n,-1.48244e-14,-7.41221e-15,1.75041e-09,2.77758e-09,not measured,PASS
ff,125.0,2.97,v2p40,d0,ff_125c_2.97v_v2p40_d0,-5.94639e-15,-2.9732e-15,1.76204e-09,1.78903e-09,-2.9732e-15,PASS
ff,125.0,2.97,v2p40,d1n,ff_125c_2.97v_v2p40_d1n,4.20537e-15,2.10269e-15,2.68547e-09,1.71014e-09,not measured,PASS
ff,125.0,3.3,v0p90,d-1n,ff_125c_3.30v_v0p90_d-1n,-2.69513e-14,-1.34756e-14,1.60057e-09,2.62616e-09,not measured,PASS
ff,125.0,3.3,v0p90,d0,ff_125c_3.30v_v0p90_d0,-1.39098e-14,-6.95491e-15,1.6271e-09,1.65196e-09,-6.95491e-15,PASS
ff,125.0,3.3,v0p90,d1n,ff_125c_3.30v_v0p90_d1n,-8.15685e-15,-4.07842e-15,2.59519e-09,1.6177e-09,not measured,PASS
ff,125.0,3.3,v1p65,d-1n,ff_125c_3.30v_v1p65_d-1n,-1.69771e-14,-8.48853e-15,1.60102e-09,2.63859e-09,not measured,PASS
ff,125.0,3.3,v1p65,d0,ff_125c_3.30v_v1p65_d0,-4.21611e-15,-2.10805e-15,1.61662e-09,1.65376e-09,-2.10805e-15,PASS
ff,125.0,3.3,v1p65,d1n,ff_125c_3.30v_v1p65_d1n,5.52908e-15,2.76454e-15,2.56751e-09,1.60214e-09,not measured,PASS
ff,125.0,3.3,v2p40,d-1n,ff_125c_3.30v_v2p40_d-1n,-1.49097e-14,-7.45484e-15,1.6083e-09,2.64261e-09,not measured,PASS
ff,125.0,3.3,v2p40,d0,ff_125c_3.30v_v2p40_d0,-4.67988e-15,-2.33994e-15,1.62027e-09,1.65434e-09,-2.33994e-15,PASS
ff,125.0,3.3,v2p40,d1n,ff_125c_3.30v_v2p40_d1n,6.4772e-15,3.2386e-15,2.55235e-09,1.58409e-09,not measured,PASS
ff,125.0,3.63,v0p90,d-1n,ff_125c_3.63v_v0p90_d-1n,-3.0181e-14,-1.50905e-14,1.49953e-09,2.52142e-09,not measured,PASS
ff,125.0,3.63,v0p90,d0,ff_125c_3.63v_v0p90_d0,-1.71912e-14,-8.59561e-15,1.52585e-09,1.54693e-09,-8.59561e-15,PASS
ff,125.0,3.63,v0p90,d1n,ff_125c_3.63v_v0p90_d1n,-1.18259e-14,-5.91296e-15,2.49732e-09,1.51609e-09,not measured,PASS
ff,125.0,3.63,v1p65,d-1n,ff_125c_3.63v_v1p65_d-1n,-1.96119e-14,-9.80593e-15,1.49957e-09,2.5355e-09,not measured,PASS
ff,125.0,3.63,v1p65,d0,ff_125c_3.63v_v1p65_d0,-6.58005e-15,-3.29003e-15,1.51563e-09,1.55135e-09,-3.29003e-15,PASS
ff,125.0,3.63,v1p65,d1n,ff_125c_3.63v_v1p65_d1n,1.34191e-15,6.70956e-16,2.47208e-09,1.50559e-09,not measured,PASS
ff,125.0,3.63,v2p40,d-1n,ff_125c_3.63v_v2p40_d-1n,-1.57433e-14,-7.87163e-15,1.50123e-09,2.54e-09,not measured,PASS
ff,125.0,3.63,v2p40,d0,ff_125c_3.63v_v2p40_d0,-2.54092e-15,-1.27046e-15,1.51193e-09,1.55025e-09,-1.27046e-15,PASS
ff,125.0,3.63,v2p40,d1n,ff_125c_3.63v_v2p40_d1n,6.17745e-15,3.08873e-15,2.4528e-09,1.48883e-09,not measured,PASS
ss,-40.0,2.97,v0p90,d-1n,ss_-40c_2.97v_v0p90_d-1n,-1.84121e-14,-9.20604e-15,1.87212e-09,2.89582e-09,not measured,PASS
ss,-40.0,2.97,v0p90,d0,ss_-40c_2.97v_v0p90_d0,-7.08313e-15,-3.54157e-15,1.89147e-09,1.91444e-09,-3.54157e-15,PASS
ss,-40.0,2.97,v0p90,d1n,ss_-40c_2.97v_v0p90_d1n,-1.93326e-16,-9.66628e-17,2.85966e-09,1.8815e-09,not measured,PASS
