# campaign: vco-tuning-range
# record_id: 20260731-175947-0a12e6c
# generated_utc: 2026-07-31T18:00:13Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-175947-0a12e6c.spice
# corners: 7 bundles{typical,ff,ss,fs,sf,all-slow,all-fast} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V x band{0..7} x vctrl{0.9..2.7 in 0.3V} = 3528 points
# dut: 5-stage current-starved single-ended CMOS ring VCO (DR-001 Decision 2),
#   3-bit band select via three cascaded switched-ratio mirror stages
#   (x1.65 / x1.65^2 / x1.65^4), fine control by a source-degenerated V->I
#   converter offset by a 2*Vgs reference so I_sum ~ (Vctrl + Voff)/Rdeg.
#   Topology and sizing rationale: design/README.md.
# fosc_hz: measured at the buffered output CLK over 4 whole cycles after tsettle
# isupply_a: average current out of that instance's own VDD_VCO ammeter over
#   the measurement window (whole block: bias + ring + output buffer + decap)
# bundles: typical/ff/ss/fs/sf are MOS-only (res_typical, moscap_typical);
#   all-slow = ss+res_ss+moscap_ss ; all-fast = ff+res_ff+moscap_ff
bundle,temp_c,vdd_v,band,vctrl_v,fosc_hz,isupply_a
all-fast,-40,2.97,4,1.5,5.79511e+07,0.000135015
all-fast,-40,2.97,4,1.8,6.77572e+07,0.000151674
all-fast,-40,2.97,4,2.1,7.79081e+07,0.000168197
all-fast,-40,2.97,4,2.4,8.82972e+07,0.000185911
all-fast,-40,2.97,4,2.7,9.92269e+07,0.000205366
all-fast,-40,2.97,5,0.9,6.61846e+07,0.000141665
all-fast,-40,2.97,5,1.2,8.11941e+07,0.000163864
all-fast,-40,2.97,5,1.5,9.73436e+07,0.000189333
all-fast,-40,2.97,5,1.8,1.1446e+08,0.000214836
all-fast,-40,2.97,5,2.1,1.32337e+08,0.000241039
all-fast,-40,2.97,5,2.4,1.50872e+08,0.000266944
all-fast,-40,2.97,5,2.7,1.70062e+08,0.000294405
all-fast,-40,2.97,6,0.9,1.16894e+08,0.00020107
all-fast,-40,2.97,6,1.2,1.44362e+08,0.000235499
all-fast,-40,2.97,6,1.5,1.74225e+08,0.000274355
all-fast,-40,2.97,6,1.8,2.05862e+08,0.000311363
all-fast,-40,2.97,6,2.1,2.38956e+08,0.000352904
all-fast,-40,2.97,6,2.4,2.73178e+08,0.000392444
all-fast,-40,2.97,6,2.7,3.08087e+08,0.00043219
all-fast,-40,2.97,7,0.9,2.00941e+08,0.000298052
all-fast,-40,2.97,7,1.2,2.49747e+08,0.000353824
all-fast,-40,2.97,7,1.5,3.02746e+08,0.000413062
all-fast,-40,2.97,7,1.8,3.57905e+08,0.000471203
all-fast,-40,2.97,7,2.1,4.14023e+08,0.000533426
all-fast,-40,2.97,7,2.4,4.70911e+08,0.000594314
all-fast,-40,2.97,7,2.7,5.28107e+08,0.000654404
all-fast,-40,3.30,0,0.9,4970070,6.0568e-05
all-fast,-40,3.30,0,1.2,5971270,6.69441e-05
all-fast,-40,3.30,0,1.5,7013290,7.3547e-05
all-fast,-40,3.30,0,1.8,8094250,7.86779e-05
all-fast,-40,3.30,0,2.1,9179250,8.59287e-05
all-fast,-40,3.30,0,2.4,1.02792e+07,9.197e-05
all-fast,-40,3.30,0,2.7,1.13582e+07,9.89576e-05
all-fast,-40,3.30,1,0.9,7940700,7.06008e-05
all-fast,-40,3.30,1,1.2,9546050,7.89742e-05
all-fast,-40,3.30,1,1.5,1.12249e+07,8.6644e-05
all-fast,-40,3.30,1,1.8,1.29497e+07,9.63578e-05
all-fast,-40,3.30,1,2.1,1.47304e+07,0.000105775
all-fast,-40,3.30,1,2.4,1.6515e+07,0.000113647
all-fast,-40,3.30,1,2.7,1.82886e+07,0.000122982
all-fast,-40,3.30,2,0.9,1.33099e+07,8.03225e-05
all-fast,-40,3.30,2,1.2,1.60073e+07,8.92122e-05
all-fast,-40,3.30,2,1.5,1.88364e+07,9.93189e-05
all-fast,-40,3.30,2,1.8,2.17775e+07,0.000110534
all-fast,-40,3.30,2,2.1,2.47812e+07,0.000121466
all-fast,-40,3.30,2,2.4,2.78206e+07,0.000131757
all-fast,-40,3.30,2,2.7,3.08989e+07,0.000141513
all-fast,-40,3.30,3,0.9,2.13748e+07,0.000101008
all-fast,-40,3.30,3,1.2,2.57661e+07,0.000116584
all-fast,-40,3.30,3,1.5,3.04787e+07,0.000131543
all-fast,-40,3.30,3,1.8,3.52705e+07,0.000146757
all-fast,-40,3.30,3,2.1,4.03277e+07,0.000161634
all-fast,-40,3.30,3,2.4,4.53387e+07,0.000176163
all-fast,-40,3.30,3,2.7,5.05755e+07,0.000191642
all-fast,-40,3.30,4,0.9,3.54568e+07,0.000114158
all-fast,-40,3.30,4,1.2,4.29843e+07,0.000128747
all-fast,-40,3.30,4,1.5,5.09514e+07,0.00014531
all-fast,-40,3.30,4,1.8,5.92214e+07,0.000163737
all-fast,-40,3.30,4,2.1,6.77656e+07,0.000179778
all-fast,-40,3.30,4,2.4,7.66382e+07,0.000198997
all-fast,-40,3.30,4,2.7,8.54495e+07,0.000217884
all-fast,-40,3.30,5,0.9,5.80754e+07,0.000150456
all-fast,-40,3.30,5,1.2,7.06743e+07,0.000177001
all-fast,-40,3.30,5,1.5,8.4254e+07,0.000200229
all-fast,-40,3.30,5,1.8,9.83353e+07,0.00022641
all-fast,-40,3.30,5,2.1,1.13288e+08,0.000255007
all-fast,-40,3.30,5,2.4,1.28586e+08,0.000280906
all-fast,-40,3.30,5,2.7,1.44551e+08,0.000309238
all-fast,-40,3.30,6,0.9,1.01226e+08,0.000215095
all-fast,-40,3.30,6,1.2,1.24079e+08,0.000250848
all-fast,-40,3.30,6,1.5,1.48782e+08,0.000289623
all-fast,-40,3.30,6,1.8,1.74954e+08,0.000328968
all-fast,-40,3.30,6,2.1,2.02249e+08,0.000369019
all-fast,-40,3.30,6,2.4,2.31207e+08,0.000409148
all-fast,-40,3.30,6,2.7,2.60299e+08,0.000451694
all-fast,-40,3.30,7,0.9,1.71225e+08,0.000313655
all-fast,-40,3.30,7,1.2,2.11741e+08,0.000373194
all-fast,-40,3.30,7,1.5,2.55972e+08,0.000430927
all-fast,-40,3.30,7,1.8,3.02803e+08,0.00049332
all-fast,-40,3.30,7,2.1,3.51971e+08,0.000558
all-fast,-40,3.30,7,2.4,4.02384e+08,0.000620131
all-fast,-40,3.30,7,2.7,4.53796e+08,0.00068491
all-fast,-40,3.63,0,0.9,4684390,6.91645e-05
all-fast,-40,3.63,0,1.2,5601630,7.42101e-05
all-fast,-40,3.63,0,1.5,6551960,8.17941e-05
all-fast,-40,3.63,0,1.8,7534510,8.74496e-05
all-fast,-40,3.63,0,2.1,8519220,9.35929e-05
all-fast,-40,3.63,0,2.4,9505120,0.000102186
all-fast,-40,3.63,0,2.7,1.0495e+07,0.000108549
all-fast,-40,3.63,1,0.9,7409960,7.99256e-05
all-fast,-40,3.63,1,1.2,8868020,8.80669e-05
all-fast,-40,3.63,1,1.5,1.03983e+07,9.60455e-05
all-fast,-40,3.63,1,1.8,1.1955e+07,0.0001039
all-fast,-40,3.63,1,2.1,1.35555e+07,0.000114381
all-fast,-40,3.63,1,2.4,1.51315e+07,0.000123514
all-fast,-40,3.63,1,2.7,1.67339e+07,0.000131718
all-fast,-40,3.63,2,0.9,1.23539e+07,9.14396e-05
all-fast,-40,3.63,2,1.2,1.47903e+07,0.000100403
all-fast,-40,3.63,2,1.5,1.73595e+07,0.000108841
all-fast,-40,3.63,2,1.8,1.99918e+07,0.000122703
all-fast,-40,3.63,2,2.1,2.26574e+07,0.000131513
all-fast,-40,3.63,2,2.4,2.54102e+07,0.000143131
all-fast,-40,3.63,2,2.7,2.81021e+07,0.000151819
all-fast,-40,3.63,3,0.9,1.96589e+07,0.00011198
all-fast,-40,3.63,3,1.2,2.36039e+07,0.00012878
all-fast,-40,3.63,3,1.5,2.7751e+07,0.000141322
all-fast,-40,3.63,3,1.8,3.20792e+07,0.000156681
all-fast,-40,3.63,3,2.1,3.64682e+07,0.000172944
all-fast,-40,3.63,3,2.4,4.08631e+07,0.000190442
all-fast,-40,3.63,3,2.7,4.54353e+07,0.00020272
all-fast,-40,3.63,4,0.9,3.25682e+07,0.000124056
all-fast,-40,3.63,4,1.2,3.91653e+07,0.000142031
all-fast,-40,3.63,4,1.5,4.6206e+07,0.000157872
all-fast,-40,3.63,4,1.8,5.34621e+07,0.000176997
all-fast,-40,3.63,4,2.1,6.09585e+07,0.000195755
all-fast,-40,3.63,4,2.4,6.87157e+07,0.000212572
all-fast,-40,3.63,4,2.7,7.64814e+07,0.000231402
all-fast,-40,3.63,5,0.9,5.26374e+07,0.000164836
all-fast,-40,3.63,5,1.2,6.36958e+07,0.000188784
all-fast,-40,3.63,5,1.5,7.5435e+07,0.00021456
all-fast,-40,3.63,5,1.8,8.77877e+07,0.000241619
all-fast,-40,3.63,5,2.1,1.00487e+08,0.000269818
all-fast,-40,3.63,5,2.4,1.1365e+08,0.000296673
all-fast,-40,3.63,5,2.7,1.27036e+08,0.000323554
all-fast,-40,3.63,6,0.9,9.0917e+07,0.000229467
all-fast,-40,3.63,6,1.2,1.10652e+08,0.000268004
all-fast,-40,3.63,6,1.5,1.31548e+08,0.000306138
all-fast,-40,3.63,6,1.8,1.54116e+08,0.000347745
all-fast,-40,3.63,6,2.1,1.77551e+08,0.000388122
all-fast,-40,3.63,6,2.4,2.01889e+08,0.000430699
all-fast,-40,3.63,6,2.7,2.26874e+08,0.000471523
all-fast,-40,3.63,7,0.9,1.51417e+08,0.000332125
all-fast,-40,3.63,7,1.2,1.85874e+08,0.000392312
all-fast,-40,3.63,7,1.5,2.23349e+08,0.000452141
all-fast,-40,3.63,7,1.8,2.63176e+08,0.000515449
all-fast,-40,3.63,7,2.1,3.05213e+08,0.000581494
all-fast,-40,3.63,7,2.4,3.49012e+08,0.00064522
all-fast,-40,3.63,7,2.7,3.94006e+08,0.000710891
all-fast,27,2.97,0,0.9,5796930,6.68853e-05
all-fast,27,2.97,0,1.2,6965270,7.42611e-05
all-fast,27,2.97,0,1.5,8194380,8.15946e-05
all-fast,27,2.97,0,1.8,9472210,8.8221e-05
all-fast,27,2.97,0,2.1,1.07581e+07,9.39707e-05
all-fast,27,2.97,0,2.4,1.2083e+07,0.000100474
all-fast,27,2.97,0,2.7,1.34233e+07,0.000108128
all-fast,27,2.97,1,0.9,9387270,7.81569e-05
all-fast,27,2.97,1,1.2,1.13093e+07,8.72171e-05
all-fast,27,2.97,1,1.5,1.33159e+07,9.66437e-05
all-fast,27,2.97,1,1.8,1.54217e+07,0.000106532
all-fast,27,2.97,1,2.1,1.75414e+07,0.000115626
all-fast,27,2.97,1,2.4,1.97186e+07,0.000123872
all-fast,27,2.97,1,2.7,2.19392e+07,0.000133418
all-fast,27,2.97,2,0.9,1.57063e+07,8.82652e-05
all-fast,27,2.97,2,1.2,1.89512e+07,9.94239e-05
all-fast,27,2.97,2,1.5,2.24114e+07,0.000108903
all-fast,27,2.97,2,1.8,2.59819e+07,0.00012081
all-fast,27,2.97,2,2.1,2.96785e+07,0.000132768
all-fast,27,2.97,2,2.4,3.34279e+07,0.000144504
all-fast,27,2.97,2,2.7,3.73315e+07,0.000156061
all-fast,27,2.97,3,0.9,2.57514e+07,0.000111981
all-fast,27,2.97,3,1.2,3.11998e+07,0.000127263
all-fast,27,2.97,3,1.5,3.6997e+07,0.000142958
all-fast,27,2.97,3,1.8,4.3087e+07,0.000158646
all-fast,27,2.97,3,2.1,4.93427e+07,0.000176925
all-fast,27,2.97,3,2.4,5.58626e+07,0.000192629
all-fast,27,2.97,3,2.7,6.23913e+07,0.000210576
all-fast,27,2.97,4,0.9,4.41776e+07,0.00012305
all-fast,27,2.97,4,1.2,5.37839e+07,0.000140494
all-fast,27,2.97,4,1.5,6.40608e+07,0.000159071
all-fast,27,2.97,4,1.8,7.48787e+07,0.000178581
all-fast,27,2.97,4,2.1,8.60724e+07,0.000197245
all-fast,27,2.97,4,2.4,9.77331e+07,0.000217689
all-fast,27,2.97,4,2.7,1.09727e+08,0.000237716
all-fast,27,2.97,5,0.9,7.40957e+07,0.000168663
all-fast,27,2.97,5,1.2,9.08151e+07,0.000192955
all-fast,27,2.97,5,1.5,1.08869e+08,0.000221917
all-fast,27,2.97,5,1.8,1.28e+08,0.000249955
all-fast,27,2.97,5,2.1,1.48064e+08,0.000279391
all-fast,27,2.97,5,2.4,1.69155e+08,0.000308912
all-fast,27,2.97,5,2.7,1.90626e+08,0.00033993
all-fast,27,2.97,6,0.9,1.30699e+08,0.000233807
all-fast,27,2.97,6,1.2,1.61561e+08,0.000272889
all-fast,27,2.97,6,1.5,1.95006e+08,0.000315969
all-fast,27,2.97,6,1.8,2.30518e+08,0.000359432
all-fast,27,2.97,6,2.1,2.67518e+08,0.000405198
all-fast,27,2.97,6,2.4,3.05162e+08,0.000446579
all-fast,27,2.97,6,2.7,3.43908e+08,0.000492322
all-fast,27,2.97,7,0.9,2.28013e+08,0.000347654
all-fast,27,2.97,7,1.2,2.82748e+08,0.000411945
all-fast,27,2.97,7,1.5,3.40875e+08,0.000477049
all-fast,27,2.97,7,1.8,4.00506e+08,0.000539786
all-fast,27,2.97,7,2.1,4.60503e+08,0.000608855
all-fast,27,2.97,7,2.4,5.19883e+08,0.000674176
all-fast,27,2.97,7,2.7,5.78202e+08,0.000739163
all-fast,27,3.30,0,0.9,5297460,7.35862e-05
all-fast,27,3.30,0,1.2,6344540,7.78442e-05
all-fast,27,3.30,0,1.5,7445660,8.71923e-05
all-fast,27,3.30,0,1.8,8572660,9.32334e-05
all-fast,27,3.30,0,2.1,9721640,0.000100745
all-fast,27,3.30,0,2.4,1.08711e+07,0.000107675
all-fast,27,3.30,0,2.7,1.20577e+07,0.000115155
all-fast,27,3.30,1,0.9,8513100,8.4449e-05
all-fast,27,3.30,1,1.2,1.02036e+07,9.42121e-05
all-fast,27,3.30,1,1.5,1.19898e+07,0.000101791
all-fast,27,3.30,1,1.8,1.38325e+07,0.000113242
all-fast,27,3.30,1,2.1,1.57213e+07,0.000121747
all-fast,27,3.30,1,2.4,1.76094e+07,0.000130793
all-fast,27,3.30,1,2.7,1.95639e+07,0.000141518
all-fast,27,3.30,2,0.9,1.41636e+07,9.5639e-05
all-fast,27,3.30,2,1.2,1.7022e+07,0.000106717
all-fast,27,3.30,2,1.5,2.00361e+07,0.000116276
all-fast,27,3.30,2,1.8,2.31546e+07,0.000128763
all-fast,27,3.30,2,2.1,2.63495e+07,0.000141912
all-fast,27,3.30,2,2.4,2.95975e+07,0.000152204
all-fast,27,3.30,2,2.7,3.29096e+07,0.000164195
all-fast,27,3.30,3,0.9,2.29687e+07,0.000118686
all-fast,27,3.30,3,1.2,2.76868e+07,0.000135922
all-fast,27,3.30,3,1.5,3.26938e+07,0.000151646
all-fast,27,3.30,3,1.8,3.78859e+07,0.000169586
all-fast,27,3.30,3,2.1,4.3272e+07,0.000185243
all-fast,27,3.30,3,2.4,4.87785e+07,0.000203893
all-fast,27,3.30,3,2.7,5.43591e+07,0.000220628
all-fast,27,3.30,4,0.9,3.91699e+07,0.000132136
all-fast,27,3.30,4,1.2,4.73824e+07,0.000150206
all-fast,27,3.30,4,1.5,5.61467e+07,0.000170189
all-fast,27,3.30,4,1.8,6.53316e+07,0.000188636
all-fast,27,3.30,4,2.1,7.4808e+07,0.000207677
all-fast,27,3.30,4,2.4,8.46132e+07,0.000227773
all-fast,27,3.30,4,2.7,9.46632e+07,0.000246488
all-fast,27,3.30,5,0.9,6.47829e+07,0.000177297
all-fast,27,3.30,5,1.2,7.88786e+07,0.00020524
all-fast,27,3.30,5,1.5,9.39704e+07,0.000234507
all-fast,27,3.30,5,1.8,1.09931e+08,0.000263816
all-fast,27,3.30,5,2.1,1.26726e+08,0.00029256
all-fast,27,3.30,5,2.4,1.43914e+08,0.000322275
all-fast,27,3.30,5,2.7,1.62217e+08,0.00035204
all-fast,27,3.30,6,0.9,1.12902e+08,0.000247759
all-fast,27,3.30,6,1.2,1.38566e+08,0.000288195
all-fast,27,3.30,6,1.5,1.66446e+08,0.000332748
all-fast,27,3.30,6,1.8,1.96055e+08,0.000375322
all-fast,27,3.30,6,2.1,2.27392e+08,0.000420729
all-fast,27,3.30,6,2.4,2.59741e+08,0.000466423
all-fast,27,3.30,6,2.7,2.9307e+08,0.000512027
all-fast,27,3.30,7,0.9,1.94451e+08,0.000362112
all-fast,27,3.30,7,1.2,2.40737e+08,0.000429091
all-fast,27,3.30,7,1.5,2.90999e+08,0.000497269
all-fast,27,3.30,7,1.8,3.43718e+08,0.000566285
all-fast,27,3.30,7,2.1,3.98032e+08,0.000635377
all-fast,27,3.30,7,2.4,4.53096e+08,0.000704274
all-fast,27,3.30,7,2.7,5.08658e+08,0.000773186
all-fast,27,3.63,0,0.9,4982260,8.14803e-05
all-fast,27,3.63,0,1.2,5942600,8.73436e-05
all-fast,27,3.63,0,1.5,6936940,9.30259e-05
all-fast,27,3.63,0,1.8,7957520,0.000100953
all-fast,27,3.63,0,2.1,8992020,0.000107894
all-fast,27,3.63,0,2.4,1.00514e+07,0.000113844
all-fast,27,3.63,0,2.7,1.10845e+07,0.000124481
all-fast,27,3.63,1,0.9,7924710,9.39237e-05
all-fast,27,3.63,1,1.2,9463690,0.000100835
all-fast,27,3.63,1,1.5,1.106e+07,0.000111737
all-fast,27,3.63,1,1.8,1.27059e+07,0.000121715
all-fast,27,3.63,1,2.1,1.44178e+07,0.000128874
all-fast,27,3.63,1,2.4,1.61216e+07,0.000139865
all-fast,27,3.63,1,2.7,1.78421e+07,0.000152569
all-fast,27,3.63,2,0.9,1.31093e+07,0.000104036
all-fast,27,3.63,2,1.2,1.56786e+07,0.000114854
all-fast,27,3.63,2,1.5,1.83571e+07,0.000126647
all-fast,27,3.63,2,1.8,2.11393e+07,0.000137568
all-fast,27,3.63,2,2.1,2.40101e+07,0.000150703
all-fast,27,3.63,2,2.4,2.69207e+07,0.000160953
all-fast,27,3.63,2,2.7,2.98528e+07,0.000172912
all-fast,27,3.63,3,0.9,2.10681e+07,0.000128032
all-fast,27,3.63,3,1.2,2.52782e+07,0.00014518
all-fast,27,3.63,3,1.5,2.97085e+07,0.000161859
all-fast,27,3.63,3,1.8,3.42857e+07,0.000177921
all-fast,27,3.63,3,2.1,3.88291e+07,0.00019507
all-fast,27,3.63,3,2.4,4.38112e+07,0.00021337
all-fast,27,3.63,3,2.7,4.87464e+07,0.000231168
all-fast,27,3.63,4,0.9,3.57994e+07,0.000144135
all-fast,27,3.63,4,1.2,4.30719e+07,0.000160115
all-fast,27,3.63,4,1.5,5.07893e+07,0.000179699
all-fast,27,3.63,4,1.8,5.87778e+07,0.00020235
all-fast,27,3.63,4,2.1,6.71082e+07,0.000221511
all-fast,27,3.63,4,2.4,7.55198e+07,0.000241241
all-fast,27,3.63,4,2.7,8.432e+07,0.000262109
all-fast,27,3.63,5,0.9,5.85292e+07,0.000191346
all-fast,27,3.63,5,1.2,7.07809e+07,0.000217254
all-fast,27,3.63,5,1.5,8.39031e+07,0.000245694
all-fast,27,3.63,5,1.8,9.7696e+07,0.000277106
all-fast,27,3.63,5,2.1,1.12051e+08,0.000307181
all-fast,27,3.63,5,2.4,1.26809e+08,0.000338377
all-fast,27,3.63,5,2.7,1.42199e+08,0.0003699
all-fast,27,3.63,6,0.9,1.00962e+08,0.000262394
all-fast,27,3.63,6,1.2,1.23006e+08,0.000306849
all-fast,27,3.63,6,1.5,1.46865e+08,0.000349364
all-fast,27,3.63,6,1.8,1.72167e+08,0.000392687
all-fast,27,3.63,6,2.1,1.98674e+08,0.000439978
all-fast,27,3.63,6,2.4,2.25931e+08,0.000484991
all-fast,27,3.63,6,2.7,2.55096e+08,0.000531995
all-fast,27,3.63,7,0.9,1.71221e+08,0.000380204
all-fast,27,3.63,7,1.2,2.10748e+08,0.000446841
all-fast,27,3.63,7,1.5,2.53809e+08,0.000515491
all-fast,27,3.63,7,1.8,2.99605e+08,0.000586595
all-fast,27,3.63,7,2.1,3.47345e+08,0.000662105
all-fast,27,3.63,7,2.4,3.9691e+08,0.000730163
all-fast,27,3.63,7,2.7,4.47268e+08,0.00080501
all-fast,125,2.97,0,0.9,6449000,9.25469e-05
all-fast,125,2.97,0,1.2,7679640,9.97753e-05
all-fast,125,2.97,0,1.5,8958770,0.000108542
all-fast,125,2.97,0,1.8,1.02962e+07,0.000116229
all-fast,125,2.97,0,2.1,1.16506e+07,0.000124328
all-fast,125,2.97,0,2.4,1.30428e+07,0.000131879
all-fast,125,2.97,0,2.7,1.44535e+07,0.000139706
all-fast,125,2.97,1,0.9,1.05174e+07,0.000106646
all-fast,125,2.97,1,1.2,1.25378e+07,0.000116827
all-fast,125,2.97,1,1.5,1.46687e+07,0.000128716
all-fast,125,2.97,1,1.8,1.68789e+07,0.000137815
all-fast,125,2.97,1,2.1,1.91391e+07,0.000148175
all-fast,125,2.97,1,2.4,2.14575e+07,0.000159871
all-fast,125,2.97,1,2.7,2.38305e+07,0.000171393
all-fast,125,2.97,2,0.9,1.75397e+07,0.000117685
all-fast,125,2.97,2,1.2,2.09759e+07,0.000129405
all-fast,125,2.97,2,1.5,2.46487e+07,0.000143019
all-fast,125,2.97,2,1.8,2.84428e+07,0.000156684
all-fast,125,2.97,2,2.1,3.23478e+07,0.000168485
all-fast,125,2.97,2,2.4,3.63701e+07,0.000182143
all-fast,125,2.97,2,2.7,4.0343e+07,0.000194875
all-fast,125,2.97,3,0.9,2.90845e+07,0.000146129
all-fast,125,2.97,3,1.2,3.49298e+07,0.000164925
all-fast,125,2.97,3,1.5,4.11828e+07,0.000182483
all-fast,125,2.97,3,1.8,4.7715e+07,0.000201392
all-fast,125,2.97,3,2.1,5.45137e+07,0.000220009
all-fast,125,2.97,3,2.4,6.1503e+07,0.000239612
all-fast,125,2.97,3,2.7,6.8687e+07,0.000259137
all-fast,125,2.97,4,0.9,5.15996e+07,0.000163466
all-fast,125,2.97,4,1.2,6.22415e+07,0.000183998
all-fast,125,2.97,4,1.5,7.36592e+07,0.000203884
all-fast,125,2.97,4,1.8,8.57784e+07,0.000225843
all-fast,125,2.97,4,2.1,9.84056e+07,0.000248084
all-fast,125,2.97,4,2.4,1.11569e+08,0.000269137
all-fast,125,2.97,4,2.7,1.25166e+08,0.000293086
all-fast,125,2.97,5,0.9,8.78145e+07,0.000220021
all-fast,125,2.97,5,1.2,1.06789e+08,0.000248837
all-fast,125,2.97,5,1.5,1.27388e+08,0.000281512
all-fast,125,2.97,5,1.8,1.49257e+08,0.000314245
all-fast,125,2.97,5,2.1,1.72163e+08,0.000347421
all-fast,125,2.97,5,2.4,1.96015e+08,0.00038128
all-fast,125,2.97,5,2.7,2.20471e+08,0.00041619
all-fast,125,2.97,6,0.9,1.55908e+08,0.000299059
all-fast,125,2.97,6,1.2,1.91044e+08,0.000348906
all-fast,125,2.97,6,1.5,2.28823e+08,0.000396371
all-fast,125,2.97,6,1.8,2.68269e+08,0.000443939
all-fast,125,2.97,6,2.1,3.08599e+08,0.00049165
all-fast,125,2.97,6,2.4,3.49463e+08,0.000539277
all-fast,125,2.97,6,2.7,3.89325e+08,0.00058799
all-fast,125,2.97,7,0.9,2.74912e+08,0.000443603
all-fast,125,2.97,7,1.2,3.34934e+08,0.000508622
all-fast,125,2.97,7,1.5,3.96807e+08,0.000580531
all-fast,125,2.97,7,1.8,4.58482e+08,0.000655013
all-fast,125,2.97,7,2.1,5.18797e+08,0.000724885
all-fast,125,2.97,7,2.4,5.75931e+08,0.000792242
all-fast,125,2.97,7,2.7,6.31807e+08,0.000859939
all-fast,125,3.30,0,0.9,5906890,0.0001002
all-fast,125,3.30,0,1.2,7001490,0.000107453
all-fast,125,3.30,0,1.5,8151060,0.000115129
all-fast,125,3.30,0,1.8,9330680,0.000123502
all-fast,125,3.30,0,2.1,1.05356e+07,0.000131122
