bundle,temp_c,vdd_v,band,vctrl_v,fosc_hz,kvco_hz_per_v,kvco_over_f_per_v,isupply_a,inside_v1_band
all-fast,-40,2.97,4,2.10,7.79081e+07,3.423333e+07,0.43941,0.000168197,1
all-fast,-40,2.97,4,2.40,8.82972e+07,3.553133e+07,0.40241,0.000185911,1
all-fast,-40,2.97,4,2.70,9.92269e+07,3.643233e+07,0.36716,0.000205366,1
all-fast,-40,2.97,5,0.90,6.61846e+07,5.003167e+07,0.75594,0.000141665,1
all-fast,-40,2.97,5,1.20,8.11941e+07,5.193167e+07,0.6396,0.000163864,1
all-fast,-40,2.97,5,1.50,9.73436e+07,5.544317e+07,0.56956,0.000189333,1
all-fast,-40,2.97,5,1.80,1.1446e+08,5.832233e+07,0.50954,0.000214836,1
all-fast,-40,2.97,5,2.10,1.32337e+08,6.068667e+07,0.45858,0.000241039,1
all-fast,-40,2.97,5,2.40,1.50872e+08,6.2875e+07,0.41674,0.000266944,1
all-fast,-40,2.97,5,2.70,1.70062e+08,6.396667e+07,0.37614,0.000294405,1
all-fast,-40,2.97,6,0.90,1.16894e+08,9.156e+07,0.78327,0.00020107,1
all-fast,-40,2.97,6,1.20,1.44362e+08,9.555167e+07,0.66189,0.000235499,1
all-fast,-40,2.97,6,1.50,1.74225e+08,1.025e+08,0.58832,0.000274355,1
all-fast,-40,2.97,6,1.80,2.05862e+08,1.07885e+08,0.52406,0.000311363,0
all-fast,-40,2.97,6,2.10,2.38956e+08,1.121933e+08,0.46951,0.000352904,0
all-fast,-40,2.97,6,2.40,2.73178e+08,1.152183e+08,0.42177,0.000392444,0
all-fast,-40,2.97,6,2.70,3.08087e+08,1.163633e+08,0.3777,0.00043219,0
all-fast,-40,2.97,7,0.90,2.00941e+08,1.626867e+08,0.80962,0.000298052,0
all-fast,-40,2.97,7,1.20,2.49747e+08,1.69675e+08,0.67939,0.000353824,0
all-fast,-40,2.97,7,1.50,3.02746e+08,1.802633e+08,0.59543,0.000413062,0
all-fast,-40,2.97,7,1.80,3.57905e+08,1.854617e+08,0.51819,0.000471203,0
all-fast,-40,2.97,7,2.10,4.14023e+08,1.883433e+08,0.45491,0.000533426,0
all-fast,-40,2.97,7,2.40,4.70911e+08,1.9014e+08,0.40377,0.000594314,0
all-fast,-40,2.97,7,2.70,5.28107e+08,1.906533e+08,0.36101,0.000654404,0
all-fast,-40,3.30,0,0.90,4970070,3337333,0.67149,6.0568e-05,0
all-fast,-40,3.30,0,1.20,5971270,3405367,0.57029,6.69441e-05,0
all-fast,-40,3.30,0,1.50,7013290,3538300,0.50451,7.3547e-05,0
all-fast,-40,3.30,0,1.80,8094250,3609933,0.44599,7.86779e-05,0
all-fast,-40,3.30,0,2.10,9179250,3641583,0.39672,8.59287e-05,0
all-fast,-40,3.30,0,2.40,1.02792e+07,3631583,0.35329,9.197e-05,1
all-fast,-40,3.30,0,2.70,1.13582e+07,3596667,0.31666,9.89576e-05,1
all-fast,-40,3.30,1,0.90,7940700,5351167,0.67389,7.06008e-05,0
all-fast,-40,3.30,1,1.20,9546050,5473667,0.5734,7.89742e-05,0
all-fast,-40,3.30,1,1.50,1.12249e+07,5672750,0.50537,8.6644e-05,1
all-fast,-40,3.30,1,1.80,1.29497e+07,5842500,0.45117,9.63578e-05,1
all-fast,-40,3.30,1,2.10,1.47304e+07,5942167,0.40339,0.000105775,1
all-fast,-40,3.30,1,2.40,1.6515e+07,5930333,0.35909,0.000113647,1
all-fast,-40,3.30,1,2.70,1.82886e+07,5912000,0.32326,0.000122982,1
all-fast,-40,3.30,2,0.90,1.33099e+07,8991333,0.67554,8.03225e-05,1
all-fast,-40,3.30,2,1.20,1.60073e+07,9210833,0.57541,8.92122e-05,1
all-fast,-40,3.30,2,1.50,1.88364e+07,9617000,0.51055,9.93189e-05,1
all-fast,-40,3.30,2,1.80,2.17775e+07,9908000,0.45496,0.000110534,1
all-fast,-40,3.30,2,2.10,2.47812e+07,1.007183e+07,0.40643,0.000121466,1
all-fast,-40,3.30,2,2.40,2.78206e+07,1.019617e+07,0.3665,0.000131757,1
all-fast,-40,3.30,2,2.70,3.08989e+07,1.0261e+07,0.33208,0.000141513,1
all-fast,-40,3.30,3,0.90,2.13748e+07,1.463767e+07,0.68481,0.000101008,1
all-fast,-40,3.30,3,1.20,2.57661e+07,1.517317e+07,0.58888,0.000116584,1
all-fast,-40,3.30,3,1.50,3.04787e+07,1.584067e+07,0.51973,0.000131543,1
all-fast,-40,3.30,3,1.80,3.52705e+07,1.6415e+07,0.4654,0.000146757,1
all-fast,-40,3.30,3,2.10,4.03277e+07,1.678033e+07,0.4161,0.000161634,1
all-fast,-40,3.30,3,2.40,4.53387e+07,1.707967e+07,0.37671,0.000176163,1
all-fast,-40,3.30,3,2.70,5.05755e+07,1.7456e+07,0.34515,0.000191642,1
all-fast,-40,3.30,4,0.90,3.54568e+07,2.509167e+07,0.70767,0.000114158,1
all-fast,-40,3.30,4,1.20,4.29843e+07,2.582433e+07,0.60079,0.000128747,1
all-fast,-40,3.30,4,1.50,5.09514e+07,2.706183e+07,0.53113,0.00014531,1
all-fast,-40,3.30,4,1.80,5.92214e+07,2.802367e+07,0.4732,0.000163737,1
all-fast,-40,3.30,4,2.10,6.77656e+07,2.9028e+07,0.42836,0.000179778,1
all-fast,-40,3.30,4,2.40,7.66382e+07,2.947317e+07,0.38458,0.000198997,1
all-fast,-40,3.30,4,2.70,8.54495e+07,2.9371e+07,0.34372,0.000217884,1
all-fast,-40,3.30,5,0.90,5.80754e+07,4.199633e+07,0.72313,0.000150456,1
all-fast,-40,3.30,5,1.20,7.06743e+07,4.3631e+07,0.61735,0.000177001,1
all-fast,-40,3.30,5,1.50,8.4254e+07,4.610167e+07,0.54717,0.000200229,1
all-fast,-40,3.30,5,1.80,9.83353e+07,4.839e+07,0.49209,0.00022641,1
all-fast,-40,3.30,5,2.10,1.13288e+08,5.041783e+07,0.44504,0.000255007,1
all-fast,-40,3.30,5,2.40,1.28586e+08,5.2105e+07,0.40522,0.000280906,1
all-fast,-40,3.30,5,2.70,1.44551e+08,5.321667e+07,0.36815,0.000309238,1
all-fast,-40,3.30,6,0.90,1.01226e+08,7.617667e+07,0.75254,0.000215095,1
all-fast,-40,3.30,6,1.20,1.24079e+08,7.926e+07,0.63879,0.000250848,1
all-fast,-40,3.30,6,1.50,1.48782e+08,8.479167e+07,0.56991,0.000289623,1
all-fast,-40,3.30,6,1.80,1.74954e+08,8.911167e+07,0.50934,0.000328968,1
all-fast,-40,3.30,6,2.10,2.02249e+08,9.3755e+07,0.46356,0.000369019,0
all-fast,-40,3.30,6,2.40,2.31207e+08,9.675e+07,0.41846,0.000409148,0
all-fast,-40,3.30,6,2.70,2.60299e+08,9.697333e+07,0.37255,0.000451694,0
all-fast,-40,3.30,7,0.90,1.71225e+08,1.350533e+08,0.78875,0.000313655,1
all-fast,-40,3.30,7,1.20,2.11741e+08,1.41245e+08,0.66706,0.000373194,0
all-fast,-40,3.30,7,1.50,2.55972e+08,1.5177e+08,0.59292,0.000430927,0
all-fast,-40,3.30,7,1.80,3.02803e+08,1.599983e+08,0.52839,0.00049332,0
all-fast,-40,3.30,7,2.10,3.51971e+08,1.659683e+08,0.47154,0.000558,0
all-fast,-40,3.30,7,2.40,4.02384e+08,1.697083e+08,0.42176,0.000620131,0
all-fast,-40,3.30,7,2.70,4.53796e+08,1.713733e+08,0.37764,0.00068491,0
all-fast,-40,3.63,0,0.90,4684390,3057467,0.65269,6.91645e-05,0
all-fast,-40,3.63,0,1.20,5601630,3112617,0.55566,7.42101e-05,0
all-fast,-40,3.63,0,1.50,6551960,3221467,0.49168,8.17941e-05,0
all-fast,-40,3.63,0,1.80,7534510,3278767,0.43517,8.74496e-05,0
all-fast,-40,3.63,0,2.10,8519220,3284350,0.38552,9.35929e-05,0
all-fast,-40,3.63,0,2.40,9505120,3292967,0.34644,0.000102186,0
all-fast,-40,3.63,0,2.70,1.0495e+07,3299600,0.3144,0.000108549,1
all-fast,-40,3.63,1,0.90,7409960,4860200,0.6559,7.99256e-05,0
all-fast,-40,3.63,1,1.20,8868020,4980567,0.56163,8.80669e-05,0
all-fast,-40,3.63,1,1.50,1.03983e+07,5144967,0.49479,9.60455e-05,1
all-fast,-40,3.63,1,1.80,1.1955e+07,5262000,0.44015,0.0001039,1
all-fast,-40,3.63,1,2.10,1.35555e+07,5294167,0.39055,0.000114381,1
all-fast,-40,3.63,1,2.40,1.51315e+07,5297333,0.35009,0.000123514,1
all-fast,-40,3.63,1,2.70,1.67339e+07,5341333,0.31919,0.000131718,1
all-fast,-40,3.63,2,0.90,1.23539e+07,8121333,0.65739,9.14396e-05,1
all-fast,-40,3.63,2,1.20,1.47903e+07,8342667,0.56406,0.000100403,1
all-fast,-40,3.63,2,1.50,1.73595e+07,8669167,0.49939,0.000108841,1
all-fast,-40,3.63,2,1.80,1.99918e+07,8829833,0.44167,0.000122703,1
all-fast,-40,3.63,2,2.10,2.26574e+07,9030667,0.39857,0.000131513,1
all-fast,-40,3.63,2,2.40,2.54102e+07,9074500,0.35712,0.000143131,1
all-fast,-40,3.63,2,2.70,2.81021e+07,8973000,0.3193,0.000151819,1
all-fast,-40,3.63,3,0.90,1.96589e+07,1.315e+07,0.66891,0.00011198,1
all-fast,-40,3.63,3,1.20,2.36039e+07,1.348683e+07,0.57138,0.00012878,1
all-fast,-40,3.63,3,1.50,2.7751e+07,1.41255e+07,0.50901,0.000141322,1
all-fast,-40,3.63,3,1.80,3.20792e+07,1.452867e+07,0.4529,0.000156681,1
all-fast,-40,3.63,3,2.10,3.64682e+07,1.463983e+07,0.40144,0.000172944,1
all-fast,-40,3.63,3,2.40,4.08631e+07,1.494517e+07,0.36574,0.000190442,1
all-fast,-40,3.63,3,2.70,4.54353e+07,1.524067e+07,0.33544,0.00020272,1
all-fast,-40,3.63,4,0.90,3.25682e+07,2.199033e+07,0.67521,0.000124056,1
all-fast,-40,3.63,4,1.20,3.91653e+07,2.272967e+07,0.58035,0.000142031,1
all-fast,-40,3.63,4,1.50,4.6206e+07,2.3828e+07,0.51569,0.000157872,1
all-fast,-40,3.63,4,1.80,5.34621e+07,2.45875e+07,0.45991,0.000176997,1
all-fast,-40,3.63,4,2.10,6.09585e+07,2.542267e+07,0.41705,0.000195755,1
all-fast,-40,3.63,4,2.40,6.87157e+07,2.58715e+07,0.3765,0.000212572,1
all-fast,-40,3.63,4,2.70,7.64814e+07,2.588567e+07,0.33846,0.000231402,1
all-fast,-40,3.63,5,0.90,5.26374e+07,3.686133e+07,0.70029,0.000164836,1
all-fast,-40,3.63,5,1.20,6.36958e+07,3.7996e+07,0.59652,0.000188784,1
all-fast,-40,3.63,5,1.50,7.5435e+07,4.015317e+07,0.53229,0.00021456,1
all-fast,-40,3.63,5,1.80,8.77877e+07,4.175333e+07,0.47562,0.000241619,1
all-fast,-40,3.63,5,2.10,1.00487e+08,4.310383e+07,0.42895,0.000269818,1
all-fast,-40,3.63,5,2.40,1.1365e+08,4.424833e+07,0.38934,0.000296673,1
all-fast,-40,3.63,5,2.70,1.27036e+08,4.462e+07,0.35124,0.000323554,1
all-fast,-40,3.63,6,0.90,9.0917e+07,6.578333e+07,0.72355,0.000229467,1
all-fast,-40,3.63,6,1.20,1.10652e+08,6.771833e+07,0.61199,0.000268004,1
all-fast,-40,3.63,6,1.50,1.31548e+08,7.244e+07,0.55067,0.000306138,1
all-fast,-40,3.63,6,1.80,1.54116e+08,7.667167e+07,0.49749,0.000347745,1
all-fast,-40,3.63,6,2.10,1.77551e+08,7.962167e+07,0.44844,0.000388122,1
all-fast,-40,3.63,6,2.40,2.01889e+08,8.2205e+07,0.40718,0.000430699,0
all-fast,-40,3.63,6,2.70,2.26874e+08,8.328333e+07,0.36709,0.000471523,0
all-fast,-40,3.63,7,0.90,1.51417e+08,1.148567e+08,0.75855,0.000332125,1
all-fast,-40,3.63,7,1.20,1.85874e+08,1.198867e+08,0.64499,0.000392312,1
all-fast,-40,3.63,7,1.50,2.23349e+08,1.288367e+08,0.57684,0.000452141,0
all-fast,-40,3.63,7,1.80,2.63176e+08,1.3644e+08,0.51844,0.000515449,0
all-fast,-40,3.63,7,2.10,3.05213e+08,1.4306e+08,0.46872,0.000581494,0
all-fast,-40,3.63,7,2.40,3.49012e+08,1.479883e+08,0.42402,0.00064522,0
all-fast,-40,3.63,7,2.70,3.94006e+08,1.4998e+08,0.38065,0.000710891,0
all-fast,27,2.97,0,0.90,5796930,3894467,0.67182,6.68853e-05,0
all-fast,27,2.97,0,1.20,6965270,3995750,0.57367,7.42611e-05,0
all-fast,27,2.97,0,1.50,8194380,4178233,0.50989,8.15946e-05,0
all-fast,27,2.97,0,1.80,9472210,4272867,0.4511,8.8221e-05,0
all-fast,27,2.97,0,2.10,1.07581e+07,4351317,0.40447,9.39707e-05,1
all-fast,27,2.97,0,2.40,1.2083e+07,4442000,0.36762,0.000100474,1
all-fast,27,2.97,0,2.70,1.34233e+07,4467667,0.33283,0.000108128,1
all-fast,27,2.97,1,0.90,9387270,6406767,0.6825,7.81569e-05,0
all-fast,27,2.97,1,1.20,1.13093e+07,6547717,0.57897,8.72171e-05,1
all-fast,27,2.97,1,1.50,1.33159e+07,6854000,0.51472,9.66437e-05,1
all-fast,27,2.97,1,1.80,1.54217e+07,7042500,0.45666,0.000106532,1
all-fast,27,2.97,1,2.10,1.75414e+07,7161500,0.40826,0.000115626,1
all-fast,27,2.97,1,2.40,1.97186e+07,7329667,0.37171,0.000123872,1
all-fast,27,2.97,1,2.70,2.19392e+07,7402000,0.33739,0.000133418,1
all-fast,27,2.97,2,0.90,1.57063e+07,1.081633e+07,0.68866,8.82652e-05,1
all-fast,27,2.97,2,1.20,1.89512e+07,1.117517e+07,0.58968,9.94239e-05,1
all-fast,27,2.97,2,1.50,2.24114e+07,1.171783e+07,0.52285,0.000108903,1
all-fast,27,2.97,2,1.80,2.59819e+07,1.211183e+07,0.46616,0.00012081,1
all-fast,27,2.97,2,2.10,2.96785e+07,1.241e+07,0.41815,0.000132768,1
all-fast,27,2.97,2,2.40,3.34279e+07,1.2755e+07,0.38157,0.000144504,1
all-fast,27,2.97,2,2.70,3.73315e+07,1.3012e+07,0.34855,0.000156061,1
all-fast,27,2.97,3,0.90,2.57514e+07,1.816133e+07,0.70526,0.000111981,1
all-fast,27,2.97,3,1.20,3.11998e+07,1.874267e+07,0.60073,0.000127263,1
all-fast,27,2.97,3,1.50,3.6997e+07,1.9812e+07,0.5355,0.000142958,1
all-fast,27,2.97,3,1.80,4.3087e+07,2.057617e+07,0.47755,0.000158646,1
all-fast,27,2.97,3,2.10,4.93427e+07,2.129267e+07,0.43153,0.000176925,1
all-fast,27,2.97,3,2.40,5.58626e+07,2.174767e+07,0.38931,0.000192629,1
all-fast,27,2.97,3,2.70,6.23913e+07,2.176233e+07,0.3488,0.000210576,1
all-fast,27,2.97,4,0.90,4.41776e+07,3.2021e+07,0.72482,0.00012305,1
all-fast,27,2.97,4,1.20,5.37839e+07,3.313867e+07,0.61614,0.000140494,1
all-fast,27,2.97,4,1.50,6.40608e+07,3.5158e+07,0.54882,0.000159071,1
all-fast,27,2.97,4,1.80,7.48787e+07,3.6686e+07,0.48994,0.000178581,1
all-fast,27,2.97,4,2.10,8.60724e+07,3.809067e+07,0.44254,0.000197245,1
all-fast,27,2.97,4,2.40,9.77331e+07,3.942433e+07,0.40339,0.000217689,1
all-fast,27,2.97,4,2.70,1.09727e+08,3.997967e+07,0.36436,0.000237716,1
all-fast,27,2.97,5,0.90,7.40957e+07,5.573133e+07,0.75215,0.000168663,1
all-fast,27,2.97,5,1.20,9.08151e+07,5.79555e+07,0.63817,0.000192955,1
all-fast,27,2.97,5,1.50,1.08869e+08,6.197483e+07,0.56926,0.000221917,1
all-fast,27,2.97,5,1.80,1.28e+08,6.5325e+07,0.51035,0.000249955,1
all-fast,27,2.97,5,2.10,1.48064e+08,6.859167e+07,0.46326,0.000279391,1
all-fast,27,2.97,5,2.40,1.69155e+08,7.093667e+07,0.41936,0.000308912,1
all-fast,27,2.97,5,2.70,1.90626e+08,7.157e+07,0.37545,0.00033993,1
all-fast,27,2.97,6,0.90,1.30699e+08,1.028733e+08,0.7871,0.000233807,1
all-fast,27,2.97,6,1.20,1.61561e+08,1.071783e+08,0.66339,0.000272889,1
all-fast,27,2.97,6,1.50,1.95006e+08,1.149283e+08,0.58936,0.000315969,1
all-fast,27,2.97,6,1.80,2.30518e+08,1.208533e+08,0.52427,0.000359432,0
all-fast,27,2.97,6,2.10,2.67518e+08,1.244067e+08,0.46504,0.000405198,0
all-fast,27,2.97,6,2.40,3.05162e+08,1.273167e+08,0.41721,0.000446579,0
all-fast,27,2.97,6,2.70,3.43908e+08,1.291533e+08,0.37555,0.000492322,0
all-fast,27,2.97,7,0.90,2.28013e+08,1.8245e+08,0.80017,0.000347654,0
all-fast,27,2.97,7,1.20,2.82748e+08,1.881033e+08,0.66527,0.000411945,0
all-fast,27,2.97,7,1.50,3.40875e+08,1.962633e+08,0.57576,0.000477049,0
all-fast,27,2.97,7,1.80,4.00506e+08,1.9938e+08,0.49782,0.000539786,0
all-fast,27,2.97,7,2.10,4.60503e+08,1.989617e+08,0.43205,0.000608855,0
all-fast,27,2.97,7,2.40,5.19883e+08,1.96165e+08,0.37733,0.000674176,0
all-fast,27,2.97,7,2.70,5.78202e+08,1.943967e+08,0.33621,0.000739163,0
all-fast,27,3.30,0,0.90,5297460,3490267,0.65886,7.35862e-05,0
all-fast,27,3.30,0,1.20,6344540,3580333,0.56432,7.78442e-05,0
all-fast,27,3.30,0,1.50,7445660,3713533,0.49875,8.71923e-05,0
all-fast,27,3.30,0,1.80,8572660,3793300,0.44249,9.32334e-05,0
all-fast,27,3.30,0,2.10,9721640,3830733,0.39404,0.000100745,0
all-fast,27,3.30,0,2.40,1.08711e+07,3893433,0.35815,0.000107675,1
all-fast,27,3.30,0,2.70,1.20577e+07,3955333,0.32803,0.000115155,1
all-fast,27,3.30,1,0.90,8513100,5635000,0.66192,8.4449e-05,0
all-fast,27,3.30,1,1.20,1.02036e+07,5794500,0.56789,9.42121e-05,1
all-fast,27,3.30,1,1.50,1.19898e+07,6048167,0.50444,0.000101791,1
all-fast,27,3.30,1,1.80,1.38325e+07,6219167,0.44961,0.000113242,1
all-fast,27,3.30,1,2.10,1.57213e+07,6294833,0.4004,0.000121747,1
all-fast,27,3.30,1,2.40,1.76094e+07,6404333,0.36369,0.000130793,1
all-fast,27,3.30,1,2.70,1.95639e+07,6515000,0.33301,0.000141518,1
all-fast,27,3.30,2,0.90,1.41636e+07,9528000,0.67271,9.5639e-05,1
all-fast,27,3.30,2,1.20,1.7022e+07,9787500,0.57499,0.000106717,1
all-fast,27,3.30,2,1.50,2.00361e+07,1.0221e+07,0.51013,0.000116276,1
all-fast,27,3.30,2,1.80,2.31546e+07,1.052233e+07,0.45444,0.000128763,1
all-fast,27,3.30,2,2.10,2.63495e+07,1.073817e+07,0.40753,0.000141912,1
all-fast,27,3.30,2,2.40,2.95975e+07,1.09335e+07,0.36941,0.000152204,1
all-fast,27,3.30,2,2.70,3.29096e+07,1.104033e+07,0.33547,0.000164195,1
all-fast,27,3.30,3,0.90,2.29687e+07,1.5727e+07,0.68471,0.000118686,1
all-fast,27,3.30,3,1.20,2.76868e+07,1.62085e+07,0.58542,0.000135922,1
all-fast,27,3.30,3,1.50,3.26938e+07,1.69985e+07,0.51993,0.000151646,1
all-fast,27,3.30,3,1.80,3.78859e+07,1.763033e+07,0.46535,0.000169586,1
all-fast,27,3.30,3,2.10,4.3272e+07,1.815433e+07,0.41954,0.000185243,1
all-fast,27,3.30,3,2.40,4.87785e+07,1.84785e+07,0.37882,0.000203893,1
all-fast,27,3.30,3,2.70,5.43591e+07,1.8602e+07,0.34221,0.000220628,1
all-fast,27,3.30,4,0.90,3.91699e+07,2.7375e+07,0.69888,0.000132136,1
all-fast,27,3.30,4,1.20,4.73824e+07,2.829467e+07,0.59716,0.000150206,1
all-fast,27,3.30,4,1.50,5.61467e+07,2.991533e+07,0.53281,0.000170189,1
all-fast,27,3.30,4,1.80,6.53316e+07,3.110217e+07,0.47607,0.000188636,1
all-fast,27,3.30,4,2.10,7.4808e+07,3.2136e+07,0.42958,0.000207677,1
all-fast,27,3.30,4,2.40,8.46132e+07,3.3092e+07,0.3911,0.000227773,1
all-fast,27,3.30,4,2.70,9.46632e+07,3.35e+07,0.35389,0.000246488,1
all-fast,27,3.30,5,0.90,6.47829e+07,4.698567e+07,0.72528,0.000177297,1
all-fast,27,3.30,5,1.20,7.88786e+07,4.864583e+07,0.61672,0.00020524,1
all-fast,27,3.30,5,1.50,9.39704e+07,5.1754e+07,0.55075,0.000234507,1
all-fast,27,3.30,5,1.80,1.09931e+08,5.459267e+07,0.49661,0.000263816,1
all-fast,27,3.30,5,2.10,1.26726e+08,5.663833e+07,0.44694,0.00029256,1
all-fast,27,3.30,5,2.40,1.43914e+08,5.915167e+07,0.41102,0.000322275,1
all-fast,27,3.30,5,2.70,1.62217e+08,6.101e+07,0.3761,0.00035204,1
all-fast,27,3.30,6,0.90,1.12902e+08,8.554667e+07,0.75771,0.000247759,1
all-fast,27,3.30,6,1.20,1.38566e+08,8.924e+07,0.64403,0.000288195,1
all-fast,27,3.30,6,1.50,1.66446e+08,9.5815e+07,0.57565,0.000332748,1
all-fast,27,3.30,6,1.80,1.96055e+08,1.015767e+08,0.5181,0.000375322,1
all-fast,27,3.30,6,2.10,2.27392e+08,1.061433e+08,0.46679,0.000420729,0
all-fast,27,3.30,6,2.40,2.59741e+08,1.094633e+08,0.42143,0.000466423,0
all-fast,27,3.30,6,2.70,2.9307e+08,1.110967e+08,0.37908,0.000512027,0
all-fast,27,3.30,7,0.90,1.94451e+08,1.542867e+08,0.79345,0.000362112,1
all-fast,27,3.30,7,1.20,2.40737e+08,1.609133e+08,0.66842,0.000429091,0
all-fast,27,3.30,7,1.50,2.90999e+08,1.71635e+08,0.58981,0.000497269,0
all-fast,27,3.30,7,1.80,3.43718e+08,1.783883e+08,0.519,0.000566285,0
all-fast,27,3.30,7,2.10,3.98032e+08,1.822967e+08,0.458,0.000635377,0
all-fast,27,3.30,7,2.40,4.53096e+08,1.843767e+08,0.40693,0.000704274,0
all-fast,27,3.30,7,2.70,5.08658e+08,1.852067e+08,0.36411,0.000773186,0
all-fast,27,3.63,0,0.90,4982260,3201133,0.64251,8.14803e-05,0
all-fast,27,3.63,0,1.20,5942600,3257800,0.54821,8.73436e-05,0
all-fast,27,3.63,0,1.50,6936940,3358200,0.4841,9.30259e-05,0
all-fast,27,3.63,0,1.80,7957520,3425133,0.43043,0.000100953,0
all-fast,27,3.63,0,2.10,8992020,3489800,0.3881,0.000107894,0
all-fast,27,3.63,0,2.40,1.00514e+07,3487467,0.34696,0.000113844,1
all-fast,27,3.63,0,2.70,1.10845e+07,3443667,0.31067,0.000124481,1
all-fast,27,3.63,1,0.90,7924710,5129933,0.64733,9.39237e-05,0
all-fast,27,3.63,1,1.20,9463690,5225483,0.55216,0.000100835,0
all-fast,27,3.63,1,1.50,1.106e+07,5403683,0.48858,0.000111737,1
all-fast,27,3.63,1,1.80,1.27059e+07,5596333,0.44045,0.000121715,1
all-fast,27,3.63,1,2.10,1.44178e+07,5692833,0.39485,0.000128874,1
all-fast,27,3.63,1,2.40,1.61216e+07,5707167,0.35401,0.000139865,1
all-fast,27,3.63,1,2.70,1.78421e+07,5735000,0.32143,0.000152569,1
all-fast,27,3.63,2,0.90,1.31093e+07,8564333,0.6533,0.000104036,1
all-fast,27,3.63,2,1.20,1.56786e+07,8746333,0.55785,0.000114854,1
all-fast,27,3.63,2,1.50,1.83571e+07,9101167,0.49578,0.000126647,1
all-fast,27,3.63,2,1.80,2.11393e+07,9421667,0.44569,0.000137568,1
all-fast,27,3.63,2,2.10,2.40101e+07,9635667,0.40132,0.000150703,1
all-fast,27,3.63,2,2.40,2.69207e+07,9737833,0.36172,0.000160953,1
all-fast,27,3.63,2,2.70,2.98528e+07,9773667,0.3274,0.000172912,1
all-fast,27,3.63,3,0.90,2.10681e+07,1.403367e+07,0.66611,0.000128032,1
all-fast,27,3.63,3,1.20,2.52782e+07,1.440067e+07,0.56969,0.00014518,1
all-fast,27,3.63,3,1.50,2.97085e+07,1.50125e+07,0.50533,0.000161859,1
all-fast,27,3.63,3,1.80,3.42857e+07,1.5201e+07,0.44336,0.000177921,1
all-fast,27,3.63,3,2.10,3.88291e+07,1.587583e+07,0.40886,0.00019507,1
all-fast,27,3.63,3,2.40,4.38112e+07,1.652883e+07,0.37727,0.00021337,1
