bundle,temp_c,vdd_v,band,f_at_vctrl_min_hz,f_at_vctrl_max_hz,fine_range_ratio,kvco_min_hz_per_v,kvco_max_hz_per_v,kvco_mean_hz_per_v,isupply_min_a,isupply_max_a
all-fast,27,2.97,6,1.30699e+08,3.43908e+08,2.631,1.02873e+08,1.29153e+08,1.18449e+08,0.000233807,0.000492322
all-fast,27,2.97,7,2.28013e+08,5.78202e+08,2.536,1.8245e+08,1.9938e+08,1.94549e+08,0.000347654,0.000739163
all-fast,27,3.30,0,5297460,1.20577e+07,2.276,3.49027e+06,3.95533e+06,3.75569e+06,7.35862e-05,0.000115155
all-fast,27,3.30,1,8513100,1.95639e+07,2.298,5.635e+06,6.515e+06,6.13933e+06,8.4449e-05,0.000141518
all-fast,27,3.30,2,1.41636e+07,3.29096e+07,2.324,9.528e+06,1.10403e+07,1.04144e+07,9.5639e-05,0.000164195
all-fast,27,3.30,3,2.29687e+07,5.43591e+07,2.367,1.5727e+07,1.8602e+07,1.74391e+07,0.000118686,0.000220628
all-fast,27,3.30,4,3.91699e+07,9.46632e+07,2.417,2.7375e+07,3.35e+07,3.08296e+07,0.000132136,0.000246488
all-fast,27,3.30,5,6.47829e+07,1.62217e+08,2.504,4.69857e+07,6.101e+07,5.41301e+07,0.000177297,0.00035204
all-fast,27,3.30,6,1.12902e+08,2.9307e+08,2.596,8.55467e+07,1.11097e+08,1.00093e+08,0.000247759,0.000512027
all-fast,27,3.30,7,1.94451e+08,5.08658e+08,2.616,1.54287e+08,1.85207e+08,1.74559e+08,0.000362112,0.000773186
all-fast,27,3.63,0,4982260,1.10845e+07,2.225,3.20113e+06,3.4898e+06,3.39013e+06,8.14803e-05,0.000124481
all-fast,27,3.63,1,7924710,1.78421e+07,2.251,5.12993e+06,5.735e+06,5.50966e+06,9.39237e-05,0.000152569
all-fast,27,3.63,2,1.31093e+07,2.98528e+07,2.277,8.56433e+06,9.77367e+06,9.30194e+06,0.000104036,0.000172912
all-fast,27,3.63,3,2.10681e+07,4.87464e+07,2.314,1.40337e+07,1.65288e+07,1.53768e+07,0.000128032,0.000231168
all-fast,27,3.63,4,3.57994e+07,8.432e+07,2.355,2.42417e+07,2.9334e+07,2.69559e+07,0.000144135,0.000262109
all-fast,27,3.63,5,5.85292e+07,1.42199e+08,2.43,4.0839e+07,5.13e+07,4.64832e+07,0.000191346,0.0003699
all-fast,27,3.63,6,1.00962e+08,2.55096e+08,2.527,7.348e+07,9.72167e+07,8.563e+07,0.000262394,0.000531995
all-fast,27,3.63,7,1.71221e+08,4.47268e+08,2.612,1.31757e+08,1.6786e+08,1.53359e+08,0.000380204,0.00080501
all-fast,125,2.97,0,6449000,1.44535e+07,2.241,4.10213e+06,4.70233e+06,4.44694e+06,9.25469e-05,0.000139706
all-fast,125,2.97,1,1.05174e+07,2.38305e+07,2.266,6.73467e+06,7.91e+06,7.39617e+06,0.000106646,0.000171393
all-fast,125,2.97,2,1.75397e+07,4.0343e+07,2.3,1.1454e+07,1.33253e+07,1.26685e+07,0.000117685,0.000194875
all-fast,125,2.97,3,2.90845e+07,6.8687e+07,2.362,1.94843e+07,2.39467e+07,2.20014e+07,0.000146129,0.000259137
all-fast,125,2.97,4,5.15996e+07,1.25166e+08,2.426,3.5473e+07,4.53233e+07,4.08702e+07,0.000163466,0.000293086
all-fast,125,2.97,5,8.78145e+07,2.20471e+08,2.511,6.32483e+07,8.152e+07,7.36981e+07,0.000220021,0.00041619
all-fast,125,2.97,6,1.55908e+08,3.89325e+08,2.497,1.1712e+08,1.35323e+08,1.29676e+08,0.000299059,0.00058799
all-fast,125,2.97,7,2.74912e+08,6.31807e+08,2.298,1.86253e+08,2.05913e+08,1.98275e+08,0.000443603,0.000859939
all-fast,125,3.30,0,5906890,1.30002e+07,2.201,3.64867e+06,4.18267e+06,3.94073e+06,0.0001002,0.000147756
all-fast,125,3.30,1,9545470,2.1252e+07,2.226,5.9781e+06,6.93233e+06,6.50363e+06,0.000112656,0.000178701
all-fast,125,3.30,2,1.5817e+07,3.57804e+07,2.262,1.00893e+07,1.17787e+07,1.10908e+07,0.000124651,0.000204577
all-fast,125,3.30,3,2.59681e+07,5.99455e+07,2.308,1.6909e+07,2.04707e+07,1.88763e+07,0.000153872,0.000268633
all-fast,125,3.30,4,4.57308e+07,1.07954e+08,2.361,3.04757e+07,3.82033e+07,3.45684e+07,0.000172062,0.000305155
all-fast,125,3.30,5,7.67688e+07,1.88273e+08,2.452,5.32027e+07,6.926e+07,6.19468e+07,0.000231619,0.000429066
all-fast,125,3.30,6,1.3467e+08,3.39305e+08,2.52,9.864e+07,1.23293e+08,1.13686e+08,0.000315746,0.000613336
all-fast,125,3.30,7,2.36861e+08,5.74292e+08,2.425,1.76607e+08,1.92188e+08,1.87462e+08,0.0004593,0.0009065
all-fast,125,3.63,0,5553130,1.1978e+07,2.157,3.3313e+06,3.72833e+06,3.56937e+06,0.000108619,0.00015447
all-fast,125,3.63,1,8887830,1.93922e+07,2.182,5.37157e+06,6.17033e+06,5.83576e+06,0.000121801,0.000185585
all-fast,125,3.63,2,1.46381e+07,3.2434e+07,2.216,9.04333e+06,1.05463e+07,9.88661e+06,0.000134038,0.000213425
all-fast,125,3.63,3,2.37867e+07,5.37057e+07,2.258,1.501e+07,1.77683e+07,1.66217e+07,0.000164881,0.000279716
all-fast,125,3.63,4,4.17072e+07,9.59057e+07,2.299,2.69333e+07,3.2787e+07,3.01103e+07,0.000184606,0.000317911
all-fast,125,3.63,5,6.91535e+07,1.65032e+08,2.386,4.61763e+07,5.96767e+07,5.32658e+07,0.000243253,0.000445558
all-fast,125,3.63,6,1.19976e+08,2.97959e+08,2.483,8.47267e+07,1.093e+08,9.88794e+07,0.000328465,0.000637149
all-fast,125,3.63,7,2.08603e+08,5.17423e+08,2.48,1.54177e+08,1.7919e+08,1.71567e+08,0.000478867,0.000944572
all-slow,-40,2.97,0,3583780,8216920,2.293,2.22767e+06,2.8365e+06,2.57397e+06,2.81617e-05,4.86951e-05
all-slow,-40,2.97,1,5868770,1.35428e+07,2.308,3.6339e+06,4.63233e+06,4.26335e+06,3.38061e-05,6.26132e-05
all-slow,-40,2.97,2,1.00119e+07,2.34426e+07,2.341,6.362e+06,8.206e+06,7.4615e+06,3.91664e-05,7.24261e-05
all-slow,-40,2.97,3,1.65398e+07,3.94026e+07,2.382,1.07593e+07,1.40857e+07,1.27016e+07,5.12086e-05,0.000100112
all-slow,-40,2.97,4,2.78875e+07,6.73172e+07,2.414,1.8306e+07,2.41513e+07,2.19054e+07,5.73029e-05,0.000113643
all-slow,-40,2.97,5,4.70321e+07,1.14774e+08,2.44,3.1326e+07,4.13567e+07,3.76344e+07,7.8274e-05,0.000165031
all-slow,-40,2.97,6,8.32361e+07,2.00014e+08,2.403,5.63563e+07,6.86467e+07,6.48766e+07,0.000114562,0.000240629
all-slow,-40,2.97,7,1.41271e+08,3.25221e+08,2.302,9.28667e+07,1.05318e+08,1.02194e+08,0.000172249,0.000366074
all-slow,-40,3.30,0,3202060,7107260,2.22,1.90763e+06,2.26988e+06,2.16956e+06,3.1941e-05,5.19016e-05
all-slow,-40,3.30,1,5161570,1.15989e+07,2.247,3.1032e+06,3.886e+06,3.57629e+06,3.73492e-05,6.75915e-05
all-slow,-40,3.30,2,8718210,1.97274e+07,2.263,5.27697e+06,6.559e+06,6.11622e+06,4.24245e-05,7.71843e-05
all-slow,-40,3.30,3,1.41736e+07,3.27408e+07,2.31,8.71733e+06,1.1521e+07,1.03151e+07,5.51e-05,0.000106453
all-slow,-40,3.30,4,2.36571e+07,5.55227e+07,2.347,1.49537e+07,1.931e+07,1.77031e+07,6.08003e-05,0.000120247
all-slow,-40,3.30,5,3.92213e+07,9.44208e+07,2.407,2.55027e+07,3.42207e+07,3.06664e+07,8.60095e-05,0.000172643
all-slow,-40,3.30,6,6.90234e+07,1.69288e+08,2.453,4.62327e+07,6.21733e+07,5.57026e+07,0.00012075,0.000253763
all-slow,-40,3.30,7,1.17655e+08,2.86683e+08,2.437,8.055e+07,1.00137e+08,9.39044e+07,0.000181755,0.000386527
all-slow,-40,3.63,0,2956210,6451760,2.182,1.7218e+06,2.05293e+06,1.94197e+06,3.57511e-05,5.78511e-05
all-slow,-40,3.63,1,4724010,1.03878e+07,2.199,2.76683e+06,3.4012e+06,3.14655e+06,4.23941e-05,7.0634e-05
all-slow,-40,3.63,2,7915380,1.74833e+07,2.209,4.64883e+06,5.687e+06,5.31551e+06,4.81868e-05,8.3222e-05
all-slow,-40,3.63,3,1.27193e+07,2.85513e+07,2.245,7.556e+06,9.53633e+06,8.79556e+06,6.04386e-05,0.000111818
all-slow,-40,3.63,4,2.105e+07,4.80385e+07,2.282,1.2842e+07,1.6324e+07,1.49936e+07,6.75001e-05,0.000125304
all-slow,-40,3.63,5,3.44144e+07,8.05129e+07,2.34,2.1419e+07,2.8867e+07,2.56103e+07,9.17515e-05,0.000182033
all-slow,-40,3.63,6,5.97927e+07,1.43795e+08,2.405,3.85023e+07,5.247e+07,4.66679e+07,0.000131304,0.000265545
all-slow,-40,3.63,7,1.0056e+08,2.47751e+08,2.464,6.73233e+07,9.05533e+07,8.17728e+07,0.000190944,0.00040423
all-slow,27,2.97,0,3754370,8604950,2.292,2.37007e+06,2.93677e+06,2.69477e+06,3.33362e-05,5.67086e-05
all-slow,27,2.97,1,6153400,1.42739e+07,2.32,3.88117e+06,4.97567e+06,4.51139e+06,4.01828e-05,7.16941e-05
all-slow,27,2.97,2,1.03936e+07,2.44841e+07,2.356,6.67067e+06,8.596e+06,7.82806e+06,4.51687e-05,8.33038e-05
all-slow,27,2.97,3,1.72469e+07,4.15384e+07,2.408,1.14347e+07,1.50127e+07,1.34953e+07,5.98048e-05,0.000115037
all-slow,27,2.97,4,2.98503e+07,7.31412e+07,2.45,2.02033e+07,2.6723e+07,2.40505e+07,6.5515e-05,0.000128789
all-slow,27,2.97,5,5.07193e+07,1.25828e+08,2.481,3.5181e+07,4.54033e+07,4.17271e+07,9.09677e-05,0.000187965
all-slow,27,2.97,6,8.95822e+07,2.17225e+08,2.425,6.2746e+07,7.42333e+07,7.09127e+07,0.000131851,0.000272376
all-slow,27,2.97,7,1.53422e+08,3.49454e+08,2.278,1.02733e+08,1.11765e+08,1.08907e+08,0.000197193,0.000410635
all-slow,27,3.30,0,3355580,7533710,2.245,2.05453e+06,2.47545e+06,2.32118e+06,3.6273e-05,5.99236e-05
all-slow,27,3.30,1,5437850,1.22946e+07,2.261,3.33617e+06,4.03668e+06,3.80931e+06,4.35548e-05,7.53314e-05
all-slow,27,3.30,2,9099370,2.08462e+07,2.291,5.69843e+06,6.99483e+06,6.52602e+06,4.86488e-05,8.71599e-05
all-slow,27,3.30,3,1.48976e+07,3.47503e+07,2.333,9.44767e+06,1.22137e+07,1.10293e+07,6.36229e-05,0.000120151
all-slow,27,3.30,4,2.54839e+07,6.06391e+07,2.38,1.6548e+07,2.1769e+07,1.95307e+07,7.11725e-05,0.00013458
all-slow,27,3.30,5,4.25814e+07,1.04028e+08,2.443,2.8437e+07,3.79677e+07,3.4137e+07,9.75682e-05,0.00019529
all-slow,27,3.30,6,7.45899e+07,1.85529e+08,2.487,5.17763e+07,6.744e+07,6.16328e+07,0.000137304,0.000285689
all-slow,27,3.30,7,1.28665e+08,3.1266e+08,2.43,9.065e+07,1.06447e+08,1.02219e+08,0.0002063,0.0004338
all-slow,27,3.63,0,3094780,6814930,2.202,1.84803e+06,2.21667e+06,2.06675e+06,4.10457e-05,6.45981e-05
all-slow,27,3.63,1,4964850,1.1004e+07,2.216,2.9778e+06,3.5658e+06,3.35508e+06,4.70456e-05,8.02239e-05
all-slow,27,3.63,2,8250990,1.84595e+07,2.237,4.99547e+06,6.04e+06,5.67139e+06,5.3355e-05,9.35306e-05
all-slow,27,3.63,3,1.33531e+07,3.041e+07,2.277,8.19933e+06,1.04063e+07,9.47606e+06,6.91399e-05,0.000125604
all-slow,27,3.63,4,2.26899e+07,5.24213e+07,2.31,1.42097e+07,1.84347e+07,1.65174e+07,7.72807e-05,0.000143733
all-slow,27,3.63,5,3.73497e+07,8.88111e+07,2.378,2.40393e+07,3.1849e+07,2.85897e+07,0.000104836,0.000205873
all-slow,27,3.63,6,6.46475e+07,1.58829e+08,2.457,4.33413e+07,5.92833e+07,5.23231e+07,0.000145659,0.000298088
all-slow,27,3.63,7,1.10193e+08,2.74469e+08,2.491,7.70067e+07,9.92733e+07,9.12644e+07,0.000214946,0.000451947
all-slow,125,2.97,0,3990910,9079320,2.275,2.4814e+06,3.60437e+06,2.82689e+06,4.32108e-05,6.93015e-05
all-slow,125,2.97,1,6559880,1.50828e+07,2.299,4.13373e+06,5.15667e+06,4.73496e+06,5.15723e-05,8.64832e-05
all-slow,125,2.97,2,1.09855e+07,2.57438e+07,2.343,7.09333e+06,8.96033e+06,8.19906e+06,5.73182e-05,0.000100184
all-slow,125,2.97,3,1.83578e+07,4.40243e+07,2.398,1.2132e+07,1.5913e+07,1.42592e+07,7.29786e-05,0.000135651
all-slow,125,2.97,4,3.26927e+07,8.01741e+07,2.452,2.2169e+07,2.9657e+07,2.63786e+07,8.11979e-05,0.000154141
all-slow,125,2.97,5,5.60901e+07,1.39004e+08,2.478,3.92597e+07,5.021e+07,4.60633e+07,0.000112915,0.000222548
all-slow,125,2.97,6,9.88659e+07,2.37063e+08,2.398,6.96303e+07,7.92683e+07,7.67762e+07,0.000157019,0.000317494
all-slow,125,2.97,7,1.70477e+08,3.73616e+08,2.192,1.0614e+08,1.17033e+08,1.12855e+08,0.000234976,0.000469838
all-slow,125,3.30,0,3581470,7981120,2.228,2.18323e+06,2.61207e+06,2.44425e+06,4.62573e-05,7.30446e-05
all-slow,125,3.30,1,5833580,1.31054e+07,2.247,3.55893e+06,4.332e+06,4.0399e+06,5.45793e-05,9.05297e-05
all-slow,125,3.30,2,9689840,2.21484e+07,2.286,6.03053e+06,7.52967e+06,6.92142e+06,6.17255e-05,0.000103996
all-slow,125,3.30,3,1.59803e+07,3.72791e+07,2.333,1.0207e+07,1.31033e+07,1.18327e+07,7.81774e-05,0.000141666
all-slow,125,3.30,4,2.81573e+07,6.70959e+07,2.383,1.83283e+07,2.42637e+07,2.16326e+07,8.63452e-05,0.000160207
all-slow,125,3.30,5,4.75101e+07,1.16532e+08,2.453,3.20473e+07,4.284e+07,3.83455e+07,0.000117826,0.000231359
all-slow,125,3.30,6,8.31234e+07,2.06032e+08,2.479,5.8602e+07,7.37533e+07,6.82826e+07,0.000165394,0.000332482
all-slow,125,3.30,7,1.45159e+08,3.41543e+08,2.353,1.0132e+08,1.12158e+08,1.09102e+08,0.000244023,0.000497765
all-slow,125,3.63,0,3300780,7240780,2.194,1.95893e+06,2.36063e+06,2.18889e+06,5.01119e-05,7.79382e-05
all-slow,125,3.63,1,5329220,1.17483e+07,2.205,3.1873e+06,3.793e+06,3.56616e+06,5.81153e-05,9.57395e-05
all-slow,125,3.63,2,8797590,1.96877e+07,2.238,5.32803e+06,6.48333e+06,6.05006e+06,6.45339e-05,0.000109977
all-slow,125,3.63,3,1.43584e+07,3.26953e+07,2.277,8.90733e+06,1.1141e+07,1.01872e+07,8.2893e-05,0.000147624
all-slow,125,3.63,4,2.51161e+07,5.82633e+07,2.32,1.58143e+07,2.0561e+07,1.84151e+07,9.24023e-05,0.000167939
all-slow,125,3.63,5,4.17946e+07,9.99493e+07,2.391,2.72027e+07,3.6212e+07,3.23082e+07,0.000124548,0.000237899
all-slow,125,3.63,6,7.22525e+07,1.78581e+08,2.472,4.93487e+07,6.553e+07,5.90714e+07,0.000173685,0.000344677
all-slow,125,3.63,7,1.25319e+08,3.06366e+08,2.445,8.84e+07,1.05677e+08,1.00582e+08,0.000257387,0.00052057
ff,-40,2.97,0,4042050,9554990,2.364,2.87483e+06,3.1882e+06,3.06274e+06,4.25782e-05,7.02782e-05
ff,-40,2.97,1,6502100,1.54617e+07,2.378,4.52113e+06,5.25753e+06,4.97756e+06,4.87819e-05,8.80677e-05
ff,-40,2.97,2,1.09464e+07,2.625e+07,2.398,7.821e+06,9.031e+06,8.502e+06,5.59262e-05,0.000102732
ff,-40,2.97,3,1.76996e+07,4.30768e+07,2.434,1.28073e+07,1.48757e+07,1.40984e+07,7.11862e-05,0.000137819
ff,-40,2.97,4,2.94052e+07,7.30345e+07,2.484,2.17263e+07,2.57393e+07,2.42385e+07,8.00285e-05,0.000157181
ff,-40,2.97,5,4.84333e+07,1.23926e+08,2.559,3.68433e+07,4.659e+07,4.19404e+07,0.000107803,0.000225034
ff,-40,2.97,6,8.46632e+07,2.23363e+08,2.638,6.66793e+07,8.574e+07,7.70554e+07,0.000152523,0.000329219
ff,-40,2.97,7,1.43658e+08,3.8762e+08,2.698,1.1801e+08,1.46287e+08,1.35534e+08,0.000224235,0.000500943
ff,-40,3.30,0,3734600,8661860,2.319,2.5883e+06,2.85453e+06,2.73737e+06,4.92443e-05,7.75521e-05
ff,-40,3.30,1,5953080,1.3871e+07,2.33,4.13447e+06,4.56283e+06,4.39884e+06,5.60901e-05,9.41224e-05
ff,-40,3.30,2,9971350,2.33568e+07,2.342,6.89483e+06,7.80133e+06,7.43636e+06,6.28962e-05,0.000111379
ff,-40,3.30,3,1.5944e+07,3.77971e+07,2.371,1.1268e+07,1.25833e+07,1.21406e+07,8.01699e-05,0.000145388
ff,-40,3.30,4,2.63762e+07,6.37372e+07,2.416,1.8899e+07,2.2222e+07,2.07561e+07,8.76273e-05,0.000166701
ff,-40,3.30,5,4.28648e+07,1.06195e+08,2.477,3.13237e+07,3.79343e+07,3.51834e+07,0.000116541,0.000237867
ff,-40,3.30,6,7.40637e+07,1.89601e+08,2.56,5.61377e+07,7.121e+07,6.41874e+07,0.000163043,0.000344909
ff,-40,3.30,7,1.2366e+08,3.28582e+08,2.657,9.76433e+07,1.25667e+08,1.13846e+08,0.000240081,0.000522891
ff,-40,3.63,0,3540440,8008620,2.262,2.36903e+06,2.53157e+06,2.48232e+06,5.72709e-05,8.31306e-05
ff,-40,3.63,1,5592820,1.27479e+07,2.279,3.77497e+06,4.08433e+06,3.97504e+06,6.56626e-05,0.000103799
ff,-40,3.63,2,9321590,2.13366e+07,2.289,6.2467e+06,6.92833e+06,6.67501e+06,7.13881e-05,0.000118813
ff,-40,3.63,3,1.47759e+07,3.43274e+07,2.323,1.01043e+07,1.14143e+07,1.08619e+07,8.92443e-05,0.000160396
ff,-40,3.63,4,2.43782e+07,5.74312e+07,2.356,1.68887e+07,1.94723e+07,1.83628e+07,9.89304e-05,0.000180061
ff,-40,3.63,5,3.91542e+07,9.43549e+07,2.41,2.77207e+07,3.2551e+07,3.06671e+07,0.000129071,0.000254907
ff,-40,3.63,6,6.70946e+07,1.66354e+08,2.479,4.89303e+07,6.05e+07,5.51441e+07,0.000178269,0.000363709
ff,-40,3.63,7,1.10467e+08,2.85111e+08,2.581,8.391e+07,1.0903e+08,9.70244e+07,0.000255378,0.000547211
ff,27,2.97,0,4242720,1.00424e+07,2.367,3.00303e+06,3.3643e+06,3.22204e+06,4.99123e-05,8.01818e-05
ff,27,2.97,1,6856740,1.6372e+07,2.388,4.89347e+06,5.53167e+06,5.28626e+06,5.76417e-05,9.91987e-05
ff,27,2.97,2,1.14452e+07,2.76399e+07,2.415,8.20067e+06,9.58567e+06,8.99706e+06,6.51544e-05,0.000116731
ff,27,2.97,3,1.86563e+07,4.58152e+07,2.456,1.36437e+07,1.60367e+07,1.50883e+07,8.27893e-05,0.000157834
ff,27,2.97,4,3.18286e+07,7.98296e+07,2.508,2.38083e+07,2.90077e+07,2.66672e+07,9.15926e-05,0.0001787
ff,27,2.97,5,5.28673e+07,1.36999e+08,2.591,4.06627e+07,5.16133e+07,4.67398e+07,0.000123455,0.000254749
ff,27,2.97,6,9.20247e+07,2.47063e+08,2.685,7.40077e+07,9.582e+07,8.61324e+07,0.000170952,0.000370911
ff,27,2.97,7,1.58564e+08,4.2738e+08,2.695,1.32897e+08,1.57133e+08,1.49342e+08,0.000254976,0.000561152
ff,27,3.30,0,3904640,9087250,2.327,2.70237e+06,2.99993e+06,2.87923e+06,5.48447e-05,8.61297e-05
ff,27,3.30,1,6258160,1.46518e+07,2.341,4.35433e+06,4.92967e+06,4.66313e+06,6.45361e-05,0.000108485
ff,27,3.30,2,1.03839e+07,2.45276e+07,2.362,7.311e+06,8.22117e+06,7.85761e+06,7.17575e-05,0.000124896
ff,27,3.30,3,1.67718e+07,4.02787e+07,2.402,1.19137e+07,1.4047e+07,1.30594e+07,9.03904e-05,0.000164959
ff,27,3.30,4,2.84629e+07,6.94454e+07,2.44,2.0561e+07,2.44683e+07,2.27681e+07,9.95424e-05,0.000189999
ff,27,3.30,5,4.66474e+07,1.17234e+08,2.513,3.4804e+07,4.28867e+07,3.92148e+07,0.000133439,0.000265363
ff,27,3.30,6,8.03492e+07,2.09655e+08,2.609,6.22503e+07,7.97567e+07,7.18366e+07,0.000183126,0.000385804
ff,27,3.30,7,1.36261e+08,3.67766e+08,2.699,1.10633e+08,1.4117e+08,1.28614e+08,0.000266758,0.000586266
ff,27,3.63,0,3692480,8398320,2.274,2.48797e+06,2.6999e+06,2.61436e+06,6.35777e-05,9.45483e-05
ff,27,3.63,1,5862960,1.34474e+07,2.294,3.93623e+06,4.433e+06,4.21358e+06,7.16621e-05,0.000114597
ff,27,3.63,2,9669820,2.23577e+07,2.312,6.60627e+06,7.33483e+06,7.04882e+06,7.86925e-05,0.000133504
ff,27,3.63,3,1.54835e+07,3.63563e+07,2.348,1.0696e+07,1.22217e+07,1.1596e+07,9.92788e-05,0.000176377
ff,27,3.63,4,2.61989e+07,6.23532e+07,2.38,1.8355e+07,2.12417e+07,2.00857e+07,0.000107798,0.000199656
ff,27,3.63,5,4.24992e+07,1.03875e+08,2.444,3.05267e+07,3.70597e+07,3.40977e+07,0.000143841,0.000282188
ff,27,3.63,6,7.25537e+07,1.83645e+08,2.531,5.407e+07,6.779e+07,6.17174e+07,0.000195121,0.000404208
ff,27,3.63,7,1.21243e+08,3.20514e+08,2.644,9.45967e+07,1.2373e+08,1.10706e+08,0.000285659,0.000611346
ff,125,2.97,0,4543320,1.06049e+07,2.334,3.12307e+06,3.5293e+06,3.36754e+06,6.27091e-05,9.77236e-05
ff,125,2.97,1,7382180,1.74038e+07,2.358,5.1281e+06,5.847e+06,5.56757e+06,7.26774e-05,0.000121781
ff,125,2.97,2,1.22441e+07,2.93462e+07,2.397,8.65267e+06,1.01463e+07,9.50117e+06,8.06136e-05,0.000140171
ff,125,2.97,3,2.01589e+07,4.92827e+07,2.445,1.4578e+07,1.74187e+07,1.61799e+07,0.000100878,0.000187561
ff,125,2.97,4,3.55259e+07,8.86695e+07,2.496,2.60773e+07,3.23517e+07,2.95242e+07,0.000113743,0.000211979
ff,125,2.97,5,5.96893e+07,1.54601e+08,2.59,4.5435e+07,5.88067e+07,5.27287e+07,0.000152566,0.000303535
ff,125,2.97,6,1.04015e+08,2.77628e+08,2.669,8.35067e+07,1.05013e+08,9.64517e+07,0.000209952,0.000435702
ff,125,2.97,7,1.82593e+08,4.72864e+08,2.59,1.5012e+08,1.65617e+08,1.61262e+08,0.000309383,0.000650431
ff,125,3.30,0,4188480,9591560,2.29,2.80693e+06,3.12087e+06,3.00171e+06,7.0671e-05,0.00010489
