# per (corner bundle, trim code): the window t_win (twin_r) reduced over that bundle's own 9 voltage/temperature points, plus the step to the previous code -- the trim's step size, total range and monotonicity, measured
# twin_at_ref_ns is the window at the trim rule's reference condition (27 C, nominal supply) -- the single measurement the rule selects a code from.
# within_bundle_spread is max/min over that bundle's own PVT box at that code. It is the FLOOR the trim cannot go below: the trim removes the process axis, not the voltage/temperature axes.
# step_vs_prev_code is the ratio of geometric means between adjacent codes; monotonic_in_code is 'NO' for any step that is not > 1, which is the property an unweighted pass gate breaks.
bundle,code,n_points,twin_min_ns,twin_max_ns,twin_geomean_ns,within_bundle_spread,twin_at_ref_ns,step_vs_prev_code,monotonic_in_code
ff,c10,9,1.114,1.637,1.336,1.47,1.318,1.032,yes
ff,c11,9,1.152,1.694,1.382,1.471,1.363,1.034,yes
ff,c12,9,1.183,1.74,1.42,1.47,1.4,1.027,yes
ff,c13,9,1.221,1.797,1.466,1.471,1.446,1.032,yes
ff,c14,9,1.256,1.848,1.508,1.471,1.487,1.028,yes
ff,c15,9,1.294,1.905,1.554,1.472,1.532,1.031,yes
fs,c0,9,0.8697,1.318,1.06,1.515,1.044,,
fs,c1,9,0.9107,1.38,1.11,1.515,1.093,1.047,yes
fs,c2,9,0.9482,1.437,1.155,1.515,1.138,1.041,yes
fs,c3,9,0.9899,1.5,1.206,1.515,1.188,1.044,yes
fs,c4,9,1.025,1.553,1.249,1.515,1.23,1.035,yes
fs,c5,9,1.067,1.617,1.3,1.515,1.281,1.041,yes
fs,c6,9,1.106,1.676,1.347,1.515,1.327,1.036,yes
fs,c7,9,1.148,1.74,1.399,1.515,1.378,1.038,yes
fs,c8,9,1.183,1.791,1.44,1.514,1.419,1.03,yes
fs,c9,9,1.226,1.856,1.493,1.514,1.47,1.036,yes
fs,c10,9,1.265,1.916,1.54,1.514,1.517,1.032,yes
fs,c11,9,1.308,1.981,1.593,1.515,1.569,1.034,yes
fs,c12,9,1.344,2.036,1.637,1.514,1.613,1.028,yes
fs,c13,9,1.387,2.102,1.69,1.515,1.665,1.032,yes
fs,c14,9,1.427,2.162,1.738,1.515,1.712,1.029,yes
fs,c15,9,1.47,2.228,1.791,1.516,1.764,1.03,yes
mimcap_ff,c0,9,0.8598,1.296,1.045,1.508,1.03,,
mimcap_ff,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
mimcap_ff,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
mimcap_ff,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
mimcap_ff,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
mimcap_ff,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
mimcap_ff,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
mimcap_ff,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
mimcap_ff,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
mimcap_ff,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
mimcap_ff,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
mimcap_ff,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
mimcap_ff,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
mimcap_ff,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
mimcap_ff,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
mimcap_ff,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
mimcap_ss,c0,9,0.8598,1.296,1.045,1.508,1.03,,
mimcap_ss,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
mimcap_ss,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
mimcap_ss,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
mimcap_ss,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
mimcap_ss,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
mimcap_ss,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
mimcap_ss,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
mimcap_ss,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
mimcap_ss,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
mimcap_ss,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
mimcap_ss,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
mimcap_ss,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
mimcap_ss,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
mimcap_ss,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
mimcap_ss,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
moscap_ff,c0,9,0.8598,1.296,1.045,1.508,1.03,,
moscap_ff,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
moscap_ff,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
moscap_ff,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
moscap_ff,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
moscap_ff,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
moscap_ff,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
moscap_ff,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
moscap_ff,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
moscap_ff,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
moscap_ff,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
moscap_ff,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
moscap_ff,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
moscap_ff,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
moscap_ff,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
moscap_ff,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
moscap_ss,c0,9,0.8598,1.296,1.045,1.508,1.03,,
moscap_ss,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
moscap_ss,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
moscap_ss,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
moscap_ss,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
moscap_ss,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
moscap_ss,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
moscap_ss,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
moscap_ss,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
moscap_ss,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
moscap_ss,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
moscap_ss,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
moscap_ss,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
moscap_ss,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
moscap_ss,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
moscap_ss,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
res_ff,c0,9,0.8598,1.296,1.045,1.508,1.03,,
res_ff,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
res_ff,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
res_ff,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
res_ff,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
res_ff,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
res_ff,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
res_ff,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
res_ff,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
res_ff,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
res_ff,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
res_ff,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
res_ff,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
res_ff,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
res_ff,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
res_ff,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
res_ss,c0,9,0.8598,1.296,1.045,1.508,1.03,,
res_ss,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
res_ss,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
res_ss,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
res_ss,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
res_ss,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
res_ss,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
res_ss,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
res_ss,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
res_ss,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
res_ss,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
res_ss,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
res_ss,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
res_ss,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
res_ss,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
res_ss,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
sf,c0,9,0.8621,1.293,1.045,1.5,1.03,,
sf,c1,9,0.9022,1.353,1.094,1.499,1.077,1.046,yes
sf,c2,9,0.9391,1.407,1.138,1.499,1.121,1.041,yes
sf,c3,9,0.98,1.468,1.188,1.498,1.17,1.043,yes
sf,c4,9,1.015,1.52,1.23,1.497,1.212,1.036,yes
sf,c5,9,1.057,1.582,1.28,1.497,1.261,1.041,yes
sf,c6,9,1.095,1.64,1.326,1.497,1.307,1.036,yes
sf,c7,9,1.137,1.702,1.377,1.497,1.357,1.038,yes
sf,c8,9,1.173,1.754,1.42,1.496,1.399,1.031,yes
sf,c9,9,1.215,1.817,1.471,1.496,1.449,1.036,yes
sf,c10,9,1.254,1.876,1.518,1.496,1.496,1.032,yes
sf,c11,9,1.296,1.94,1.57,1.496,1.546,1.034,yes
sf,c12,9,1.334,1.995,1.614,1.496,1.59,1.029,yes
sf,c13,9,1.376,2.059,1.666,1.496,1.641,1.032,yes
sf,c14,9,1.416,2.119,1.714,1.497,1.689,1.029,yes
sf,c15,9,1.458,2.183,1.766,1.497,1.74,1.03,yes
ss,c0,9,0.9876,1.519,1.213,1.538,1.194,,
ss,c1,9,1.033,1.589,1.269,1.538,1.249,1.046,yes
ss,c2,9,1.076,1.655,1.321,1.538,1.3,1.041,yes
ss,c3,9,1.122,1.726,1.378,1.538,1.356,1.043,yes
ss,c4,9,1.164,1.789,1.428,1.537,1.406,1.037,yes
ss,c5,9,1.211,1.861,1.486,1.537,1.463,1.04,yes
ss,c6,9,1.256,1.93,1.541,1.537,1.516,1.037,yes
ss,c7,9,1.303,2.003,1.599,1.537,1.574,1.038,yes
ss,c8,9,1.346,2.066,1.651,1.535,1.625,1.032,yes
ss,c9,9,1.394,2.14,1.71,1.535,1.683,1.036,yes
ss,c10,9,1.439,2.21,1.765,1.535,1.737,1.032,yes
ss,c11,9,1.488,2.284,1.824,1.536,1.795,1.034,yes
ss,c12,9,1.531,2.351,1.878,1.535,1.848,1.029,yes
ss,c13,9,1.58,2.426,1.937,1.536,1.907,1.032,yes
ss,c14,9,1.626,2.496,1.993,1.536,1.962,1.029,yes
ss,c15,9,1.674,2.572,2.053,1.536,2.021,1.03,yes
typical,c0,9,0.8598,1.296,1.045,1.508,1.03,,
typical,c1,9,0.9001,1.357,1.094,1.507,1.078,1.047,yes
typical,c2,9,0.937,1.412,1.139,1.507,1.122,1.041,yes
typical,c3,9,0.978,1.474,1.188,1.507,1.171,1.044,yes
typical,c4,9,1.013,1.526,1.231,1.506,1.212,1.036,yes
typical,c5,9,1.055,1.589,1.281,1.506,1.262,1.041,yes
typical,c6,9,1.093,1.646,1.327,1.506,1.308,1.036,yes
typical,c7,9,1.135,1.71,1.378,1.507,1.358,1.038,yes
typical,c8,9,1.17,1.76,1.42,1.505,1.399,1.03,yes
typical,c9,9,1.212,1.824,1.471,1.505,1.45,1.036,yes
typical,c10,9,1.251,1.883,1.519,1.506,1.496,1.032,yes
typical,c11,9,1.293,1.947,1.57,1.506,1.547,1.034,yes
typical,c12,9,1.33,2.002,1.615,1.506,1.591,1.028,yes
typical,c13,9,1.372,2.067,1.666,1.506,1.642,1.032,yes
typical,c14,9,1.412,2.126,1.714,1.506,1.689,1.029,yes
typical,c15,9,1.454,2.191,1.766,1.507,1.74,1.03,yes
