corner,temp_c,vdd,trim,corner_id,twin_r,twin_f,verdict
typical,27.0,3.63,c10,typical_27c_3.63v_c10,1.41809e-09,1.39533e-09,PASS
typical,27.0,3.63,c11,typical_27c_3.63v_c11,1.46622e-09,1.44263e-09,PASS
typical,27.0,3.63,c12,typical_27c_3.63v_c12,1.50782e-09,1.48337e-09,PASS
typical,27.0,3.63,c13,typical_27c_3.63v_c13,1.55616e-09,1.53088e-09,PASS
typical,27.0,3.63,c14,typical_27c_3.63v_c14,1.60099e-09,1.57482e-09,PASS
typical,27.0,3.63,c15,typical_27c_3.63v_c15,1.64947e-09,1.62247e-09,PASS
typical,125.0,2.97,c0,typical_125c_2.97v_c0,1.29633e-09,1.28716e-09,PASS
typical,125.0,2.97,c1,typical_125c_2.97v_c1,1.35678e-09,1.34521e-09,PASS
typical,125.0,2.97,c2,typical_125c_2.97v_c2,1.41229e-09,1.39808e-09,PASS
typical,125.0,2.97,c3,typical_125c_2.97v_c3,1.47399e-09,1.45779e-09,PASS
typical,125.0,2.97,c4,typical_125c_2.97v_c4,1.52607e-09,1.50768e-09,PASS
typical,125.0,2.97,c5,typical_125c_2.97v_c5,1.5887e-09,1.56868e-09,PASS
typical,125.0,2.97,c6,typical_125c_2.97v_c6,1.64634e-09,1.62441e-09,PASS
typical,125.0,2.97,c7,typical_125c_2.97v_c7,1.70965e-09,1.68639e-09,PASS
typical,125.0,2.97,c8,typical_125c_2.97v_c8,1.76048e-09,1.73639e-09,PASS
typical,125.0,2.97,c9,typical_125c_2.97v_c9,1.82427e-09,1.79907e-09,PASS
typical,125.0,2.97,c10,typical_125c_2.97v_c10,1.88314e-09,1.85658e-09,PASS
typical,125.0,2.97,c11,typical_125c_2.97v_c11,1.94733e-09,1.91981e-09,PASS
typical,125.0,2.97,c12,typical_125c_2.97v_c12,2.00206e-09,1.97343e-09,PASS
typical,125.0,2.97,c13,typical_125c_2.97v_c13,2.06658e-09,2.03707e-09,PASS
typical,125.0,2.97,c14,typical_125c_2.97v_c14,2.12626e-09,2.09567e-09,PASS
typical,125.0,2.97,c15,typical_125c_2.97v_c15,2.19102e-09,2.15959e-09,PASS
typical,125.0,3.3,c0,typical_125c_3.30v_c0,1.20851e-09,1.19532e-09,PASS
typical,125.0,3.3,c1,typical_125c_3.30v_c1,1.26503e-09,1.24977e-09,PASS
typical,125.0,3.3,c2,typical_125c_3.30v_c2,1.31708e-09,1.29956e-09,PASS
typical,125.0,3.3,c3,typical_125c_3.30v_c3,1.37472e-09,1.35547e-09,PASS
typical,125.0,3.3,c4,typical_125c_3.30v_c4,1.42368e-09,1.40258e-09,PASS
typical,125.0,3.3,c5,typical_125c_3.30v_c5,1.48215e-09,1.45959e-09,PASS
typical,125.0,3.3,c6,typical_125c_3.30v_c6,1.53613e-09,1.51192e-09,PASS
typical,125.0,3.3,c7,typical_125c_3.30v_c7,1.5952e-09,1.56975e-09,PASS
typical,125.0,3.3,c8,typical_125c_3.30v_c8,1.64299e-09,1.61677e-09,PASS
typical,125.0,3.3,c9,typical_125c_3.30v_c9,1.7025e-09,1.67516e-09,PASS
typical,125.0,3.3,c10,typical_125c_3.30v_c10,1.75758e-09,1.72897e-09,PASS
typical,125.0,3.3,c11,typical_125c_3.30v_c11,1.81744e-09,1.7878e-09,PASS
typical,125.0,3.3,c12,typical_125c_3.30v_c12,1.86881e-09,1.83812e-09,PASS
typical,125.0,3.3,c13,typical_125c_3.30v_c13,1.92896e-09,1.89727e-09,PASS
typical,125.0,3.3,c14,typical_125c_3.30v_c14,1.98476e-09,1.95197e-09,PASS
typical,125.0,3.3,c15,typical_125c_3.30v_c15,2.04512e-09,2.01136e-09,PASS
typical,125.0,3.63,c0,typical_125c_3.63v_c0,1.1402e-09,1.12463e-09,PASS
typical,125.0,3.63,c1,typical_125c_3.63v_c1,1.19367e-09,1.17628e-09,PASS
typical,125.0,3.63,c2,typical_125c_3.63v_c2,1.24303e-09,1.22367e-09,PASS
typical,125.0,3.63,c3,typical_125c_3.63v_c3,1.29753e-09,1.27661e-09,PASS
typical,125.0,3.63,c4,typical_125c_3.63v_c4,1.34403e-09,1.32153e-09,PASS
typical,125.0,3.63,c5,typical_125c_3.63v_c5,1.39927e-09,1.37543e-09,PASS
typical,125.0,3.63,c6,typical_125c_3.63v_c6,1.45041e-09,1.42509e-09,PASS
typical,125.0,3.63,c7,typical_125c_3.63v_c7,1.50619e-09,1.47967e-09,PASS
typical,125.0,3.63,c8,typical_125c_3.63v_c8,1.55157e-09,1.5243e-09,PASS
typical,125.0,3.63,c9,typical_125c_3.63v_c9,1.60775e-09,1.57936e-09,PASS
typical,125.0,3.63,c10,typical_125c_3.63v_c10,1.65989e-09,1.63028e-09,PASS
typical,125.0,3.63,c11,typical_125c_3.63v_c11,1.71639e-09,1.6857e-09,PASS
typical,125.0,3.63,c12,typical_125c_3.63v_c12,1.76512e-09,1.7334e-09,PASS
typical,125.0,3.63,c13,typical_125c_3.63v_c13,1.82188e-09,1.7891e-09,PASS
typical,125.0,3.63,c14,typical_125c_3.63v_c14,1.87466e-09,1.84078e-09,PASS
typical,125.0,3.63,c15,typical_125c_3.63v_c15,1.93161e-09,1.89668e-09,PASS
ff,-40.0,2.97,c0,ff_-40c_2.97v_c0,8.47459e-10,8.43524e-10,PASS
ff,-40.0,2.97,c1,ff_-40c_2.97v_c1,8.87345e-10,8.82041e-10,PASS
ff,-40.0,2.97,c2,ff_-40c_2.97v_c2,9.22866e-10,9.15946e-10,PASS
ff,-40.0,2.97,c3,ff_-40c_2.97v_c3,9.63481e-10,9.55483e-10,PASS
ff,-40.0,2.97,c4,ff_-40c_2.97v_c4,9.96222e-10,9.86798e-10,PASS
ff,-40.0,2.97,c5,ff_-40c_2.97v_c5,1.03737e-09,1.02711e-09,PASS
ff,-40.0,2.97,c6,ff_-40c_2.97v_c6,1.07417e-09,1.06283e-09,PASS
ff,-40.0,2.97,c7,ff_-40c_2.97v_c7,1.11569e-09,1.10368e-09,PASS
ff,-40.0,2.97,c8,ff_-40c_2.97v_c8,1.14741e-09,1.13479e-09,PASS
ff,-40.0,2.97,c9,ff_-40c_2.97v_c9,1.18919e-09,1.17601e-09,PASS
ff,-40.0,2.97,c10,ff_-40c_2.97v_c10,1.2267e-09,1.21278e-09,PASS
ff,-40.0,2.97,c11,ff_-40c_2.97v_c11,1.26869e-09,1.25424e-09,PASS
ff,-40.0,2.97,c12,ff_-40c_2.97v_c12,1.30302e-09,1.28788e-09,PASS
ff,-40.0,2.97,c13,ff_-40c_2.97v_c13,1.34518e-09,1.32953e-09,PASS
ff,-40.0,2.97,c14,ff_-40c_2.97v_c14,1.38316e-09,1.3669e-09,PASS
ff,-40.0,2.97,c15,ff_-40c_2.97v_c15,1.42545e-09,1.40867e-09,PASS
ff,-40.0,3.3,c0,ff_-40c_3.30v_c0,8.01842e-10,7.94433e-10,PASS
ff,-40.0,3.3,c1,ff_-40c_3.30v_c1,8.3974e-10,8.31113e-10,PASS
ff,-40.0,3.3,c2,ff_-40c_3.30v_c2,8.73683e-10,8.63671e-10,PASS
ff,-40.0,3.3,c3,ff_-40c_3.30v_c3,9.12226e-10,9.01225e-10,PASS
ff,-40.0,3.3,c4,ff_-40c_3.30v_c4,9.43583e-10,9.31404e-10,PASS
ff,-40.0,3.3,c5,ff_-40c_3.30v_c5,9.82593e-10,9.69592e-10,PASS
ff,-40.0,3.3,c6,ff_-40c_3.30v_c6,1.01768e-09,1.00371e-09,PASS
ff,-40.0,3.3,c7,ff_-40c_3.30v_c7,1.05701e-09,1.04232e-09,PASS
ff,-40.0,3.3,c8,ff_-40c_3.30v_c8,1.08727e-09,1.07202e-09,PASS
ff,-40.0,3.3,c9,ff_-40c_3.30v_c9,1.12683e-09,1.1109e-09,PASS
ff,-40.0,3.3,c10,ff_-40c_3.30v_c10,1.16255e-09,1.14584e-09,PASS
ff,-40.0,3.3,c11,ff_-40c_3.30v_c11,1.2023e-09,1.18492e-09,PASS
ff,-40.0,3.3,c12,ff_-40c_3.30v_c12,1.23506e-09,1.21699e-09,PASS
ff,-40.0,3.3,c13,ff_-40c_3.30v_c13,1.27497e-09,1.25622e-09,PASS
ff,-40.0,3.3,c14,ff_-40c_3.30v_c14,1.31108e-09,1.29164e-09,PASS
ff,-40.0,3.3,c15,ff_-40c_3.30v_c15,1.3511e-09,1.33098e-09,PASS
ff,-40.0,3.63,c0,ff_-40c_3.63v_c0,7.67073e-10,7.57592e-10,PASS
ff,-40.0,3.63,c1,ff_-40c_3.63v_c1,8.03456e-10,7.9287e-10,PASS
ff,-40.0,3.63,c2,ff_-40c_3.63v_c2,8.36187e-10,8.24381e-10,PASS
ff,-40.0,3.63,c3,ff_-40c_3.63v_c3,8.73153e-10,8.60411e-10,PASS
ff,-40.0,3.63,c4,ff_-40c_3.63v_c4,9.03435e-10,8.89678e-10,PASS
ff,-40.0,3.63,c5,ff_-40c_3.63v_c5,9.40821e-10,9.26233e-10,PASS
ff,-40.0,3.63,c6,ff_-40c_3.63v_c6,9.74585e-10,9.59093e-10,PASS
ff,-40.0,3.63,c7,ff_-40c_3.63v_c7,1.01226e-09,9.95996e-10,PASS
ff,-40.0,3.63,c8,ff_-40c_3.63v_c8,1.04138e-09,1.02457e-09,PASS
ff,-40.0,3.63,c9,ff_-40c_3.63v_c9,1.07927e-09,1.0617e-09,PASS
ff,-40.0,3.63,c10,ff_-40c_3.63v_c10,1.1136e-09,1.09524e-09,PASS
ff,-40.0,3.63,c11,ff_-40c_3.63v_c11,1.15166e-09,1.13254e-09,PASS
ff,-40.0,3.63,c12,ff_-40c_3.63v_c12,1.18321e-09,1.16339e-09,PASS
ff,-40.0,3.63,c13,ff_-40c_3.63v_c13,1.22141e-09,1.20083e-09,PASS
ff,-40.0,3.63,c14,ff_-40c_3.63v_c14,1.2561e-09,1.23478e-09,PASS
ff,-40.0,3.63,c15,ff_-40c_3.63v_c15,1.2944e-09,1.27232e-09,PASS
ff,27.0,2.97,c0,ff_27c_2.97v_c0,9.62851e-10,9.57108e-10,PASS
ff,27.0,2.97,c1,ff_27c_2.97v_c1,1.00829e-09,1.00101e-09,PASS
ff,27.0,2.97,c2,ff_27c_2.97v_c2,1.04889e-09,1.03986e-09,PASS
ff,27.0,2.97,c3,ff_27c_2.97v_c3,1.09518e-09,1.0849e-09,PASS
ff,27.0,2.97,c4,ff_27c_2.97v_c4,1.13242e-09,1.12065e-09,PASS
ff,27.0,2.97,c5,ff_27c_2.97v_c5,1.17932e-09,1.16656e-09,PASS
ff,27.0,2.97,c6,ff_27c_2.97v_c6,1.22138e-09,1.20741e-09,PASS
ff,27.0,2.97,c7,ff_27c_2.97v_c7,1.26872e-09,1.25394e-09,PASS
ff,27.0,2.97,c8,ff_27c_2.97v_c8,1.3044e-09,1.28902e-09,PASS
ff,27.0,2.97,c9,ff_27c_2.97v_c9,1.35205e-09,1.33596e-09,PASS
ff,27.0,2.97,c10,ff_27c_2.97v_c10,1.39494e-09,1.37797e-09,PASS
ff,27.0,2.97,c11,ff_27c_2.97v_c11,1.44285e-09,1.42522e-09,PASS
ff,27.0,2.97,c12,ff_27c_2.97v_c12,1.48191e-09,1.46351e-09,PASS
ff,27.0,2.97,c13,ff_27c_2.97v_c13,1.53002e-09,1.511e-09,PASS
ff,27.0,2.97,c14,ff_27c_2.97v_c14,1.57345e-09,1.5537e-09,PASS
ff,27.0,2.97,c15,ff_27c_2.97v_c15,1.62172e-09,1.60134e-09,PASS
ff,27.0,3.3,c0,ff_27c_3.30v_c0,9.0843e-10,8.9952e-10,PASS
ff,27.0,3.3,c1,ff_27c_3.30v_c1,9.51448e-10,9.41168e-10,PASS
ff,27.0,3.3,c2,ff_27c_3.30v_c2,9.90051e-10,9.78263e-10,PASS
ff,27.0,3.3,c3,ff_27c_3.30v_c3,1.03383e-09,1.02091e-09,PASS
ff,27.0,3.3,c4,ff_27c_3.30v_c4,1.06932e-09,1.05515e-09,PASS
ff,27.0,3.3,c5,ff_27c_3.30v_c5,1.11364e-09,1.09852e-09,PASS
ff,27.0,3.3,c6,ff_27c_3.30v_c6,1.15356e-09,1.13735e-09,PASS
ff,27.0,3.3,c7,ff_27c_3.30v_c7,1.19828e-09,1.18122e-09,PASS
ff,27.0,3.3,c8,ff_27c_3.30v_c8,1.2322e-09,1.21459e-09,PASS
ff,27.0,3.3,c9,ff_27c_3.30v_c9,1.2772e-09,1.25879e-09,PASS
ff,27.0,3.3,c10,ff_27c_3.30v_c10,1.31786e-09,1.29857e-09,PASS
ff,27.0,3.3,c11,ff_27c_3.30v_c11,1.36308e-09,1.34303e-09,PASS
ff,27.0,3.3,c12,ff_27c_3.30v_c12,1.40021e-09,1.37939e-09,PASS
ff,27.0,3.3,c13,ff_27c_3.30v_c13,1.44562e-09,1.42404e-09,PASS
ff,27.0,3.3,c14,ff_27c_3.30v_c14,1.48676e-09,1.46439e-09,PASS
ff,27.0,3.3,c15,ff_27c_3.30v_c15,1.5323e-09,1.50918e-09,PASS
ff,27.0,3.63,c0,ff_27c_3.63v_c0,8.66409e-10,8.55643e-10,PASS
ff,27.0,3.63,c1,ff_27c_3.63v_c1,9.07564e-10,8.95563e-10,PASS
ff,27.0,3.63,c2,ff_27c_3.63v_c2,9.44621e-10,9.31295e-10,PASS
ff,27.0,3.63,c3,ff_27c_3.63v_c3,9.86464e-10,9.72082e-10,PASS
ff,27.0,3.63,c4,ff_27c_3.63v_c4,1.02058e-09,1.00512e-09,PASS
ff,27.0,3.63,c5,ff_27c_3.63v_c5,1.06293e-09,1.04653e-09,PASS
ff,27.0,3.63,c6,ff_27c_3.63v_c6,1.10119e-09,1.08379e-09,PASS
ff,27.0,3.63,c7,ff_27c_3.63v_c7,1.14389e-09,1.12562e-09,PASS
ff,27.0,3.63,c8,ff_27c_3.63v_c8,1.17643e-09,1.15761e-09,PASS
ff,27.0,3.63,c9,ff_27c_3.63v_c9,1.21939e-09,1.19972e-09,PASS
ff,27.0,3.63,c10,ff_27c_3.63v_c10,1.25833e-09,1.2378e-09,PASS
ff,27.0,3.63,c11,ff_27c_3.63v_c11,1.30149e-09,1.28012e-09,PASS
ff,27.0,3.63,c12,ff_27c_3.63v_c12,1.33711e-09,1.31499e-09,PASS
ff,27.0,3.63,c13,ff_27c_3.63v_c13,1.38044e-09,1.35749e-09,PASS
ff,27.0,3.63,c14,ff_27c_3.63v_c14,1.41981e-09,1.39604e-09,PASS
ff,27.0,3.63,c15,ff_27c_3.63v_c15,1.46326e-09,1.43867e-09,PASS
ff,125.0,2.97,c0,ff_125c_2.97v_c0,1.12884e-09,1.11801e-09,PASS
ff,125.0,2.97,c1,ff_125c_2.97v_c1,1.18224e-09,1.16964e-09,PASS
ff,125.0,2.97,c2,ff_125c_2.97v_c2,1.23028e-09,1.21579e-09,PASS
ff,125.0,2.97,c3,ff_125c_2.97v_c3,1.2847e-09,1.26872e-09,PASS
ff,125.0,2.97,c4,ff_125c_2.97v_c4,1.32856e-09,1.31105e-09,PASS
ff,125.0,2.97,c5,ff_125c_2.97v_c5,1.38372e-09,1.36496e-09,PASS
ff,125.0,2.97,c6,ff_125c_2.97v_c6,1.43349e-09,1.41333e-09,PASS
ff,125.0,2.97,c7,ff_125c_2.97v_c7,1.4892e-09,1.46795e-09,PASS
ff,125.0,2.97,c8,ff_125c_2.97v_c8,1.53061e-09,1.50875e-09,PASS
ff,125.0,2.97,c9,ff_125c_2.97v_c9,1.58672e-09,1.56386e-09,PASS
ff,125.0,2.97,c10,ff_125c_2.97v_c10,1.63747e-09,1.61351e-09,PASS
ff,125.0,2.97,c11,ff_125c_2.97v_c11,1.6939e-09,1.669e-09,PASS
ff,125.0,2.97,c12,ff_125c_2.97v_c12,1.73989e-09,1.71409e-09,PASS
ff,125.0,2.97,c13,ff_125c_2.97v_c13,1.79658e-09,1.76987e-09,PASS
ff,125.0,2.97,c14,ff_125c_2.97v_c14,1.84797e-09,1.82031e-09,PASS
ff,125.0,2.97,c15,ff_125c_2.97v_c15,1.90486e-09,1.87631e-09,PASS
ff,125.0,3.3,c0,ff_125c_3.30v_c0,1.06162e-09,1.0489e-09,PASS
ff,125.0,3.3,c1,ff_125c_3.30v_c1,1.11196e-09,1.0977e-09,PASS
ff,125.0,3.3,c2,ff_125c_3.30v_c2,1.15738e-09,1.14149e-09,PASS
ff,125.0,3.3,c3,ff_125c_3.30v_c3,1.20865e-09,1.19143e-09,PASS
ff,125.0,3.3,c4,ff_125c_3.30v_c4,1.2502e-09,1.23168e-09,PASS
ff,125.0,3.3,c5,ff_125c_3.30v_c5,1.30215e-09,1.28246e-09,PASS
ff,125.0,3.3,c6,ff_125c_3.30v_c6,1.34913e-09,1.32821e-09,PASS
ff,125.0,3.3,c7,ff_125c_3.30v_c7,1.40157e-09,1.37959e-09,PASS
ff,125.0,3.3,c8,ff_125c_3.30v_c8,1.44081e-09,1.41824e-09,PASS
ff,125.0,3.3,c9,ff_125c_3.30v_c9,1.4936e-09,1.47003e-09,PASS
ff,125.0,3.3,c10,ff_125c_3.30v_c10,1.54148e-09,1.51687e-09,PASS
ff,125.0,3.3,c11,ff_125c_3.30v_c11,1.59456e-09,1.56899e-09,PASS
ff,125.0,3.3,c12,ff_125c_3.30v_c12,1.63807e-09,1.61162e-09,PASS
ff,125.0,3.3,c13,ff_125c_3.30v_c13,1.69139e-09,1.66399e-09,PASS
ff,125.0,3.3,c14,ff_125c_3.30v_c14,1.73985e-09,1.7115e-09,PASS
ff,125.0,3.3,c15,ff_125c_3.30v_c15,1.79334e-09,1.76405e-09,PASS
ff,125.0,3.63,c0,ff_125c_3.63v_c0,1.00855e-09,9.94854e-10,PASS
ff,125.0,3.63,c1,ff_125c_3.63v_c1,1.05651e-09,1.04142e-09,PASS
ff,125.0,3.63,c2,ff_125c_3.63v_c2,1.09987e-09,1.08335e-09,PASS
ff,125.0,3.63,c3,ff_125c_3.63v_c3,1.14866e-09,1.13093e-09,PASS
ff,125.0,3.63,c4,ff_125c_3.63v_c4,1.18838e-09,1.16952e-09,PASS
ff,125.0,3.63,c5,ff_125c_3.63v_c5,1.2378e-09,1.21784e-09,PASS
ff,125.0,3.63,c6,ff_125c_3.63v_c6,1.2826e-09,1.26151e-09,PASS
ff,125.0,3.63,c7,ff_125c_3.63v_c7,1.33246e-09,1.31035e-09,PASS
ff,125.0,3.63,c8,ff_125c_3.63v_c8,1.36995e-09,1.34726e-09,PASS
ff,125.0,3.63,c9,ff_125c_3.63v_c9,1.42014e-09,1.39647e-09,PASS
ff,125.0,3.63,c10,ff_125c_3.63v_c10,1.46575e-09,1.44108e-09,PASS
ff,125.0,3.63,c11,ff_125c_3.63v_c11,1.5162e-09,1.49057e-09,PASS
ff,125.0,3.63,c12,ff_125c_3.63v_c12,1.55774e-09,1.53126e-09,PASS
ff,125.0,3.63,c13,ff_125c_3.63v_c13,1.6084e-09,1.58096e-09,PASS
