# excursion = max-min of that vector over timepoints 25..1999,
# i.e. after the internal timestep collapsed (simulated span 1.7453e-11 s)
name,excursion,value_at_collapse,value_at_last
v(xdut.xdiv.xfrt.ckbb),6.923821e-09,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfmo.ckbb),6.920735e-09,3.300000e+00,3.300000e+00
v(xdut.xdiv.xfrt.nmb),6.751275e-09,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfmo.nmb),6.748477e-09,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xfq.nm),4.414576e-09,7.045195e-08,7.391028e-08
v(xdut.xdiv.xd0.xfmo.ns),4.218923e-09,3.296299e-08,3.667919e-08
v(xdut.xdiv.xfrt.ns),4.205596e-09,3.298225e-08,3.667573e-08
v(xdut.xdiv.xd0.xfq.nmb),1.974706e-09,4.221001e-08,4.302807e-08
v(xdut.xdiv.xfrt.nma),1.825271e-09,2.422056e-08,2.469010e-08
v(xdut.xdiv.xd0.xfmo.nma),1.817653e-09,2.422233e-08,2.468584e-08
v(xdut.xvco.xbias.b1b),1.785552e-09,5.031722e-09,6.817274e-09
v(xdut.xvco.xbias.ga),1.489236e-09,2.560247e+00,2.560247e+00
v(xdut.xdiv.fbb),9.628959e-10,1.254661e-08,1.191593e-08
v(xdut.xdiv.xd0.mob),9.440884e-10,1.252801e-08,1.192342e-08
v(xdut.xdiv.xd0.dmo),8.955598e-10,3.068734e-08,3.012413e-08
v(divout),6.201505e-10,1.610211e-08,1.555477e-08
v(xdut.xdiv.xd0.dq),5.748948e-10,3.300000e+00,3.300000e+00
v(xdut.xvco.xbias.vbp0),5.287402e-10,2.560247e+00,2.560247e+00
i(vvdddiv),4.785276e-10,-3.160243e-09,-3.410922e-09
v(fb),4.298948e-10,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.q),4.207268e-10,6.544825e-09,6.591037e-09
v(xdut.xdiv.mo0),3.238299e-10,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.qb),3.069811e-10,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.nmo),2.401737e-10,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.dqn),2.111746e-10,1.210822e-08,1.191000e-08
i(vvss),1.921085e-10,3.626970e-05,3.626977e-05
v(xdut.xdiv.xd0.xn3.nm2),1.538406e-10,1.460270e-08,1.444886e-08
v(xdut.xdiv.divoutb),1.201910e-10,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd0.xn2q.nmid),1.105589e-10,6.050995e-09,5.967764e-09
v(xdut.xpfd.xpfd.xed_fb.d1),9.769085e-11,1.057115e-08,1.047346e-08
i(vb2),9.001440e-11,8.363744e-11,1.736518e-10
v(xdut.xvco.xbias.b0b),5.679865e-11,6.069348e-09,6.126147e-09
v(xdut.xpfd.xpfd.xed_fb.xnd.ni),4.868195e-11,2.789103e+00,2.789103e+00
v(xdut.xdiv.ck1),4.494258e-11,3.482085e-09,3.441347e-09
v(xdut.xpfd.xpfd.xed_fb.nn),4.019096e-11,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.xed_fb.d2),3.507683e-11,3.300000e+00,3.300000e+00
v(xdut.xvco.xbias.vfix),3.346412e-11,1.484905e+00,1.484905e+00
v(xdut.xdiv.xd0.sb),3.010392e-11,3.300000e+00,3.300000e+00
v(xdut.xdiv.xmno.pmid),2.948619e-11,3.300000e+00,3.300000e+00
v(xdut.xdiv.mb),2.910302e-11,1.780481e-08,1.777571e-08
v(xdut.xdiv.xd0.xn2m.nmid),2.871303e-11,2.847072e+00,2.847072e+00
v(xdut.xdiv.mi0),2.512524e-11,3.300000e+00,3.300000e+00
v(xdut.xvco.xbias.noff),1.678635e-11,6.586251e-01,6.586251e-01
v(xdut.xvco.xbias.xroff.11),1.678080e-11,6.584068e-01,6.584068e-01
v(xdut.xpfd.xpfd.xed_fb.d5),1.625818e-11,1.049476e-08,1.047850e-08
i(vvdd),1.458735e-11,-5.752032e-05,-5.752032e-05
v(xdut.xdiv.t0),1.067102e-11,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.xfq.ckb),1.022693e-11,3.300000e+00,3.300000e+00
v(xdut.xdiv.xmb.nm1),1.003083e-11,1.186116e-08,1.185493e-08
v(xdut.xdiv.xd1.xfmo.ckb),9.994228e-12,3.300000e+00,3.300000e+00
v(xdut.xvco.xbias.nmd),9.114376e-12,6.416681e-01,6.416681e-01
v(xdut.xdiv.t3),8.199219e-12,3.300000e+00,3.300000e+00
i(vb1),7.913783e-12,5.344283e-12,1.325807e-11
v(xdut.xpfd.xpfd.pf),7.884636e-12,1.048820e-08,1.048031e-08
v(xdut.xpfd.xcp.xn_t0.mid),7.019052e-12,4.637430e-01,4.637430e-01
v(xdut.xdiv.ma),6.635032e-12,1.778506e-08,1.778090e-08
v(xdut.xdiv.nmi0),5.805735e-12,1.087257e-08,1.086677e-08
v(xdut.xpfd.xpfd.xed_fb.d3),5.681314e-12,1.048608e-08,1.048040e-08
v(xdut.xpfd.xcp.xp_base.mid),5.134115e-12,3.213992e+00,3.213992e+00
v(xdut.xdiv.xd0.xn3.nm1),4.583889e-12,2.851641e+00,2.851641e+00
v(xdut.xpfd.xpfd.xed_fb.d4),4.504841e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xp_t1b.mid),4.404033e-12,3.213992e+00,3.213992e+00
v(xdut.xpfd.xcp.xp_t1a.mid),4.404033e-12,3.213992e+00,3.213992e+00
v(xdut.xdiv.xmb.nm2),4.351495e-12,5.927851e-09,5.928817e-09
v(icp),3.680167e-12,2.461120e+00,2.461120e+00
v(xdut.xdiv.xd1.xfmo.nma),3.456346e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.xlat_fb.xn2.ni),3.330669e-12,2.789103e+00,2.789103e+00
v(xdut.xdiv.xm0.nmid),3.175654e-12,8.095117e-02,8.095117e-02
v(xdut.xpfd.xpfd.sbf),2.979839e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.nmi1),2.867040e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.sb),2.574829e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xma.nm1),2.507358e-12,1.185460e-08,1.185502e-08
v(xdut.xpfd.xcp.xbuf.pda),2.413181e-12,5.524841e-01,5.524841e-01
v(xdut.xdiv.mo1),2.411848e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xbuf.psrc),2.397638e-12,2.118015e+00,2.118015e+00
v(xdut.xdiv.xd1.xfq.nmb),2.351008e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.t4),2.322142e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.xn3.nm1),2.303047e-12,2.878871e+00,2.878871e+00
v(xdut.xpfd.xpfd.rd13),2.204903e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xnr1.pmid),2.194245e-12,3.300000e+00,3.300000e+00
v(xdut.xld.xerr.n3),2.183143e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.xfmo.ckbb),2.048215e-12,5.903495e-09,5.901447e-09
v(xdut.xdiv.xd1.xfmo.ns),1.837952e-12,6.699367e-08,6.699183e-08
v(xdut.xdiv.xma.nm2),1.755406e-12,5.926685e-09,5.927909e-09
v(xdut.xpfd.xpfd.nrst),1.724842e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.sb),1.623146e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.xfmo.nm),1.572094e-12,3.057887e-08,3.057730e-08
v(xdut.xdiv.xd1.mob),1.525525e-12,3.883883e-08,3.883731e-08
v(xdut.xpfd.xcp.xp_base.bg),1.483258e-12,2.574871e+00,2.574871e+00
v(xdut.xpfd.xcp.xp_t1b.bg),1.477041e-12,2.574871e+00,2.574871e+00
v(xdut.xpfd.xcp.xp_t1a.bg),1.477041e-12,2.574871e+00,2.574871e+00
v(xdut.xdiv.t5),1.473044e-12,3.300000e+00,3.300000e+00
v(ibp),1.418865e-12,2.574871e+00,2.574871e+00
v(xdut.xld.xsch.n1),1.371347e-12,2.824298e+00,2.824298e+00
v(xdut.xpfd.xpfd.rd23),1.336709e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.mo4),1.265654e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.dmo),1.265180e-12,2.063148e-08,2.063022e-08
v(xdut.xdiv.xd1.xfq.ckbb),1.220513e-12,5.903297e-09,5.902156e-09
v(xdut.xdiv.xd5.xfq.nm),1.216360e-12,3.300000e+00,3.300000e+00
v(xdut.xld.xerr.xg1.nmid),1.211919e-12,2.847072e+00,2.847072e+00
v(xdut.xdiv.ck4),1.202149e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.dnb),1.191935e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd15),1.147082e-12,3.300000e+00,3.300000e+00
v(xdut.vwin),1.120987e-12,1.270061e-03,1.270061e-03
v(xdut.xdiv.xd4.xfq.ns),1.117328e-12,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.xfmo.ns),1.088907e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd11),1.055156e-12,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.vdump),1.020073e-12,1.418975e+00,1.418975e+00
v(xdut.xdiv.xd1.sb),9.880985e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xfq.nma),9.858780e-13,3.300000e+00,3.300000e+00
v(xdut.xld.xerr.n1),9.818812e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.dq),9.681145e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.xfmo.nmb),9.424726e-13,1.106892e-08,1.106798e-08
v(xdut.xdiv.xd3.xfq.nma),9.250378e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xfmo.ckbb),9.241496e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd7),9.081624e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xp_t0.mid),9.079404e-13,1.327295e+00,1.327295e+00
v(xdut.xpfd.xpfd.rd3),9.001688e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.dq),8.877343e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xnr3.pmid),8.344436e-13,6.213614e-01,6.213614e-01
v(xdut.xdiv.xd1.xfq.nm),8.339995e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.sb),8.331114e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xfmo.nm),8.260059e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.mi3),8.242296e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd5),8.211209e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.qb),8.033574e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xnr0.pmid),7.975842e-13,6.213603e-01,6.213603e-01
v(xdut.xvco.xbias.nvi),7.739365e-13,6.362326e-01,6.362326e-01
v(xdut.xvco.xbias.xrdeg.11),7.737144e-13,6.360217e-01,6.360217e-01
v(xdut.xdiv.xd1.xfq.ns),7.731593e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.xfq.ckb),7.629453e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.qb),7.611689e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.t2),7.580603e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfq.nm),7.571721e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.dmo),7.509549e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xbuf.nsrc),7.424061e-13,6.629720e-01,6.629720e-01
v(xdut.xdiv.xd1.dq),7.349676e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd1),6.892265e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfq.ckbb),6.614212e-13,5.902385e-09,5.901825e-09
v(xdut.xld.xsch.p1),6.568079e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfmo.ckb),6.559198e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.mob),6.519230e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfmo.ns),6.510348e-13,3.300000e+00,3.300000e+00
v(ibn),6.433742e-13,6.076709e-01,6.076709e-01
v(xdut.xvco.xbias.na),6.431522e-13,8.173232e-01,8.173232e-01
v(xdut.xdiv.xd2.nmo),6.332712e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.xfmo.ckb),6.270540e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd1.xfq.nma),6.205649e-13,2.927628e-08,2.927566e-08
v(xdut.xdiv.xd5.xfmo.ns),6.128431e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.upt),6.121770e-13,1.469823e+00,1.469823e+00
v(xdut.xpfd.xpfd.rd14),6.096609e-13,1.048283e-08,1.048225e-08
v(xdut.xdiv.xd3.xfmo.nm),5.941914e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd12),5.911734e-13,1.048268e-08,1.048209e-08
v(xdut.xld.wide),5.750955e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.xfmo.nmb),5.657697e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.dnb),5.648815e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.dnt),5.480061e-13,1.416847e+00,1.416847e+00
v(xdut.xvco.xbias.nsu),5.476279e-13,1.579540e-02,1.579540e-02
v(xdut.xdiv.xd1.nmo),5.351275e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.xfq.ckb),5.320189e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfmo.nma),5.311307e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.xfq.ns),5.200285e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.t1),5.178080e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.dqn),5.071499e-13,3.300000e+00,3.300000e+00
v(xdut.up),5.031531e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.xlat_ref.xn1.ni),5.000445e-13,2.789103e+00,2.789103e+00
v(xdut.xpfd.xpfd.upb),4.830141e-13,2.204037e-08,2.203991e-08
v(xdut.xpfd.xpfd.rd6),4.783921e-13,1.048282e-08,1.048234e-08
v(xdut.xdiv.xd3.xfmo.ckb),4.680700e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.xfq.ns),4.618528e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd22),4.574223e-13,1.048263e-08,1.048222e-08
v(xdut.xpfd.xpfd.sbr),4.543033e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.mi1),4.519306e-13,5.902587e-09,5.902168e-09
v(xdut.xdiv.mi4),4.489742e-13,3.300000e+00,3.300000e+00
v(xdut.xvco.xbias.vbpc),4.467537e-13,2.464905e+00,2.464905e+00
v(xdut.xdiv.xd2.sb),4.409806e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd17),4.352074e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xn2m.nmid),4.352074e-13,2.847072e+00,2.847072e+00
v(xdut.xdiv.xd2.xfq.nmb),4.312106e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd19),4.223288e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd4),4.205281e-13,1.048277e-08,1.048235e-08
v(xdut.xdiv.ck5),4.194362e-13,3.431839e-09,3.431434e-09
v(xdut.xdiv.xd3.q),4.081180e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.qb),4.081180e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xfq.ckbb),4.050094e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xn_base.bg),4.047873e-13,6.076709e-01,6.076709e-01
v(xdut.xpfd.xpfd.rb),4.027889e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rst_raw),4.013878e-13,1.048265e-08,1.048225e-08
v(xdut.xdiv.xd4.xn3.nm1),3.961276e-13,2.851641e+00,2.851641e+00
v(xdut.xdiv.xd4.nmo),3.819167e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd16),3.801908e-13,1.048271e-08,1.048233e-08
v(xdut.xdiv.xd4.xfmo.nmb),3.788081e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.nmi2),3.752554e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd21),3.668177e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xn_t1a.bg),3.660405e-13,6.076709e-01,6.076709e-01
v(xdut.xdiv.xd2.xfmo.ckbb),3.647492e-13,5.902482e-09,5.902251e-09
v(xdut.xpfd.xpfd.xed_ref.d3),3.441691e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd2),3.355071e-13,1.048267e-08,1.048234e-08
v(xdut.xdiv.xd5.nmo),3.308465e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rst_dly),3.308171e-13,1.048265e-08,1.048232e-08
v(xdut.xpfd.xpfd.rd9),3.281819e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.xed_ref.d1),3.170797e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd4.xfmo.ckb),3.150544e-13,5.902420e-09,5.902164e-09
v(xdut.xlf.xrf1.21),3.130829e-13,1.454053e+00,1.454053e+00
v(vctrl),3.130829e-13,1.454053e+00,1.454053e+00
v(xdut.xdiv.xd5.xfmo.ckbb),3.065116e-13,5.902501e-09,5.902238e-09
v(xdut.xdiv.ck6),3.061336e-13,3.431774e-09,3.431486e-09
v(xdut.xpfd.xpfd.xed_ref.nn),2.988720e-13,3.300000e+00,3.300000e+00
v(xdut.dn),2.957608e-13,2.204063e-08,2.204034e-08
v(xdut.xdiv.xd3.xfmo.ckbb),2.926589e-13,5.902370e-09,5.902152e-09
v(xdut.xdiv.ck2),2.891656e-13,3.431794e-09,3.431617e-09
v(xdut.xdiv.xd2.xfq.ckb),2.859935e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd18),2.840350e-13,1.048271e-08,1.048242e-08
v(xdut.xpfd.xpfd.xed_ref.d2),2.823878e-13,1.048262e-08,1.048238e-08
v(xdut.xdiv.xd5.xfmo.nma),2.819966e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.xlat_fb.xn1.ni),2.818039e-13,1.102038e-08,1.102010e-08
v(xdut.xpfd.xpfd.rd20),2.809318e-13,1.048275e-08,1.048247e-08
v(xdut.xdiv.xd4.xn2q.nmid),2.748165e-13,5.934639e-09,5.934816e-09
v(xdut.xpfd.xpfd.xed_ref.d4),2.732852e-13,1.048272e-08,1.048246e-08
v(xdut.xdiv.xd4.xfq.ckb),2.713388e-13,5.902442e-09,5.902344e-09
v(xdut.xdiv.xd1.xn2q.nmid),2.649924e-13,5.934900e-09,5.934761e-09
v(xdut.xdiv.xd5.xfq.nmb),2.566836e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xpfd.rd10),2.562950e-13,1.048260e-08,1.048235e-08
v(xdut.xdiv.xd1.xn3.nm1),2.533251e-13,8.360953e-02,8.360953e-02
v(xdut.xdiv.xd3.nmo),2.530156e-13,1.186949e-08,1.186932e-08
v(xdut.xdiv.xd1.dqn),2.493228e-13,1.186958e-08,1.186953e-08
v(icn),2.461364e-13,7.107122e-01,7.107122e-01
v(xdut.xpfd.xcp.xp_t0.bg),2.451372e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.xn_t1b.bg),2.390310e-13,6.076709e-01,6.076709e-01
v(xdut.xdiv.xd3.xfq.ns),2.347238e-13,6.699288e-08,6.699267e-08
v(xdut.xld.xerr.xg4.nmid),2.222372e-13,1.973575e-08,1.973562e-08
v(xdut.xdiv.xd2.xfq.nma),2.216691e-13,2.927603e-08,2.927586e-08
v(xdut.xpfd.xpfd.pr),2.210493e-13,1.048274e-08,1.048253e-08
v(xdut.xld.lockb),2.180478e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.mo5),2.167604e-13,5.902404e-09,5.902559e-09
v(xdut.xpfd.xpfd.rd8),2.162660e-13,1.048267e-08,1.048247e-08
v(xdut.xpfd.xpfd.xed_ref.d5),2.131628e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.nmi3),2.124105e-13,1.086881e-08,1.086862e-08
v(xdut.xdiv.xnr4.pmid),2.113865e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.ck3),2.107253e-13,3.431625e-09,3.431433e-09
v(xdut.xdiv.mi2),2.103047e-13,5.902293e-09,5.902124e-09
v(xdut.xpfd.xpfd.xlat_ref.xn2.ni),2.096695e-13,1.102016e-08,1.102000e-08
v(xdut.xdiv.xd4.q),2.085671e-13,5.902167e-09,5.902332e-09
v(xdut.xdiv.xd1.xn2m.nmid),2.034345e-13,8.095146e-02,8.095146e-02
v(xdut.xdiv.xd2.dq),2.029488e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.mob),2.020606e-13,3.300000e+00,3.300000e+00
v(xdut.xld.errd),1.940670e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd2.q),1.923153e-13,5.902319e-09,5.902155e-09
v(xdut.xld.xdly.d3),1.920111e-13,5.902279e-09,5.902088e-09
v(xdut.xdiv.xd3.xfq.nm),1.865308e-13,3.057796e-08,3.057783e-08
v(xdut.xld.xerr.xg3.nmid),1.834459e-13,1.973575e-08,1.973564e-08
v(xdut.xdiv.mo3),1.798703e-13,5.902399e-09,5.902565e-09
v(xdut.xdiv.xd3.xn2q.nmid),1.787554e-13,1.973590e-08,1.973589e-08
v(xdut.xdiv.mo2),1.702459e-13,5.902375e-09,5.902386e-09
v(xdut.xdiv.xd3.qb),1.683099e-13,3.883820e-08,3.883819e-08
v(xdut.xvco.xbias.nc),1.679074e-13,1.169259e-01,1.169259e-01
v(xdut.xvco.xbias.xrcg.11),1.675049e-13,1.167043e-01,1.167043e-01
v(xdut.xdiv.xd3.xfq.nmb),1.667329e-13,1.106842e-08,1.106827e-08
v(xdut.xdiv.xd1.xn3.nm2),1.654123e-13,8.594058e-10,8.592404e-10
v(xdut.xpfd.xcp.upb),1.640225e-13,1.048217e-08,1.048210e-08
v(xdut.xdiv.xd4.xn3.nm2),1.610621e-13,1.448605e-08,1.448615e-08
v(xdut.xdiv.xd5.qb),1.603162e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xm1.nmid),1.567357e-13,8.095116e-02,8.095116e-02
v(xdut.xdiv.xd2.xfmo.nm),1.546293e-13,3.057811e-08,3.057796e-08
v(xdut.xdiv.xm3.nmid),1.540990e-13,2.847072e+00,2.847072e+00
v(xdut.xpfd.xpfd.xnand_rst.ni),1.509903e-13,2.789103e+00,2.789103e+00
v(xdut.xdiv.xd5.xn2q.nmid),1.485832e-13,5.934764e-09,5.934631e-09
v(xdut.xld.xerr.xg2.nmid),1.480837e-13,5.934718e-09,5.934725e-09
v(xdut.xld.err),1.469935e-13,3.300000e+00,3.300000e+00
v(xdut.xpfd.xcp.b0b),1.452172e-13,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.xfq.ckbb),1.395605e-13,5.902303e-09,5.902344e-09
v(xdut.xdiv.xd4.xfq.nmb),1.373352e-13,3.883814e-08,3.883806e-08
v(xdut.xpfd.xcp.xbuf.nda),1.372236e-13,2.553998e+00,2.553998e+00
v(xdut.xdiv.xd2.xfmo.nmb),1.353858e-13,1.106852e-08,1.106838e-08
v(xdut.xdiv.xd2.dmo),1.335819e-13,2.063078e-08,2.063065e-08
v(xdut.xdiv.xd3.xn2m.nmid),1.330692e-13,5.934795e-09,5.934760e-09
v(xdut.xdiv.nmi4),1.308021e-13,6.825780e-09,6.825909e-09
