corner,temp_c,vdd,edge,corner_id,t_r1,t_r2,t_f1,t_f2,tperiod,fosc,voh,vol,voh_ratio,vol_ratio,trise,tfall,thigh,duty_pct,verdict
ff,125.0,3.63,hi,ff_125c_3.63v_hi,1.65872e-08,1.93014e-08,1.79141e-08,2.06284e-08,2.71416e-09,368438000.0,3.65158,-0.0218946,1.00595,-0.00603156,1.15819e-10,1.20668e-10,1.3269000000000005e-09,48.88733328420897,PASS
ss,-40.0,2.97,lo,ss_-40c_2.97v_lo,1.54927e-06,1.76976e-06,1.43067e-06,1.65111e-06,2.20492e-07,4535300.0,3.06714,-0.0937042,1.03271,-0.0315502,1.19532e-09,1.64341e-09,1.0184000000000007e-07,46.18803573858228,PASS
ss,-40.0,2.97,hi,ss_-40c_2.97v_hi,1.79216e-08,2.04234e-08,1.66397e-08,1.91415e-08,2.50179e-09,399714000.0,3.02376,-0.0373682,1.0181,-0.0125819,1.20876e-10,1.20135e-10,1.2198999999999982e-09,48.76089215764648,PASS
ss,-40.0,3.3,lo,ss_-40c_3.30v_lo,1.49636e-06,1.74669e-06,1.61088e-06,1.86111e-06,2.5033e-07,3994730.0,3.37939,-0.0679877,1.02406,-0.0206023,1.6518e-09,1.91603e-09,1.1452000000000005e-07,45.74761315064114,PASS
ss,-40.0,3.3,hi,ss_-40c_3.30v_hi,1.70656e-08,1.98455e-08,1.84207e-08,2.12005e-08,2.77989e-09,359726000.0,3.35107,-0.0363346,1.01548,-0.0110105,1.11361e-10,1.14912e-10,1.3551e-09,48.746357782654044,PASS
ss,-40.0,3.63,lo,ss_-40c_3.63v_lo,1.62697e-06,1.89844e-06,1.48009e-06,1.7504e-06,2.71469e-07,3683660.0,3.71674,-0.098712,1.0239,-0.0271934,1.39197e-09,1.27905e-09,1.2342999999999993e-07,45.467270784985445,PASS
ss,-40.0,3.63,hi,ss_-40c_3.63v_hi,1.62018e-08,1.93703e-08,1.77483e-08,2.09168e-08,3.16855e-09,315602000.0,3.67715,-0.0341863,1.01299,-0.00941771,1.05335e-10,1.08305e-10,1.5465e-09,48.80858450370839,PASS
ss,27.0,2.97,lo,ss_27c_2.97v_lo,1.46183e-06,1.67038e-06,1.55931e-06,1.76745e-06,2.08546e-07,4795100.0,3.08081,-0.0949885,1.03731,-0.0319827,1.18304e-09,1.65144e-09,9.748e-08,46.74178853991845,PASS
ss,27.0,2.97,hi,ss_27c_2.97v_hi,1.68587e-08,1.92055e-08,1.80104e-08,2.03571e-08,2.34673e-09,426125000.0,3.02364,-0.0392443,1.01806,-0.0132136,1.40654e-10,1.39523e-10,1.1516999999999997e-09,49.07533662860063,PASS
ss,27.0,3.3,lo,ss_27c_3.30v_lo,1.40915e-06,1.6437e-06,1.51715e-06,1.7505e-06,2.34552e-07,4263440.0,3.40925,-0.0966028,1.03311,-0.0292736,1.80444e-09,1.6414e-09,1.0799999999999986e-07,46.04561927094431,PASS
ss,27.0,3.3,hi,ss_27c_3.30v_hi,1.83361e-08,2.08968e-08,1.70287e-08,1.95898e-08,2.56074e-09,390512000.0,3.35131,-0.0383771,1.01555,-0.0116294,1.30871e-10,1.31254e-10,1.2536999999999995e-09,48.95926894989651,PASS
ss,27.0,3.63,lo,ss_27c_3.63v_lo,1.53498e-06,1.79045e-06,1.65191e-06,1.90818e-06,2.55476e-07,3914270.0,3.75278,-0.102728,1.03382,-0.0282998,1.65007e-09,1.30957e-09,1.1693000000000008e-07,45.770540572278584,PASS
ss,27.0,3.63,hi,ss_27c_3.63v_hi,1.75687e-08,2.04325e-08,1.61067e-08,1.89705e-08,2.86378e-09,349189000.0,3.67776,-0.0374159,1.01316,-0.0103074,1.22912e-10,1.25492e-10,1.4018000000000007e-09,48.94894894894897,PASS
ss,125.0,2.97,lo,ss_125c_2.97v_lo,1.53182e-06,1.72299e-06,1.42901e-06,1.62068e-06,1.91169e-07,5230970.0,3.10078,-0.117834,1.04403,-0.0396747,1.20718e-09,1.67145e-09,8.886000000000007e-08,46.482188627922824,PASS
ss,125.0,2.97,hi,ss_125c_2.97v_hi,1.81995e-08,2.04166e-08,1.70822e-08,1.92993e-08,2.21712e-09,451035000.0,3.02103,-0.0397673,1.01718,-0.0133897,-2.0489e-09,1.69186e-10,1.099799999999999e-09,49.60534030941312,PASS
ss,125.0,3.3,lo,ss_125c_3.30v_lo,1.50044e-06,1.7146e-06,1.59976e-06,1.81416e-06,2.14155e-07,4669520.0,3.4227,-0.1164,1.03718,-0.0352727,1.66791e-09,1.66557e-09,9.932000000000018e-08,46.37654090399706,PASS
ss,125.0,3.3,hi,ss_125c_3.30v_hi,1.69587e-08,1.93183e-08,1.81258e-08,2.04855e-08,2.35962e-09,423796000.0,3.34922,-0.0393535,1.01491,-0.0119253,1.55535e-10,1.58898e-10,1.1670999999999986e-09,49.46177318189516,PASS
ss,125.0,3.63,lo,ss_125c_3.63v_lo,1.39312e-06,1.63576e-06,1.50904e-06,1.74303e-06,2.42641e-07,4121320.0,3.76598,-0.12787,1.03746,-0.0352259,1.59149e-08,1.66919e-09,1.1591999999999994e-07,47.77448071216613,PASS
ss,125.0,3.63,hi,ss_125c_3.63v_hi,1.84205e-08,2.09918e-08,1.71189e-08,1.96903e-08,2.57133e-09,388904000.0,3.67614,-0.038548,1.01271,-0.0106193,1.45018e-10,1.52125e-10,1.2697999999999999e-09,49.383580290125614,PASS
fs,-40.0,2.97,lo,fs_-40c_2.97v_lo,1.41861e-06,1.65529e-06,1.52558e-06,1.76113e-06,2.36677e-07,4225170.0,3.06149,-0.0726387,1.0308,-0.0244575,1.21262e-09,1.33308e-09,1.0697000000000001e-07,45.19604529322291,PASS
fs,-40.0,2.97,hi,fs_-40c_2.97v_hi,1.76801e-08,2.01569e-08,1.63735e-08,1.88506e-08,2.47679e-09,403748000.0,3.01343,-0.033593,1.01462,-0.0113108,1.09876e-10,1.0131e-10,1.1705000000000005e-09,47.258559431524525,PASS
fs,-40.0,3.3,lo,fs_-40c_3.30v_lo,1.56385e-06,1.82399e-06,1.42083e-06,1.67979e-06,2.60137e-07,3844120.0,3.3909,-0.069714,1.02755,-0.0211254,1.63867e-09,1.63074e-09,1.1593999999999986e-07,44.568309371876644,FAIL — duty_pct min=45 (got 44.5683)
fs,-40.0,3.3,hi,fs_-40c_3.30v_hi,1.736e-08,2.01999e-08,1.87051e-08,2.15455e-08,2.83996e-09,352118000.0,3.33996,-0.0341396,1.01211,-0.0103453,1.02454e-10,9.74541e-11,1.3450999999999986e-09,47.364343814923025,PASS
fs,-40.0,3.63,lo,fs_-40c_3.63v_lo,1.67698e-06,1.95704e-06,1.52296e-06,1.80271e-06,2.80059e-07,3570680.0,3.70988,-0.101677,1.022,-0.0280101,1.64367e-09,1.07938e-09,1.257299999999999e-07,44.89395129615082,FAIL — duty_pct min=45 (got 44.894)
fs,-40.0,3.63,hi,fs_-40c_3.63v_hi,1.66747e-08,1.99512e-08,1.82309e-08,2.15077e-08,3.27647e-09,305207000.0,3.66553,-0.0311894,1.00979,-0.00859213,9.78107e-11,9.46952e-11,1.5562000000000017e-09,47.495803448802135,PASS
fs,27.0,2.97,lo,fs_27c_2.97v_lo,1.56544e-06,1.78843e-06,1.44282e-06,1.6658e-06,2.22983e-07,4484650.0,3.07429,-0.1052,1.03511,-0.0354209,1.23596e-09,1.04572e-09,1.0036000000000009e-07,45.00650253374591,PASS
fs,27.0,2.97,hi,fs_27c_2.97v_hi,1.63998e-08,1.86908e-08,1.74859e-08,1.97768e-08,2.29099e-09,436493000.0,3.01252,-0.0350952,1.01432,-0.0118166,1.2903e-10,1.15004e-10,1.0860999999999994e-09,47.40724574421646,PASS
fs,27.0,3.3,lo,fs_27c_3.30v_lo,1.4846e-06,1.73171e-06,1.5944e-06,1.84212e-06,2.47113e-07,4046740.0,3.40301,-0.0977788,1.03121,-0.0296299,1.4334e-09,1.29085e-09,1.0979999999999999e-07,44.43365302901542,FAIL — duty_pct min=45 (got 44.4337)
fs,27.0,3.3,hi,fs_27c_3.30v_hi,1.83991e-08,2.09787e-08,1.70434e-08,1.96226e-08,2.57961e-09,387655000.0,3.33908,-0.033965,1.01184,-0.0102924,1.18633e-10,1.09334e-10,1.223500000000001e-09,47.42983408280359,PASS
fs,27.0,3.63,lo,fs_27c_3.63v_lo,1.60019e-06,1.86561e-06,1.45136e-06,1.71797e-06,2.65412e-07,3767730.0,3.73534,-0.108287,1.02902,-0.0298311,1.46352e-09,1.64234e-09,1.1777999999999983e-07,44.374952904830025,FAIL — duty_pct min=45 (got 44.375)
fs,27.0,3.63,hi,fs_27c_3.63v_hi,1.79272e-08,2.08614e-08,1.63873e-08,1.93217e-08,2.93412e-09,340817000.0,3.66491,-0.0325431,1.00962,-0.00896505,1.13434e-10,1.06308e-10,1.3944999999999997e-09,47.52573103401268,PASS
fs,125.0,2.97,lo,fs_125c_2.97v_lo,1.45202e-06,1.65996e-06,1.54583e-06,1.75261e-06,2.07938e-07,4809120.0,3.09093,-0.101447,1.04072,-0.0341573,1.11921e-09,1.65631e-09,9.381000000000012e-08,45.11397518514962,PASS
fs,125.0,2.97,hi,fs_125c_2.97v_hi,1.73702e-08,1.94924e-08,1.62636e-08,1.83859e-08,2.12225e-09,471199000.0,3.00865,-0.0355847,1.01301,-0.0119814,1.51972e-10,1.39645e-10,1.015700000000001e-09,47.860710583356976,PASS
fs,125.0,3.3,lo,fs_125c_3.30v_lo,1.60533e-06,1.83409e-06,1.47875e-06,1.70817e-06,2.28761e-07,4371380.0,3.41053,-0.0970159,1.0335,-0.0293987,1.66217e-09,1.4631e-09,1.0283999999999993e-07,44.95541178527712,FAIL — duty_pct min=45 (got 44.9554)
fs,125.0,3.3,hi,fs_125c_3.30v_hi,1.66976e-08,1.90296e-08,1.78121e-08,2.01441e-08,2.33203e-09,428812000.0,3.33526,-0.0329879,1.01069,-0.00999634,1.40879e-10,1.34283e-10,1.1144999999999998e-09,47.79159519725555,PASS
fs,125.0,3.63,lo,fs_125c_3.63v_lo,1.48412e-06,1.73071e-06,1.59455e-06,1.84166e-06,2.46594e-07,4055250.0,3.74453,-0.0992811,1.03155,-0.0273502,1.69772e-09,1.46878e-09,1.1043000000000002e-07,44.78283790907985,FAIL — duty_pct min=45 (got 44.7828)
fs,125.0,3.63,hi,fs_125c_3.63v_hi,1.85277e-08,2.11237e-08,1.71727e-08,1.97687e-08,2.59599e-09,385209000.0,3.66139,-0.0330202,1.00865,-0.00909646,-2.47482e-09,1.29102e-10,1.241000000000001e-09,47.80431432973806,PASS
sf,-40.0,2.97,lo,sf_-40c_2.97v_lo,1.41945e-06,1.65519e-06,1.52903e-06,1.76645e-06,2.35744e-07,4241890.0,3.04647,-0.0770336,1.02575,-0.0259373,1.39352e-09,1.37408e-09,1.0958000000000006e-07,46.48341393060154,PASS
sf,-40.0,2.97,hi,sf_-40c_2.97v_hi,1.78637e-08,2.03646e-08,1.66116e-08,1.91119e-08,2.50091e-09,399855000.0,3.01518,-0.030983,1.01521,-0.010432,1.00327e-10,1.11072e-10,1.2481999999999999e-09,49.91003238834022,PASS
sf,-40.0,3.3,lo,sf_-40c_3.30v_lo,1.55311e-06,1.81163e-06,1.41531e-06,1.67409e-06,2.58511e-07,3868310.0,3.36952,-0.0707924,1.02107,-0.0214522,1.64181e-09,1.64025e-09,1.2097999999999986e-07,46.797153024911,PASS
sf,-40.0,3.3,hi,sf_-40c_3.30v_hi,1.78315e-08,2.07481e-08,1.63707e-08,1.92878e-08,2.91653e-09,342874000.0,3.34127,-0.0296578,1.01251,-0.00898721,9.5759e-11,1.06551e-10,1.4562999999999996e-09,49.93142700404579,PASS
sf,-40.0,3.63,lo,sf_-40c_3.63v_lo,1.65623e-06,1.93344e-06,1.50843e-06,1.78466e-06,2.77206e-07,3607420.0,3.71389,-0.0775966,1.02311,-0.0213765,1.63228e-09,1.35547e-09,1.284300000000001e-07,46.32949749287548,PASS
sf,-40.0,3.63,hi,sf_-40c_3.63v_hi,1.72412e-08,2.06305e-08,1.89373e-08,2.23266e-08,3.38932e-09,295044000.0,3.66677,-0.0277867,1.01013,-0.00765474,9.2468e-11,1.01836e-10,1.6960999999999996e-09,50.042781695335286,PASS
sf,27.0,2.97,lo,sf_27c_2.97v_lo,1.56095e-06,1.78395e-06,1.44357e-06,1.66607e-06,2.22996e-07,4484390.0,3.05435,-0.0922173,1.0284,-0.0310496,1.4842e-09,1.64929e-09,1.0511999999999998e-07,47.13901345291478,PASS
sf,27.0,2.97,hi,sf_27c_2.97v_hi,1.65247e-08,1.8831e-08,1.76826e-08,1.9989e-08,2.30638e-09,433579000.0,3.01537,-0.0316857,1.01528,-0.0106686,1.17145e-10,1.28112e-10,1.1578999999999974e-09,50.205957594415246,PASS
sf,27.0,3.3,lo,sf_27c_3.30v_lo,1.46981e-06,1.71474e-06,1.58557e-06,1.82928e-06,2.44936e-07,4082690.0,3.37891,-0.105536,1.02391,-0.0319805,1.64789e-09,1.7706e-09,1.1575999999999997e-07,47.262483158453435,PASS
sf,27.0,3.3,hi,sf_27c_3.30v_hi,1.61438e-08,1.87754e-08,1.74627e-08,2.00942e-08,2.63156e-09,380002000.0,3.34168,-0.0305291,1.01263,-0.00925125,1.09566e-10,1.21549e-10,1.318899999999998e-09,50.11779905760749,PASS
sf,27.0,3.63,lo,sf_27c_3.63v_lo,1.57455e-06,1.83598e-06,1.43504e-06,1.69772e-06,2.61429e-07,3825130.0,3.72055,-0.0928299,1.02495,-0.025573,1.49538e-09,1.32937e-09,1.2316999999999996e-07,47.11395019699346,PASS
sf,27.0,3.63,hi,sf_27c_3.63v_hi,1.84121e-08,2.14262e-08,1.69092e-08,1.99233e-08,3.0141e-09,331774000.0,3.66454,-0.0258148,1.00952,-0.00711152,1.05323e-10,1.16226e-10,1.5112000000000003e-09,50.13768620815499,PASS
sf,125.0,2.97,lo,sf_125c_2.97v_lo,1.43653e-06,1.64159e-06,1.53431e-06,1.73935e-06,2.05059e-07,4876640.0,3.08155,-0.115927,1.03756,-0.0390327,1.65913e-09,1.66405e-09,9.778000000000002e-08,47.68360479859552,PASS
sf,125.0,2.97,hi,sf_125c_2.97v_hi,1.74809e-08,1.9615e-08,1.64287e-08,1.85628e-08,2.1341e-09,468583000.0,3.0107,-0.0309965,1.01371,-0.0104365,1.39776e-10,1.54231e-10,1.0819000000000006e-09,50.69584368117711,PASS
sf,125.0,3.3,lo,sf_125c_3.30v_lo,1.57668e-06,1.80196e-06,1.45838e-06,1.68429e-06,2.25275e-07,4439010.0,3.41549,-0.12745,1.035,-0.0386213,1.65507e-09,1.1311e-09,1.076100000000001e-07,47.76722301136367,PASS
sf,125.0,3.3,hi,sf_125c_3.30v_hi,1.69125e-08,1.92731e-08,1.8106e-08,2.0467e-08,2.36056e-09,423627000.0,3.33979,-0.029817,1.01206,-0.00903545,1.31451e-10,1.46562e-10,1.1935e-09,50.55917986952473,PASS
sf,125.0,3.63,lo,sf_125c_3.63v_lo,1.44704e-06,1.68825e-06,1.56217e-06,1.80331e-06,2.41213e-07,4145720.0,3.7483,-0.114842,1.03259,-0.0316369,1.649e-09,1.67078e-09,1.1513000000000016e-07,47.73019360723025,PASS
sf,125.0,3.63,hi,sf_125c_3.63v_hi,1.62047e-08,1.88447e-08,1.75376e-08,2.01776e-08,2.64005e-09,378781000.0,3.66564,-0.0264529,1.00982,-0.00728731,1.25463e-10,1.39493e-10,1.3329000000000006e-09,50.48863636363634,PASS
