bundle,res_sec,moscap_sec,mimcap_sec,temp_c,vctrl_v,r_ohm,c1_f,c2_f,pm_min_deg,at_fref_hz,at_ndiv,at_trim_units,at_fc_hz
rff-mff-xss,ff,ff,ss,-40,2.25,62300.5,1.08767e-10,2.21299e-12,25.96,1e+06,32,1,11726.1
rff-mff-xss,ff,ff,ss,-40,2.7,62300.5,1.08789e-10,2.21299e-12,25.96,1e+06,32,1,11725
rff-mff-xss,ff,ff,ss,27,0.9,61722.3,1.07054e-10,2.21567e-12,25.52,1e+06,32,1,11794.9
rff-mff-xss,ff,ff,ss,27,1.35,61722.5,1.08344e-10,2.21567e-12,25.68,1e+06,32,1,11733.7
rff-mff-xss,ff,ff,ss,27,1.8,61722.6,1.08681e-10,2.21567e-12,25.72,1e+06,32,1,11718
rff-mff-xss,ff,ff,ss,27,2.25,61722.6,1.08767e-10,2.21567e-12,25.73,1e+06,32,1,11713.9
rff-mff-xss,ff,ff,ss,27,2.7,61722.6,1.08789e-10,2.21567e-12,25.73,1e+06,32,1,11712.9
rff-mff-xss,ff,ff,ss,125,0.9,61576.6,1.07054e-10,2.21759e-12,25.46,1e+06,32,1,11791.8
rff-mff-xss,ff,ff,ss,125,1.35,61576.9,1.08344e-10,2.21759e-12,25.62,1e+06,32,1,11730.7
rff-mff-xss,ff,ff,ss,125,1.8,61576.9,1.08681e-10,2.21759e-12,25.66,1e+06,32,1,11714.9
rff-mff-xss,ff,ff,ss,125,2.25,61576.9,1.08767e-10,2.21759e-12,25.67,1e+06,32,1,11710.8
rff-mff-xss,ff,ff,ss,125,2.7,61576.9,1.08789e-10,2.21759e-12,25.67,1e+06,32,1,11709.8
rff-mff-xtyp,ff,ff,typical,-40,0.9,62301.4,1.07053e-10,2.01404e-12,25.82,1e+06,32,1,11818.8
rff-mff-xtyp,ff,ff,typical,-40,1.35,62301.5,1.08344e-10,2.01404e-12,25.98,1e+06,32,1,11757.6
rff-mff-xtyp,ff,ff,typical,-40,1.8,62301.6,1.0868e-10,2.01404e-12,26.02,1e+06,32,1,11741.8
rff-mff-xtyp,ff,ff,typical,-40,2.25,62301.6,1.08767e-10,2.01404e-12,26.03,1e+06,32,1,11737.8
rff-mff-xtyp,ff,ff,typical,-40,2.7,62301.6,1.08789e-10,2.01404e-12,26.03,1e+06,32,1,11736.7
rff-mff-xtyp,ff,ff,typical,27,0.9,61723.4,1.07053e-10,2.01648e-12,25.59,1e+06,32,1,11806.8
rff-mff-xtyp,ff,ff,typical,27,1.35,61723.6,1.08344e-10,2.01648e-12,25.75,1e+06,32,1,11745.5
rff-mff-xtyp,ff,ff,typical,27,1.8,61723.6,1.0868e-10,2.01648e-12,25.79,1e+06,32,1,11729.7
rff-mff-xtyp,ff,ff,typical,27,2.25,61723.7,1.08767e-10,2.01648e-12,25.80,1e+06,32,1,11725.6
rff-mff-xtyp,ff,ff,typical,27,2.7,61723.7,1.08789e-10,2.01648e-12,25.80,1e+06,32,1,11724.6
rff-mff-xtyp,ff,ff,typical,125,0.9,61577.7,1.07053e-10,2.01823e-12,25.53,1e+06,32,1,11803.7
rff-mff-xtyp,ff,ff,typical,125,1.35,61578,1.08344e-10,2.01823e-12,25.69,1e+06,32,1,11742.4
rff-mff-xtyp,ff,ff,typical,125,1.8,61578,1.0868e-10,2.01823e-12,25.73,1e+06,32,1,11726.6
rff-mff-xtyp,ff,ff,typical,125,2.25,61578,1.08767e-10,2.01823e-12,25.74,1e+06,32,1,11722.5
rff-mff-xtyp,ff,ff,typical,125,2.7,61578,1.08789e-10,2.01823e-12,25.74,1e+06,32,1,11721.5
rff-mss-xff,ff,ss,ff,-40,0.9,62305.3,1.30832e-10,1.8151e-12,28.63,1e+06,32,1,10851.8
rff-mss-xff,ff,ss,ff,-40,1.35,62305.5,1.32409e-10,1.8151e-12,28.80,1e+06,32,1,10796.6
rff-mss-xff,ff,ss,ff,-40,1.8,62305.5,1.3282e-10,1.8151e-12,28.84,1e+06,32,1,10782.4
rff-mss-xff,ff,ss,ff,-40,2.25,62305.6,1.32926e-10,1.8151e-12,28.85,1e+06,32,1,10778.7
rff-mss-xff,ff,ss,ff,-40,2.7,62305.5,1.32953e-10,1.8151e-12,28.86,1e+06,32,1,10777.8
rff-mss-xff,ff,ss,ff,27,0.9,61727.2,1.30832e-10,1.8173e-12,28.38,1e+06,32,1,10838.3
rff-mss-xff,ff,ss,ff,27,1.35,61727.4,1.32409e-10,1.8173e-12,28.54,1e+06,32,1,10783
rff-mss-xff,ff,ss,ff,27,1.8,61727.4,1.3282e-10,1.8173e-12,28.59,1e+06,32,1,10768.8
rff-mss-xff,ff,ss,ff,27,2.25,61727.4,1.32926e-10,1.8173e-12,28.60,1e+06,32,1,10765.1
rff-mss-xff,ff,ss,ff,27,2.7,61727.5,1.32953e-10,1.8173e-12,28.60,1e+06,32,1,10764.2
rff-mss-xff,ff,ss,ff,125,0.9,61581.5,1.30832e-10,1.81888e-12,28.31,1e+06,32,1,10834.9
rff-mss-xff,ff,ss,ff,125,1.35,61581.7,1.32409e-10,1.81888e-12,28.48,1e+06,32,1,10779.6
rff-mss-xff,ff,ss,ff,125,1.8,61581.7,1.3282e-10,1.81888e-12,28.52,1e+06,32,1,10765.3
rff-mss-xff,ff,ss,ff,125,2.25,61581.8,1.32926e-10,1.81888e-12,28.53,1e+06,32,1,10761.6
rff-mss-xff,ff,ss,ff,125,2.7,61581.8,1.32953e-10,1.81888e-12,28.54,1e+06,32,1,10760.7
rff-mss-xss,ff,ss,ss,-40,0.9,62302.8,1.30832e-10,2.21299e-12,28.49,1e+06,32,1,10833.3
rff-mss-xss,ff,ss,ss,-40,1.35,62303,1.32409e-10,2.21299e-12,28.66,1e+06,32,1,10778.4
rff-mss-xss,ff,ss,ss,-40,1.8,62303,1.3282e-10,2.21299e-12,28.71,1e+06,32,1,10764.2
rff-mss-xss,ff,ss,ss,-40,2.25,62303.1,1.32926e-10,2.21299e-12,28.72,1e+06,32,1,10760.6
rff-mss-xss,ff,ss,ss,-40,2.7,62303.1,1.32953e-10,2.21299e-12,28.72,1e+06,32,1,10759.7
rff-mss-xss,ff,ss,ss,27,0.9,61724.9,1.30832e-10,2.21567e-12,28.24,1e+06,32,1,10819.8
rff-mss-xss,ff,ss,ss,27,1.35,61725,1.32409e-10,2.21567e-12,28.41,1e+06,32,1,10764.8
rff-mss-xss,ff,ss,ss,27,1.8,61725.1,1.3282e-10,2.21567e-12,28.46,1e+06,32,1,10750.6
rff-mss-xss,ff,ss,ss,27,2.25,61725.1,1.32926e-10,2.21567e-12,28.47,1e+06,32,1,10747
rff-mss-xss,ff,ss,ss,27,2.7,61725.1,1.32953e-10,2.21567e-12,28.47,1e+06,32,1,10746
rff-mss-xss,ff,ss,ss,125,0.9,61579.3,1.30832e-10,2.21759e-12,28.18,1e+06,32,1,10816.4
rff-mss-xss,ff,ss,ss,125,1.35,61579.4,1.32409e-10,2.21759e-12,28.35,1e+06,32,1,10761.4
rff-mss-xss,ff,ss,ss,125,1.8,61579.4,1.3282e-10,2.21759e-12,28.39,1e+06,32,1,10747.2
rff-mss-xss,ff,ss,ss,125,2.25,61579.4,1.32926e-10,2.21759e-12,28.40,1e+06,32,1,10743.5
rff-mss-xss,ff,ss,ss,125,2.7,61579.4,1.32953e-10,2.21759e-12,28.40,1e+06,32,1,10742.6
rff-mss-xtyp,ff,ss,typical,-40,0.9,62304,1.30832e-10,2.01404e-12,28.56,1e+06,32,1,10842.6
rff-mss-xtyp,ff,ss,typical,-40,1.35,62304.2,1.32409e-10,2.01404e-12,28.73,1e+06,32,1,10787.5
rff-mss-xtyp,ff,ss,typical,-40,1.8,62304.2,1.3282e-10,2.01404e-12,28.77,1e+06,32,1,10773.3
rff-mss-xtyp,ff,ss,typical,-40,2.25,62304.3,1.32926e-10,2.01404e-12,28.79,1e+06,32,1,10769.7
rff-mss-xtyp,ff,ss,typical,-40,2.7,62304.2,1.32953e-10,2.01404e-12,28.79,1e+06,32,1,10768.7
rff-mss-xtyp,ff,ss,typical,27,0.9,61725.9,1.30832e-10,2.01648e-12,28.31,1e+06,32,1,10829.1
rff-mss-xtyp,ff,ss,typical,27,1.35,61726.2,1.32409e-10,2.01648e-12,28.48,1e+06,32,1,10773.9
rff-mss-xtyp,ff,ss,typical,27,1.8,61726.2,1.3282e-10,2.01648e-12,28.52,1e+06,32,1,10759.7
rff-mss-xtyp,ff,ss,typical,27,2.25,61726.2,1.32926e-10,2.01648e-12,28.53,1e+06,32,1,10756
rff-mss-xtyp,ff,ss,typical,27,2.7,61726.2,1.32953e-10,2.01648e-12,28.54,1e+06,32,1,10755.1
rff-mss-xtyp,ff,ss,typical,125,0.9,61580.3,1.30832e-10,2.01823e-12,28.25,1e+06,32,1,10825.6
rff-mss-xtyp,ff,ss,typical,125,1.35,61580.4,1.32409e-10,2.01823e-12,28.41,1e+06,32,1,10770.4
rff-mss-xtyp,ff,ss,typical,125,1.8,61580.5,1.3282e-10,2.01823e-12,28.46,1e+06,32,1,10756.2
rff-mss-xtyp,ff,ss,typical,125,2.25,61580.5,1.32926e-10,2.01823e-12,28.47,1e+06,32,1,10752.6
rff-mss-xtyp,ff,ss,typical,125,2.7,61580.6,1.32953e-10,2.01823e-12,28.47,1e+06,32,1,10751.6
rff-mtyp-xff,ff,typical,ff,-40,0.9,62304.1,1.18943e-10,1.8151e-12,27.30,1e+06,32,1,11303
rff-mtyp-xff,ff,typical,ff,-40,1.35,62304.3,1.20376e-10,1.8151e-12,27.46,1e+06,32,1,11244.6
rff-mtyp-xff,ff,typical,ff,-40,1.8,62304.2,1.2075e-10,1.8151e-12,27.50,1e+06,32,1,11229.6
rff-mtyp-xff,ff,typical,ff,-40,2.25,62304.3,1.20846e-10,1.8151e-12,27.51,1e+06,32,1,11225.7
rff-mtyp-xff,ff,typical,ff,-40,2.7,62304.3,1.20871e-10,1.8151e-12,27.52,1e+06,32,1,11224.7
rff-mtyp-xff,ff,typical,ff,27,0.9,61726,1.18943e-10,1.8173e-12,27.06,1e+06,32,1,11290.2
rff-mtyp-xff,ff,typical,ff,27,1.35,61726.2,1.20376e-10,1.8173e-12,27.22,1e+06,32,1,11231.7
rff-mtyp-xff,ff,typical,ff,27,1.8,61726.3,1.2075e-10,1.8173e-12,27.26,1e+06,32,1,11216.6
rff-mtyp-xff,ff,typical,ff,27,2.25,61726.3,1.20846e-10,1.8173e-12,27.27,1e+06,32,1,11212.8
rff-mtyp-xff,ff,typical,ff,27,2.7,61726.3,1.20871e-10,1.8173e-12,27.27,1e+06,32,1,11211.8
rff-mtyp-xff,ff,typical,ff,125,0.9,61580.4,1.18943e-10,1.81888e-12,27.00,1e+06,32,1,11286.9
rff-mtyp-xff,ff,typical,ff,125,1.35,61580.6,1.20376e-10,1.81888e-12,27.16,1e+06,32,1,11228.4
rff-mtyp-xff,ff,typical,ff,125,1.8,61580.6,1.2075e-10,1.81888e-12,27.20,1e+06,32,1,11213.4
rff-mtyp-xff,ff,typical,ff,125,2.25,61580.7,1.20846e-10,1.81888e-12,27.21,1e+06,32,1,11209.5
rff-mtyp-xff,ff,typical,ff,125,2.7,61580.7,1.20871e-10,1.81888e-12,27.21,1e+06,32,1,11208.6
rff-mtyp-xss,ff,typical,ss,-40,0.9,62301.7,1.18943e-10,2.21299e-12,27.16,1e+06,32,1,11282
rff-mtyp-xss,ff,typical,ss,-40,1.35,62301.9,1.20376e-10,2.21299e-12,27.32,1e+06,32,1,11223.9
rff-mtyp-xss,ff,typical,ss,-40,1.8,62301.9,1.2075e-10,2.21299e-12,27.36,1e+06,32,1,11209
rff-mtyp-xss,ff,typical,ss,-40,2.25,62301.9,1.20846e-10,2.21299e-12,27.38,1e+06,32,1,11205.2
rff-mtyp-xss,ff,typical,ss,-40,2.7,62302,1.20871e-10,2.21299e-12,27.38,1e+06,32,1,11204.3
rff-mtyp-xss,ff,typical,ss,27,0.9,61723.7,1.18943e-10,2.21567e-12,26.92,1e+06,32,1,11269.2
rff-mtyp-xss,ff,typical,ss,27,1.35,61723.9,1.20376e-10,2.21567e-12,27.08,1e+06,32,1,11211.1
rff-mtyp-xss,ff,typical,ss,27,1.8,61723.9,1.2075e-10,2.21567e-12,27.12,1e+06,32,1,11196.3
rff-mtyp-xss,ff,typical,ss,27,2.25,61724,1.20846e-10,2.21567e-12,27.13,1e+06,32,1,11192.5
rff-mtyp-xss,ff,typical,ss,27,2.7,61724,1.20871e-10,2.21567e-12,27.14,1e+06,32,1,11191.5
rff-mtyp-xss,ff,typical,ss,125,0.9,61578,1.18943e-10,2.21759e-12,26.86,1e+06,32,1,11265.9
rff-mtyp-xss,ff,typical,ss,125,1.35,61578.2,1.20376e-10,2.21759e-12,27.02,1e+06,32,1,11207.9
rff-mtyp-xss,ff,typical,ss,125,1.8,61578.3,1.2075e-10,2.21759e-12,27.06,1e+06,32,1,11193
rff-mtyp-xss,ff,typical,ss,125,2.25,61578.3,1.20847e-10,2.21759e-12,27.07,1e+06,32,1,11189.2
rff-mtyp-xss,ff,typical,ss,125,2.7,61578.3,1.20871e-10,2.21759e-12,27.08,1e+06,32,1,11188.2
rff-mtyp-xtyp,ff,typical,typical,-40,0.9,62302.9,1.18943e-10,2.01404e-12,27.23,1e+06,32,1,11292.5
rff-mtyp-xtyp,ff,typical,typical,-40,1.35,62303,1.20376e-10,2.01404e-12,27.39,1e+06,32,1,11234.3
rff-mtyp-xtyp,ff,typical,typical,-40,1.8,62303.1,1.2075e-10,2.01404e-12,27.43,1e+06,32,1,11219.2
rff-mtyp-xtyp,ff,typical,typical,-40,2.25,62303.1,1.20846e-10,2.01404e-12,27.45,1e+06,32,1,11215.4
rff-mtyp-xtyp,ff,typical,typical,-40,2.7,62303.1,1.20871e-10,2.01404e-12,27.45,1e+06,32,1,11214.5
rff-mtyp-xtyp,ff,typical,typical,27,0.9,61724.8,1.18943e-10,2.01648e-12,26.99,1e+06,32,1,11279.7
rff-mtyp-xtyp,ff,typical,typical,27,1.35,61725,1.20376e-10,2.01648e-12,27.15,1e+06,32,1,11221.3
rff-mtyp-xtyp,ff,typical,typical,27,1.8,61725.1,1.2075e-10,2.01648e-12,27.19,1e+06,32,1,11206.4
rff-mtyp-xtyp,ff,typical,typical,27,2.25,61725.1,1.20846e-10,2.01648e-12,27.20,1e+06,32,1,11202.6
rff-mtyp-xtyp,ff,typical,typical,27,2.7,61725.1,1.20871e-10,2.01648e-12,27.21,1e+06,32,1,11201.6
rff-mtyp-xtyp,ff,typical,typical,125,0.9,61579.1,1.18943e-10,2.01823e-12,26.93,1e+06,32,1,11276.4
rff-mtyp-xtyp,ff,typical,typical,125,1.35,61579.4,1.20376e-10,2.01823e-12,27.09,1e+06,32,1,11218.1
rff-mtyp-xtyp,ff,typical,typical,125,1.8,61579.4,1.2075e-10,2.01823e-12,27.13,1e+06,32,1,11203.2
rff-mtyp-xtyp,ff,typical,typical,125,2.25,61579.4,1.20846e-10,2.01823e-12,27.14,1e+06,32,1,11199.4
rff-mtyp-xtyp,ff,typical,typical,125,2.7,61579.4,1.20871e-10,2.01823e-12,27.14,1e+06,32,1,11198.4
rss-mff-xff,ss,ff,ff,-40,0.9,93352.1,1.07054e-10,1.81378e-12,37.70,1e+06,32,1,12654.4
rss-mff-xff,ss,ff,ff,-40,1.35,93352.3,1.08344e-10,1.81378e-12,37.91,1e+06,32,1,12598.2
rss-mff-xff,ss,ff,ff,-40,1.8,93352.3,1.08681e-10,1.81378e-12,37.96,1e+06,32,1,12583.8
rss-mff-xff,ss,ff,ff,-40,2.25,93352.3,1.08767e-10,1.81378e-12,37.98,1e+06,32,1,12580.1
rss-mff-xff,ss,ff,ff,-40,2.7,93352.4,1.08789e-10,1.81378e-12,37.98,1e+06,32,1,12579.2
rss-mff-xff,ss,ff,ff,27,0.9,92496.9,1.07054e-10,1.81599e-12,37.38,1e+06,32,1,12626.5
rss-mff-xff,ss,ff,ff,27,1.35,92497.2,1.08344e-10,1.81599e-12,37.60,1e+06,32,1,12570.3
rss-mff-xff,ss,ff,ff,27,1.8,92497.2,1.08681e-10,1.81599e-12,37.65,1e+06,32,1,12556
rss-mff-xff,ss,ff,ff,27,2.25,92497.3,1.08767e-10,1.81599e-12,37.67,1e+06,32,1,12552.3
rss-mff-xff,ss,ff,ff,27,2.7,92497.2,1.08789e-10,1.81599e-12,37.67,1e+06,32,1,12551.4
rss-mff-xff,ss,ff,ff,125,0.9,92295,1.07054e-10,1.81757e-12,37.31,1e+06,32,1,12619.8
rss-mff-xff,ss,ff,ff,125,1.35,92295.3,1.08344e-10,1.81757e-12,37.52,1e+06,32,1,12563.7
rss-mff-xff,ss,ff,ff,125,1.8,92295.3,1.08681e-10,1.81757e-12,37.58,1e+06,32,1,12549.4
rss-mff-xff,ss,ff,ff,125,2.25,92295.3,1.08767e-10,1.81757e-12,37.59,1e+06,32,1,12545.7
rss-mff-xff,ss,ff,ff,125,2.7,92295.3,1.08789e-10,1.81757e-12,37.60,1e+06,32,1,12544.8
rss-mff-xss,ss,ff,ss,-40,0.9,93341.9,1.07054e-10,2.21168e-12,34.92,2.5e+07,6,4,1.09262e+06
rss-mff-xss,ss,ff,ss,-40,1.35,93342.3,1.08344e-10,2.21168e-12,34.92,2.5e+07,6,4,1.09267e+06
rss-mff-xss,ss,ff,ss,-40,1.8,93342.4,1.08681e-10,2.21168e-12,34.92,2.5e+07,6,4,1.09268e+06
rss-mff-xss,ss,ff,ss,-40,2.25,93342.4,1.08767e-10,2.21168e-12,34.92,2.5e+07,6,4,1.09269e+06
rss-mff-xss,ss,ff,ss,-40,2.7,93342.4,1.08789e-10,2.21168e-12,34.92,2.5e+07,6,4,1.09269e+06
rss-mff-xss,ss,ff,ss,27,0.9,92487,1.07054e-10,2.21438e-12,35.19,2.5e+07,6,4,1.09001e+06
rss-mff-xss,ss,ff,ss,27,1.35,92487.3,1.08344e-10,2.21438e-12,35.19,2.5e+07,6,4,1.09007e+06
rss-mff-xss,ss,ff,ss,27,1.8,92487.4,1.08681e-10,2.21438e-12,35.19,2.5e+07,6,4,1.09008e+06
rss-mff-xss,ss,ff,ss,27,2.25,92487.4,1.08767e-10,2.21438e-12,35.19,2.5e+07,6,4,1.09008e+06
rss-mff-xss,ss,ff,ss,27,2.7,92487.5,1.08789e-10,2.21438e-12,35.19,2.5e+07,6,4,1.09008e+06
rss-mff-xss,ss,ff,ss,125,0.9,92285.1,1.07054e-10,2.2163e-12,35.24,2.5e+07,6,4,1.08914e+06
rss-mff-xss,ss,ff,ss,125,1.35,92285.4,1.08344e-10,2.2163e-12,35.25,2.5e+07,6,4,1.08919e+06
rss-mff-xss,ss,ff,ss,125,1.8,92285.6,1.08681e-10,2.2163e-12,35.25,2.5e+07,6,4,1.08921e+06
rss-mff-xss,ss,ff,ss,125,2.25,92285.6,1.08767e-10,2.2163e-12,35.25,2.5e+07,6,4,1.08921e+06
rss-mff-xss,ss,ff,ss,125,2.7,92285.6,1.08789e-10,2.2163e-12,35.25,2.5e+07,6,4,1.08921e+06
rss-mff-xtyp,ss,ff,typical,-40,0.9,93346.6,1.07054e-10,2.01273e-12,36.45,2.5e+07,6,4,1.13425e+06
rss-mff-xtyp,ss,ff,typical,-40,1.35,93346.9,1.08344e-10,2.01273e-12,36.45,2.5e+07,6,4,1.1343e+06
rss-mff-xtyp,ss,ff,typical,-40,1.8,93346.9,1.08681e-10,2.01273e-12,36.45,2.5e+07,6,4,1.13431e+06
rss-mff-xtyp,ss,ff,typical,-40,2.25,93347,1.08767e-10,2.01273e-12,36.45,2.5e+07,6,4,1.13432e+06
rss-mff-xtyp,ss,ff,typical,-40,2.7,93346.9,1.08789e-10,2.01273e-12,36.45,2.5e+07,6,4,1.13432e+06
rss-mff-xtyp,ss,ff,typical,27,0.9,92491.5,1.07054e-10,2.01518e-12,36.73,2.5e+07,6,4,1.13138e+06
rss-mff-xtyp,ss,ff,typical,27,1.35,92491.9,1.08344e-10,2.01518e-12,36.73,2.5e+07,6,4,1.13143e+06
rss-mff-xtyp,ss,ff,typical,27,1.8,92492,1.08681e-10,2.01518e-12,36.73,2.5e+07,6,4,1.13145e+06
rss-mff-xtyp,ss,ff,typical,27,2.25,92492,1.08767e-10,2.01518e-12,36.73,2.5e+07,6,4,1.13145e+06
rss-mff-xtyp,ss,ff,typical,27,2.7,92492,1.08789e-10,2.01518e-12,36.73,2.5e+07,6,4,1.13145e+06
rss-mff-xtyp,ss,ff,typical,125,0.9,92289.6,1.07054e-10,2.01694e-12,36.79,2.5e+07,6,4,1.13044e+06
rss-mff-xtyp,ss,ff,typical,125,1.35,92290,1.08344e-10,2.01694e-12,36.79,2.5e+07,6,4,1.13049e+06
rss-mff-xtyp,ss,ff,typical,125,1.8,92290,1.08681e-10,2.01694e-12,36.79,2.5e+07,6,4,1.13051e+06
rss-mff-xtyp,ss,ff,typical,125,2.25,92290.1,1.08767e-10,2.01694e-12,36.79,2.5e+07,6,4,1.13051e+06
rss-mff-xtyp,ss,ff,typical,125,2.7,92290.1,1.08789e-10,2.01694e-12,36.79,2.5e+07,6,4,1.13051e+06
rss-mss-xff,ss,ss,ff,-40,0.9,93356.5,1.30831e-10,1.81378e-12,38.24,2.5e+07,6,4,1.18164e+06
rss-mss-xff,ss,ss,ff,-40,1.35,93356.8,1.32408e-10,1.81378e-12,38.24,2.5e+07,6,4,1.18169e+06
rss-mss-xff,ss,ss,ff,-40,1.8,93356.9,1.32819e-10,1.81378e-12,38.24,2.5e+07,6,4,1.1817e+06
rss-mss-xff,ss,ss,ff,-40,2.25,93356.9,1.32925e-10,1.81378e-12,38.24,2.5e+07,6,4,1.18171e+06
rss-mss-xff,ss,ss,ff,-40,2.7,93356.9,1.32952e-10,1.81378e-12,38.24,2.5e+07,6,4,1.18171e+06
rss-mss-xff,ss,ss,ff,27,0.9,92501.2,1.30831e-10,1.81599e-12,38.53,2.5e+07,6,4,1.17841e+06
rss-mss-xff,ss,ss,ff,27,1.35,92501.5,1.32408e-10,1.81599e-12,38.53,2.5e+07,6,4,1.17845e+06
rss-mss-xff,ss,ss,ff,27,1.8,92501.5,1.32819e-10,1.81599e-12,38.53,2.5e+07,6,4,1.17847e+06
rss-mss-xff,ss,ss,ff,27,2.25,92501.6,1.32925e-10,1.81599e-12,38.53,2.5e+07,6,4,1.17847e+06
rss-mss-xff,ss,ss,ff,27,2.7,92501.7,1.32952e-10,1.81599e-12,38.53,2.5e+07,6,4,1.17847e+06
rss-mss-xff,ss,ss,ff,125,0.9,92299.2,1.30831e-10,1.81757e-12,38.59,2.5e+07,6,4,1.17737e+06
rss-mss-xff,ss,ss,ff,125,1.35,92299.5,1.32408e-10,1.81757e-12,38.59,2.5e+07,6,4,1.17742e+06
rss-mss-xff,ss,ss,ff,125,1.8,92299.6,1.32819e-10,1.81757e-12,38.59,2.5e+07,6,4,1.17743e+06
rss-mss-xff,ss,ss,ff,125,2.25,92299.7,1.32925e-10,1.81757e-12,38.59,2.5e+07,6,4,1.17744e+06
rss-mss-xff,ss,ss,ff,125,2.7,92299.7,1.32952e-10,1.81757e-12,38.59,2.5e+07,6,4,1.17744e+06
rss-mss-xss,ss,ss,ss,-40,0.9,93346.3,1.30831e-10,2.21168e-12,34.95,2.5e+07,6,4,1.09343e+06
rss-mss-xss,ss,ss,ss,-40,1.35,93346.7,1.32408e-10,2.21168e-12,34.95,2.5e+07,6,4,1.09347e+06
rss-mss-xss,ss,ss,ss,-40,1.8,93346.7,1.32819e-10,2.21168e-12,34.95,2.5e+07,6,4,1.09349e+06
rss-mss-xss,ss,ss,ss,-40,2.25,93346.8,1.32925e-10,2.21168e-12,34.95,2.5e+07,6,4,1.09349e+06
rss-mss-xss,ss,ss,ss,-40,2.7,93346.7,1.32952e-10,2.21168e-12,34.95,2.5e+07,6,4,1.09349e+06
rss-mss-xss,ss,ss,ss,27,0.9,92491.3,1.30831e-10,2.21438e-12,35.22,2.5e+07,6,4,1.09084e+06
rss-mss-xss,ss,ss,ss,27,1.35,92491.6,1.32408e-10,2.21438e-12,35.22,2.5e+07,6,4,1.09088e+06
rss-mss-xss,ss,ss,ss,27,1.8,92491.7,1.32819e-10,2.21438e-12,35.22,2.5e+07,6,4,1.09089e+06
rss-mss-xss,ss,ss,ss,27,2.25,92491.8,1.32925e-10,2.21438e-12,35.22,2.5e+07,6,4,1.0909e+06
rss-mss-xss,ss,ss,ss,27,2.7,92491.7,1.32952e-10,2.21438e-12,35.22,2.5e+07,6,4,1.0909e+06
rss-mss-xss,ss,ss,ss,125,0.9,92289.5,1.30831e-10,2.2163e-12,35.28,2.5e+07,6,4,1.08997e+06
rss-mss-xss,ss,ss,ss,125,1.35,92289.7,1.32408e-10,2.2163e-12,35.28,2.5e+07,6,4,1.09001e+06
rss-mss-xss,ss,ss,ss,125,1.8,92289.8,1.32819e-10,2.2163e-12,35.28,2.5e+07,6,4,1.09002e+06
rss-mss-xss,ss,ss,ss,125,2.25,92289.9,1.32925e-10,2.2163e-12,35.28,2.5e+07,6,4,1.09002e+06
rss-mss-xss,ss,ss,ss,125,2.7,92289.8,1.32952e-10,2.2163e-12,35.28,2.5e+07,6,4,1.09003e+06
rss-mss-xtyp,ss,ss,typical,-40,0.9,93350.9,1.30831e-10,2.01273e-12,36.48,2.5e+07,6,4,1.13508e+06
