f_ref_hz,n_div,f_out_hz,trim_units,kappa_min_per_v,kappa_max_per_v,icp_min_a,icp_max_a,a_min,a_max,fc_min_hz,fc_max_hz,fc_over_fref_max,pm_min_deg,pm_min_at,settle_max_s,pass_pm,pass_fcratio,pass_lock
1e+06,24,2.4e+07,3,0.33058,0.51588,4.91572e-06,5.48111e-06,1.62505,2.82759,21233.9,43879.6,0.04388,42.19,rff-mff-xss@125C@0.9V,9.46742e-05,0,1,1
1e+06,24,2.4e+07,4,0.33058,0.51588,6.55426e-06,7.30785e-06,2.16672,3.76997,26054.5,57051.3,0.05705,47.51,rff-mff-xss@125C@0.9V,7.06951e-05,1,1,1
1e+06,32,3.2e+07,1,0.32894,0.61948,1.6386e-06,1.82741e-06,0.538997,1.13204,10742.6,20814.4,0.02081,25.46,rff-mff-xss@125C@0.9V,0.000287911,0,1,0
1e+06,32,3.2e+07,2,0.32894,0.61948,3.27717e-06,3.6543e-06,1.07798,2.26375,16220.2,36105.8,0.03611,35.21,rff-mff-xss@125C@0.9V,0.000143346,0,1,0
1e+06,32,3.2e+07,3,0.32894,0.61948,4.91572e-06,5.48111e-06,1.61697,3.39542,21160.7,51795.6,0.05180,42.10,rff-mff-xss@125C@0.9V,9.51536e-05,0,1,1
1e+06,32,3.2e+07,4,0.32894,0.61948,6.55426e-06,7.30785e-06,2.15594,4.52704,25959.3,67734,0.06773,47.41,rff-mff-xss@125C@0.9V,7.10547e-05,1,1,1
1e+06,48,4.8e+07,1,0.34005,0.67637,1.6386e-06,1.82741e-06,0.557203,1.236,10947.2,22207.7,0.02221,25.87,rff-mff-xss@125C@0.9V,0.000278464,0,1,0
1e+06,48,4.8e+07,2,0.34005,0.67637,3.27717e-06,3.6543e-06,1.11439,2.47166,16563.2,38960.9,0.03896,35.74,rff-mff-xss@125C@0.9V,0.000138622,0,1,0
1e+06,48,4.8e+07,3,0.34005,0.67637,4.91572e-06,5.48111e-06,1.67158,3.70725,21653,56167.8,0.05617,42.70,rff-mff-xss@125C@0.9V,9.20042e-05,0,1,1
1e+06,48,4.8e+07,4,0.34005,0.67637,6.55426e-06,7.30785e-06,2.22876,4.94281,26600.3,73622.9,0.07362,48.04,rff-mff-xss@125C@0.9V,6.86923e-05,1,1,1
1e+06,64,6.4e+07,1,0.34876,0.58039,1.6386e-06,1.82741e-06,0.571476,1.06062,11105.5,19853.8,0.01985,26.19,rff-mff-xss@125C@0.9V,0.000271479,0,1,0
1e+06,64,6.4e+07,2,0.34876,0.58039,3.27717e-06,3.6543e-06,1.14294,2.12093,16830.1,34153.7,0.03415,36.16,rff-mff-xss@125C@0.9V,0.000135129,0,1,0
1e+06,64,6.4e+07,3,0.34876,0.58039,4.91572e-06,5.48111e-06,1.7144,3.1812,22035.5,48800.9,0.04880,43.16,rff-mff-xss@125C@0.9V,8.96753e-05,0,1,1
1e+06,64,6.4e+07,4,0.34876,0.58039,6.55426e-06,7.30785e-06,2.28586,4.24143,27108.7,63696.2,0.06370,48.52,rff-mff-xss@125C@0.9V,6.69454e-05,1,1,1
2e+06,6,1.2e+07,1,0.32936,0.57248,1.6386e-06,1.82741e-06,1.07938,2.09233,16233.4,33762,0.01688,35.23,rff-mff-xss@125C@0.9V,0.000143159,0,1,0
2e+06,6,1.2e+07,2,0.32936,0.57248,3.27717e-06,3.6543e-06,2.15874,4.18406,25984,62885.3,0.03144,47.44,rff-mff-xss@125C@0.9V,7.09611e-05,1,1,1
2e+06,6,1.2e+07,3,0.32936,0.57248,4.91572e-06,5.48111e-06,3.23809,6.2757,35554.4,92545.7,0.04627,55.14,rff-mff-xss@125C@0.9V,4.77816e-05,1,1,1
2e+06,6,1.2e+07,4,0.32936,0.57248,6.55426e-06,7.30785e-06,4.31743,8.36726,45258.2,122240,0.06112,60.38,rff-mff-xss@125C@0.9V,5.04982e-05,1,1,1
2e+06,8,1.6e+07,1,0.33147,0.67805,1.6386e-06,1.82741e-06,1.08628,2.47815,16298.7,39050.2,0.01953,35.33,rff-mff-xss@125C@0.9V,0.000142242,0,1,0
2e+06,8,1.6e+07,2,0.33147,0.67805,3.27717e-06,3.6543e-06,2.17254,4.9556,26105.9,73804.1,0.03690,47.56,rff-mff-xss@125C@0.9V,7.05023e-05,1,1,1
2e+06,8,1.6e+07,3,0.33147,0.67805,4.91572e-06,5.48111e-06,3.25879,7.43294,35740.3,108974,0.05449,55.26,rff-mff-xss@125C@0.9V,4.95143e-05,1,1,1
2e+06,8,1.6e+07,4,0.33147,0.67805,6.55426e-06,7.30785e-06,4.34503,9.91018,45509,144104,0.07205,60.49,rff-mff-xss@125C@0.9V,5.16599e-05,1,1,1
2e+06,12,2.4e+07,1,0.33058,0.51588,1.6386e-06,1.82741e-06,1.08338,1.88545,16271.3,30950.9,0.01548,35.29,rff-mff-xss@125C@0.9V,0.000142625,0,1,0
2e+06,12,2.4e+07,2,0.33058,0.51588,3.27717e-06,3.6543e-06,2.16675,3.77035,26054.7,57056.8,0.02853,47.51,rff-mff-xss@125C@0.9V,7.06942e-05,1,1,1
2e+06,12,2.4e+07,3,0.33058,0.51588,4.91572e-06,5.48111e-06,3.2501,5.65518,35662.3,83730.8,0.04187,55.21,rff-mff-xss@125C@0.9V,4.67096e-05,1,1,1
2e+06,12,2.4e+07,4,0.33058,0.51588,6.55426e-06,7.30785e-06,4.33344,7.53993,45403.7,110491,0.05525,60.44,rff-mff-xss@125C@0.9V,4.96418e-05,1,1,1
2e+06,16,3.2e+07,1,0.32894,0.61948,1.6386e-06,1.82741e-06,1.07799,2.26408,16220.3,36110.3,0.01806,35.21,rff-mff-xss@125C@0.9V,0.000143344,0,1,0
2e+06,16,3.2e+07,2,0.32894,0.61948,3.27717e-06,3.6543e-06,2.15597,4.52751,25959.5,67740.5,0.03387,47.41,rff-mff-xss@125C@0.9V,7.10538e-05,1,1,1
2e+06,16,3.2e+07,3,0.32894,0.61948,4.91572e-06,5.48111e-06,3.23393,6.79084,35517.1,99861,0.04993,55.11,rff-mff-xss@125C@0.9V,4.86441e-05,1,1,1
2e+06,16,3.2e+07,4,0.32894,0.61948,6.55426e-06,7.30785e-06,4.31189,9.05408,45207.8,131994,0.06600,60.35,rff-mff-xss@125C@0.9V,5.10716e-05,1,1,1
2e+06,24,4.8e+07,1,0.34005,0.67637,1.6386e-06,1.82741e-06,1.11441,2.47201,16563.3,38965.7,0.01948,35.74,rff-mff-xss@125C@0.9V,0.000138621,0,1,0
2e+06,24,4.8e+07,2,0.34005,0.67637,3.27717e-06,3.6543e-06,2.22879,4.94331,26600.5,73630.1,0.03682,48.04,rff-mff-xss@125C@0.9V,6.86915e-05,1,1,1
2e+06,24,4.8e+07,3,0.34005,0.67637,4.91572e-06,5.48111e-06,3.34316,7.41451,36495.9,108712,0.05436,55.74,rff-mff-xss@125C@0.9V,4.94919e-05,1,1,1
2e+06,24,4.8e+07,4,0.34005,0.67637,6.55426e-06,7.30785e-06,4.45753,9.88561,46528.9,143758,0.07188,60.93,rff-mff-xss@125C@0.9V,5.16446e-05,1,1,1
2e+06,32,6.4e+07,1,0.34876,0.58039,1.6386e-06,1.82741e-06,1.14295,2.12124,16830.2,34157.8,0.01708,36.16,rff-mff-xss@125C@0.9V,0.000135128,0,1,0
2e+06,32,6.4e+07,2,0.34876,0.58039,3.27717e-06,3.6543e-06,2.28588,4.24187,27108.9,63702.3,0.03185,48.52,rff-mff-xss@125C@0.9V,6.69445e-05,1,1,1
2e+06,32,6.4e+07,3,0.34876,0.58039,4.91572e-06,5.48111e-06,3.4288,6.36241,37259.2,93776.7,0.04689,56.21,rff-mff-xss@125C@0.9V,4.79393e-05,1,1,1
2e+06,32,6.4e+07,4,0.34876,0.58039,6.55426e-06,7.30785e-06,4.57171,8.48286,47563.7,123884,0.06194,61.36,rff-mff-xss@125C@0.9V,5.06023e-05,1,1,1
2e+06,48,9.6e+07,1,0.35864,0.67100,1.6386e-06,1.82741e-06,1.17532,2.4524,17134.4,38696,0.01935,36.61,rff-mff-xss@125C@0.9V,0.000131373,0,1,0
2e+06,48,9.6e+07,2,0.35864,0.67100,3.27717e-06,3.6543e-06,2.35062,4.9041,27681.6,73074.4,0.03654,49.05,rff-mff-xss@125C@0.9V,6.50665e-05,1,1,1
2e+06,48,9.6e+07,3,0.35864,0.67100,4.91572e-06,5.48111e-06,3.5259,7.35569,38129.1,107878,0.05394,56.73,rff-mff-xss@125C@0.9V,4.94194e-05,1,1,1
2e+06,48,9.6e+07,4,0.35864,0.67100,6.55426e-06,7.30785e-06,4.70118,9.80719,48744,142651,0.07133,61.84,rff-mff-xss@125C@0.9V,5.15953e-05,1,1,1
2e+06,64,1.28e+08,1,0.36592,0.72792,1.6386e-06,1.82741e-06,1.19918,2.66042,17356.7,41564.4,0.02078,36.94,rff-mff-xss@125C@0.9V,0.000128735,0,1,0
2e+06,64,1.28e+08,2,0.36592,0.72792,3.27717e-06,3.6543e-06,2.39833,5.32009,28101.2,78973.5,0.03949,49.43,rff-mff-xss@125C@0.9V,6.3747e-05,1,1,1
2e+06,64,1.28e+08,3,0.36592,0.72792,4.91572e-06,5.48111e-06,3.59747,7.97963,38771.5,116723,0.05836,57.10,rff-mff-xss@125C@0.9V,5.01232e-05,1,1,1
2e+06,64,1.28e+08,4,0.36592,0.72792,6.55426e-06,7.30785e-06,4.79661,10.6391,49611.4,154370,0.07718,62.17,rff-mff-xss@125C@0.9V,5.20771e-05,1,1,1
4e+06,4,1.6e+07,1,0.33147,0.67805,1.6386e-06,1.82741e-06,2.17256,4.95631,26106.1,73814.1,0.01845,47.56,rff-mff-xss@125C@0.9V,7.05016e-05,1,1,1
4e+06,4,1.6e+07,2,0.33147,0.67805,3.27717e-06,3.6543e-06,4.34508,9.9112,45509.5,144119,0.03603,60.49,rff-mff-xss@125C@0.9V,5.16605e-05,1,1,1
4e+06,4,1.6e+07,3,0.33147,0.67805,4.91572e-06,5.48111e-06,6.51758,14.8659,65433.4,212902,0.05323,66.83,rff-mff-xss@125C@0.9V,5.36256e-05,1,1,1
4e+06,4,1.6e+07,4,0.33147,0.67805,6.55426e-06,7.30785e-06,8.69006,19.8204,85662,278921,0.06973,67.52,rss-mff-xss@-40C@0.9V,5.45534e-05,1,1,1
4e+06,6,2.4e+07,1,0.33058,0.51588,1.6386e-06,1.82741e-06,2.16677,3.77089,26054.9,57064.4,0.01427,47.51,rff-mff-xss@125C@0.9V,7.06936e-05,1,1,1
4e+06,6,2.4e+07,2,0.33058,0.51588,3.27717e-06,3.6543e-06,4.33349,7.54071,45404.2,110502,0.02763,60.44,rff-mff-xss@125C@0.9V,4.96427e-05,1,1,1
4e+06,6,2.4e+07,3,0.33058,0.51588,4.91572e-06,5.48111e-06,6.50019,11.3104,65272.5,163783,0.04095,66.79,rff-mff-xss@125C@0.9V,5.24085e-05,1,1,1
4e+06,6,2.4e+07,4,0.33058,0.51588,6.55426e-06,7.30785e-06,8.66688,15.0799,85445,215811,0.05395,70.20,rff-mff-xss@125C@0.9V,5.36792e-05,1,1,1
4e+06,8,3.2e+07,1,0.32894,0.61948,1.6386e-06,1.82741e-06,2.15599,4.52815,25959.7,67749.7,0.01694,47.41,rff-mff-xss@125C@0.9V,7.10532e-05,1,1,1
4e+06,8,3.2e+07,2,0.32894,0.61948,3.27717e-06,3.6543e-06,4.31194,9.05501,45208.3,132007,0.03300,60.35,rff-mff-xss@125C@0.9V,5.10723e-05,1,1,1
4e+06,8,3.2e+07,3,0.32894,0.61948,4.91572e-06,5.48111e-06,6.46786,13.5817,64973.3,195313,0.04883,66.73,rff-mff-xss@125C@0.9V,5.32657e-05,1,1,1
4e+06,8,3.2e+07,4,0.32894,0.61948,6.55426e-06,7.30785e-06,8.62377,18.1082,85041.5,256444,0.06411,68.64,rss-mff-xss@-40C@0.9V,5.42935e-05,1,1,1
4e+06,12,4.8e+07,1,0.34005,0.67637,1.6386e-06,1.82741e-06,2.22881,4.94402,26600.7,73640.1,0.01841,48.04,rff-mff-xss@125C@0.9V,6.86908e-05,1,1,1
4e+06,12,4.8e+07,2,0.34005,0.67637,3.27717e-06,3.6543e-06,4.45758,9.88663,46529.4,143772,0.03594,60.93,rff-mff-xss@125C@0.9V,5.16452e-05,1,1,1
4e+06,12,4.8e+07,3,0.34005,0.67637,4.91572e-06,5.48111e-06,6.68632,14.829,66993.9,212401,0.05310,67.17,rff-mff-xss@125C@0.9V,5.36162e-05,1,1,1
4e+06,12,4.8e+07,4,0.34005,0.67637,6.55426e-06,7.30785e-06,8.91505,19.7712,87766.1,278280,0.06957,67.55,rss-mff-xss@-40C@0.9V,5.45466e-05,1,1,1
4e+06,16,6.4e+07,1,0.34876,0.58039,1.6386e-06,1.82741e-06,2.2859,4.24247,27109.1,63710.9,0.01593,48.52,rff-mff-xss@125C@0.9V,6.69439e-05,1,1,1
4e+06,16,6.4e+07,2,0.34876,0.58039,3.27717e-06,3.6543e-06,4.57177,8.48373,47564.2,123897,0.03097,61.36,rff-mff-xss@125C@0.9V,5.06031e-05,1,1,1
4e+06,16,6.4e+07,3,0.34876,0.58039,4.91572e-06,5.48111e-06,6.8576,12.7248,68585.4,183479,0.04587,67.50,rff-mff-xss@125C@0.9V,5.29816e-05,1,1,1
4e+06,16,6.4e+07,4,0.34876,0.58039,6.55426e-06,7.30785e-06,9.14342,16.9657,89902.4,241247,0.06031,69.39,rss-mff-xss@-40C@0.9V,5.40891e-05,1,1,1
4e+06,24,9.6e+07,1,0.35864,0.67100,1.6386e-06,1.82741e-06,2.35064,4.90479,27681.8,73084.3,0.01827,49.05,rff-mff-xss@125C@0.9V,6.50659e-05,1,1,1
4e+06,24,9.6e+07,2,0.35864,0.67100,3.27717e-06,3.6543e-06,4.70123,9.80819,48744.5,142665,0.03567,61.84,rff-mff-xss@125C@0.9V,5.15959e-05,1,1,1
4e+06,24,9.6e+07,3,0.35864,0.67100,4.91572e-06,5.48111e-06,7.0518,14.7114,70386.3,210798,0.05270,67.86,rff-mff-xss@125C@0.9V,5.35859e-05,1,1,1
4e+06,24,9.6e+07,4,0.35864,0.67100,6.55426e-06,7.30785e-06,9.40235,19.6144,92327.8,276232,0.06906,67.65,rss-mff-xss@-40C@0.9V,5.45246e-05,1,1,1
4e+06,32,1.28e+08,1,0.36592,0.72792,1.6386e-06,1.82741e-06,2.39835,5.32084,28101.4,78984.3,0.01975,49.43,rff-mff-xss@125C@0.9V,6.37464e-05,1,1,1
4e+06,32,1.28e+08,2,0.36592,0.72792,3.27717e-06,3.6543e-06,4.79666,10.6402,49611.9,154385,0.03860,62.17,rff-mff-xss@125C@0.9V,5.20776e-05,1,1,1
4e+06,32,1.28e+08,3,0.36592,0.72792,4.91572e-06,5.48111e-06,7.19494,15.9593,71717.6,227725,0.05693,68.11,rff-mff-xss@125C@0.9V,5.38832e-05,1,1,1
4e+06,32,1.28e+08,4,0.36592,0.72792,6.55426e-06,7.30785e-06,9.59321,21.2782,94113.6,297765,0.07444,66.57,rss-mff-xss@-40C@0.9V,5.47401e-05,1,1,1
4e+06,48,1.92e+08,1,0.35744,0.63389,1.6386e-06,1.82741e-06,2.3428,4.6335,27612.7,69241.3,0.01731,48.99,rff-mff-xss@125C@0.9V,6.52877e-05,1,1,1
4e+06,48,1.92e+08,2,0.35744,0.63389,3.27717e-06,3.6543e-06,4.68556,9.26569,48601.8,134993,0.03375,61.78,rff-mff-xss@125C@0.9V,5.12286e-05,1,1,1
4e+06,48,1.92e+08,3,0.35744,0.63389,4.91572e-06,5.48111e-06,7.02829,13.8977,70168.4,199662,0.04992,67.82,rff-mff-xss@125C@0.9V,5.33609e-05,1,1,1
4e+06,48,1.92e+08,4,0.35744,0.63389,6.55426e-06,7.30785e-06,9.371,18.5295,92034.3,262010,0.06550,68.36,rss-mff-xss@-40C@0.9V,5.43621e-05,1,1,1
8e+06,4,3.2e+07,1,0.32894,0.61948,1.6386e-06,1.82741e-06,4.31198,9.0563,45208.7,132026,0.01650,60.35,rff-mff-xss@125C@0.9V,5.10733e-05,1,1,1
8e+06,4,3.2e+07,2,0.32894,0.61948,3.27717e-06,3.6543e-06,8.62388,18.11,85042.5,256469,0.03206,68.64,rss-mff-xss@-40C@0.9V,5.42938e-05,1,1,1
8e+06,4,3.2e+07,3,0.32894,0.61948,4.91572e-06,5.48111e-06,12.9357,27.1634,125459,370962,0.04637,62.88,rss-mff-xss@-40C@0.9V,5.52825e-05,1,1,1
8e+06,4,3.2e+07,4,0.32894,0.61948,6.55426e-06,7.30785e-06,17.2475,36.2163,165710,474907,0.05936,57.89,rss-mff-xss@-40C@0.9V,5.57637e-05,1,1,1
8e+06,6,4.8e+07,1,0.34005,0.67637,1.6386e-06,1.82741e-06,4.45762,9.88803,46529.7,143792,0.01797,60.93,rff-mff-xss@125C@0.9V,5.16461e-05,1,1,1
8e+06,6,4.8e+07,2,0.34005,0.67637,3.27717e-06,3.6543e-06,8.91516,19.7733,87767.1,278306,0.03479,67.55,rss-mff-xss@-40C@0.9V,5.45468e-05,1,1,1
8e+06,6,4.8e+07,3,0.34005,0.67637,4.91572e-06,5.48111e-06,13.3726,29.658,129554,400637,0.05008,61.42,rss-mff-xss@-40C@0.9V,5.54454e-05,1,1,1
8e+06,6,4.8e+07,4,0.34005,0.67637,6.55426e-06,7.30785e-06,17.8301,39.5424,171091,510581,0.06382,56.27,rss-mff-xss@-40C@0.9V,5.58838e-05,1,1,1
8e+06,8,6.4e+07,1,0.34876,0.58039,1.6386e-06,1.82741e-06,4.57181,8.48494,47564.6,123914,0.01549,61.36,rff-mff-xss@125C@0.9V,5.06042e-05,1,1,1
8e+06,8,6.4e+07,2,0.34876,0.58039,3.27717e-06,3.6543e-06,9.14354,16.9675,89903.5,241270,0.03016,69.39,rss-mff-xss@-40C@0.9V,5.40895e-05,1,1,1
8e+06,8,6.4e+07,3,0.34876,0.58039,4.91572e-06,5.48111e-06,13.7152,25.4496,132763,350115,0.04376,63.92,rss-mff-xss@-40C@0.9V,5.51515e-05,1,1,1
8e+06,8,6.4e+07,4,0.34876,0.58039,6.55426e-06,7.30785e-06,18.2868,33.9315,175304,449622,0.05620,59.07,rss-mff-xss@-40C@0.9V,5.56671e-05,1,1,1
8e+06,12,9.6e+07,1,0.35864,0.67100,1.6386e-06,1.82741e-06,4.70128,9.80959,48744.9,142685,0.01784,61.84,rff-mff-xss@125C@0.9V,5.15968e-05,1,1,1
8e+06,12,9.6e+07,2,0.35864,0.67100,3.27717e-06,3.6543e-06,9.40247,19.6164,92328.9,276259,0.03453,67.65,rss-mff-xss@-40C@0.9V,5.45249e-05,1,1,1
8e+06,12,9.6e+07,3,0.35864,0.67100,4.91572e-06,5.48111e-06,14.1036,29.4227,136401,397887,0.04974,61.55,rss-mff-xss@-40C@0.9V,5.54312e-05,1,1,1
8e+06,12,9.6e+07,4,0.35864,0.67100,6.55426e-06,7.30785e-06,18.8047,39.2287,180074,507279,0.06341,56.42,rss-mff-xss@-40C@0.9V,5.58733e-05,1,1,1
8e+06,16,1.28e+08,1,0.36592,0.72792,1.6386e-06,1.82741e-06,4.79671,10.6417,49612.3,154406,0.01930,62.17,rff-mff-xss@125C@0.9V,5.20784e-05,1,1,1
8e+06,16,1.28e+08,2,0.36592,0.72792,3.27717e-06,3.6543e-06,9.59333,21.2803,94114.7,297793,0.03722,66.57,rss-mff-xss@-40C@0.9V,5.47403e-05,1,1,1
8e+06,16,1.28e+08,3,0.36592,0.72792,4.91572e-06,5.48111e-06,14.3899,31.9185,139080,426821,0.05335,60.15,rss-mff-xss@-40C@0.9V,5.55703e-05,1,1,1
8e+06,16,1.28e+08,4,0.36592,0.72792,6.55426e-06,7.30785e-06,19.1864,42.5563,183587,541877,0.06773,54.89,rss-mff-xss@-40C@0.9V,5.5976e-05,1,1,1
8e+06,24,1.92e+08,1,0.35744,0.63389,1.6386e-06,1.82741e-06,4.6856,9.26701,48602.2,135011,0.01688,61.78,rff-mff-xss@125C@0.9V,5.12295e-05,1,1,1
8e+06,24,1.92e+08,2,0.35744,0.63389,3.27717e-06,3.6543e-06,9.37112,18.5314,92035.4,262035,0.03275,68.36,rss-mff-xss@-40C@0.9V,5.43624e-05,1,1,1
8e+06,24,1.92e+08,3,0.35744,0.63389,4.91572e-06,5.48111e-06,14.0566,27.7953,135960,378561,0.04732,62.50,rss-mff-xss@-40C@0.9V,5.53267e-05,1,1,1
8e+06,24,1.92e+08,4,0.35744,0.63389,6.55426e-06,7.30785e-06,18.742,37.059,179497,484035,0.06050,57.47,rss-mff-xss@-40C@0.9V,5.57962e-05,1,1,1
1.6e+07,4,6.4e+07,1,0.34876,0.58039,1.6386e-06,1.82741e-06,9.14362,16.9699,89904.2,241302,0.01508,69.39,rss-mff-xss@-40C@0.9V,5.40899e-05,1,1,1
1.6e+07,4,6.4e+07,2,0.34876,0.58039,3.27717e-06,3.6543e-06,18.2871,33.9349,175306,449661,0.02810,59.06,rss-mff-xss@-40C@0.9V,5.56673e-05,1,1,1
1.6e+07,4,6.4e+07,3,0.34876,0.58039,4.91572e-06,5.48111e-06,27.4304,50.8992,258421,623757,0.03898,51.49,rss-mff-xss@-40C@0.9V,5.61734e-05,1,1,1
1.6e+07,4,6.4e+07,4,0.34876,0.58039,6.55426e-06,7.30785e-06,36.5737,67.8629,338517,772097,0.04826,46.05,rss-mff-xss@-40C@0.9V,5.64231e-05,1,1,1
1.6e+07,6,9.6e+07,1,0.35864,0.67100,1.6386e-06,1.82741e-06,9.40255,19.6192,92329.7,276295,0.01727,67.65,rss-mff-xss@-40C@0.9V,5.45253e-05,1,1,1
1.6e+07,6,9.6e+07,2,0.35864,0.67100,3.27717e-06,3.6543e-06,18.8049,39.2328,180076,507321,0.03171,56.41,rss-mff-xss@-40C@0.9V,5.58735e-05,1,1,1
1.6e+07,6,9.6e+07,3,0.35864,0.67100,4.91572e-06,5.48111e-06,28.2072,58.8455,265361,695942,0.04350,48.73,rss-mff-xss@-40C@0.9V,5.63086e-05,1,1,1
1.6e+07,6,9.6e+07,4,0.35864,0.67100,6.55426e-06,7.30785e-06,37.6094,78.4575,347364,855060,0.05344,43.37,rss-mff-xss@-40C@0.9V,5.65236e-05,0,1,1
1.6e+07,8,1.28e+08,1,0.36592,0.72792,1.6386e-06,1.82741e-06,9.59342,21.2834,94115.6,297832,0.01861,66.56,rss-mff-xss@-40C@0.9V,5.47407e-05,1,1,1
1.6e+07,8,1.28e+08,2,0.36592,0.72792,3.27717e-06,3.6543e-06,19.1867,42.5607,183589,541921,0.03387,54.89,rss-mff-xss@-40C@0.9V,5.59761e-05,1,1,1
1.6e+07,8,1.28e+08,3,0.36592,0.72792,4.91572e-06,5.48111e-06,28.7798,63.8371,270452,738809,0.04618,47.19,rss-mff-xss@-40C@0.9V,5.6376e-05,1,1,1
1.6e+07,8,1.28e+08,4,0.36592,0.72792,6.55426e-06,7.30785e-06,38.3728,85.1126,353873,904088,0.05651,41.89,rss-mff-xss@-40C@0.9V,5.65738e-05,0,1,1
1.6e+07,12,1.92e+08,1,0.35744,0.63389,1.6386e-06,1.82741e-06,9.3712,18.534,92036.2,262070,0.01638,68.36,rss-mff-xss@-40C@0.9V,5.43629e-05,1,1,1
1.6e+07,12,1.92e+08,2,0.35744,0.63389,3.27717e-06,3.6543e-06,18.7422,37.0628,179499,484076,0.03025,57.47,rss-mff-xss@-40C@0.9V,5.57963e-05,1,1,1
1.6e+07,12,1.92e+08,3,0.35744,0.63389,4.91572e-06,5.48111e-06,28.1131,55.5907,264521,667055,0.04169,49.81,rss-mff-xss@-40C@0.9V,5.62579e-05,1,1,1
1.6e+07,12,1.92e+08,4,0.35744,0.63389,6.55426e-06,7.30785e-06,37.484,74.1179,346293,821845,0.05137,44.41,rss-mff-xss@-40C@0.9V,5.6486e-05,0,1,1
2.5e+07,4,1e+08,1,0.36243,0.64987,1.6386e-06,1.82741e-06,14.847,29.6895,143356,401005,0.01604,61.40,rss-mff-xss@-40C@0.9V,5.54473e-05,1,1,1
2.5e+07,4,1e+08,2,0.36243,0.64987,3.27717e-06,3.6543e-06,29.6937,59.3706,278562,700559,0.02802,48.56,rss-mff-xss@-40C@0.9V,5.63162e-05,1,1,1
2.5e+07,4,1e+08,3,0.36243,0.64987,4.91572e-06,5.48111e-06,44.5403,89.0504,405384,932112,0.03728,41.09,rss-mff-xss@-40C@0.9V,5.66e-05,0,1,1
2.5e+07,4,1e+08,4,0.36243,0.64987,6.55426e-06,7.30785e-06,59.3867,118.729,522446,1.12414e+06,0.04497,36.20,rss-mff-xss@-40C@0.9V,5.67408e-05,0,1,1
2.5e+07,6,1.5e+08,1,0.36274,0.70377,1.6386e-06,1.82741e-06,14.8595,32.1519,143473,429480,0.01718,60.02,rss-mff-xss@-40C@0.9V,5.55822e-05,1,1,1
2.5e+07,6,1.5e+08,2,0.36274,0.70377,3.27717e-06,3.6543e-06,29.7187,64.2947,278784,742672,0.02971,47.06,rss-mff-xss@-40C@0.9V,5.63817e-05,1,1,1
2.5e+07,6,1.5e+08,3,0.36274,0.70377,4.91572e-06,5.48111e-06,44.5778,96.4361,405691,982846,0.03931,39.70,rss-mff-xss@-40C@0.9V,5.66432e-05,0,1,1
2.5e+07,6,1.5e+08,4,0.36274,0.70377,6.55426e-06,7.30785e-06,59.4367,128.576,522825,1.18171e+06,0.04727,34.92,rss-mff-xss@-40C@0.9V,5.67731e-05,0,1,1
