corner,temp_c,vdd,corner_id,twin_c0,twin_c1,twin_c2,twin_c3,twin_c4,twin_c5,twin_c6,twin_c7,twin_c8,twin_c9,twin_c10,twin_c11,twin_c12,twin_c13,twin_c14,twin_c15,t8p_a,t8p_b,tcq_raw,tdo_raw,verdict
ff,125.0,2.97,ff_125c_2.97v,1.12884e-09,1.18224e-09,1.23028e-09,1.2847e-09,1.32856e-09,1.38372e-09,1.43349e-09,1.4892e-09,1.53061e-09,1.58672e-09,1.63747e-09,1.6939e-09,1.73989e-09,1.79658e-09,1.84797e-09,1.90486e-09,1.32385e-07,1.72283e-08,4.98972e-08,3.4446e-08,PASS
ff,125.0,3.3,ff_125c_3.30v,1.06162e-09,1.11196e-09,1.15738e-09,1.20865e-09,1.2502e-09,1.30214e-09,1.34913e-09,1.40157e-09,1.44081e-09,1.4936e-09,1.54148e-09,1.59456e-09,1.63807e-09,1.69139e-09,1.73985e-09,1.79334e-09,1.50256e-07,1.9299e-08,1.90314e-08,1.22945e-09,PASS
ff,125.0,3.63,ff_125c_3.63v,1.00855e-09,1.05651e-09,1.09987e-09,1.14866e-09,1.18838e-09,1.2378e-09,1.2826e-09,1.33246e-09,1.36995e-09,1.42014e-09,1.46575e-09,1.5162e-09,1.55774e-09,1.6084e-09,1.65454e-09,1.70536e-09,1.65724e-07,2.17942e-08,2.09551e-08,1.15389e-09,PASS
ss,-40.0,2.97,ss_-40c_2.97v,1.13146e-09,1.18301e-09,1.23063e-09,1.28336e-09,1.32971e-09,1.38332e-09,1.43307e-09,1.48731e-09,1.53528e-09,1.58997e-09,1.64094e-09,1.69597e-09,1.74502e-09,1.80034e-09,1.85209e-09,1.90762e-09,1.36095e-07,2.03417e-08,5.13418e-08,3.54988e-08,PASS
ss,-40.0,3.3,ss_-40c_3.30v,1.04886e-09,1.09702e-09,1.14184e-09,1.19102e-09,1.23478e-09,1.28471e-09,1.33139e-09,1.38184e-09,1.42691e-09,1.47773e-09,1.52544e-09,1.57655e-09,1.62262e-09,1.67396e-09,1.72233e-09,1.77384e-09,1.64479e-07,2.30408e-08,2.7713e-10,6.29756e-08,PASS
ss,-40.0,3.63,ss_-40c_3.63v,9.87596e-10,1.03322e-09,1.07593e-09,1.12246e-09,1.16424e-09,1.21141e-09,1.25576e-09,1.30338e-09,1.34622e-09,1.39415e-09,1.4394e-09,1.48758e-09,1.53138e-09,1.57976e-09,1.62557e-09,1.6741e-09,1.89193e-07,2.56685e-08,2.38884e-08,1.222e-09,PASS
ss,27.0,2.97,ss_27c_2.97v,1.29021e-09,1.34921e-09,1.40403e-09,1.46435e-09,1.51749e-09,1.57881e-09,1.63598e-09,1.69802e-09,1.75238e-09,1.81494e-09,1.87348e-09,1.93646e-09,1.99258e-09,2.0559e-09,2.11533e-09,2.17891e-09,1.24587e-07,1.93701e-08,3.15053e-08,1.72592e-08,PASS
ss,27.0,3.3,ss_27c_3.30v,1.1937e-09,1.2486e-09,1.2999e-09,1.35597e-09,1.40583e-09,1.46277e-09,1.51616e-09,1.57371e-09,1.62458e-09,1.68258e-09,1.73715e-09,1.79549e-09,1.84798e-09,1.90661e-09,1.96194e-09,2.02078e-09,1.4973e-07,2.07133e-08,5.64611e-08,3.89404e-08,PASS
ss,27.0,3.63,ss_27c_3.63v,1.12137e-09,1.1732e-09,1.22184e-09,1.27472e-09,1.32209e-09,1.37573e-09,1.42624e-09,1.48042e-09,1.52861e-09,1.58317e-09,1.63473e-09,1.68959e-09,1.7393e-09,1.79441e-09,1.84663e-09,1.90193e-09,1.72169e-07,2.33984e-08,2.18292e-08,1.4168e-09,PASS
ss,125.0,2.97,ss_125c_2.97v,1.51942e-09,1.58916e-09,1.65459e-09,1.72589e-09,1.78901e-09,1.86146e-09,1.92957e-09,2.00288e-09,2.06646e-09,2.14038e-09,2.21005e-09,2.28448e-09,2.35096e-09,2.4258e-09,2.4965e-09,2.57166e-09,1.11446e-07,1.81742e-08,3.88133e-10,4.37822e-08,PASS
ss,125.0,3.3,ss_125c_3.30v,1.40413e-09,1.46881e-09,1.52971e-09,1.59578e-09,1.65469e-09,1.72178e-09,1.78509e-09,1.85293e-09,1.91226e-09,1.98064e-09,2.04533e-09,2.11415e-09,2.17608e-09,2.24526e-09,2.31085e-09,2.3803e-09,1.32723e-07,1.9172e-08,-1.62349e-08,3.49859e-08,PASS
ss,125.0,3.63,ss_125c_3.63v,1.31591e-09,1.37674e-09,1.43417e-09,1.49624e-09,1.55189e-09,1.61489e-09,1.67451e-09,1.73818e-09,1.79418e-09,1.85833e-09,1.91919e-09,1.98373e-09,2.04213e-09,2.10698e-09,2.16865e-09,2.23374e-09,1.52244e-07,2.0818e-08,1.93975e-08,1.64054e-09,PASS
fs,-40.0,2.97,fs_-40c_2.97v,9.82323e-10,1.02832e-09,1.06988e-09,1.11669e-09,1.1557e-09,1.20311e-09,1.24613e-09,1.29396e-09,1.33241e-09,1.38053e-09,1.42434e-09,1.47269e-09,1.51348e-09,1.56202e-09,1.60635e-09,1.65504e-09,1.45727e-07,2.02479e-08,5.49162e-08,3.76141e-08,PASS
fs,-40.0,3.3,fs_-40c_3.30v,9.17832e-10,9.60992e-10,1.00022e-09,1.04409e-09,1.081e-09,1.12539e-09,1.16589e-09,1.21064e-09,1.24687e-09,1.29187e-09,1.33307e-09,1.37827e-09,1.41674e-09,1.4621e-09,1.50375e-09,1.54924e-09,1.70681e-07,2.35237e-08,1.64085e-10,-2.02963e-08,PASS
fs,-40.0,3.63,fs_-40c_3.63v,8.69665e-10,9.10697e-10,9.48177e-10,9.89848e-10,1.02516e-09,1.06729e-09,1.1059e-09,1.14835e-09,1.18291e-09,1.22558e-09,1.26482e-09,1.30768e-09,1.34438e-09,1.38739e-09,1.42702e-09,1.47014e-09,1.92076e-07,2.65808e-08,2.42129e-08,1.01439e-09,PASS
fs,27.0,2.97,fs_27c_2.97v,1.1199e-09,1.17254e-09,1.22031e-09,1.27388e-09,1.31847e-09,1.37271e-09,1.42209e-09,1.47682e-09,1.52022e-09,1.57529e-09,1.62558e-09,1.68093e-09,1.72752e-09,1.7831e-09,1.83399e-09,1.88974e-09,1.33858e-07,1.87014e-08,1.70646e-08,1.35642e-09,PASS
fs,27.0,3.3,fs_27c_3.30v,1.04394e-09,1.09316e-09,1.13803e-09,1.18807e-09,1.23006e-09,1.2807e-09,1.327e-09,1.37807e-09,1.41886e-09,1.47023e-09,1.51734e-09,1.56895e-09,1.61272e-09,1.66453e-09,1.71216e-09,1.76413e-09,1.56479e-07,2.10691e-08,2.56914e-10,5.99402e-08,PASS
fs,27.0,3.63,fs_27c_3.63v,9.86464e-10,1.0331e-09,1.07578e-09,1.12316e-09,1.16315e-09,1.21107e-09,1.25505e-09,1.30335e-09,1.34214e-09,1.39072e-09,1.43542e-09,1.48421e-09,1.52582e-09,1.57479e-09,1.61996e-09,1.66907e-09,1.76439e-07,2.36993e-08,6.64379e-08,4.52658e-08,PASS
fs,125.0,2.97,fs_125c_2.97v,1.31756e-09,1.37976e-09,1.43665e-09,1.49993e-09,1.55273e-09,1.6168e-09,1.67552e-09,1.74017e-09,1.79068e-09,1.85575e-09,1.91551e-09,1.98093e-09,2.03598e-09,2.10167e-09,2.16213e-09,2.22804e-09,1.2045e-07,1.7446e-08,1.53656e-08,1.61448e-09,PASS
fs,125.0,3.3,fs_125c_3.30v,1.22554e-09,1.28348e-09,1.33663e-09,1.39555e-09,1.445e-09,1.50463e-09,1.55945e-09,1.6196e-09,1.66697e-09,1.7275e-09,1.78326e-09,1.8441e-09,1.89562e-09,1.95671e-09,2.01308e-09,2.07436e-09,1.40256e-07,1.89991e-08,5.28857e-08,3.65425e-08,PASS
fs,125.0,3.63,fs_125c_3.63v,1.15425e-09,1.20891e-09,1.25916e-09,1.31471e-09,1.36156e-09,1.41777e-09,1.46956e-09,1.52624e-09,1.57115e-09,1.62818e-09,1.68083e-09,1.73814e-09,1.7869e-09,1.84443e-09,1.89765e-09,1.95535e-09,1.58103e-07,2.08861e-08,2.00776e-08,1.39041e-09,PASS
sf,-40.0,2.97,sf_-40c_2.97v,9.67941e-10,1.0124e-09,1.05285e-09,1.0983e-09,1.13691e-09,1.1831e-09,1.22533e-09,1.27205e-09,1.3113e-09,1.35839e-09,1.40166e-09,1.44906e-09,1.48996e-09,1.53761e-09,1.58155e-09,1.62938e-09,1.53507e-07,2.0533e-08,2.41352e-10,5.87675e-08,PASS
sf,-40.0,3.3,sf_-40c_3.30v,9.07606e-10,9.49576e-10,9.88034e-10,1.03088e-09,1.06771e-09,1.1112e-09,1.15124e-09,1.19518e-09,1.23245e-09,1.27671e-09,1.31764e-09,1.36216e-09,1.40099e-09,1.44572e-09,1.48722e-09,1.5321e-09,1.77889e-07,2.35878e-08,2.24715e-08,1.0974e-09,PASS
sf,-40.0,3.63,sf_-40c_3.63v,8.62077e-10,9.02171e-10,9.391e-10,9.7997e-10,1.0154e-09,1.05685e-09,1.0952e-09,1.13704e-09,1.17274e-09,1.21486e-09,1.254e-09,1.29634e-09,1.33356e-09,1.37608e-09,1.41572e-09,1.45839e-09,1.98399e-07,2.73468e-08,2.50351e-08,1.03219e-09,PASS
sf,27.0,2.97,sf_27c_2.97v,1.10083e-09,1.15148e-09,1.19777e-09,1.24957e-09,1.29359e-09,1.34625e-09,1.39458e-09,1.44787e-09,1.49219e-09,1.54593e-09,1.59544e-09,1.64954e-09,1.69618e-09,1.75057e-09,1.80087e-09,1.85549e-09,1.40193e-07,1.89795e-08,2.91976e-10,5.39245e-08,PASS
sf,27.0,3.3,sf_27c_3.30v,1.02982e-09,1.07747e-09,1.12123e-09,1.16991e-09,1.21166e-09,1.26109e-09,1.30669e-09,1.35667e-09,1.39858e-09,1.44895e-09,1.4956e-09,1.54628e-09,1.59035e-09,1.64128e-09,1.68861e-09,1.73973e-09,1.62442e-07,2.1171e-08,4.08488e-08,2.15964e-08,PASS
sf,27.0,3.63,sf_27c_3.63v,9.75675e-10,1.02104e-09,1.06289e-09,1.10917e-09,1.14915e-09,1.19612e-09,1.23962e-09,1.28707e-09,1.32709e-09,1.37489e-09,1.41933e-09,1.4674e-09,1.50948e-09,1.55778e-09,1.60282e-09,1.65128e-09,1.81652e-07,2.42054e-08,4.56324e-08,2.38673e-08,PASS
sf,125.0,2.97,sf_125c_2.97v,1.29306e-09,1.3526e-09,1.40746e-09,1.46839e-09,1.52039e-09,1.58237e-09,1.63964e-09,1.70239e-09,1.75409e-09,1.81739e-09,1.87608e-09,1.93984e-09,1.99489e-09,2.05902e-09,2.11865e-09,2.18306e-09,1.25001e-07,1.75763e-08,4.71867e-08,3.28445e-08,PASS
sf,125.0,3.3,sf_125c_3.30v,1.20712e-09,1.26295e-09,1.31456e-09,1.37163e-09,1.42066e-09,1.47866e-09,1.53245e-09,1.59113e-09,1.63983e-09,1.69901e-09,1.75406e-09,1.81363e-09,1.86543e-09,1.92533e-09,1.9812e-09,2.04135e-09,1.44426e-07,1.91517e-08,2.94007e-10,5.56243e-08,PASS
sf,125.0,3.63,sf_125c_3.63v,1.14026e-09,1.19322e-09,1.24231e-09,1.29638e-09,1.34308e-09,1.398e-09,1.44907e-09,1.50459e-09,1.55091e-09,1.60688e-09,1.65909e-09,1.71541e-09,1.76464e-09,1.82125e-09,1.8742e-09,1.93103e-09,1.61609e-07,2.14014e-08,6.091e-08,4.18101e-08,PASS
res_ff,-40.0,2.97,res_ff_-40c_2.97v,9.67257e-10,1.01211e-09,1.05277e-09,1.09854e-09,1.13705e-09,1.1835e-09,1.2258e-09,1.27273e-09,1.31133e-09,1.3586e-09,1.40182e-09,1.44936e-09,1.48992e-09,1.53767e-09,1.58149e-09,1.6294e-09,1.0953e-07,1.51998e-08,1.39106e-08,1.1644e-09,PASS
res_ff,-40.0,3.3,res_ff_-40c_3.30v,9.05925e-10,9.48173e-10,9.86719e-10,1.02977e-09,1.06638e-09,1.11001e-09,1.15e-09,1.19405e-09,1.23057e-09,1.27491e-09,1.31569e-09,1.36025e-09,1.39864e-09,1.44339e-09,1.48468e-09,1.52956e-09,1.29039e-07,1.71031e-08,3.25083e-08,1.7228e-08,PASS
res_ff,-40.0,3.63,res_ff_-40c_3.63v,8.59789e-10,9.00066e-10,9.37009e-10,9.78002e-10,1.01315e-09,1.05465e-09,1.09289e-09,1.13475e-09,1.16967e-09,1.2118e-09,1.25073e-09,1.29305e-09,1.32978e-09,1.37227e-09,1.41165e-09,1.45426e-09,1.45862e-07,1.96023e-08,2.12017e-10,5.57424e-08,PASS
res_ff,27.0,2.97,res_ff_27c_2.97v,1.10193e-09,1.15318e-09,1.19985e-09,1.25215e-09,1.29614e-09,1.34922e-09,1.39773e-09,1.45137e-09,1.49497e-09,1.549e-09,1.59856e-09,1.65292e-09,1.69923e-09,1.75384e-09,1.8041e-09,1.85891e-09,9.86434e-08,1.45193e-08,2.74447e-10,3.83619e-08,PASS
res_ff,27.0,3.3,res_ff_27c_3.30v,1.0296e-09,1.07769e-09,1.1217e-09,1.17073e-09,1.21232e-09,1.26203e-09,1.30769e-09,1.35788e-09,1.399e-09,1.44954e-09,1.49612e-09,1.54694e-09,1.5906e-09,1.64164e-09,1.68882e-09,1.74003e-09,1.16037e-07,1.58004e-08,2.62052e-10,4.47354e-08,PASS
res_ff,27.0,3.63,res_ff_27c_3.63v,9.74556e-10,1.02025e-09,1.06223e-09,1.10877e-09,1.14851e-09,1.19566e-09,1.23913e-09,1.28671e-09,1.3259e-09,1.37379e-09,1.41809e-09,1.46622e-09,1.50782e-09,1.55616e-09,1.60099e-09,1.64947e-09,1.3152e-07,1.7529e-08,3.31318e-08,1.76071e-08,PASS
res_ff,125.0,2.97,res_ff_125c_2.97v,1.29633e-09,1.35678e-09,1.41229e-09,1.47399e-09,1.52607e-09,1.5887e-09,1.64634e-09,1.70965e-09,1.76048e-09,1.82427e-09,1.88314e-09,1.94733e-09,2.00206e-09,2.06658e-09,2.12626e-09,2.19102e-09,8.5358e-08,1.35006e-08,3.20931e-10,-9.06612e-09,PASS
res_ff,125.0,3.3,res_ff_125c_3.30v,1.20851e-09,1.26503e-09,1.31708e-09,1.37472e-09,1.42368e-09,1.48215e-09,1.53613e-09,1.5952e-09,1.64299e-09,1.7025e-09,1.75758e-09,1.81744e-09,1.86881e-09,1.92896e-09,1.98476e-09,2.04512e-09,1.00099e-07,1.41937e-08,1.281e-08,1.45464e-09,PASS
res_ff,125.0,3.63,res_ff_125c_3.63v,1.1402e-09,1.19367e-09,1.24303e-09,1.29752e-09,1.34403e-09,1.39927e-09,1.45041e-09,1.50619e-09,1.55157e-09,1.60775e-09,1.65989e-09,1.71639e-09,1.76512e-09,1.82188e-09,1.87466e-09,1.93161e-09,1.13533e-07,1.54059e-08,1.44596e-08,1.36472e-09,PASS
res_ss,-40.0,2.97,res_ss_-40c_2.97v,9.67257e-10,1.01211e-09,1.05277e-09,1.09854e-09,1.13705e-09,1.1835e-09,1.2258e-09,1.27273e-09,1.31133e-09,1.3586e-09,1.40182e-09,1.44936e-09,1.48992e-09,1.53767e-09,1.58149e-09,1.6294e-09,1.89481e-07,2.51008e-08,2.39393e-08,1.19218e-09,PASS
res_ss,-40.0,3.3,res_ss_-40c_3.30v,9.05925e-10,9.48173e-10,9.86719e-10,1.02977e-09,1.06638e-09,1.11001e-09,1.15e-09,1.19405e-09,1.23057e-09,1.27491e-09,1.31569e-09,1.36025e-09,1.39864e-09,1.44339e-09,1.48468e-09,1.52956e-09,2.19296e-07,2.99106e-08,5.50536e-08,2.854e-08,PASS
res_ss,-40.0,3.63,res_ss_-40c_3.63v,8.59789e-10,9.00066e-10,9.37009e-10,9.78002e-10,1.01315e-09,1.05465e-09,1.09289e-09,1.13475e-09,1.16967e-09,1.2118e-09,1.25073e-09,1.29305e-09,1.32978e-09,1.37227e-09,1.41165e-09,1.45426e-09,2.43951e-07,3.40774e-08,2.15511e-10,9.24558e-08,PASS
res_ss,27.0,2.97,res_ss_27c_2.97v,1.10193e-09,1.15318e-09,1.19985e-09,1.25215e-09,1.29614e-09,1.34922e-09,1.39773e-09,1.45137e-09,1.49497e-09,1.549e-09,1.59856e-09,1.65292e-09,1.69923e-09,1.75384e-09,1.8041e-09,1.85891e-09,1.75391e-07,2.32108e-08,4.41374e-08,2.33248e-08,PASS
res_ss,27.0,3.3,res_ss_27c_3.30v,1.0296e-09,1.07769e-09,1.1217e-09,1.17073e-09,1.21232e-09,1.26203e-09,1.30769e-09,1.35788e-09,1.399e-09,1.44954e-09,1.49612e-09,1.54694e-09,1.5906e-09,1.64164e-09,1.68882e-09,1.74003e-09,2.0267e-07,2.68596e-08,2.55672e-08,1.25994e-09,PASS
res_ss,27.0,3.63,res_ss_27c_3.63v,9.74556e-10,1.02025e-09,1.06223e-09,1.10877e-09,1.14851e-09,1.19566e-09,1.23913e-09,1.28671e-09,1.3259e-09,1.37379e-09,1.41809e-09,1.46622e-09,1.50782e-09,1.55616e-09,1.60099e-09,1.64947e-09,2.26164e-07,3.08648e-08,5.67584e-08,2.93864e-08,PASS
res_ss,125.0,2.97,res_ss_125c_2.97v,1.29633e-09,1.35678e-09,1.41229e-09,1.47399e-09,1.52607e-09,1.5887e-09,1.64634e-09,1.70965e-09,1.76048e-09,1.82427e-09,1.88314e-09,1.94733e-09,2.00206e-09,2.06658e-09,2.12626e-09,2.19102e-09,1.60261e-07,2.16039e-08,6.04799e-08,4.16962e-08,PASS
res_ss,125.0,3.3,res_ss_125c_3.30v,1.20851e-09,1.26503e-09,1.31708e-09,1.37472e-09,1.42368e-09,1.48215e-09,1.53613e-09,1.5952e-09,1.64299e-09,1.7025e-09,1.75758e-09,1.81744e-09,1.86881e-09,1.92896e-09,1.98476e-09,2.04512e-09,1.84524e-07,2.41234e-08,4.64431e-08,2.44947e-08,PASS
res_ss,125.0,3.63,res_ss_125c_3.63v,1.1402e-09,1.19367e-09,1.24303e-09,1.29752e-09,1.34403e-09,1.39927e-09,1.45041e-09,1.50619e-09,1.55157e-09,1.60775e-09,1.65989e-09,1.71639e-09,1.76512e-09,1.82188e-09,1.87466e-09,1.93161e-09,2.05892e-07,2.72058e-08,5.17743e-08,2.71028e-08,PASS
moscap_ff,-40.0,2.97,moscap_ff_-40c_2.97v,9.67257e-10,1.01211e-09,1.05277e-09,1.09854e-09,1.13705e-09,1.1835e-09,1.2258e-09,1.27273e-09,1.31133e-09,1.3586e-09,1.40182e-09,1.44936e-09,1.48992e-09,1.53767e-09,1.58149e-09,1.6294e-09,1.49695e-07,2.00713e-08,2.32181e-10,5.73457e-08,PASS
moscap_ff,-40.0,3.3,moscap_ff_-40c_3.30v,9.05925e-10,9.48173e-10,9.86719e-10,1.02977e-09,1.06638e-09,1.11001e-09,1.15e-09,1.19405e-09,1.23057e-09,1.27491e-09,1.31569e-09,1.36025e-09,1.39864e-09,1.44339e-09,1.48468e-09,1.52956e-09,1.74476e-07,2.34253e-08,2.19994e-08,1.08308e-09,PASS
moscap_ff,-40.0,3.63,moscap_ff_-40c_3.63v,8.59789e-10,9.00066e-10,9.37009e-10,9.78002e-10,1.01315e-09,1.05465e-09,1.09289e-09,1.13475e-09,1.16967e-09,1.2118e-09,1.25073e-09,1.29305e-09,1.32978e-09,1.37227e-09,1.41165e-09,1.45426e-09,1.95571e-07,2.71306e-08,4.91342e-08,2.55091e-08,PASS
moscap_ff,27.0,2.97,moscap_ff_27c_2.97v,1.10193e-09,1.15318e-09,1.19985e-09,1.25215e-09,1.29614e-09,1.34922e-09,1.39773e-09,1.45137e-09,1.49497e-09,1.549e-09,1.59856e-09,1.65292e-09,1.69923e-09,1.75384e-09,1.8041e-09,1.85891e-09,1.37163e-07,1.86525e-08,1.74323e-08,1.35099e-09,PASS
moscap_ff,27.0,3.3,moscap_ff_27c_3.30v,1.0296e-09,1.07769e-09,1.1217e-09,1.17073e-09,1.21232e-09,1.26203e-09,1.30769e-09,1.35788e-09,1.399e-09,1.44954e-09,1.49612e-09,1.54694e-09,1.5906e-09,1.64164e-09,1.68882e-09,1.74003e-09,1.59746e-07,2.10926e-08,2.67695e-10,6.12132e-08,PASS
moscap_ff,27.0,3.63,moscap_ff_27c_3.63v,9.74556e-10,1.02025e-09,1.06223e-09,1.10877e-09,1.14851e-09,1.19566e-09,1.23913e-09,1.28671e-09,1.3259e-09,1.37379e-09,1.41809e-09,1.46622e-09,1.50782e-09,1.55616e-09,1.60099e-09,1.64947e-09,1.79395e-07,2.39536e-08,2.26618e-08,1.16549e-09,PASS
moscap_ff,125.0,2.97,moscap_ff_125c_2.97v,1.29633e-09,1.35678e-09,1.41229e-09,1.47399e-09,1.52607e-09,1.5887e-09,1.64634e-09,1.70965e-09,1.76048e-09,1.82427e-09,1.88314e-09,1.94733e-09,2.00206e-09,2.06658e-09,2.12626e-09,2.19102e-09,1.22926e-07,1.81268e-08,1.5694e-08,1.62255e-09,PASS
moscap_ff,125.0,3.3,moscap_ff_125c_3.30v,1.20851e-09,1.26503e-09,1.31708e-09,1.37472e-09,1.42368e-09,1.48215e-09,1.53613e-09,1.5952e-09,1.64299e-09,1.7025e-09,1.75758e-09,1.81744e-09,1.86881e-09,1.92896e-09,1.98476e-09,2.04512e-09,1.42655e-07,1.93049e-08,2.99392e-10,5.49738e-08,PASS
moscap_ff,125.0,3.63,moscap_ff_125c_3.63v,1.1402e-09,1.19367e-09,1.24303e-09,1.29752e-09,1.34403e-09,1.39927e-09,1.45041e-09,1.50619e-09,1.55157e-09,1.60775e-09,1.65989e-09,1.71639e-09,1.76512e-09,1.82188e-09,1.87466e-09,1.93161e-09,1.60235e-07,2.11231e-08,2.68854e-10,6.14344e-08,PASS
