# campaign: supply-sensitivity
# record_id: 20260831-133708-35c5a33
# generated_utc: 2026-08-31T13:37:08Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /home/ubuntu/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/pll_top.sch -> sim/supply-sensitivity/netlist-snapshots/20260831-133708-35c5a33.spice
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points at f_out=100e6 Hz, plus 9 points at f_out=50e6 Hz (typical bundle) for the quiescent/dynamic power split
# dut: design/pll_top.sch (#52) -- pfd_cp (#9, post-#24 cp_dumpbuf) +
#   loop_filter (#10) + vco (#8) + divider_chain + lock_detector (#11)
# band/vctrl0: derived from #8's committed f(Vctrl) table,
#   sim/vco-tuning-range/corners/20260731-175947-0a12e6c/vco_tuning.csv
# fdev_ppm: (f_out - f_out at 3.30 V, same bundle/temp) / f_out(3.30 V), ppm
# phi_b_s: static REF->FB phase error in the late window, seconds
# skew_s: mean UP/DN pulse-WIDTH difference over 3 probes, seconds
# p_tot_w: vdd * (|i_core| + |i_vco| + |i_div|)
# tstop/tmax: the transient length and internal-timestep ceiling THIS
#   row was run at -- per row, not per grid: see the settling escalation
#   and the timestep-ceiling cross-check in run.sh
bundle,temp_c,vdd_v,band,fout_hz,fdev_ppm,ferr,phi_b_s,skew_s,skew_spread_s,wup_s,wdn_s,nmeas,vctrl_avg_v,vctrl_min_v,vctrl_max_v,lock_lvl_v,i_core_a,i_vco_a,i_div_a,p_tot_w,verdict,tstop,tmax
sf,27,3.30,5,1.00007e+08,0,0.0001017,5.18673e-10,4.88223e-10,2.6543e-11,2.32565e-09,1.8246e-09,8.00001,2.209,2.208,2.214,3.3,-8.15637e-05,-0.000222802,-0.000123647,0.00141244,PASS,12.0u,100p
sf,27,3.63,5,1.00014e+08,70,0.0001881,1.30804e-09,1.27669e-09,3.722e-11,2.97011e-09,1.67332e-09,7.99999,2.549,2.547,2.554,1.472,-0.000110649,-0.000259125,-0.000139684,0.00184933,FAIL:lock,12.0u,100p
sf,125,2.97,5,1.0001e+08,90,0.0001418,1.04116e-09,1.00773e-09,4.2052e-11,3.42631e-09,2.39591e-09,7.99999,1.589,1.588,1.591,2.97,-9.8314e-05,-0.000209397,-0.000113767,0.00125179,PASS,12.0u,100p
sf,125,3.30,5,1.00001e+08,0,2.569e-05,1.90668e-10,1.66356e-10,8.746e-12,2.36725e-09,2.19605e-09,7.99995,1.913,1.91,1.917,3.3,-7.64047e-05,-0.000244135,-0.000129105,0.00148383,PASS,12.0u,100p
sf,125,3.63,5,9.99994e+07,-16,-1.145e-06,-1.26398e-11,-4.78273e-11,1.92897e-11,2.07565e-09,2.11725e-09,8,2.213,2.211,2.218,3.63,-7.89743e-05,-0.000279908,-0.000144686,0.00182795,PASS,12.0u,100p
ss,-40,2.97,5,1.0001e+08,113,0.0001257,5.38326e-10,5.24178e-10,2.4006e-11,2.61312e-09,2.07716e-09,8.00003,1.796,1.795,1.798,2.97,-7.58311e-05,-0.000152668,-0.000103657,0.000986504,PASS,12.0u,100p
ss,-40,3.30,5,9.99987e+07,0,-5.507e-07,-3.95681e-11,-7.25814e-11,1.39939e-11,1.93338e-09,1.99872e-09,7.99974,2.227,2.225,2.231,3.3,-7.26923e-05,-0.000187077,-0.00011783,0.00124608,PASS,12.0u,100p
ss,-40,3.63,5,1.00011e+08,123,0.0001296,1.16408e-09,1.13305e-09,3.024e-11,2.84441e-09,1.6951e-09,8.00016,2.642,2.641,2.646,3.124,-9.82004e-05,-0.000222406,-0.00013337,0.00164793,FAIL:lock,12.0u,100p
ss,27,2.97,5,1.00007e+08,-40,0.0001191,4.8686e-10,4.76146e-10,2.1954e-11,2.8616e-09,2.37083e-09,7.99997,1.602,1.599,1.603,2.97,-7.52961e-05,-0.000164645,-0.000106401,0.00102864,PASS,12.0u,100p
ss,27,3.30,5,1.00011e+08,0,0.0001332,9.99082e-10,9.74986e-10,3.7082e-11,3.15534e-09,2.16219e-09,7.99999,1.989,1.987,1.992,3.3,-9.76355e-05,-0.000198163,-0.000121313,0.00137647,PASS,12.0u,100p
ss,27,3.63,5,1.00015e+08,40,0.0001754,1.22521e-09,1.1916e-09,3.988e-11,3.16446e-09,1.9523e-09,8.00004,2.36,2.358,2.364,3.537,-0.000105084,-0.000233237,-0.000136519,0.00172367,PASS,12.0u,100p
ss,125,2.97,5,1.00009e+08,-39.99,0.0001163,8.22958e-10,8.04402e-10,3.1593e-11,3.66781e-09,2.84511e-09,8,1.37,1.367,1.372,2.97,-7.96645e-05,-0.000186653,-0.00011069,0.00111971,PASS,12.0u,100p
ss,125,3.30,5,1.00013e+08,0,0.0001791,1.41511e-09,1.38228e-09,4.563e-11,3.97196e-09,2.56702e-09,7.99989,1.71,1.708,1.713,3.273,-0.000103062,-0.00021961,-0.000125675,0.00147955,PASS,12.0u,100p
ss,125,3.63,5,1.00014e+08,9.999,0.0002135,1.5892e-09,1.55416e-09,4.38e-11,3.90839e-09,2.33194e-09,7.99987,2.036,2.033,2.038,1.506,-0.000110669,-0.000253622,-0.0001412,0.00183493,FAIL:lock,12.0u,100p
typical,-40,2.97,6,9.99997e+07,-23,2.252e-05,9.52372e-10,9.43898e-10,4.257e-12,2.64554e-09,1.70394e-09,8.00002,0.9887,0.9843,0.991,2.97,-8.00798e-05,-0.000158373,-0.000104961,0.00101994,PASS,12.0u,100p
typical,-40,3.30,6,1.00002e+08,0,2.64e-05,9.10593e-10,8.96251e-10,5.645e-12,2.46224e-09,1.56288e-09,7.99994,1.248,1.244,1.251,3.3,-8.43097e-05,-0.000191151,-0.000120313,0.00130605,PASS,12.0u,100p
typical,-40,3.63,6,1e+08,-20,2.992e-05,9.69618e-10,9.54479e-10,5.914e-12,2.41171e-09,1.45334e-09,8,1.476,1.471,1.479,3.63,-0.000130949,-0.000225971,-0.00013617,0.00178992,PASS,12.0u,100p
typical,27,2.97,5,1.00005e+08,-9.999,8.548e-05,3.87179e-10,3.64561e-10,1.6569e-11,2.31589e-09,1.94249e-09,8.00006,1.8,1.798,1.802,2.97,-7.52586e-05,-0.000183064,-0.00010811,0.0010883,PASS,12.0u,100p
typical,27,3.30,5,1.00006e+08,0,8.221e-05,6.27819e-10,6.00863e-10,2.6885e-11,2.38845e-09,1.77444e-09,7.99999,2.162,2.16,2.166,3.3,-8.37946e-05,-0.000217736,-0.000123736,0.00140338,PASS,12.0u,100p
typical,27,3.63,5,9.9982e+07,-240,-0.0002123,-9.07162e-10,-9.2587e-10,3.848e-11,1.68746e-09,2.628e-09,7.99955,2.498,2.495,2.502,3.63,-0.000112134,-0.000254387,-0.000139246,0.00183593,PASS,12.0u,100p
typical,125,2.97,5,1.00003e+08,-99.99,1.543e-05,1.4777e-10,1.21351e-10,1.3684e-11,2.48987e-09,2.36174e-09,7.99988,1.567,1.564,1.57,2.97,-7.33019e-05,-0.000203839,-0.000113374,0.00115983,PASS,12.0u,100p
typical,125,3.30,5,1.00013e+08,0,0.0001901,1.42441e-09,1.38005e-09,5.922e-11,3.52189e-09,2.11161e-09,7.99984,1.885,1.883,1.887,1.763,-0.000109806,-0.000238571,-0.000128934,0.00157513,FAIL:lock,12.0u,100p
typical,125,3.63,5,1.00013e+08,0,0.0001117,1.02384e-09,9.8133e-10,4.0988e-11,2.94812e-09,1.94806e-09,7.99996,2.183,2.18,2.186,3.63,-0.000115888,-0.000273981,-0.000144546,0.00193993,PASS,12.0u,100p
