corner,temp_c,vdd,terr,trim,corner_id,twin_r,twin_f,ta_asrt,tb_asrt,tc_asrt,td_asrt,te_asrt,la_lvl,lb_lvl,lc_lvl,ld_lvl,le_lvl,va_lvl,te_deas,le_pre,iavg,lock_pass,verdict
fs,-40.0,3.63,e4.0n,c6,fs_-40c_3.63v_e4.0n_c6,1.12212e-09,1.09367e-09,not measured,8.45917e-07,not measured,not measured,8.45917e-07,8.99651e-09,3.63,9.08533e-09,5.5592e-09,1.22099e-09,0.0624934,2.40434e-06,3.63,-0.000169043,1.0,PASS
fs,27.0,2.97,e4.0n,c6,fs_27c_2.97v_e4.0n_c6,1.43562e-09,1.41284e-09,not measured,1.43733e-06,not measured,not measured,1.43733e-06,3.16104e-09,2.97,3.17085e-09,3.96278e-09,4.55848e-09,0.0254019,2.40476e-06,2.97,-0.00013979,1.0,PASS
fs,27.0,3.3,e4.0n,c6,fs_27c_3.30v_e4.0n_c6,1.34278e-09,1.30928e-09,not measured,1.22534e-06,not measured,not measured,1.22534e-06,1.69169e-09,3.3,1.74873e-09,3.73173e-09,7.18722e-09,0.0365813,2.40469e-06,3.3,-0.000155237,1.0,PASS
fs,27.0,3.63,e4.0n,c6,fs_27c_3.63v_e4.0n_c6,1.26673e-09,1.23767e-09,not measured,1.07097e-06,not measured,not measured,1.07097e-06,1.75745e-09,3.63,2.44084e-09,4.45028e-09,9.09908e-09,0.0496231,2.40464e-06,3.63,-0.000173851,1.0,PASS
fs,125.0,2.97,e4.0n,c6,fs_125c_2.97v_e4.0n_c6,1.68991e-09,1.65181e-09,not measured,1.87304e-06,not measured,not measured,1.87304e-06,1.40682e-08,2.97,1.40675e-08,1.33212e-08,9.28445e-09,0.0157596,2.4049e-06,2.97,-0.000190468,1.0,PASS
fs,125.0,3.3,e4.0n,c6,fs_125c_3.30v_e4.0n_c6,1.57498e-09,1.53049e-09,not measured,1.60584e-06,not measured,not measured,1.60584e-06,1.50443e-08,3.3,1.50671e-08,1.36536e-08,1.00771e-08,0.0249295,2.40487e-06,3.3,-0.000191224,1.0,PASS
fs,125.0,3.63,e4.0n,c6,fs_125c_3.63v_e4.0n_c6,1.48082e-09,1.4438e-09,not measured,1.40381e-06,not measured,not measured,1.40381e-06,1.57958e-08,3.63,1.59982e-08,1.46077e-08,1.32173e-08,0.0356236,2.40487e-06,3.63,-0.000202898,1.0,PASS
typical,-40.0,2.97,e4.0n,c7,typical_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
typical,-40.0,3.3,e4.0n,c7,typical_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
typical,-40.0,3.63,e4.0n,c7,typical_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
typical,27.0,2.97,e4.0n,c7,typical_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
typical,27.0,3.3,e4.0n,c7,typical_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
typical,27.0,3.63,e4.0n,c7,typical_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
typical,125.0,2.97,e4.0n,c7,typical_125c_2.97v_e4.0n_c7,1.72507e-09,1.69632e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.25325e-08,2.97,5.25336e-08,5.15569e-08,4.74986e-08,0.0207806,2.40526e-06,2.97,-0.000168452,1.0,PASS
typical,125.0,3.3,e4.0n,c7,typical_125c_3.30v_e4.0n_c7,1.60943e-09,1.57675e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.57033e-08,3.3,5.57025e-08,5.45049e-08,4.92678e-08,0.030512,2.40523e-06,3.3,-0.000181966,1.0,PASS
typical,125.0,3.63,e4.0n,c7,typical_125c_3.63v_e4.0n_c7,1.52074e-09,1.48837e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,5.96933e-08,3.63,5.98533e-08,5.75095e-08,5.48428e-08,0.0422865,2.40506e-06,3.63,-0.000195069,1.0,PASS
sf,-40.0,2.97,e4.0n,c7,sf_-40c_2.97v_e4.0n_c7,1.28739e-09,1.27441e-09,not measured,8.71565e-07,not measured,not measured,8.71565e-07,2.18089e-10,2.97,6.35698e-10,2.62472e-09,6.78071e-09,0.0483099,2.40502e-06,2.97,-0.000131299,1.0,PASS
sf,-40.0,3.3,e4.0n,c7,sf_-40c_3.30v_e4.0n_c7,1.20168e-09,1.18935e-09,not measured,7.65859e-07,not measured,not measured,7.65859e-07,-9.03182e-10,3.3,-1.1637e-11,2.8763e-09,4.09443e-09,0.0641036,2.40482e-06,3.3,-0.000151295,1.0,PASS
sf,-40.0,3.63,e4.0n,c7,sf_-40c_3.63v_e4.0n_c7,1.14497e-09,1.13486e-09,not measured,6.88608e-07,not measured,not measured,6.88608e-07,9.12619e-09,3.63,9.07183e-09,6.32634e-09,3.35676e-09,0.0826332,2.40461e-06,3.63,-0.000172413,1.0,PASS
sf,27.0,2.97,e4.0n,c7,sf_27c_2.97v_e4.0n_c7,1.45722e-09,1.44759e-09,not measured,1.11549e-06,not measured,not measured,1.11549e-06,7.73522e-09,2.97,7.82738e-09,5.98922e-09,5.86748e-09,0.0371676,2.40537e-06,2.97,-0.000135379,1.0,PASS
sf,27.0,3.3,e4.0n,c7,sf_27c_3.30v_e4.0n_c7,1.36709e-09,1.35248e-09,not measured,9.80734e-07,not measured,not measured,9.80734e-07,5.23729e-09,3.3,5.44625e-09,5.25744e-09,7.62498e-09,0.0509448,2.40505e-06,3.3,-0.000155092,1.0,PASS
sf,27.0,3.63,e4.0n,c7,sf_27c_3.63v_e4.0n_c7,1.29626e-09,1.2833e-09,not measured,8.78746e-07,not measured,not measured,8.78746e-07,4.39742e-09,3.63,4.52855e-09,5.53337e-09,8.52553e-09,0.0667879,2.40493e-06,3.63,-0.000175318,1.0,PASS
sf,125.0,2.97,e4.0n,c7,sf_125c_2.97v_e4.0n_c7,1.71603e-09,1.70348e-09,not measured,1.48497e-06,not measured,not measured,1.48497e-06,3.17463e-07,2.97,3.17454e-07,3.16514e-07,3.12442e-07,0.0264413,2.40563e-06,2.97,-0.000157388,1.0,PASS
sf,125.0,3.3,e4.0n,c7,sf_125c_3.30v_e4.0n_c7,1.60379e-09,1.58689e-09,not measured,1.3074e-06,not measured,not measured,1.3074e-06,3.33105e-07,3.3,3.33082e-07,3.31824e-07,3.26018e-07,0.0368579,2.40549e-06,3.3,-0.000172766,1.0,PASS
sf,125.0,3.63,e4.0n,c7,sf_125c_3.63v_e4.0n_c7,1.51869e-09,1.49824e-09,not measured,1.16745e-06,not measured,not measured,1.16745e-06,3.56671e-07,3.63,3.56783e-07,3.53615e-07,3.49887e-07,0.0492046,2.40534e-06,3.63,-0.000187896,1.0,PASS
res_ff,-40.0,2.97,e4.0n,c7,res_ff_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
res_ff,-40.0,3.3,e4.0n,c7,res_ff_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
res_ff,-40.0,3.63,e4.0n,c7,res_ff_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
res_ff,27.0,2.97,e4.0n,c7,res_ff_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
res_ff,27.0,3.3,e4.0n,c7,res_ff_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
res_ff,27.0,3.63,e4.0n,c7,res_ff_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
res_ff,125.0,2.97,e4.0n,c7,res_ff_125c_2.97v_e4.0n_c7,1.72507e-09,1.69632e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.25325e-08,2.97,5.25336e-08,5.15569e-08,4.74986e-08,0.0207806,2.40526e-06,2.97,-0.000168452,1.0,PASS
res_ff,125.0,3.3,e4.0n,c7,res_ff_125c_3.30v_e4.0n_c7,1.60943e-09,1.57675e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.57033e-08,3.3,5.57025e-08,5.45049e-08,4.92678e-08,0.030512,2.40523e-06,3.3,-0.000181966,1.0,PASS
res_ff,125.0,3.63,e4.0n,c7,res_ff_125c_3.63v_e4.0n_c7,1.52074e-09,1.48837e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,5.96933e-08,3.63,5.98533e-08,5.75095e-08,5.48428e-08,0.0422865,2.40506e-06,3.63,-0.000195069,1.0,PASS
res_ss,-40.0,2.97,e4.0n,c7,res_ss_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
res_ss,-40.0,3.3,e4.0n,c7,res_ss_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
res_ss,-40.0,3.63,e4.0n,c7,res_ss_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
res_ss,27.0,2.97,e4.0n,c7,res_ss_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
res_ss,27.0,3.3,e4.0n,c7,res_ss_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
res_ss,27.0,3.63,e4.0n,c7,res_ss_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
res_ss,125.0,2.97,e4.0n,c7,res_ss_125c_2.97v_e4.0n_c7,1.72507e-09,1.69632e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.25325e-08,2.97,5.25336e-08,5.15569e-08,4.74986e-08,0.0207806,2.40526e-06,2.97,-0.000168452,1.0,PASS
res_ss,125.0,3.3,e4.0n,c7,res_ss_125c_3.30v_e4.0n_c7,1.60943e-09,1.57675e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.57033e-08,3.3,5.57025e-08,5.45049e-08,4.92678e-08,0.030512,2.40523e-06,3.3,-0.000181966,1.0,PASS
res_ss,125.0,3.63,e4.0n,c7,res_ss_125c_3.63v_e4.0n_c7,1.52074e-09,1.48837e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,5.96933e-08,3.63,5.98533e-08,5.75095e-08,5.48428e-08,0.0422865,2.40506e-06,3.63,-0.000195069,1.0,PASS
moscap_ff,-40.0,2.97,e4.0n,c7,moscap_ff_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
moscap_ff,-40.0,3.3,e4.0n,c7,moscap_ff_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
moscap_ff,-40.0,3.63,e4.0n,c7,moscap_ff_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
moscap_ff,27.0,2.97,e4.0n,c7,moscap_ff_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
moscap_ff,27.0,3.3,e4.0n,c7,moscap_ff_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
moscap_ff,27.0,3.63,e4.0n,c7,moscap_ff_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
moscap_ff,125.0,2.97,e4.0n,c7,moscap_ff_125c_2.97v_e4.0n_c7,1.72507e-09,1.69632e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.25325e-08,2.97,5.25336e-08,5.15569e-08,4.74986e-08,0.0207806,2.40526e-06,2.97,-0.000168452,1.0,PASS
moscap_ff,125.0,3.3,e4.0n,c7,moscap_ff_125c_3.30v_e4.0n_c7,1.60943e-09,1.57675e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.57033e-08,3.3,5.57025e-08,5.45049e-08,4.92678e-08,0.030512,2.40523e-06,3.3,-0.000181966,1.0,PASS
moscap_ff,125.0,3.63,e4.0n,c7,moscap_ff_125c_3.63v_e4.0n_c7,1.52074e-09,1.48837e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,5.96933e-08,3.63,5.98533e-08,5.75095e-08,5.48428e-08,0.0422865,2.40506e-06,3.63,-0.000195069,1.0,PASS
moscap_ss,-40.0,2.97,e4.0n,c7,moscap_ss_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
moscap_ss,-40.0,3.3,e4.0n,c7,moscap_ss_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
moscap_ss,-40.0,3.63,e4.0n,c7,moscap_ss_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
moscap_ss,27.0,2.97,e4.0n,c7,moscap_ss_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
moscap_ss,27.0,3.3,e4.0n,c7,moscap_ss_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
moscap_ss,27.0,3.63,e4.0n,c7,moscap_ss_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
moscap_ss,125.0,2.97,e4.0n,c7,moscap_ss_125c_2.97v_e4.0n_c7,1.72507e-09,1.69632e-09,not measured,1.65663e-06,not measured,not measured,1.65663e-06,5.25325e-08,2.97,5.25336e-08,5.15569e-08,4.74986e-08,0.0207806,2.40526e-06,2.97,-0.000168452,1.0,PASS
moscap_ss,125.0,3.3,e4.0n,c7,moscap_ss_125c_3.30v_e4.0n_c7,1.60943e-09,1.57675e-09,not measured,1.44026e-06,not measured,not measured,1.44026e-06,5.57033e-08,3.3,5.57025e-08,5.45049e-08,4.92678e-08,0.030512,2.40523e-06,3.3,-0.000181966,1.0,PASS
moscap_ss,125.0,3.63,e4.0n,c7,moscap_ss_125c_3.63v_e4.0n_c7,1.52074e-09,1.48837e-09,not measured,1.27323e-06,not measured,not measured,1.27323e-06,5.96933e-08,3.63,5.98533e-08,5.75095e-08,5.48428e-08,0.0422865,2.40506e-06,3.63,-0.000195069,1.0,PASS
mimcap_ff,-40.0,2.97,e4.0n,c7,mimcap_ff_-40c_2.97v_e4.0n_c7,1.28371e-09,1.2702e-09,not measured,9.89688e-07,not measured,not measured,9.89688e-07,-6.38482e-10,2.97,-5.12898e-10,2.33534e-09,6.91545e-09,0.0398013,2.40486e-06,2.97,-0.000132454,1.0,PASS
mimcap_ff,-40.0,3.3,e4.0n,c7,mimcap_ff_-40c_3.30v_e4.0n_c7,1.19968e-09,1.18215e-09,not measured,8.55427e-07,not measured,not measured,8.55427e-07,-1.40906e-09,3.3,-4.31377e-10,2.6324e-09,9.27894e-09,0.0542381,2.40466e-06,3.3,-0.000152323,1.0,PASS
mimcap_ff,-40.0,3.63,e4.0n,c7,mimcap_ff_-40c_3.63v_e4.0n_c7,1.14339e-09,1.12565e-09,not measured,7.58912e-07,not measured,not measured,7.58912e-07,9.16127e-09,3.63,9.16463e-09,5.97506e-09,2.39782e-09,0.0721016,2.40448e-06,3.63,-0.000173152,1.0,PASS
mimcap_ff,27.0,2.97,e4.0n,c7,mimcap_ff_27c_2.97v_e4.0n_c7,1.46321e-09,1.44464e-09,not measured,1.25792e-06,not measured,not measured,1.25792e-06,5.22003e-09,2.97,5.28306e-09,4.83641e-09,5.1055e-09,0.0314178,2.40506e-06,2.97,-0.000137996,1.0,PASS
mimcap_ff,27.0,3.3,e4.0n,c7,mimcap_ff_27c_3.30v_e4.0n_c7,1.37267e-09,1.34566e-09,not measured,1.08963e-06,not measured,not measured,1.08963e-06,3.14816e-09,3.3,3.28383e-09,4.27582e-09,7.56635e-09,0.043725,2.40487e-06,3.3,-0.000156119,1.0,PASS
mimcap_ff,27.0,3.63,e4.0n,c7,mimcap_ff_27c_3.63v_e4.0n_c7,1.2972e-09,1.2754e-09,not measured,9.64714e-07,not measured,not measured,9.64714e-07,2.34995e-09,3.63,2.79823e-09,4.66064e-09,8.9671e-09,0.0582147,2.40482e-06,3.63,-0.000176301,1.0,PASS
