# campaign: divider-ratio/chain
# record_id: 20260731-104619-2610998
# generated_utc: 2026-07-31T10:46:57Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/divider_chain.sch -> design/netlist/divider_chain.spice + sim/divider-ratio/testbench/tb_divider_chain.sp
# corners: N=4..64 at 3 stress corners; N in {4,33,64} over process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points; N in {4,64} at 10 MHz
# n_fb: the retimed-FB period in units of the VCO period, measured after one
#   full output period of start-up has been skipped (see the testbench header:
#   the modulus chain needs one pass before its ripple-back signals are
#   correct, and the first period reads N-1 at some N/corner combinations).
# n_divout: the same ratio on the un-retimed chain output over the same
#   interval -- a second node reporting the same period, so a mis-read on
#   either one shows up as a disagreement rather than as a silent pass.
# t_arr_s: DIVOUT arrival referred to the VCO rising edge that caused it,
#   modulo one VCO period = the chain's accumulated clk->Q plus output-mux
#   delay. This is the quantity the retiming flop's setup budget is spent on.
# t_rtcq_s: retiming flop clk->Q = the constant, N-independent feedback delay
#   the PFD sees (DR-001's interface contract to #9).
# fb_pw_s: FB high time; must exceed #9's PFD reset delay.
# i_div_a: current on the dedicated vdd_div domain.
process,temp_c,vdd_v,kf_hz,n_target,k_cells,n_fb,n_divout,t_arr_s,t_rtcq_s,fb_pw_s,i_div_a,pass
fs,-40,2.97,2e+08,4,2,4,4,1.22412e-09,2.35911e-10,9.9711e-09,0.000239522,PASS
fs,-40,3.30,2e+08,4,2,4,3.99997,1.14419e-09,2.20922e-10,9.96989e-09,0.000288249,PASS
fs,-40,3.63,2e+08,4,2,4,4,1.09018e-09,2.09253e-10,9.96513e-09,0.00032134,PASS
fs,27,2.97,2e+08,4,2,4,4,1.41408e-09,2.7389e-10,9.947e-09,0.000255671,PASS
fs,27,3.30,2e+08,4,2,4,4,1.31379e-09,2.41881e-10,9.9704e-09,0.000302168,PASS
fs,27,3.63,2e+08,4,2,4,4,1.21783e-09,2.28957e-10,9.9761e-09,0.000320593,PASS
fs,125,2.97,2e+08,4,2,4,3.99999,1.63506e-09,3.28792e-10,9.92496e-09,0.000241239,PASS
fs,125,3.30,2e+08,4,2,4,4,1.51819e-09,3.06699e-10,9.92483e-09,0.000281584,PASS
fs,125,3.63,2e+08,4,2,4,4.00001,1.42454e-09,2.78767e-10,9.9435e-09,0.000340788,PASS
sf,-40,2.97,2e+08,4,2,4,4,1.22142e-09,2.2782e-10,9.9892e-09,0.000239943,PASS
sf,-40,3.30,2e+08,4,2,4,3.99999,1.13933e-09,2.1934e-10,9.98977e-09,0.000281902,PASS
sf,-40,3.63,2e+08,4,2,4,4,1.09496e-09,2.07057e-10,9.9879e-09,0.000328841,PASS
sf,27,2.97,2e+08,4,2,4,4,1.41647e-09,2.71827e-10,9.9649e-09,0.00024663,PASS
sf,27,3.30,2e+08,4,2,4,4,1.31293e-09,2.35477e-10,9.98776e-09,0.000278099,PASS
sf,27,3.63,2e+08,4,2,4,4,1.21819e-09,2.24304e-10,9.99201e-09,0.000315617,PASS
sf,125,2.97,2e+08,4,2,4,3.99999,1.63993e-09,3.18855e-10,9.9679e-09,0.000254289,PASS
sf,125,3.30,2e+08,4,2,4,4,1.52064e-09,2.99107e-10,9.95938e-09,0.00029171,PASS
sf,125,3.63,2e+08,4,2,4,4.00001,1.43871e-09,2.74396e-10,9.963e-09,0.000328386,PASS
ss,-40,2.97,2e+08,4,2,4,4,1.51257e-09,2.99287e-10,9.9462e-09,0.00023528,PASS
ss,-40,3.30,2e+08,4,2,4,4.00001,1.34316e-09,2.57351e-10,9.9671e-09,0.000267318,PASS
ss,-40,3.63,2e+08,4,2,4,4.00001,1.30386e-09,2.33448e-10,9.9823e-09,0.000308374,PASS
ss,27,2.97,2e+08,4,2,4,4.00001,1.711e-09,3.37943e-10,9.9468e-09,0.000234566,PASS
ss,27,3.30,2e+08,4,2,4,4.00003,1.55943e-09,3.15186e-10,9.9416e-09,0.000266473,PASS
ss,27,3.63,2e+08,4,2,4,3.99997,1.45425e-09,2.8666e-10,9.9472e-09,0.000310616,PASS
ss,125,2.97,2e+08,4,2,4,3.99998,1.98086e-09,3.86733e-10,9.94242e-09,0.000235019,PASS
ss,125,3.30,2e+08,4,2,4,4,1.8179e-09,3.49894e-10,9.95585e-09,0.000278291,PASS
ss,125,3.63,2e+08,4,2,4,3.99999,1.70193e-09,3.28346e-10,9.956e-09,0.000327682,PASS
typical,-40,2.97,2e+08,4,2,4,4,1.22e-09,2.30849e-10,9.981e-09,0.000247,PASS
typical,-40,3.30,2e+08,4,2,4,4,1.12987e-09,2.1867e-10,9.9811e-09,0.000286123,PASS
typical,-40,3.63,2e+08,4,2,4,4,1.09026e-09,2.07282e-10,9.9769e-09,0.000326584,PASS
typical,27,2.97,2e+08,4,2,4,4,1.41279e-09,2.70348e-10,9.95681e-09,0.000249195,PASS
typical,27,3.30,2e+08,4,2,4,4,1.31212e-09,2.37109e-10,9.98013e-09,0.000283087,PASS
typical,27,3.63,2e+08,4,2,4,4,1.21715e-09,2.26107e-10,9.9846e-09,0.000348021,PASS
typical,125,2.97,2e+08,4,2,4,4,1.63232e-09,3.2354e-10,9.9471e-09,0.000268655,PASS
typical,125,3.30,2e+08,4,2,4,4,1.51711e-09,3.02973e-10,9.9386e-09,0.000282734,PASS
typical,125,3.63,2e+08,4,2,4,4.00001,1.42658e-09,2.76128e-10,9.95221e-09,0.000333776,PASS
ff,-40,3.63,2e+08,5,2,5,5,9.59161e-10,1.80602e-10,9.9642e-09,0.000305464,PASS
ss,125,2.97,2e+08,5,2,5,4.99999,1.98087e-09,3.86733e-10,9.94242e-09,0.000210681,PASS
ff,-40,3.63,2e+08,6,2,6,6,9.55184e-10,1.80602e-10,9.96423e-09,0.000298337,PASS
ss,125,2.97,2e+08,6,2,6,6.00002,1.97741e-09,3.86729e-10,9.94242e-09,0.000200492,PASS
ff,-40,3.63,2e+08,7,2,7,7,9.55186e-10,1.80602e-10,9.96423e-09,0.00027103,PASS
ss,125,2.97,2e+08,7,2,7,6.99998,1.97731e-09,3.86733e-10,9.9424e-09,0.00018177,PASS
ff,-40,3.63,2e+08,8,3,8,8,1.27776e-09,1.80602e-10,1.99642e-08,0.000300901,PASS
ss,125,2.97,2e+08,8,3,8,7.99999,2.75102e-09,3.86733e-10,1.99424e-08,0.000229166,PASS
ff,-40,3.63,2e+08,9,3,9,9,1.27773e-09,1.80602e-10,1.99642e-08,0.000276836,PASS
ss,125,2.97,2e+08,9,3,9,8.99999,2.75108e-09,3.86733e-10,1.99424e-08,0.000202893,PASS
ff,-40,3.63,2e+08,10,3,10,10,1.27722e-09,1.80602e-10,1.99642e-08,0.000277926,PASS
ss,125,2.97,2e+08,10,3,10,10,2.74801e-09,3.86733e-10,1.99424e-08,0.000203726,PASS
ff,-40,3.63,2e+08,11,3,11,11,1.27721e-09,1.80602e-10,1.99642e-08,0.000266777,PASS
ss,125,2.97,2e+08,11,3,11,11,2.74799e-09,3.86729e-10,1.99424e-08,0.00019713,PASS
ff,-40,3.63,2e+08,12,3,12,12,1.27695e-09,1.80602e-10,1.99642e-08,0.000270486,PASS
ss,125,2.97,2e+08,12,3,12,12,2.74511e-09,3.86733e-10,1.99424e-08,0.000197497,PASS
ff,-40,3.63,2e+08,13,3,13,13,1.27695e-09,1.80602e-10,1.99642e-08,0.000255966,PASS
ss,125,2.97,2e+08,13,3,13,13,2.74512e-09,3.86729e-10,1.99424e-08,0.000188347,PASS
ff,-40,3.63,2e+08,14,3,14,14,1.27694e-09,1.80602e-10,1.99642e-08,0.000262359,PASS
ss,125,2.97,2e+08,14,3,14,14,2.74511e-09,3.86733e-10,1.99424e-08,0.000187203,PASS
ff,-40,3.63,2e+08,15,3,15,15,1.27694e-09,1.80602e-10,1.99642e-08,0.000247223,PASS
ss,125,2.97,2e+08,15,3,15,15,2.74516e-09,3.86729e-10,1.99424e-08,0.000179832,PASS
ff,-40,3.63,2e+08,16,4,16,16,1.5664e-09,1.80602e-10,3.99642e-08,0.000279186,PASS
ss,125,2.97,2e+08,16,4,16,16,3.31496e-09,3.86729e-10,3.99424e-08,0.000199603,PASS
ff,-40,3.63,2e+08,17,4,17,17,1.56644e-09,1.80602e-10,3.99642e-08,0.000265285,PASS
ss,125,2.97,2e+08,17,4,17,17,3.31498e-09,3.86729e-10,3.99424e-08,0.000193344,PASS
ff,-40,3.63,2e+08,18,4,18,18,1.563e-09,1.80602e-10,3.99642e-08,0.00026718,PASS
ss,125,2.97,2e+08,18,4,18,18,3.31094e-09,3.86733e-10,3.99424e-08,0.000200074,PASS
ff,-40,3.63,2e+08,19,4,19,19,1.56301e-09,1.80602e-10,3.99642e-08,0.000257014,PASS
ss,125,2.97,2e+08,19,4,19,19,3.31091e-09,3.86733e-10,3.99424e-08,0.00018802,PASS
ff,-40,3.63,2e+08,20,4,20,20,1.55994e-09,1.80602e-10,3.99642e-08,0.000264809,PASS
ss,125,2.97,2e+08,20,4,20,20,3.30686e-09,3.86733e-10,3.99424e-08,0.000192473,PASS
ff,-40,3.63,2e+08,21,4,21,21,1.55995e-09,1.80602e-10,3.99642e-08,0.00025421,PASS
ss,125,2.97,2e+08,21,4,21,21,3.30687e-09,3.86733e-10,3.99424e-08,0.000188247,PASS
ff,-40,3.63,2e+08,22,4,22,22,1.55991e-09,1.80602e-10,3.99642e-08,0.000257563,PASS
ss,125,2.97,2e+08,22,4,22,22,3.30691e-09,3.86729e-10,3.99424e-08,0.000183479,PASS
ff,-40,3.63,2e+08,23,4,23,23,1.55991e-09,1.80602e-10,3.99642e-08,0.000244606,PASS
ss,125,2.97,2e+08,23,4,23,23,3.30688e-09,3.86733e-10,3.99424e-08,0.000182243,PASS
ff,-40,3.63,2e+08,24,4,24,24,1.5569e-09,1.80602e-10,3.99642e-08,0.000262384,PASS
ss,125,2.97,2e+08,24,4,24,24,3.30413e-09,3.86733e-10,3.99424e-08,0.000191609,PASS
ff,-40,3.63,2e+08,25,4,25,25,1.55691e-09,1.80602e-10,3.99642e-08,0.000250522,PASS
ss,125,2.97,2e+08,25,4,25,25,3.3041e-09,3.86733e-10,3.99424e-08,0.000184282,PASS
ff,-40,3.63,2e+08,26,4,26,26,1.55691e-09,1.80602e-10,3.99642e-08,0.00025285,PASS
ss,125,2.97,2e+08,26,4,26,26,3.3041e-09,3.86733e-10,3.99424e-08,0.000185156,PASS
ff,-40,3.63,2e+08,27,4,27,27,1.55691e-09,1.80602e-10,3.99642e-08,0.000245577,PASS
ss,125,2.97,2e+08,27,4,27,27,3.3041e-09,3.86733e-10,3.99424e-08,0.000182227,PASS
ff,-40,3.63,2e+08,28,4,28,28,1.55683e-09,1.80602e-10,3.99642e-08,0.000254646,PASS
ss,125,2.97,2e+08,28,4,28,28,3.3041e-09,3.86729e-10,3.99424e-08,0.000182465,PASS
ff,-40,3.63,2e+08,29,4,29,29,1.55699e-09,1.80602e-10,3.99642e-08,0.000247126,PASS
ss,125,2.97,2e+08,29,4,29,29,3.30406e-09,3.86733e-10,3.9942e-08,0.000180477,PASS
ff,-40,3.63,2e+08,30,4,30,30,1.55688e-09,1.80602e-10,3.99642e-08,0.000247207,PASS
ss,125,2.97,2e+08,30,4,30,30,3.30409e-09,3.86733e-10,3.99424e-08,0.000179203,PASS
ff,-40,3.63,2e+08,31,4,31,31,1.55688e-09,1.80602e-10,3.99642e-08,0.000243522,PASS
ss,125,2.97,2e+08,31,4,31,31,3.30406e-09,3.86733e-10,3.9942e-08,0.000175896,PASS
ff,-40,3.63,2e+08,32,5,32,32,1.88695e-09,1.80602e-10,7.99642e-08,0.000266954,PASS
ss,125,2.97,2e+08,32,5,32,32,4.08436e-09,3.86729e-10,7.99424e-08,0.0001932,PASS
ff,-40,2.97,2e+08,33,5,33,33,2.18676e-09,2.05242e-10,7.99694e-08,0.000194587,PASS
ff,-40,3.30,2e+08,33,5,33,33,1.99502e-09,1.93521e-10,7.99622e-08,0.000224341,PASS
ff,-40,3.63,2e+08,33,5,33,33,1.88691e-09,1.80602e-10,7.99642e-08,0.000257916,PASS
ff,27,2.97,2e+08,33,5,33,33,2.43361e-09,2.23629e-10,7.99819e-08,0.000201498,PASS
ff,27,3.30,2e+08,33,5,33,33,2.29454e-09,2.10741e-10,7.99772e-08,0.000227755,PASS
ff,27,3.63,2e+08,33,5,33,33,2.18378e-09,2.01146e-10,7.9972e-08,0.000259372,PASS
ff,125,2.97,2e+08,33,5,33,33,2.80711e-09,2.58352e-10,7.99647e-08,0.000206983,PASS
ff,125,3.30,2e+08,33,5,33,33,2.64706e-09,2.33288e-10,7.99822e-08,0.000232141,PASS
ff,125,3.63,2e+08,33,5,33,33,2.49665e-09,2.23614e-10,7.99856e-08,0.00026174,PASS
fs,-40,2.97,2e+08,33,5,33,33,2.5901e-09,2.35911e-10,7.99711e-08,0.000182495,PASS
fs,-40,3.30,2e+08,33,5,33,33,2.3857e-09,2.20922e-10,7.99689e-08,0.000213437,PASS
fs,-40,3.63,2e+08,33,5,33,33,2.27935e-09,2.09253e-10,7.99646e-08,0.000248656,PASS
fs,27,2.97,2e+08,33,5,33,33,2.93196e-09,2.7389e-10,7.9947e-08,0.000187146,PASS
fs,27,3.30,2e+08,33,5,33,33,2.72508e-09,2.41881e-10,7.99704e-08,0.000216469,PASS
fs,27,3.63,2e+08,33,5,33,33,2.52904e-09,2.28957e-10,7.99757e-08,0.000244395,PASS
fs,125,2.97,2e+08,33,5,33,33,3.407e-09,3.28791e-10,7.9925e-08,0.000190559,PASS
fs,125,3.30,2e+08,33,5,33,33,3.1443e-09,3.06699e-10,7.99248e-08,0.00022427,PASS
fs,125,3.63,2e+08,33,5,33,33,2.93406e-09,2.78767e-10,7.99435e-08,0.000257287,PASS
sf,-40,2.97,2e+08,33,5,33,33,2.55516e-09,2.27818e-10,7.99892e-08,0.000185588,PASS
sf,-40,3.30,2e+08,33,5,33,33,2.40226e-09,2.19346e-10,7.99893e-08,0.000217379,PASS
sf,-40,3.63,2e+08,33,5,33,33,2.28398e-09,2.07057e-10,7.99869e-08,0.000250552,PASS
sf,27,2.97,2e+08,33,5,33,33,2.9245e-09,2.71827e-10,7.99649e-08,0.000189427,PASS
sf,27,3.30,2e+08,33,5,33,33,2.71038e-09,2.35477e-10,7.99878e-08,0.00021779,PASS
sf,27,3.63,2e+08,33,5,33,33,2.52491e-09,2.24304e-10,7.9992e-08,0.000248607,PASS
sf,125,2.97,2e+08,33,5,33,33,3.38289e-09,3.18855e-10,7.99679e-08,0.000195117,PASS
sf,125,3.30,2e+08,33,5,33,33,3.13466e-09,2.99107e-10,7.99594e-08,0.00022726,PASS
sf,125,3.63,2e+08,33,5,33,33,2.93085e-09,2.74396e-10,7.9963e-08,0.000251554,PASS
ss,-40,2.97,2e+08,33,5,33,33,3.11647e-09,2.99287e-10,7.99462e-08,0.000174803,PASS
ss,-40,3.30,2e+08,33,5,33,33,2.82006e-09,2.57338e-10,7.99671e-08,0.000207472,PASS
ss,-40,3.63,2e+08,33,5,33,33,2.64546e-09,2.33448e-10,7.99823e-08,0.000235812,PASS
ss,27,2.97,2e+08,33,5,33,33,3.49092e-09,3.3794e-10,7.99468e-08,0.000183695,PASS
ss,27,3.30,2e+08,33,5,33,33,3.22855e-09,3.15179e-10,7.99416e-08,0.000205384,PASS
ss,27,3.63,2e+08,33,5,33,33,3.0178e-09,2.8666e-10,7.99472e-08,0.000238224,PASS
ss,125,2.97,2e+08,33,5,33,33,4.0845e-09,3.86729e-10,7.99424e-08,0.000184463,PASS
ss,125,3.30,2e+08,33,5,33,33,3.73716e-09,3.49888e-10,7.99558e-08,0.000211136,PASS
ss,125,3.63,2e+08,33,5,33,33,3.45005e-09,3.28346e-10,7.9956e-08,0.000242561,PASS
typical,-40,2.97,2e+08,33,5,33,33,2.55799e-09,2.30846e-10,7.9981e-08,0.000184225,PASS
typical,-40,3.30,2e+08,33,5,33,33,2.37928e-09,2.1867e-10,7.99798e-08,0.000214743,PASS
typical,-40,3.63,2e+08,33,5,33,33,2.27661e-09,2.07282e-10,7.99761e-08,0.000246953,PASS
typical,27,2.97,2e+08,33,5,33,33,2.92251e-09,2.70348e-10,7.99568e-08,0.000184714,PASS
typical,27,3.30,2e+08,33,5,33,33,2.71102e-09,2.37109e-10,7.99801e-08,0.000217404,PASS
typical,27,3.63,2e+08,33,5,33,33,2.5176e-09,2.26107e-10,7.99846e-08,0.000244275,PASS
typical,125,2.97,2e+08,33,5,33,33,3.38537e-09,3.2354e-10,7.99471e-08,0.000191459,PASS
typical,125,3.30,2e+08,33,5,33,33,3.13431e-09,3.02973e-10,7.99386e-08,0.00021918,PASS
typical,125,3.63,2e+08,33,5,33,33,2.92941e-09,2.76128e-10,7.99522e-08,0.000253693,PASS
ff,-40,3.63,2e+08,34,5,34,34,1.88632e-09,1.80602e-10,7.99642e-08,0.000252802,PASS
ss,125,2.97,2e+08,34,5,34,34,4.07912e-09,3.86729e-10,7.99424e-08,0.000188777,PASS
ff,-40,3.63,2e+08,35,5,35,35,1.88632e-09,1.80602e-10,7.99642e-08,0.000248465,PASS
ss,125,2.97,2e+08,35,5,35,35,4.07901e-09,3.86729e-10,7.99424e-08,0.000185188,PASS
ff,-40,3.63,2e+08,36,5,36,36,1.886e-09,1.80602e-10,7.99642e-08,0.000256104,PASS
ss,125,2.97,2e+08,36,5,36,36,4.07326e-09,3.86729e-10,7.99424e-08,0.000188176,PASS
ff,-40,3.63,2e+08,37,5,37,37,1.886e-09,1.80602e-10,7.99642e-08,0.000248302,PASS
ss,125,2.97,2e+08,37,5,37,37,4.07328e-09,3.86729e-10,7.9942e-08,0.000181554,PASS
ff,-40,3.63,2e+08,38,5,38,38,1.88595e-09,1.80602e-10,7.99642e-08,0.000250328,PASS
ss,125,2.97,2e+08,38,5,38,38,4.07335e-09,3.86729e-10,7.99424e-08,0.000181403,PASS
ff,-40,3.63,2e+08,39,5,39,39,1.88595e-09,1.80602e-10,7.99642e-08,0.000244843,PASS
ss,125,2.97,2e+08,39,5,39,39,4.07329e-09,3.86729e-10,7.9942e-08,0.000180219,PASS
ff,-40,3.63,2e+08,40,5,40,40,1.88576e-09,1.80602e-10,7.99642e-08,0.000255019,PASS
ss,125,2.97,2e+08,40,5,40,40,4.0692e-09,3.86729e-10,7.9942e-08,0.000185142,PASS
ff,-40,3.63,2e+08,41,5,41,41,1.88576e-09,1.80602e-10,7.9964e-08,0.000249692,PASS
ss,125,2.97,2e+08,41,5,41,41,4.06916e-09,3.86729e-10,7.99424e-08,0.000183635,PASS
ff,-40,3.63,2e+08,42,5,42,42,1.88572e-09,1.80602e-10,7.9964e-08,0.000250426,PASS
ss,125,2.97,2e+08,42,5,42,42,4.06919e-09,3.86729e-10,7.99424e-08,0.000180936,PASS
ff,-40,3.63,2e+08,43,5,43,43,1.88572e-09,1.80602e-10,7.99642e-08,0.000245081,PASS
ss,125,2.97,2e+08,43,5,43,43,4.06913e-09,3.86729e-10,7.9942e-08,0.00017894,PASS
ff,-40,3.63,2e+08,44,5,44,44,1.88576e-09,1.80602e-10,7.99642e-08,0.000249231,PASS
ss,125,2.97,2e+08,44,5,44,44,4.06914e-09,3.86729e-10,7.99424e-08,0.00018186,PASS
ff,-40,3.63,2e+08,45,5,45,45,1.88572e-09,1.80602e-10,7.99642e-08,0.000245867,PASS
ss,125,2.97,2e+08,45,5,45,45,4.06919e-09,3.86729e-10,7.9942e-08,0.00018072,PASS
ff,-40,3.63,2e+08,46,5,46,46,1.88572e-09,1.80602e-10,7.99642e-08,0.000244861,PASS
ss,125,2.97,2e+08,46,5,46,46,4.06926e-09,3.86729e-10,7.9942e-08,0.000179606,PASS
ff,-40,3.63,2e+08,47,5,47,47,1.88572e-09,1.80602e-10,7.99642e-08,0.00024107,PASS
ss,125,2.97,2e+08,47,5,47,47,4.06919e-09,3.86729e-10,7.99424e-08,0.000176724,PASS
ff,-40,3.63,2e+08,48,5,48,48,1.88518e-09,1.80602e-10,7.9964e-08,0.000250355,PASS
ss,125,2.97,2e+08,48,5,48,48,4.06612e-09,3.86729e-10,7.9942e-08,0.000187075,PASS
ff,-40,3.63,2e+08,49,5,49,49,1.88518e-09,1.80602e-10,7.9964e-08,0.000247743,PASS
ss,125,2.97,2e+08,49,5,49,49,4.06608e-09,3.86729e-10,7.99424e-08,0.000181149,PASS
ff,-40,3.63,2e+08,50,5,50,50,1.88521e-09,1.80602e-10,7.99642e-08,0.000248309,PASS
ss,125,2.97,2e+08,50,5,50,50,4.06612e-09,3.86729e-10,7.9942e-08,0.000184573,PASS
ff,-40,3.63,2e+08,51,5,51,51,1.88521e-09,1.80602e-10,7.99642e-08,0.000245817,PASS
ss,125,2.97,2e+08,51,5,51,51,4.06619e-09,3.86729e-10,7.9942e-08,0.000179945,PASS
ff,-40,3.63,2e+08,52,5,52,52,1.88521e-09,1.80602e-10,7.9964e-08,0.000249439,PASS
ss,125,2.97,2e+08,52,5,52,52,4.06612e-09,3.86729e-10,7.9942e-08,0.000183063,PASS
ff,-40,3.63,2e+08,53,5,53,53,1.88521e-09,1.80602e-10,7.9964e-08,0.000244737,PASS
ss,125,2.97,2e+08,53,5,53,53,4.0661e-09,3.86729e-10,7.99424e-08,0.000178141,PASS
ff,-40,3.63,2e+08,54,5,54,54,1.8852e-09,1.80602e-10,7.99642e-08,0.000243466,PASS
ss,125,2.97,2e+08,54,5,54,54,4.06605e-09,3.86729e-10,7.99424e-08,0.000180444,PASS
ff,-40,3.63,2e+08,55,5,55,55,1.88521e-09,1.80602e-10,7.99642e-08,0.000241069,PASS
ss,125,2.97,2e+08,55,5,55,55,4.06606e-09,3.86729e-10,7.99424e-08,0.000176424,PASS
ff,-40,3.63,2e+08,56,5,56,56,1.88521e-09,1.80602e-10,7.99642e-08,0.000247442,PASS
ss,125,2.97,2e+08,56,5,56,56,4.06611e-09,3.86729e-10,7.9942e-08,0.000183308,PASS
ff,-40,3.63,2e+08,57,5,57,57,1.88521e-09,1.80602e-10,7.99642e-08,0.000243234,PASS
ss,125,2.97,2e+08,57,5,57,57,4.06605e-09,3.86729e-10,7.99424e-08,0.000178989,PASS
ff,-40,3.63,2e+08,58,5,58,58,1.88521e-09,1.80602e-10,7.99642e-08,0.000243228,PASS
ss,125,2.97,2e+08,58,5,58,58,4.06611e-09,3.86729e-10,7.9942e-08,0.000181221,PASS
ff,-40,3.63,2e+08,59,5,59,59,1.88521e-09,1.80602e-10,7.99642e-08,0.000240065,PASS
ss,125,2.97,2e+08,59,5,59,59,4.06605e-09,3.86729e-10,7.99424e-08,0.000177046,PASS
ff,-40,3.63,2e+08,60,5,60,60,1.88521e-09,1.80602e-10,7.99642e-08,0.000244472,PASS
ss,125,2.97,2e+08,60,5,60,60,4.06615e-09,3.86729e-10,7.9942e-08,0.000178425,PASS
ff,-40,3.63,2e+08,61,5,61,61,1.88521e-09,1.80602e-10,7.99642e-08,0.000240951,PASS
ss,125,2.97,2e+08,61,5,61,61,4.06611e-09,3.86729e-10,7.9942e-08,0.000176619,PASS
ff,-40,3.63,2e+08,62,5,62,62,1.88521e-09,1.80602e-10,7.99642e-08,0.000241787,PASS
ss,125,2.97,2e+08,62,5,62,62,4.06615e-09,3.86729e-10,7.99424e-08,0.000178101,PASS
