# campaign: divider-ratio/cell
# record_id: 20260731-171816-0a12e6c
# generated_utc: 2026-07-31T17:19:03Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/div23_cell.sch -> design/netlist/div23_cell.spice + sim/divider-ratio/testbench/tb_div23_cell.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points x kf{200,10} MHz = 90 points
# Six independent copies of the same cell per run (see the testbench header):
#   n_div2         P=0, 50% duty in   -> must be exactly 2
#   n_div3         P=1, 50% duty in   -> must be exactly 3
#   n_div2_33duty  P=0, 33% duty in   -> must be exactly 2  (both-edges check)
#   n_div3_67duty  P=1, 67% duty in   -> must be exactly 3  (both-edges check)
#   n_1p5x         P=1 at 1.5 x kf    -> must be exactly 3  (speed margin)
#   n_2x           P=1 at 2.0 x kf    -> must be exactly 3  (speed margin)
# tcq_s: CKIN 50% to CKOUT 50%, modulo the input period.
# pw_modout_s: MODOUT high time of the divide-by-3 copy; must be one CKIN
#   period, since the preceding (2x faster) cell has to see it as one of its
#   own output periods.
# i_cell_a: supply current of the six copies divided by six.
# pass: every one of the six ratios exact to within 1e-3.
process,temp_c,vdd_v,kf_hz,n_div2,n_div3,n_div2_33duty,n_div3_67duty,n_1p5x,n_2x,tcq_s,pw_div2_s,pw_div3_s,pw_modout_s,i_cell_a,pass
ss,-40,3.63,1e+07,1.99995,3.00007,1.99995,3.00006,3,3,5.69206e-10,9.99047e-08,9.99148e-08,-2.00025e-07,1.03135e-05,PASS
ss,27,2.97,1e+07,1.99999,2.99946,1.99999,2.99946,3,2.99902,7.44417e-10,9.9892e-08,9.9991e-08,9.99568e-08,6.98238e-06,PASS
ss,27,3.30,1e+07,1.99998,2.99958,1.99998,2.99958,3,2.99766,6.14477e-10,1.00041e-07,9.9988e-08,9.99512e-08,8.64132e-06,PASS
ss,27,3.63,1e+07,1.99982,2.99971,1.99982,2.99971,3,2.99757,6.25092e-10,9.9991e-08,9.9994e-08,9.99633e-08,1.04028e-05,PASS
ss,125,2.97,1e+07,2.00001,3.00001,1.99994,2.99972,3,2.99981,7.85012e-10,9.99704e-08,9.99844e-08,9.99419e-08,7.30413e-06,PASS
ss,125,3.30,1e+07,1.99979,2.99958,1.99979,2.99958,3,3,7.91459e-10,9.9929e-08,1.00031e-07,-2.00046e-07,8.92753e-06,PASS
ss,125,3.63,1e+07,1.99996,2.99979,2.00007,3.00033,3,2.99999,7.54381e-10,9.98889e-08,9.9923e-08,-2.00053e-07,1.07903e-05,PASS
typical,-40,2.97,1e+07,2,2.99983,2,2.99999,3,2.99898,4.66177e-10,9.99895e-08,9.999e-08,9.99652e-08,7.85452e-06,PASS
typical,-40,3.30,1e+07,2,3.00004,2,3.00004,3,3,4.56582e-10,9.99901e-08,9.99899e-08,-2.00013e-07,9.79867e-06,PASS
typical,-40,3.63,1e+07,2.00001,3,2.00001,3,2.99804,3,4.47611e-10,9.9957e-08,9.99415e-08,9.99767e-08,1.20859e-05,PASS
typical,27,2.97,1e+07,1.99995,2.99997,1.99995,2.99997,3,2.99769,6.09126e-10,9.9963e-08,9.9988e-08,9.9953e-08,8.13578e-06,PASS
typical,27,3.30,1e+07,2.00012,3.00011,2.00012,3.00011,3,2.99859,5.53492e-10,9.9902e-08,9.9923e-08,9.99565e-08,1.00993e-05,PASS
typical,27,3.63,1e+07,2.00015,3.00019,2.00015,3.00019,3,2.99895,5.1853e-10,9.991e-08,9.9921e-08,9.99603e-08,1.22539e-05,PASS
typical,125,2.97,1e+07,2,3,2,3,3,3,6.39911e-10,1.00014e-07,9.99662e-08,9.99633e-08,8.6819e-06,PASS
typical,125,3.30,1e+07,1.99974,3,2.00001,3.0002,2.99999,3.00208,6.62044e-10,1.0003e-07,9.99216e-08,9.99601e-08,1.06492e-05,PASS
typical,125,3.63,1e+07,1.99978,3,1.99978,2.99996,3,3.00221,6.35865e-10,9.9965e-08,9.99645e-08,9.99692e-08,1.25551e-05,PASS
ff,-40,2.97,2e+08,2,3,2,3,3,3,3.12102e-10,4.9726e-09,4.9724e-09,4.97828e-09,0.000110264,PASS
ff,-40,3.30,2e+08,2,3,2,3,3,3,2.909e-10,4.97455e-09,4.9743e-09,4.98092e-09,0.000125984,PASS
ff,-40,3.63,2e+08,2,3,2,3,3,3,2.761e-10,4.97516e-09,4.9748e-09,4.98263e-09,0.000142807,PASS
ff,27,2.97,2e+08,2,3,2,3,3,3,3.55241e-10,4.96843e-09,4.9682e-09,4.97448e-09,0.000114085,PASS
ff,27,3.30,2e+08,2,3,2,3,3,3,3.30486e-10,4.97165e-09,4.9713e-09,4.9773e-09,0.000130055,PASS
ff,27,3.63,2e+08,2,3,2,3,3,3,3.11895e-10,4.97336e-09,4.9731e-09,4.97964e-09,0.00014669,PASS
ff,125,2.97,2e+08,2,3,2,3,3,3,4.15273e-10,4.96379e-09,4.9634e-09,4.97043e-09,0.000120306,PASS
ff,125,3.30,2e+08,2,3,2,3,3,3.00004,3.86512e-10,4.96571e-09,4.9653e-09,4.97401e-09,0.00013661,PASS
ff,125,3.63,2e+08,2,3,2,3,3,3,3.64355e-10,4.96809e-09,4.9676e-09,4.9767e-09,0.000153407,PASS
fs,-40,2.97,2e+08,2,3,2,3,3,3,3.77312e-10,4.96103e-09,4.9607e-09,-1.00394e-08,0.000108132,PASS
fs,-40,3.30,2e+08,2,3,2,3,3,2.99999,3.46857e-10,4.96229e-09,4.96202e-09,-1.00348e-08,0.000122968,PASS
fs,-40,3.63,2e+08,2,3,2,3,3,2.99999,3.24986e-10,4.96404e-09,4.96376e-09,-1.00313e-08,0.000138408,PASS
fs,27,2.97,2e+08,2,3,2,3,3,3,4.29487e-10,4.95469e-09,4.9546e-09,4.95291e-09,0.000111667,PASS
fs,27,3.30,2e+08,2,3,2,3,3,3,3.94534e-10,4.95693e-09,4.9566e-09,4.95823e-09,0.000126901,PASS
fs,27,3.63,2e+08,2,3,2,3,3,3,3.68649e-10,4.95968e-09,4.9594e-09,-1.00377e-08,0.000142864,PASS
fs,125,2.97,2e+08,2,3,2,3,3,3,5.04814e-10,4.9436e-09,4.9434e-09,4.94345e-09,0.000117148,PASS
fs,125,3.30,2e+08,2,3,2,3,2.99999,3,4.63986e-10,4.9478e-09,4.9476e-09,-1.00498e-08,0.000132532,PASS
fs,125,3.63,2e+08,2,3,2,3,2.99996,3.00003,4.31617e-10,4.95327e-09,4.95308e-09,-1.00447e-08,0.000148658,PASS
sf,-40,2.97,2e+08,2,3,2,3,3.00003,3.00004,3.80102e-10,4.96899e-09,4.96868e-09,4.98781e-09,0.000108851,PASS
sf,-40,3.30,2e+08,2,3,2,3,3.00002,3.00005,3.48952e-10,4.9748e-09,4.97453e-09,4.99033e-09,0.000124021,PASS
sf,-40,3.63,2e+08,2,3,2,3,3,3,3.27238e-10,4.97702e-09,4.9767e-09,4.99262e-09,0.000139544,PASS
sf,27,2.97,2e+08,2,3,2,3,3,3,4.31361e-10,4.96894e-09,4.9686e-09,4.98575e-09,0.000112181,PASS
sf,27,3.30,2e+08,2,3,2,3,3,3,3.97909e-10,4.97033e-09,4.97e-09,4.98888e-09,0.000127493,PASS
sf,27,3.63,2e+08,2,3,2,3,3,3,3.70919e-10,4.97475e-09,4.9744e-09,4.99095e-09,0.000143337,PASS
sf,125,2.97,2e+08,2,3,2,3,3,3,5.0582e-10,4.96355e-09,4.9632e-09,-1.00149e-08,0.000117491,PASS
sf,125,3.30,2e+08,2,3,2,3,3,3,4.65544e-10,4.96752e-09,4.967e-09,-1.00117e-08,0.00013325,PASS
sf,125,3.63,2e+08,2,3,2,3,3,3,4.34338e-10,4.97167e-09,4.9712e-09,-1.00094e-08,0.00014938,PASS
ss,-40,2.97,2e+08,2,3,2,3,3,3,4.63847e-10,4.95718e-09,4.957e-09,4.96813e-09,0.000107786,PASS
ss,-40,3.30,2e+08,2,3,2,3,3.00009,3,4.2175e-10,4.96087e-09,4.9607e-09,-1.00267e-08,0.000121941,PASS
ss,-40,3.63,2e+08,1.99999,3,1.99999,3,3,3,3.89495e-10,4.96423e-09,4.9638e-09,-1.00231e-08,0.000137168,PASS
ss,27,2.97,2e+08,2,3,2,3,3,3,5.28528e-10,4.9519e-09,4.9517e-09,4.96245e-09,0.000110948,PASS
ss,27,3.30,2e+08,2,3,2,3,3,3,4.80726e-10,4.9549e-09,4.9546e-09,4.96803e-09,0.00012565,PASS
ss,27,3.63,2e+08,2,3,2,3,3,3,4.44858e-10,4.95918e-09,4.9589e-09,4.97239e-09,0.000140926,PASS
ss,125,2.97,2e+08,2,3.00001,2,3,3.00001,3,6.21052e-10,4.94198e-09,4.9418e-09,4.95566e-09,0.000115978,PASS
ss,125,3.30,2e+08,2,3,2,3,3,3,5.64442e-10,4.94747e-09,4.94716e-09,-1.00376e-08,0.000130847,PASS
ss,125,3.63,2e+08,2,3,2,3,3,3.00005,5.22324e-10,4.95181e-09,4.95138e-09,-1.00326e-08,0.000146072,PASS
typical,-40,2.97,2e+08,2,3,2,3,3,3,3.76589e-10,4.96617e-09,4.966e-09,4.97402e-09,0.000108252,PASS
typical,-40,3.30,2e+08,2,3,2,3,3,3.00001,3.46826e-10,4.96827e-09,4.96783e-09,-1.00225e-08,0.000123057,PASS
typical,-40,3.63,2e+08,2,3,2,3,3.00004,3.00001,3.25062e-10,4.97068e-09,4.97016e-09,4.98079e-09,0.000139425,PASS
typical,27,2.97,2e+08,2,3,2,3,3,3,4.28811e-10,4.96067e-09,4.9604e-09,4.96925e-09,0.00011184,PASS
typical,27,3.30,2e+08,2,3,2,3,3,3,3.9422e-10,4.96549e-09,4.9652e-09,4.97346e-09,0.000127072,PASS
typical,27,3.63,2e+08,2,3,2,3,3,3,3.68451e-10,4.96752e-09,4.967e-09,4.97641e-09,0.000142968,PASS
typical,125,2.97,2e+08,2,3,2,3,3,3,5.03758e-10,4.95385e-09,4.9535e-09,4.96412e-09,0.000117123,PASS
typical,125,3.30,2e+08,2,3,2,3,3,3,4.63455e-10,4.95838e-09,4.9581e-09,4.96872e-09,0.000132883,PASS
typical,125,3.63,2e+08,2,3,2,3,3,3,4.31364e-10,4.96198e-09,4.9615e-09,-1.00274e-08,0.000149019,PASS
