# gf180-pll :: pll-top-smoke acquisition transient
# record_id: 20260801-085349-0e5c22d
# corner: typical_27c_3.30v (typical,res_typical,moscap_typical,mimcap_typical)
# config: N=8 band=5 icp_code=2 fref=9e6
# decimation: nearest-sample at 20e-9 s from the full ngspice trace
t_s,vctrl_v,lock_v,fb_v
4.89189173e-06,1.53498,5.5786e-09,3.3
4.91197013e-06,1.50815,5.69218e-09,3.3
4.93205032e-06,1.48492,5.62791e-09,3.3
4.9521203e-06,1.48038,1.26118e-08,9.27366e-07
4.97217538e-06,1.50761,-3.06534e-09,-3.49573e-06
4.99218136e-06,1.53145,1.37813e-08,6.1243e-06
5.01220901e-06,1.52118,5.65635e-09,3.29977
5.03222761e-06,1.49675,5.66022e-09,3.29288
5.05225751e-06,1.4752,5.65696e-09,3.3
5.07227594e-06,1.49337,1.42542e-08,-2.05034e-07
5.09234464e-06,1.51916,1.403e-08,-9.30145e-07
5.11237948e-06,1.53538,5.65327e-09,3.3
5.13243023e-06,1.50917,5.65862e-09,3.3
5.15247233e-06,1.4864,5.66026e-09,3.3
5.17250013e-06,1.47773,8.8096e-09,3.74982e-07
5.19253677e-06,1.50586,1.41708e-08,3.12621e-07
5.21261927e-06,1.53051,-2.92924e-09,3.98264e-05
5.23269602e-06,1.52202,5.65636e-09,3.3
5.25269747e-06,1.49804,5.66012e-09,3.3
5.27276189e-06,1.47684,5.65713e-09,3.3
5.29284574e-06,1.49154,-3.43098e-09,-1.90276e-06
5.3129332e-06,1.51807,-3.21022e-09,-3.25029e-06
5.33295107e-06,1.53566,4.76122e-08,3.30001
5.3530136e-06,1.51004,5.65848e-09,3.3
5.37306835e-06,1.48767,5.66021e-09,3.30001
5.39307664e-06,1.47557,6.90689e-08,1.35461e-06
5.41308636e-06,1.50428,-3.35474e-09,8.00102e-06
5.43310054e-06,1.52954,1.40606e-08,-0.0137969
5.45312803e-06,1.5228,5.65599e-09,3.3
5.47315188e-06,1.49923,5.66009e-09,3.3
5.49319948e-06,1.47841,5.65733e-09,3.3
5.51324821e-06,1.48931,-2.1823e-08,1.10436e-06
5.53331568e-06,1.51657,3.19248e-08,-1.18756e-08
5.55332714e-06,1.53622,2.23286e-08,3.30001
5.57342166e-06,1.51098,5.65848e-09,3.3
5.59352111e-06,1.48896,5.66024e-09,3.29998
5.61353901e-06,1.47368,-1.05371e-06,6.9167e-07
5.63356852e-06,1.50244,3.3954e-09,0.00221968
5.65364865e-06,1.52848,3.39818e-09,3.59427e-06
5.67368442e-06,1.52333,5.65561e-09,3.3
5.69369761e-06,1.50021,5.65997e-09,3.3
5.7137469e-06,1.47978,5.65768e-09,3.3
5.73377369e-06,1.48708,3.75909e-09,6.28779e-07
5.75384241e-06,1.51511,7.2903e-09,1.65584e-06
5.77390025e-06,1.53233,5.64689e-08,3.30001
5.79397424e-06,1.5117,5.65822e-09,3.3
5.81399081e-06,1.49019,5.66026e-09,3.3
5.83403049e-06,1.47174,9.56433e-09,-9.64228e-09
5.85409032e-06,1.50054,9.32525e-09,1.88204e-08
5.87413484e-06,1.52725,1.88963e-09,4.60914e-07
5.89417929e-06,1.52371,5.65568e-09,3.3
5.91418638e-06,1.50104,5.65999e-09,3.3
5.93419686e-06,1.48104,5.65777e-09,3.3
5.95421414e-06,1.48443,-3.7544e-09,-8.80963e-07
5.97422767e-06,1.51325,-3.54472e-09,-2.66925e-07
5.99427633e-06,1.53572,-1.27264e-07,3.30002
6.01430466e-06,1.51259,5.65813e-09,3.3
6.03433926e-06,1.49143,5.66025e-09,3.3
6.05439879e-06,1.47278,5.65092e-09,0.00435401
6.07448184e-06,1.49835,3.0782e-09,-1.53555e-06
6.09457459e-06,1.52584,3.0872e-09,-1.83644e-06
6.11460981e-06,1.52437,5.6554e-09,3.3
6.13462716e-06,1.50209,5.65993e-09,3.3
6.15464036e-06,1.48245,5.65786e-09,3.3
6.17467071e-06,1.48182,-3.87205e-09,-8.98148e-07
6.19475513e-06,1.51163,-3.7018e-09,-1.55738e-06
6.21477673e-06,1.53524,3.74124e-06,3.30005
6.23481855e-06,1.51327,5.6579e-09,3.3
6.25487735e-06,1.49248,5.66025e-09,3.30128
6.27494464e-06,1.47417,5.65159e-09,3.09316e-06
6.29504068e-06,1.49632,1.48647e-08,1.21551e-07
6.31510783e-06,1.52447,1.45739e-08,9.86741e-07
6.33513204e-06,1.52487,5.65539e-09,3.3
6.35516978e-06,1.50297,5.65983e-09,3.3
6.37519085e-06,1.48368,5.65847e-09,3.3
6.39524899e-06,1.47929,-3.66357e-09,-1.23883e-07
6.41528226e-06,1.50989,1.48193e-08,9.70335e-07
6.43531732e-06,1.53716,1.61124e-08,3.37893
6.45532255e-06,1.5141,5.65764e-09,3.30009
6.47541551e-06,1.49364,5.66037e-09,3.3
6.4954748e-06,1.47566,5.65203e-09,2.42876e-06
6.51551866e-06,1.4942,-1.14666e-08,2.49676e-06
6.53561306e-06,1.52306,-1.08708e-08,2.97332e-06
6.55564559e-06,1.52544,3.91541e-08,3.30001
6.57566282e-06,1.50393,5.65987e-09,3.3
6.59568086e-06,1.48498,5.6585e-09,3.3
6.61568471e-06,1.47671,2.03399e-08,9.47408e-07
6.63572096e-06,1.50798,1.49483e-08,-1.49162e-06
6.65577363e-06,1.53545,-3.70715e-09,-0.000688308
6.6757754e-06,1.51485,5.65747e-09,3.3
6.69580909e-06,1.49481,5.66039e-09,3.3
6.71584285e-06,1.47717,5.65254e-09,-2.86057e-06
6.73588764e-06,1.49175,9.27993e-09,1.12256e-07
6.75594405e-06,1.52127,1.7681e-09,-2.85501e-07
6.77595795e-06,1.52618,4.13089e-08,3.30001
6.79597652e-06,1.505,5.65961e-09,3.3
6.81604095e-06,1.48633,5.65896e-09,3.3
6.83607067e-06,1.47449,5.16423e-06,-2.07921e-07
6.85610926e-06,1.50587,2.04705e-08,0.00209763
6.87619216e-06,1.53406,1.9986e-08,-1.03435e-06
6.89619882e-06,1.51554,5.65753e-09,3.3
6.91623761e-06,1.49585,5.66042e-09,3.3
6.93631633e-06,1.47848,5.65323e-09,-4.85138e-06
6.95640273e-06,1.48937,3.13162e-08,3.80223e-07
6.97649734e-06,1.51966,3.02007e-08,2.12956e-07
6.99656762e-06,1.52655,-2.36581e-08,3.3
7.01661687e-06,1.50569,5.65972e-09,3.3
7.03670696e-06,1.48735,5.65895e-09,3.3
7.05672288e-06,1.47315,7.28516e-09,-5.77865e-05
7.07674614e-06,1.50404,4.77155e-08,1.59083e-06
7.0967499e-06,1.53275,4.61559e-08,8.62156e-07
7.11675024e-06,1.51618,5.65759e-09,3.3
7.13681985e-06,1.49682,5.66029e-09,3.3
7.15689547e-06,1.47976,5.65365e-09,-2.70531e-06
7.17692577e-06,1.48693,-1.6318e-08,-4.47973e-07
7.19693167e-06,1.51785,2.63443e-08,8.04743e-09
7.21695885e-06,1.52725,4.05352e-08,3.30001
7.23698856e-06,1.50669,5.65962e-09,3.3
7.25706366e-06,1.48867,5.65915e-09,3.29996
7.27709324e-06,1.47283,5.64172e-09,6.95209e-07
7.2971345e-06,1.50179,8.19626e-09,-3.07006e-07
7.31714601e-06,1.53118,2.96514e-09,-1.13984e-06
7.33720439e-06,1.51683,5.65727e-09,3.3
7.35727836e-06,1.49781,5.66038e-09,3.3
7.37735123e-06,1.48106,5.65405e-09,-2.28129e-06
7.39742643e-06,1.48426,1.18925e-08,1.16421e-06
7.41743506e-06,1.51602,-1.30802e-09,-1.79704e-06
7.43749017e-06,1.52765,-3.10739e-08,3.29999
7.45753396e-06,1.50738,5.65956e-09,3.29991
7.47757704e-06,1.48971,5.65927e-09,3.29649
7.49767167e-06,1.47412,5.64285e-09,-1.90733e-07
7.51769619e-06,1.49965,-1.12044e-08,1.05767e-06
7.53771074e-06,1.52968,-1.06623e-08,1.94842e-06
7.55775426e-06,1.51747,5.65695e-09,3.3
7.57784571e-06,1.49876,5.66028e-09,3.3
7.59785893e-06,1.48235,5.65472e-09,5.71167e-06
7.61793109e-06,1.4816,-2.68295e-09,-1.02123e-06
7.63793195e-06,1.51417,-4.3946e-09,-2.8637e-06
7.65793566e-06,1.52828,-3.33024e-08,3.30031
7.67798879e-06,1.50825,5.65926e-09,3.3
7.69804991e-06,1.49087,5.65945e-09,3.3
7.71807569e-06,1.47559,5.64424e-09,-2.40619e-06
7.73810748e-06,1.49727,1.5604e-08,-1.53004e-06
7.75817088e-06,1.52803,-4.33144e-09,1.99283e-06
7.77817778e-06,1.51808,5.70372e-09,3.3
7.79821263e-06,1.49975,5.6605e-09,3.3
7.8182757e-06,1.48358,5.65528e-09,3.50414e-05
7.8383511e-06,1.47874,9.27138e-09,1.25347e-06
7.8584338e-06,1.51215,1.55391e-08,-5.35153e-05
7.87853358e-06,1.52855,5.84302e-08,3.3
7.89855582e-06,1.50883,5.65877e-09,3.3
7.91855614e-06,1.49182,5.65998e-09,3.3
7.93859278e-06,1.47681,5.64536e-09,-2.63817e-07
7.95863931e-06,1.4949,1.56783e-08,-1.1491e-06
7.97867565e-06,1.52626,-4.41048e-09,2.32628e-06
7.99876046e-06,1.51854,3.68445e-08,3.3
8.0187657e-06,1.50057,5.66039e-09,3.3
8.03884447e-06,1.48468,5.65556e-09,-0.000134905
8.05888768e-06,1.47643,9.54164e-07,0.000107353
8.07897796e-06,1.51014,1.56571e-08,-2.87086e-06
8.09901254e-06,1.52907,-3.20457e-08,3.3
8.11909842e-06,1.50955,5.65909e-09,3.3
8.13915866e-06,1.49279,5.65991e-09,3.3
8.15924215e-06,1.47801,5.64611e-09,3.86783e-06
8.1792993e-06,1.49274,1.58149e-08,6.04268e-07
8.19932608e-06,1.52471,-4.53509e-09,-4.83742e-07
8.21939718e-06,1.51896,5.92305e-08,3.3
8.23945283e-06,1.50128,5.66034e-09,3.3
8.25946366e-06,1.48573,5.65584e-09,0.111779
8.2795191e-06,1.47485,-2.82272e-08,2.91779e-07
8.29958861e-06,1.50816,-1.56099e-08,-1.83784e-06
8.3196763e-06,1.52916,2.48342e-08,3.30001
8.33975791e-06,1.50997,5.65837e-09,3.3
8.35981956e-06,1.49353,5.65988e-09,3.3
8.37983937e-06,1.47908,5.64728e-09,2.43422e-07
8.39989625e-06,1.49024,-3.33369e-08,4.25591e-07
8.41996714e-06,1.52297,-3.19353e-08,-3.56614e-06
8.43999078e-06,1.5193,2.8066e-08,3.30001
8.46004851e-06,1.50195,5.66003e-09,3.29999
8.48010391e-06,1.48665,5.65668e-09,3.3
8.50015e-06,1.47319,5.62795e-09,4.78353e-09
8.52024588e-06,1.50613,1.22799e-08,6.53648e-08
8.54032126e-06,1.52945,4.13994e-08,3.30001
8.56037121e-06,1.51067,5.65854e-09,3.3
8.5803716e-06,1.49456,5.65994e-09,3.3
8.60039585e-06,1.48035,5.64802e-09,1.03206e-06
8.62049563e-06,1.4878,8.37915e-09,-6.10008e-07
8.64050078e-06,1.52114,2.88314e-09,6.47215e-06
8.66059814e-06,1.51965,4.52095e-08,3.30171
8.68069768e-06,1.50259,5.66019e-09,3.30141
8.70073816e-06,1.48759,5.6571e-09,3.3
8.72080402e-06,1.47436,5.62981e-09,1.59183e-06
8.74087003e-06,1.50399,-3.16946e-09,-5.97338e-07
8.76092044e-06,1.52942,-1.9848e-08,3.3
8.78097487e-06,1.51115,5.65821e-09,3.3
8.80101696e-06,1.4953,5.65989e-09,3.3
8.82106422e-06,1.48134,5.64876e-09,-3.38648e-06
8.84109445e-06,1.48509,2.71869e-09,7.92037e-07
8.86112661e-06,1.51925,2.16689e-09,-0.00375254
8.88119788e-06,1.52018,-4.63246e-08,3.3
8.9012791e-06,1.50342,5.66013e-09,3.3
8.92137835e-06,1.48863,5.65755e-09,3.3
8.94146531e-06,1.47562,5.63165e-09,2.93867e-07
8.96147985e-06,1.50189,1.60897e-08,-6.44839e-07
8.98152957e-06,1.5297,5.73759e-08,3.30001
9.00160615e-06,1.51176,5.65855e-09,3.3
9.02164605e-06,1.49619,5.66017e-09,3.29993
9.04167573e-06,1.48248,5.64973e-09,3.69913e-06
9.06167608e-06,1.48243,3.9346e-09,-0.000341603
9.08168587e-06,1.5173,-4.98327e-09,7.24841e-07
9.10176236e-06,1.52061,-4.81859e-08,3.3
9.12182258e-06,1.50416,5.6601e-09,3.3
9.14183771e-06,1.48968,5.6579e-09,3.3
9.16186612e-06,1.47692,5.63393e-09,1.2424e-06
9.18189143e-06,1.49929,-5.22495e-09,-2.95583e-07
9.2019306e-06,1.52904,-5.71029e-08,3.30001
9.22196963e-06,1.51247,4.75966e-08,3.3
9.24200338e-06,1.49715,5.66035e-09,3.3
9.26200832e-06,1.48368,5.65064e-09,0.00756809
9.28209833e-06,1.47957,3.40024e-08,5.85272e-09
9.30210042e-06,1.51496,1.60576e-08,8.94934e-07
9.3221426e-06,1.52114,-3.72118e-08,3.3
9.34223942e-06,1.50493,5.66013e-09,3.3
9.36228521e-06,1.49067,5.65806e-09,3.3
9.38232408e-06,1.47811,5.63586e-09,6.87674e-07
9.40232959e-06,1.49662,1.6767e-08,5.93093e-07
9.42236939e-06,1.5278,-6.07828e-08,3.30135
9.44237855e-06,1.51304,-2.0875e-08,3.30004
9.46242674e-06,1.49798,5.66022e-09,3.3
9.48246616e-06,1.48471,5.65196e-09,1.01937e-06
9.50252062e-06,1.47719,2.1065e-05,1.96616e-08
9.52254754e-06,1.51255,1.61376e-08,2.43244e-06
9.54262959e-06,1.52149,-5.1781e-08,3.3
9.56264965e-06,1.50559,5.65962e-09,3.3
9.58266179e-06,1.4916,5.65849e-09,3.3
9.60266613e-06,1.47927,5.63848e-09,1.46659e-06
9.62276543e-06,1.49378,-5.39843e-09,-5.44872e-06
